visit_id	revisit_interval	revisit_intention
v0		0
v1		0
v2		0
v3		0
v4		0
v5		0
v6		0
v8	23.97	1
v9		0
v10		0
v12		0
v13		0
v14		0
v15		0
v16	198.76	1
v17		0
v18		0
v19		0
v20		0
v21		0
v22		0
v24		0
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v32		0
v33		0
v34		0
v35		0
v36		0
v37	265.25	1
v39		0
v42	140.14	1
v43	75.13	1
v44		0
v46		0
v48		0
v49	210.12	1
v50		0
v51		0
v53		0
v55		0
v56		0
v57		0
v58		0
v59		0
v60		0
v61		0
v64		0
v66		0
v68		0
v69		0
v70		0
v71	23.92	1
v72		0
v74	280.15	1
v76		0
v77		0
v78		0
v80	151.04	1
v81	128.34	1
v83		0
v84		0
v85	107.83	1
v86		0
v87	110.76	1
v88		0
v89		0
v90		0
v91		0
v93		0
v96	71.92	1
v97		0
v98		0
v99		0
v101	211.91	1
v102		0
v103	270.98	1
v104		0
v105		0
v107	73.86	1
v109		0
v110	244.01	1
v112		0
v113		0
v114		0
v115		0
v116		0
v118		0
v119		0
v120	205.14	1
v121		0
v122		0
v123	246.07	1
v124		0
v125		0
v126		0
v128		0
v129		0
v130		0
v131		0
v132		0
v133		0
v134		0
v135		0
v136		0
v137		0
v139		0
v140		0
v141		0
v142		0
v143		0
v144		0
v145		0
v146		0
v147		0
v148		0
v149		0
v150		0
v151		0
v152		0
v155		0
v156		0
v157		0
v158		0
v160		0
v161		0
v162		0
v164		0
v165		0
v169	133.17	1
v171		0
v172	87.03	1
v173		0
v174		0
v176		0
v179	68.9	1
v180		0
v183	100.07	1
v185		0
v187		0
v188		0
v190	215.98	1
v191		0
v192	235.12	1
v196		0
v197		0
v198		0
v200		0
v201	272.15	1
v202	94.91	1
v203	303.09	1
v204		0
v205		0
v206		0
v207		0
v208		0
v210		0
v211		0
v212	193.81	1
v213		0
v215	164.9	1
v216		0
v218		0
v219		0
v220		0
v221		0
v222		0
v223		0
v224		0
v226		0
v227		0
v228		0
v229		0
v230	94.99	1
v231		0
v232		0
v234		0
v236		0
v237		0
v238		0
v240		0
v241		0
v242		0
v243		0
v246		0
v247		0
v248		0
v249		0
v250		0
v251		0
v255		0
v256		0
v259		0
v260	160.01	1
v261		0
v262		0
v263		0
v264		0
v265		0
v266		0
v267		0
v268		0
v270		0
v272		0
v273		0
v275		0
v276		0
v279	262.92	1
v280		0
v281		0
v282		0
v283		0
v284		0
v285		0
v286		0
v287		0
v288		0
v289		0
v290		0
v292		0
v294		0
v295		0
v296		0
v297	166.87	1
v298		0
v299		0
v300		0
v301	220.79	1
v302		0
v304		0
v308		0
v309		0
v310		0
v311		0
v313		0
v315		0
v316		0
v317		0
v318		0
v319		0
v320	234.16	1
v321	127.01	1
v322		0
v323		0
v325		0
v328		0
v329		0
v330		0
v332	69.82	1
v333	29.96	1
v334		0
v335		0
v336		0
v337		0
v338		0
v339		0
v340		0
v341		0
v343		0
v344		0
v345		0
v346		0
v347		0
v349		0
v350		0
v353	88.91	1
v354	153.1	1
v355		0
v356		0
v357		0
v360		0
v361		0
v363		0
v364		0
v365		0
v366		0
v369	55.69	1
v370		0
v372		0
v373		0
v375	95.03	1
v376		0
v377		0
v378		0
v379		0
v380		0
v381		0
v382		0
v383	220.98	1
v386	274.89	1
v387		0
v388		0
v389		0
v390		0
v391	276.83	1
v392		0
v393		0
v394	21.18	1
v395	65.37	1
v396		0
v397		0
v398		0
v400		0
v402		0
v403		0
v404		0
v405		0
v408		0
v410	217.88	1
v411		0
v414	41.99	1
v415		0
v416		0
v417	208.66	1
v418		0
v419		0
v420		0
v421		0
v422		0
v423		0
v424		0
v425		0
v426		0
v428		0
v429		0
v430		0
v431		0
v432	193.88	1
v433	217.86	1
v434		0
