visit_id	revisit_interval	revisit_intention
v0		0
v1		0
v2		0
v3		0
v4		0
v5		0
v6		0
v7	75.9	1
v8		0
v9		0
v10		0
v11	97.96	1
v12		0
v13		0
v14		0
v15		0
v16		0
v17		0
v18		0
v19		0
v20		0
v21		0
v22		0
v23	65.07	1
v24		0
v25	26.1	1
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v32		0
v33		0
v34		0
v35		0
v36		0
v37		0
v38	28.05	1
v39		0
v40	100.97	1
v41	16.75	1
v42		0
v43		0
v44		0
v45	60.07	1
v46		0
v47	26.73	1
v48		0
v49		0
v50		0
v51		0
v52	164.81	1
v53		0
v54	10.04	1
v55		0
v56		0
v57		0
v58		0
v59		0
v60		0
v61		0
v62	100.07	1
v63	35.09	1
v64		0
v65	26.07	1
v66		0
v67	20.96	1
v68		0
v69		0
v70		0
v71		0
v72		0
v73	3.98	1
v74		0
v75	166.91	1
v76		0
v77		0
v78		0
v79	29.88	1
v80		0
v81		0
v82	11.03	1
v83		0
v84		0
v85		0
v86		0
v87		0
v88		0
v89		0
v90		0
v91		0
v92	6.89	1
v93		0
v94	37.06	1
v95	161.1	1
v96		0
v97		0
v98		0
v99		0
v100	48.05	1
v101		0
v102		0
v103		0
v104		0
v105		0
v106	214.04	1
v107		0
v108	2.99	1
v109		0
v110		0
v111	79.89	1
v112		0
v113		0
v114		0
v115		0
v116		0
v117	15.95	1
v118		0
v119		0
v120		0
v121		0
v122		0
v123		0
v124		0
v125		0
v126		0
v127	150.99	1
v128		0
v129		0
v130		0
v131		0
v132		0
v133		0
v134		0
v135		0
v136		0
v137		0
v138	1.12	1
v139		0
v140		0
v141		0
v142		0
v143		0
v144		0
v145		0
v146		0
v147		0
v148		0
v149		0
v150		0
v151		0
v152		0
v153	18.81	1
v154	15.25	1
v155		0
v156		0
v157		0
v158		0
v159	26.0	1
v160		0
v161		0
v162		0
v163	115.23	1
v164		0
v165		0
v166	34.23	1
v167	59.84	1
v168	84.81	1
v169		0
v170	10.84	1
v171		0
v172		0
v173		0
v174		0
v175	145.08	1
v176		0
v177	190.78	1
v178	7.97	1
v179		0
v180		0
v181	56.94	1
v182	33.98	1
v183		0
v184	184.97	1
v185		0
v186	18.04	1
v187		0
v188		0
v189	46.85	1
v190		0
v191		0
v192		0
v193	34.0	1
v194	10.02	1
v195	165.82	1
v196		0
v197		0
v198		0
v199	19.0	1
v200		0
v201		0
v202		0
v203		0
v204		0
v205		0
v206		0
v207		0
v208		0
v209	1.09	1
v210		0
v211		0
v212		0
v213		0
v214	153.97	1
v215		0
v216		0
v217	26.99	1
v218		0
v219		0
v220		0
v221		0
v222		0
v223		0
v224		0
v225	46.87	1
v226		0
v227		0
v228		0
v229		0
v230		0
v231		0
v232		0
v233	7.84	1
v234		0
v235	62.05	1
v236		0
v237		0
v238		0
v239	41.09	1
v240		0
v241		0
v242		0
v243		0
v244	15.0	1
v245	0.91	1
v246		0
v247		0
v248		0
v249		0
v250		0
v251		0
v252	10.97	1
v253	7.74	1
v254	28.94	1
v255		0
v256		0
v257	2.99	1
v258	31.74	1
v259		0
v260		0
v261		0
v262		0
v263		0
v264		0
v265		0
v266		0
v267		0
v268		0
v269	10.83	1
v270		0
v271	59.15	1
v272		0
v273		0
v274	5.02	1
v275		0
v276		0
v277	90.91	1
v278	8.12	1
v279		0
v280		0
v281		0
v282		0
v283		0
v284		0
v285		0
v286		0
v287		0
v288		0
v289		0
v290		0
v291	158.8	1
v292		0
v293	16.25	1
v294		0
v295		0
v296		0
v297		0
v298		0
v299		0
v300		0
v301		0
v302		0
v303	134.0	1
v304		0
v305	61.87	1
v306	92.08	1
v307	43.94	1
v308		0
v309		0
v310		0
v311		0
v312	1.79	1
v313		0
v314	111.82	1
v315		0
