visit_id	wifi_id	date	indices
v0	2	17286	421518;421561;421562;421637
v1	3	17360	562263;562264;562279;562284;562358;562359;562361;562365;562375
v2	5	17244	332057;332064;332092;332147;332154
v3	6	17210	199278;199285;199291;199294;199302;199319;199322;199323;199324;199333;199385;199386
v4	7	17391	627585;627596;627952
v5	10	17377	596146;596147;596149;596159;596186;596193;596903;596904;596905
v6	12	17349	541294;541301;541409;541495;541518;541522;541542
v7	13	17328	500205;500289;500366;500367
v8	13	17404	658170;658171;658177
v9	14	17183	75176;75177;75193;75363;75365
v10	15	17378	598029;598030;598037;598087;598091;598092;598093;598095;598158
v11	16	17233	292163;292180;292182;292197;292200;292201;292333;292335;292339;292343;292368;292369;292372;292373;292377;292381;292382;292387;292388
v12	16	17331	505703;505704;505705;505706
v13	17	17181	65816;65818;65820;65821;65822;65823;65824;65826;65827;65828;65829;65830
v14	20	17305	454296;454297;454298;454314
v15	22	17271	396442;396443;396444;396445;396456;396458;396460;396462;396472;396545;396546;396556
v16	23	17243	329223;329224;329242;329292;329391
v17	24	17181	67947;67948
v18	25	17216	221778;221784;221864;221887;221888;221890;221897;221937;222409;222427;222523;222526
v19	26	17246	339076;339089;339092;339107;339108;339110;339118;339121;339140
v20	27	17384	611349;611350;611474;611475;611478;611480
v21	29	17379	600327;600328;600348;600383;600402;600403
v22	30	17376	594616;594700
v23	33	17272	397489;397490;397497;397498
v24	33	17337	517529;517531;517534;517536
v25	34	17187	91439;91440;91441;91451
v26	34	17213	208295;208307;208308;208312;208318;208344
v27	35	17257	372097;372102;372115;372120;372126;372135;372187;372191;372205;372206
v28	36	17257	375187;375197;375200;375205;375207;375220;375225;375285;375288;375293;375295
v29	38	17348	538462;538466;538520;538521;538522;538536
v30	39	17184	81524;81526;81529;81531;81536;81537;81540;81542
v31	40	17407	665613;665624;665627;665779
v32	42	17289	429657;429658;429659;429674;429676;429677;429687;429691;429706
v33	43	17193	117200;117231;117238;117262;117281;117299;117378;117385;117386
v34	44	17179	57743;57747;57796;57810;57816;57821;57822
v35	45	17205	175661;175954;176126;176140;176154
v36	46	17238	311354;311381;311382;311436;311472
v37	48	17167	322;342;346;389;391;393;396;414;416;417;484;1014;1032;1042
v38	49	17313	467975;467993;467999;468012
v39	49	17341	525766;525785;525791
v40	50	17223	251354;251364;251381;251383;253958;253959;253962;253969;253973;254005
v41	50	17324	491919;491924;491939;491945
v42	50	17341	524318;524319;524323
v43	51	17394	633646
v44	52	17191	110269;110271;110290;110412;110425;110429;110445;110446;110458;110460;110461;110465;110521
v45	53	17182	71676;71679;71693;71826;71827;71858;71910;71939
v46	53	17242	326625;326627;326649;326659;326782
v47	54	17209	194815;194818;194840;194842;194893
v48	54	17236	301127;301129;301140;301147;301163;301175;301184
v49	55	17216	222627
v50	56	17355	552108;552110;552111
v51	57	17350	543557;543559;543572;543600;543602;543607
v52	58	17212	206562;206565;206566;206577;206578;206581;206587;206612
v53	58	17377	596472;596475;596478;596491
v54	61	17391	626481;626491;626509;626527;626528;626544;626551;626554;626556;626569;626683
v55	61	17401	651713;651715;651716;651723
v56	62	17196	127421;127444;127474;127505;127516;127517;127529;127567;127600;127631;127645;127646;127922;127967
v57	63	17258	377980;377981;378116;378130;378138;378156
v58	64	17168	13186;13347
v59	65	17258	375401;375404;375419;375426;375433;375440;375447;375455
v60	66	17258	377755;377781;377783;377800;377856;377870;378056;378063
v61	67	17167	332;544;4461
v62	68	17241	322721;322723;322724;322725;322759;322764;322771
v63	68	17341	526054;526056;526066
v64	68	17376	594999;595000
v65	69	17271	394679;394682;394683;394684;394689;394720;394721;394725;394738;394820;394825;394826
v66	69	17297	441682;441683
v67	70	17197	132855;132858;132924;132956;132957;132958;133082;133204;133206;133274
v68	70	17218	230180;230181;230183;230185;230207;230208;230209
v69	71	17244	332313;332314
v70	73	17215	219098;219105;219145;219166;219178;219291;219303
v71	74	17393	632654;632659;632695;632698;632699;632717;632781;632840;632911;632916
v72	75	17172	29457;29458;29556;29583
v73	76	17197	136398;136399;136400;136407;136425;136426;136428;136429;136446
v74	76	17201	158037;158040;158046;158075;158095
v75	77	17214	215480;215484;215487;215501;215506;215541;215598;215735
v76	77	17381	605338
v77	78	17167	1352;1363;1595;1597;1608
v78	79	17198	142674;142769;142833;142881;142882
v79	81	17306	456421;456422;456424;456432;456434;456472;456474;456477;456482;456487;456488
v80	81	17336	515968;515975;515982
v81	83	17300	446299;446308
v82	84	17245	336462;336466
v83	84	17256	370821;370822;370834;370886;370899;370914;370926
v84	85	17180	61150;61151;61166;61172;61179;61213;61215;61242
v85	86	17325	494069
v86	87	17373	588360;588374;588376;588396;588423;588795
v87	88	17314	472509;472525
v88	89	17210	198591;198595;198604;198646;198647
v89	90	17181	68635;68652;68654;68731;68733;68755;68831;68851;68864;68865;68875;68876;68923;69065;69104;69124
v90	92	17381	604607;604609;604636;604637;604678;604679;604731;604745
v91	93	17174	39757;39768;39769;39809;39810
v92	94	17233	289777;289782
v93	94	17240	317121;317122
v94	96	17174	39226;39231;39237
v95	96	17211	201482;201484;201535
v96	96	17372	587640;587642;587649;587691;587692;587693;587704;587709;587764;587769
v97	97	17246	340613;340615;340616;340618;340619;340673
v98	98	17232	285552;285553;285554;285556
v99	99	17335	513586;513590;513599;513606;513636
v100	100	17222	248643;248644
v101	100	17270	393587;393588;393611;393612;393613;393621;393622;393630
v102	101	17310	463032;463034;463043;463079;463080;463081
v103	102	17168	10185
v104	103	17397	643452;643453;643454;643455;643487;643502;643503;643507;643508;643509;643516;643553;643564;643565
v105	105	17184	80861;80862;80865;80867;80883;80884
v106	106	17169	18430;18468;18472;18526;18546;18555
v107	106	17383	609559;609561;609566;609568;609583;609752;609753;609756;609773;609801;609805;609811
v108	107	17346	535053;535056;535059;535060;535061;535062;535068
v109	107	17349	540784;540785;540787;540793;540794;540795;540796;540800;540845;540846;540847
v110	108	17286	421512;421513
v111	109	17299	445343;445349;445350;445351
v112	109	17379	600200;600202;600210;600211;600212
v113	110	17258	378989;378995;379040;379064;379077;379149;379206
v114	111	17187	95577;95579;95690;95706;95707;95741;95750
v115	112	17255	367923;367924;367944
v116	113	17246	340553;340567;340570;340577;340579;340580;340585
v117	115	17216	224369;224370;224373;224387;224389;224390;224396;224482
v118	115	17232	287806;287807;287837;287838;287839
v119	116	17394	634959;634968;634975;635091;635175;635182;635285;635385;635386;635416;635463;635583;635609;635613;635614
v120	118	17221	243539;243541;243696;243729;243773;243800;243809
v121	121	17351	543832;543833;543845;543864;543865;543867;543875;543876;543926;543928
v122	122	17181	69472;69474;69492;69505;69508
v123	123	17219	234327;234329;234330
v124	124	17284	418394
v125	125	17295	439832;439834;439835
v126	127	17270	392054;392079;392179;392180;392181;392188;392268;392476
v127	128	17252	360491;360492;360505;360508;360524;360529;360534;360543;360546;360547;360548
v128	128	17403	656981;656985;656987
v129	129	17313	467145;467146;467147;467148;467156;467157;467158;467160;467161
v130	131	17242	324925;324931;324935;324936
v131	132	17223	250576;250577;250642;250857
v132	137	17224	257702;257707;257715;257756;257779;257796;257811;257970;258195;258222
v133	138	17367	576101;576102;576146;576147;576241
v134	139	17194	120673;120681;120682;120710;120739;120758
v135	141	17297	441330;441331;441334;441340;441364;441395;441397
v136	143	17323	490250;490252;490314
v137	144	17330	503226
v138	146	17324	491675
v139	146	17325	493743;493744
v140	147	17169	15924;15966;15969;16025;16109
v141	148	17216	224416;224419;224427;224438;224453;224513;224514;224643;224782;224783;224800;224807;224808
v142	149	17218	231622;231623;231636;231644;231651;231662;231663;231668
v143	150	17222	245014;245034;245085;245086;245088;245096;245133;245143;245148;245152;245155;245156;245193;245195;245197;245207;245238;245240
v144	151	17290	430402;430408;430411;430413;430431;430432
v145	153	17298	443619;443640;443938;443946;443950
v146	154	17184	79568;79579;79586;79595;79605;79623;79624;79628;79629;79630;80331;80332;80340;80343;80517;80569;80625
v147	155	17273	400025;400026;400027;400030;400052;400123
v148	157	17194	119991;121160;121198;121285;121347;121402;121437
v149	158	17388	618863;618865;618867;618915
v150	159	17251	354544;354545;354580;354594;354609;354628;354631;354640;354663;354664
v151	160	17388	619806;619823;619833;619844;619874;619875;619892;619893;619957;619977;619998
v152	161	17186	88367;88389;88486;88489;88490;88497;88511;88734;88744;88764;88826
v153	162	17201	159646;159648
v154	162	17220	238439;238441;238449;238488;238492;238498
v155	162	17235	300789;300793;300797;300798
v156	164	17168	10568;10576;10621;10633;10691;10692;10697;10706;10810;10821;10848;10872;10875
v157	165	17359	560404;560408;560540;560541;560542
v158	166	17199	145394;145395;145398;145410;145417;145419;145429;145430;145432;145507;145510;145515;145521;145522
v159	167	17180	61830;61839;61848;61850;61868;61911;61912;61919
v160	167	17206	180569;180600
v161	168	17328	499261;499265;499296;499297;499304
v162	169	17256	370964;370973;370978;370983;371002;371039;371042;371043;371044
v163	170	17250	351991;352030;352031;352043
v164	170	17365	574318;574319;574321
v165	172	17380	601951;601958;601959;601972;601974;601984;601985
v166	173	17177	51868;51873;51899;51904;51933;51934;51937;51945;51948;52028
v167	173	17211	203187;203188
v168	173	17271	395493;395501
v169	173	17356	553755;553756
v170	174	17371	585742;585744
v171	174	17382	605986;605991;605996;605998
v172	176	17395	636720;636727;636734;636736;636761;636767;636771;636784;636789
v173	177	17192	113692;113694;113696;113738
v174	178	17369	581613;581621;581643;581653;581717;581718;581719;581735;581762
v175	179	17186	89023;89040;89050;89054;89068;89075;89076;89081;89088
v176	179	17331	505740;505742
v177	181	17168	14834;14835;14837;14838;14843;14854;14857;14860;14861;14867;14922;14923
v178	181	17359	559948;559949;559952;559953;560007;560010;560011
v179	181	17367	576640;576641;576694;576697;576708;576723;576727
v180	182	17350	542831;542882;542883;542884
v181	183	17238	312222;312265;312474
v182	183	17295	439416;439422;439449;439453;439454
v183	183	17329	501860;501918;501922;501987;501988
v184	184	17204	172752;172754;172758;172764;172804;172813;172820;172824
v185	184	17389	621371;621372;621374;621375
v186	185	17185	85464;85487;85496;85524
v187	185	17203	169640;169643;169647;169649;169662;169666;169679;169680;170105;170108;170110
v188	186	17284	418349;418352;418356;418359;418363;418365;418391
v189	187	17167	4424;4428;4459;4481;4489;4523;4579;4625;4655
v190	187	17214	211945;211949;211954;211959;211966;211969;211991;211992;212000;212063;212064;212066;212069;212070
v191	189	17257	373462;373468;373507;373522;373545
v192	191	17200	151388;151392;151400
v193	192	17185	84261;84262;84280;84283;84284;84287;84290;84333;84334
v194	192	17219	235314;235324;235331;235355;235359;235361;235365;235447
v195	192	17229	276279;276280;276285;276288;276338;276341;276342
v196	192	17395	636220;636221;636223;636224
v197	193	17223	250930;250971;251000;251964;251982
v198	194	17314	471524;471676;471719
v199	195	17179	60777;60779;60782;60783;60798;60801;60802;60813;60815;60816;60817;60820
v200	195	17198	144090;144091;144093;144095;144096;144102;144103;144104;144105
v201	196	17195	125779;125781
v202	197	17336	515416;515417;515424;515431
v203	198	17172	30074
v204	199	17189	103947;103949;104043;104137;104166
v205	200	17193	117827;117828;117829;117837;117839;117870;117873;117879
v206	201	17335	512619;512628;512641;512642;512656;512657;512659;512660;512661
v207	202	17291	434692;434693;434748;434749;434794;434807
v208	203	17289	429844;429845;429846;429851;429863;429864;429866;429867;429872;429876
