visit_id	revisit_interval	revisit_intention
v0		0
v1		0
v2		0
v4	172.11	1
v7		0
v8		0
v9		0
v10		0
v12	145.78	1
v13		0
v14	103.93	1
v15		0
v16	257.23	1
v18	185.05	1
v19		0
v20		0
v21	215.23	1
v22	222.93	1
v23		0
v24		0
v25		0
v27	25.9	1
v28		0
v30	135.85	1
v31		0
v32		0
v34		0
v35		0
v36		0
v37		0
v38		0
v39		0
v40		0
v41		0
v43		0
v44		0
v45	234.2	1
v47	250.91	1
v48		0
v49		0
v50		0
v51		0
v52		0
v53		0
v54		0
v55		0
v57		0
v58		0
v59		0
v60		0
v61		0
v62		0
v63		0
v64		0
v66		0
v67		0
v68	134.06	1
v69		0
v70		0
v72		0
v73		0
v74		0
v75		0
v76		0
v78		0
v79		0
v80		0
v81	65.38	1
v82		0
v83		0
v84		0
v85	214.88	1
v86	116.17	1
v87		0
v88		0
v89		0
v90		0
v91		0
v92		0
v94	263.95	1
v95		0
v98		0
v99	194.91	1
v100		0
v101	156.06	1
v102		0
v103		0
v104	269.92	1
v105	148.97	1
v106		0
v107		0
v108		0
v109		0
v110		0
v111		0
v112		0
v113		0
v114		0
v117		0
v118		0
v119		0
v120		0
v121		0
v124	172.82	1
v126		0
v127		0
v128		0
v129		0
v130		0
v131		0
v132		0
v133		0
v134		0
v135		0
v136		0
v137		0
v139	298.0	1
v140	212.03	1
v143	101.33	1
v144		0
v145		0
v146		0
v147		0
v149	190.99	1
v150	179.1	1
v151		0
v152		0
v153	126.17	1
v154		0
v155	221.16	1
v156		0
v157		0
v158		0
v159		0
v160	174.91	1
v161		0
v162		0
v163		0
v164		0
v165		0
v166		0
v167		0
v168		0
v169		0
v170	116.83	1
v172	259.86	1
v173		0
v174		0
v175		0
v176		0
v177	132.93	1
v178	115.89	1
v179		0
v180		0
v181		0
v183	183.96	1
v184		0
v185	124.84	1
v186	110.95	1
v188	250.11	1
v189		0
v191		0
v192		0
v195		0
v196		0
v197		0
v198		0
v199		0
v200		0
v201		0
v202		0
v204		0
v205		0
v206		0
v207		0
v210	209.05	1
v211		0
v212		0
v213		0
v214		0
v215		0
v216		0
v218	5.7	1
v219		0
v220		0
v221		0
v222		0
v223		0
v224	132.98	1
v225		0
v226	200.0	1
v227		0
v228		0
v229		0
v230		0
v231		0
v232		0
v233		0
v234		0
v235		0
v236		0
v237		0
v238		0
v239		0
v240		0
v241	85.86	1
v242		0
v243		0
v244		0
v247	126.72	1
v248		0
v249	284.94	1
v252		0
v253		0
v254		0
v255	157.06	1
v256		0
v257		0
v258	24.36	1
v259		0
v260		0
v261		0
v262		0
v263		0
v264		0
v265		0
v266	222.07	1
v267		0
v269	36.05	1
v270		0
v271		0
v272		0
v273		0
v274		0
v275		0
v276		0
v277		0
v278		0
v280		0
v282		0
v283		0
v285	216.67	1
v286		0
v287		0
v288		0
v290	221.01	1
v291	158.13	1
v292		0
v293		0
v294	46.15	1
v295		0
v296		0
v297		0
v298		0
v300		0
v301		0
v302		0
v303		0
v304		0
v305		0
v306	184.01	1
v307		0
v309		0
v310	263.68	1
v313		0
v314		0
v315		0
v317		0
v318		0
v320		0
v321		0
v322	256.97	1
v323		0
v326		0
v327		0
v328		0
v331	70.13	1
v332		0
v334		0
v335		0
v336		0
v337		0
v338		0
v339		0
v340		0
v341		0
v342		0
v343		0
v344		0
v345		0
v346	185.87	1
v347		0
v348		0
v349	287.31	1
v350	225.05	1
v351		0
v353		0
v354		0
v355		0
v356		0
v357		0
v358		0
v359		0
v360		0
v361		0
v362		0
v364		0
v365	100.01	1
v367	138.95	1
v368		0
v369		0
v370		0
v371		0
v372		0
v374		0
v375		0
v376		0
v377		0
v378		0
v379		0
v380		0
v381		0
v382		0
v383		0
v385	181.28	1
v386		0
