visit_id	revisit_interval	revisit_intention
v0		0
v1		0
v2		0
v3	61.88	1
v4		0
v5	40.91	1
v6	16.08	1
v7		0
v8		0
v9		0
v10		0
v11	18.99	1
v12		0
v13		0
v14		0
v15		0
v16		0
v17	23.86	1
v18		0
v19		0
v20		0
v21		0
v22		0
v23		0
v24		0
v25		0
v26	83.94	1
v27		0
v28		0
v29	51.08	1
v30		0
v31		0
v32		0
v33	64.88	1
v34		0
v35		0
v36		0
v37		0
v38		0
v39		0
v40		0
v41		0
v42	23.97	1
v43		0
v44		0
v45		0
v46	19.08	1
v47		0
v48		0
v49		0
v50		0
v51		0
v52		0
v53		0
v54		0
v55		0
v56	0.01	1
v57		0
v58		0
v59		0
v60		0
v61		0
v62		0
v63		0
v64		0
v65	43.73	1
v66		0
v67		0
v68		0
v69		0
v70		0
v71	38.08	1
v72		0
v73		0
v74		0
v75		0
v76		0
v77	57.88	1
v78		0
v79		0
v80		0
v81		0
v82		0
v83		0
v84		0
v85		0
v86		0
v87		0
v88		0
v89		0
v90		0
v91		0
v92		0
v93	19.04	1
v94		0
v95		0
v96	22.1	1
v97	84.85	1
v98		0
v99		0
v100		0
v101		0
v102		0
v103		0
v104		0
v105		0
v106		0
v107		0
v108		0
v109		0
v110		0
v111		0
v112		0
v113		0
v114		0
v115	10.79	1
v116	8.3	1
v117		0
v118		0
v119		0
v120		0
v121		0
v122	12.75	1
v123	10.18	1
v124		0
v125	2.85	1
v126		0
v127		0
v128		0
v129		0
v130		0
v131		0
v132		0
v133		0
v134		0
v135		0
v136		0
v137		0
v138	14.9	1
v139		0
v140		0
v141	126.21	1
v142	1.66	1
v143		0
v144		0
v145		0
v146		0
v147		0
v148	66.02	1
v149		0
v150		0
v151		0
v152		0
v153		0
v154		0
v155		0
v156		0
v157		0
v158		0
v159		0
v160		0
v161		0
v162		0
v163		0
v164		0
v165		0
v166		0
v167		0
v168		0
v169		0
v170		0
v171	6.92	1
v172		0
v173		0
v174		0
v175		0
v176		0
v177		0
v178		0
v179		0
v180		0
v181		0
v182	5.08	1
v183		0
v184		0
v185		0
v186		0
v187	11.89	1
v188		0
v189		0
v190	114.1	1
v191		0
v192		0
v193	30.02	1
v194	11.9	1
v195		0
v196		0
v197		0
v198		0
v199		0
v200		0
v201		0
v202		0
v203	5.97	1
v204		0
v205		0
v206		0
v207		0
v208	8.11	1
v209	25.97	1
v210		0
v211		0
v212		0
v213		0
v214		0
v215		0
v216		0
v217	70.16	1
v218		0
v219		0
v220		0
v221		0
v222		0
v223		0
v224		0
v225		0
v226		0
v227		0
v228		0
v229		0
v230		0
v231		0
v232		0
v233		0
v234		0
v235		0
v236		0
v237		0
v238		0
v239		0
v240		0
v241		0
v242		0
v243		0
v244		0
v245	24.13	1
v246	17.96	1
v247		0
v248		0
v249		0
v250	59.27	1
v251	0.91	1
v252		0
v253		0
v254		0
v255		0
v256		0
v257		0
v258		0
v259		0
v260		0
v261		0
v262		0
v263		0
v264		0
v265		0
v266		0
v267		0
v268	17.04	1
v269		0
v270		0
v271		0
v272		0
v273		0
v274		0
v275		0
v276		0
v277		0
v278		0
v279	17.05	1
v280		0
v281	7.95	1
v282		0
v283		0
v284	108.18	1
v285		0
v286		0
v287		0
v288		0
v289	76.3	1
v290		0
v291		0
v292		0
v293		0
v294		0
v295		0
v296		0
v297		0
v298		0
v299	118.83	1
v300		0
v301		0
v302		0
v303		0
v304		0
v305		0
v306		0
v307		0
v308	2.84	1
v309		0
v310		0
v311	28.04	1
v312	44.81	1
v313		0
v314		0
v315		0
v316	13.31	1
v317		0
v318		0
v319	103.73	1
v320		0
v321		0
v322		0
v323		0
v324	45.82	1
v325	35.18	1
v326		0
v327		0
v328		0
v329	137.08	1
v330	32.85	1
v331		0
v332		0
