visit_id	wifi_id	date	indices
v0	4	17173	36717;36720;36722
v1	7	17323	490000;490008;490019;490260;490262;490265
v2	8	17201	155980;155981;155992;156014;156024;156039;156042;156043;156076;156078;156081;156090;156258;156262;156265;156268
v3	13	17186	88598;88622;88628;88631;88632;88643;88648;88665;88685;88695;88710;88711;89652;89658;89659;89663;89669;89671;89673;89674;89680;89704;89706;89707;89708;89737
v4	13	17248	345126;345127;345133;345136;345145
v5	14	17188	98222;98224;98237;98246;98269;98270;98276;98280
v6	14	17229	274069;274071;274072;274077;274079;274091;274105;274107;274108;274110
v7	14	17245	335627;335630;335632;335633;335644;335646;335647;335659
v8	16	17317	478574;478578;478583;478584;478650
v9	17	17290	431990;431991;432001;432130;432140
v10	18	17237	307976;307979;308379;308412
v11	21	17204	171352;171359;171387
v12	21	17223	251861
v13	22	17192	114278;114280;114314;114316;114318;114320;114321
v14	24	17252	358327;358328;358329
v15	25	17289	429012;429102;429103;429123;429172;429175;429195
v16	26	17236	303086;303089;303108
v17	27	17212	205687;205689;205718
v18	27	17236	303286;303290;303294;303338;303360
v19	28	17240	319902;319906;319907;319909
v20	29	17222	247689;247690;247710;247715;247717;247731;247732;247778;247779;247780;247781;247814;247936;247958;247959
v21	31	17175	43497;43499;43514;43516;43529;43549;43579;43583
v22	32	17174	40624;40625
v23	33	17172	30902;30903;30919;31450;31453
v24	35	17230	279417;279418;279441;279469;279482;279483;279490;279498;279517;279518;279519;279529;279531;279700
v25	37	17283	416704;416708;416712;416735;416761
v26	38	17241	322863;322864
v27	38	17325	492678;492679
v28	39	17342	524494;524496;524497;524515;524530;524542
v29	40	17272	399105;399111;399112;399118;399129;399130;399131;399135;399203
v30	40	17323	490290;490291;490293;490295
v31	42	17176	49455;49497;49500;49538;49577;49579;49594;49619;49749;49899;49922
v32	45	17342	524992;524995;525010;525012;525013;525021;525022
v33	47	17269	391482
v34	47	17334	510177;510179
v35	48	17254	364052;364054;364136;364195;364196;364199
v36	49	17284	418880;418883;418893;418894;418899
v37	52	17251	356349;356350;356364;356390;356391;356392;356394;356443;356630;356632;356633;356634;356690;356695
v38	53	17301	449171
v39	57	17345	529935;529937;529938;529949
v40	58	17197	135141;135144;135145;135146;135226;135237;135252;135264;135358;135404
v41	59	17323	490310;490312;490314;490320;490326;490327;490331
v42	61	17256	370544;370546;370549;370550;370564;370582;370583;370625
v43	61	17280	413767;413769;413771;413774
v44	62	17188	96072;96078;96119;96130;96136;96137;96242
v45	63	17167	150;152;193;232;234;241;285;305;357
v46	65	17172	29013;29020;29022
v47	65	17191	110932;110944;110946
v48	66	17314	469150;469156;469247;469351
v49	67	17197	133851;133856;133892;133936;133937;134018;134021;134025;134116
v50	69	17231	282744;282751;282755;282756;282757;282764;282766;282826;282872
v51	71	17236	302568;302606;303476;303552
v52	73	17328	497757
v53	75	17249	348284;348286;348289;348465;348469;348475
v54	76	17333	506617;506618;506626;506632
v55	78	17189	103894;103911;103932;103933;103945
v56	79	17316	477462;477494;477519;477530;477549;477556;477630;477659;477745;477804;477854;477856;477885;477894;477962;477983;477984;478005;478012;478019;478032;478037;478041;478043;478045;478050;478057;478064;478067;478070;478074;478075
v57	79	17317	478086;478089;478091;478095;478098;478099;478100;478103;478104;478105;478107;478110;478111;478113;478114;478115;478116;478118
v58	80	17220	236672;236673;236731;236732;236737;236753;236767;236797
v59	84	17320	483068;483076;483086;483087;483091;483109
v60	85	17202	162140;162143;162155;162160;162206;162218;162222;162231
v61	86	17339	518534;518536;518547;518586;518588;518589;518597
v62	88	17220	237370;237372;237374;237375;238223;238224
v63	89	17285	420596;420597;420598;420622;420624;420654;420664;420688
v64	90	17289	428994;429024;429043;429044;429059;429070
v65	93	17249	348303;348304;348305;348307
v66	93	17293	437542;437544;437546;437547;437548;437549;437550;437552;437555
v67	95	17300	447757;447760;447762;447765;447767;447770;447793;447794;447818;447821
v68	96	17326	494420;494421;494434
v69	97	17167	3179;3286;3367;3699;3706;3726;3727
v70	98	17339	519015;519025;519080;519166;519183;519187;519194;519195;519199;519200
v71	99	17232	287722;287724
v72	99	17270	393785;393786;393793;393797;393824;393830;393835;393836;393838;393857
v73	100	17189	104587;104618;104621;104638;104640;104641;104657
v74	101	17193	117331;117332;117338;117346;117375;117430;117431;117436;117439
v75	103	17334	509811;509812;509852;509854;509863;509869;509872;509873;509874
v76	104	17224	258307;258311;258329;258330;258332;258336
v77	105	17289	428593;428598;428602;428605;428628;428697;428698;428729
v78	105	17347	533180;533183;533184;533190;533191;533238;533272;533377;533379
v79	107	17205	175504;175553;175574;175579;175706;175709;175721;175754;175857;176300;176390;176460
v80	111	17200	150647;150660;150662
v81	115	17321	485142;485144;485150
v82	117	17291	435119;435120;435121;435192;435312;435348;435349;435357;435358
v83	118	17248	345523;345525;345540;345544;345579;345582;345611;345646;345654;345692;345702
v84	119	17291	434341;434347;434409;434410;434425;434429
v85	121	17259	383021;383022
v86	122	17248	343508;343510;343511;343520;343521;343522;343526;343532;343619;343623;343625
v87	123	17167	595;596;676;708;715;725;769;826;883;896;938;1207
v88	125	17196	131468;131485;131519;131529;131540;131541;131545;131586;131588;131589;131594;131665;131681;131684;131689
v89	126	17335	512444;512447;512450;512519
v90	128	17229	276633;276635;276637;276670
v91	129	17211	199937;199948;199968;199986;199988;199990;200029
v92	130	17192	114306;114343;114510;114519;114520
v93	132	17221	242478;242483;242489;242520
v94	132	17240	319253;319255;319271;319272;319277;319280;319281;319293;319294;319297;319363;319364;319371;319375;319378;319384;319387;319390
v95	133	17222	246816;246845;246847;246872;246890;246891;246892;246894;247123
v96	134	17207	184130;184133;184147;184148
v97	134	17229	276850;276851;276854;276855
v98	134	17314	470042;470045;470050;470061;470071;470072;470073
v99	136	17243	329983;329994;329995;330001;330002;330010;330038;330039;330046;330056;330065
v100	137	17310	461842;461849;461977;461980;462079;462846;462945;462958;462975;462987;462998
v101	138	17277	407545;407547;407551;407552;407553;407554;407557
v102	139	17234	295004;295012;295026;295031;295032;295033;295034;295065;295074
v103	140	17181	68168;68218;68219;68253;68254;68314;68317
v104	142	17223	251909;251910;251918
v105	143	17235	298979
v106	144	17226	263678;263681;263755;263826;263839;263840;264161
v107	146	17272	398195;398198;398201;398214;398289
v108	150	17199	145750;145752;145787;145831;145924;145939;146018;146057
