visit_id	revisit_interval	revisit_intention
v0		0
v2		0
v4		0
v8		0
v15		0
v17		0
v20		0
v21		0
v22		0
v23		0
v24		0
v25		0
v26		0
v27		0
v28		0
v29	294.08	1
v30	87.88	1
v31		0
v32		0
v33		0
v38		0
v39		0
v40		0
v41		0
v48		0
v51		0
v52		0
v53		0
v54		0
v55		0
v56		0
v57		0
v58		0
v59		0
v60		0
v61		0
v64		0
v67		0
v68		0
v69		0
v70		0
v72		0
v75		0
v76		0
v77		0
v78		0
v81		0
v83	119.22	1
v85		0
v87	162.0	1
v90	112.06	1
v93	143.9	1
v101	25.78	1
v103		0
v104		0
v105		0
v107		0
v110		0
v112		0
v113		0
v115		0
v116		0
v117		0
v121	125.78	1
v127	90.89	1
v132		0
v133	44.04	1
v134		0
v138		0
v140		0
v141		0
v142		0
v143		0
v144		0
v145		0
v146		0
v147		0
v149		0
v150		0
v151		0
v152		0
v153		0
v154		0
v155	137.04	1
v156		0
v157		0
v158		0
v159		0
v162		0
v167		0
v168		0
v169		0
v170		0
v171		0
v172		0
v173		0
v174		0
v176		0
v178		0
v182		0
v183		0
v184		0
v187		0
v190	99.89	1
v191		0
v192		0
v195		0
v196		0
v197		0
v204		0
v209	107.03	1
v210		0
v211		0
v212		0
v213		0
v216		0
v221	36.1	1
v223	112.67	1
v224	4.84	1
v225		0
v226		0
v227		0
v230		0
v231		0
v232		0
v233		0
v234		0
v238	181.31	1
v241	57.87	1
v242		0
v244		0
v254	30.58	1
v257	12.86	1
v258		0
v259	134.66	1
v265		0
v266		0
v267		0
v269		0
v270		0
v271		0
v276	66.34	1
v277		0
v278		0
v279		0
v281		0
v282		0
v283		0
v284		0
v285		0
v287		0
v288		0
v293	151.07	1
v296	95.11	1
v298		0
v299		0
v300		0
v308	95.14	1
v310		0
v316	115.87	1
v319	76.02	1
v320		0
v321		0
v322		0
v324		0
v325		0
v326		0
v327		0
v329		0
v330		0
v333	88.34	1
v334		0
v335		0
v336		0
v337		0
v338	214.69	1
v341		0
v342		0
v344		0
v348		0
v349		0
v351		0
v352		0
v353		0
v354		0
v360		0
v362		0
v367		0
v368	311.88	1
v377		0
v378		0
v379	141.11	1
v380		0
v386		0
v387	127.93	1
v388	64.75	1
v390		0
v392		0
v394		0
v399	28.24	1
v400		0
v402		0
v404		0
v405	4.59	1
v406	98.69	1
v408	298.0	1
v409		0
v410		0
v411		0
v412		0
v414		0
v417		0
v419	270.17	1
v420	251.93	1
v421		0
v422		0
v423		0
v426		0
v427		0
v429		0
v430		0
v433	99.9	1
v434		0
v435		0
v436		0
v439		0
v442	31.99	1
v443	157.33	1
v444		0
v445		0
v446		0
v447		0
v448		0
v449		0
v450		0
v451		0
v452		0
v453		0
v455	210.84	1
v456		0
v457		0
v458		0
v459		0
v460		0
v461		0
v462		0
v463		0
v466		0
v467		0
v469	118.15	1
v470	182.21	1
v472		0
v473		0
v475		0
v476		0
v477		0
v478		0
v480		0
v481		0
v482		0
v486		0
v487		0
v488		0
v489		0
v490		0
v492		0
v493	133.15	1
v494	140.08	1
v495		0
v496		0
v497		0
v499		0
v501		0
v503	53.26	1
v505		0
v506		0
v507		0
v508		0
v509		0
v510		0
v513		0
v514		0
v515		0
v517		0
v519		0
v520		0
v524	213.29	1
v525		0
v526		0
v527		0
v528		0
v529		0
v530		0
v531		0
v532		0
v533		0
v534	97.27	1
v536		0
v537		0
v538		0
v539		0
v540		0
v541		0
v542		0
v543		0
v544		0
v545		0
v546		0
v548		0
v551		0
v552		0
v553		0
v555	7.98	1
v556		0
v557		0
v562	126.16	1
v565		0
v566		0
v567		0
v568		0
v569	252.05	1
v570		0
v572		0
v573		0
v574	161.06	1
v576		0
v577		0
v578		0
v579		0
v580		0
v582		0
v583		0
v585		0
v587		0
v588		0
v589		0
v590		0
v592		0
v593		0
v594	235.99	1
v596	21.92	1
v597		0
v598		0
v599		0
v601	79.05	1
v602		0
v603		0
v604		0
v605		0
v606		0
v609	36.75	1
v610		0
v611	135.12	1
v612		0
v614		0
v615		0
v618	98.17	1
v619		0
v620		0
v621		0
v622		0
v623		0
v624		0
v628	151.19	1
v631	164.78	1
v633	209.02	1
v635		0
v636		0
v637		0
v639	163.31	1
v643	102.67	1
v644		0
v645		0
v646		0
v647		0
v648	46.35	1
v649		0
v650		0
v651		0
v652		0
v654		0
v658		0
v659		0
v662		0
v664		0
v667	171.99	1
v668		0
v669		0
v670		0
v671		0
v672		0
v675		0
v680		0
v682	264.13	1
v683		0
v684		0
v685		0
v686		0
v687		0
v688		0
v689		0
v690		0
v692		0
v695		0
v699		0
v700		0
v702		0
v703		0
v704		0
v705		0
v706		0
v708	122.11	1
v709		0
v710		0
v711		0
v712		0
v714		0
v715		0
v716		0
v717		0
v718		0
v719		0
v721		0
v722		0
v723		0
v725	113.0	1
v726		0
v729		0
v730		0
v731		0
v732		0
