visit_id	revisit_interval	revisit_intention
v0		0
v1	178.33	1
v2		0
v3	3.19	1
v4		0
v5	115.03	1
v6	22.62	1
v7	11.09	1
v8		0
v9	2.27	1
v10	14.74	1
v11	3.26	1
v12	55.85	1
v13	15.04	1
v14	47.1	1
v15		0
v16	112.95	1
v17		0
v18	2.15	1
v19	12.58	1
v20		0
v21		0
v22		0
v23		0
v24		0
v25		0
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v32		0
v33		0
v34	0.53	1
v35	37.05	1
v36	27.71	1
v37	32.8	1
v38		0
v39		0
v40		0
v41		0
v42	37.97	1
v43	4.86	1
v44	31.28	1
v45	53.73	1
v46	3.07	1
v47	31.96	1
v48		0
v49	38.74	1
v50	1.68	1
v51		0
v52		0
v53		0
v54		0
v55		0
v56		0
v57		0
v58		0
v59		0
v60		0
v61		0
v62	1.95	1
v63	22.17	1
v64		0
v65	28.53	1
v66	8.43	1
v67		0
v68		0
v69		0
v70		0
v71	2.84	1
v72		0
v73	7.91	1
v74	1.01	1
v75		0
v76		0
v77		0
v78		0
v79	8.73	1
v80	169.0	1
v81		0
v82	52.64	1
v83		0
v84	2.93	1
v85		0
v86	51.01	1
v87		0
v88	0.83	1
v89	6.22	1
v90		0
v91	74.67	1
v92	27.41	1
v93		0
v94	20.8	1
v95	20.05	1
v96	19.99	1
v97	9.28	1
v98	9.67	1
v99	4.04	1
v100	27.17	1
v101		0
v102	1.95	1
v103		0
v104		0
v105		0
v106	100.95	1
v107		0
v108	82.19	1
v109	43.19	1
v110		0
v111	1.13	1
v112		0
v113		0
v114	0.67	1
v115		0
v116		0
v117		0
v118	59.12	1
v119	11.6	1
v120	10.08	1
v121		0
v122	8.71	1
v123	49.34	1
v124	6.78	1
v125	44.02	1
v126	75.07	1
v127		0
v128	1.5	1
v129	17.5	1
v130	52.0	1
v131	30.62	1
v132		0
v133		0
v134		0
v135	2.79	1
v136	66.08	1
v137	12.14	1
v138		0
v139	3.07	1
v140		0
v141		0
v142		0
v143		0
v144		0
v145		0
v146		0
v147		0
v148	1.77	1
v149		0
v150		0
v151		0
v152		0
v153		0
v154		0
v155		0
v156		0
v157		0
v158		0
v159		0
v160	15.87	1
v161	8.08	1
v162		0
v163	5.65	1
v164	5.95	1
v165	15.4	1
v166	3.1	1
v167		0
v168		0
v169		0
v170		0
v171		0
v172		0
v173		0
v174		0
v175	89.89	1
v176		0
v177	103.22	1
v178		0
v179	159.62	1
v180	3.02	1
v181	23.01	1
v182		0
v183		0
v184		0
v185	47.7	1
v186	12.28	1
v187		0
v188	23.13	1
v189	35.06	1
v190		0
v191		0
v192		0
v193	0.89	1
v194	54.77	1
v195		0
v196		0
v197		0
v198	6.18	1
v199	145.87	1
v200	5.21	1
v201	2.07	1
v202	9.79	1
v203	16.26	1
v204		0
v205	17.36	1
v206	45.13	1
v207	54.83	1
v208	49.73	1
v209		0
v210		0
v211		0
v212		0
v213		0
v214	19.65	1
v215	39.38	1
v216		0
v217	10.86	1
v218	48.07	1
v219	57.26	1
v220	30.62	1
v221		0
v222	120.9	1
v223		0
v224		0
v225		0
v226		0
v227		0
v228	37.99	1
v229	113.04	1
v230		0
v231		0
v232		0
v233		0
v234		0
v235	1.02	1
v236	30.85	1
v237	4.82	1
v238		0
v239	28.92	1
v240	32.26	1
v241		0
v242		0
v243	0.98	1
v244		0
v245	0.8	1
v246	1.19	1
v247	1.78	1
v248	27.06	1
v249	80.36	1
v250	0.68	1
v251	0.38	1
v252	113.58	1
v253	3.24	1
v254		0
v255	4.84	1
v256	197.25	1
v257		0
v258		0
v259		0
v260	73.33	1
v261	20.87	1
v262	11.7	1
v263	0.97	1
v264	20.87	1
v265		0
v266		0
v267		0
v268	57.09	1
v269		0
v270		0
v271		0
v272	35.93	1
v273	2.79	1
v274	24.31	1
v275	115.66	1
v276		0
v277		0
v278		0
v279		0
v280	32.96	1
v281		0
v282		0
v283		0
v284		0
v285		0
v286	6.09	1
v287		0
v288		0
v289	11.76	1
v290	67.4	1
v291	2.53	1
v292	13.19	1
v293		0
v294	8.13	1
v295	156.96	1
v296		0
v297	22.0	1
v298		0
v299		0
v300		0
v301	1.28	1
v302	0.8	1
v303	44.57	1
v304	1.19	1
v305	1.14	1
v306	34.58	1
v307	2.13	1
v308		0
v309	45.08	1
v310		0
v311	51.27	1
v312	86.82	1
v313	43.72	1
v314	11.0	1
v315	16.32	1
v316		0
v317	73.11	1
v318	1.78	1
v319		0
v320		0
v321		0
v322		0
v323	119.37	1
v324		0
v325		0
v326		0
v327		0
v328	20.09	1
v329		0
v330		0
v331	107.67	1
v332	1.96	1
v333		0
v334		0
v335		0
v336		0
v337		0
v338		0
v339	3.09	1
v340	68.87	1
v341		0
v342		0
v343	0.92	1
v344		0
v345	0.96	1
v346	68.87	1
v347	31.17	1
v348		0
v349		0
v350	62.76	1
v351		0
v352		0
v353		0
v354		0
v355	39.09	1
v356	4.09	1
v357	36.85	1
v358	46.18	1
v359	18.62	1
v360		0
v361	1.27	1
v362		0
v363	9.03	1
v364	1.95	1
v365	32.62	1
v366	32.39	1
v367		0
v368		0
v369	14.98	1
v370	3.1	1
v371	2.87	1
v372	78.16	1
v373	64.15	1
v374	33.85	1
v375	8.17	1
v376	17.03	1
v377		0
v378		0
v379		0
v380		0
v381	1.1	1
v382	26.94	1
v383	17.06	1
v384	15.97	1
