visit_id	wifi_id	date	indices
v0	1	17312	598159;598160;598162
v1	2	17207	193495;193496;193499;193504
v2	2	17385	831173;831175;831176;831178
v3	3	17388	838984;838985;838986;838991;839006;839034;839043;839045;839048;839099
v4	3	17391	851867;851883
v5	4	17178	56181;56182;56188;56189;56191;56192;56237;56244;56245;56254;56256;56295;56302;56304;59842;59844;59845;59846;59853;59864
v6	4	17293	546124
v7	4	17316	614174
v8	4	17327	647611;647613
v9	5	17176	47630;47631;47632;47635;47641;47645;47649;47650;47651;47653;47655
v10	5	17178	58880;58881;58882;58884;58885;58886;58891;58892;58893;58894;58895
v11	5	17193	124566;124568;124569;124572;124573;124611;124612;124613;125408;125409;125410;125412;125416;125430
v12	5	17196	142796;142797;142799;142801;142807;142811
v13	5	17252	400372;400373;400374;400375;400390;400391
v14	5	17267	456752;456753;456757
v15	5	17314	609745;609746;609748;609751
v16	6	17290	535714;535726;535728;535733;535740;535743;535750;535752;535753;535754;535755
v17	6	17403	895706
v18	7	17259	428086;428088;428091;428103
v19	7	17261	436358;436361
v20	7	17274	482155;482160;482166;482167;482170;482171;482175;482176;482250;482255;482258;482259;482260
v21	8	17170	19180;19183;19185;19193;19213;19218
v22	9	17362	757627;757629;757638;757661;757662;757665;757667;757688
v23	11	17192	121897;121898;121904;121907;121927;121939;121940;121941;121944;121946
v24	12	17196	142587;142597;142620;142626;142638;142666;142667;142669;142670;142678;142748;142749
v25	14	17268	459206;459217;459226;459238;459240;459302;459305;459306;459314;459320
v26	15	17220	257948;257950;257951;257952;257957;257964
v27	16	17217	245660;245665;245670;245693;245695;245721
v28	17	17247	377448;377449;377450;377452;377455;377463
v29	18	17204	177837;177838;177839;177840;177841;177842
v30	19	17378	809073;809075;809089;809092
v31	21	17223	276185;276186;276187;276192
v32	24	17295	548767;548769;548774;548851
v33	26	17194	129872;129873;129877;129881;129882;129885;129888;129895;129902;129903;129922;130015
v34	27	17169	15399;15402;15404;15410;15411;15413;15416;15436
v35	27	17170	15918;15919;15930;15933;15939;15977;15978;15995;16026;16027;16028;16030;16031;19387;19399;19402;19404;19408
v36	27	17207	197678;197679;197681;197682;197686
v37	27	17235	329226;329227;329228;329230;329233;329245
v38	27	17268	458152;458153;458155;458156;458160;458163
v39	28	17256	414326;414357;414419
v40	29	17402	890847;890848;890850;890852;890865;891091;891092;891094
v41	30	17257	419758;419767
v42	31	17172	25582;25583;25584;25585;25586;25587;25609;25611;25613;25614;25620
v43	31	17210	209509;209510;209515;209523;209528;209542;210550;210556;210558;210559;210578;210589;210591;210592;210601;210602;210723;210732
v44	31	17215	232571;232572;232578;232580;232597
v45	31	17246	376188;376192;376194;376195;376206
v46	31	17300	561284;561286;561287;561288;561289
v47	31	17303	569849;569852;569853;569867;569871
v48	31	17335	675142;675144
v49	32	17181	74056;74059;74068;74071;74075;74088;74093;74099;74101
v50	32	17220	257744;257745;257746;257747;257756;257759;257765;257767;257768;257770;257771;260290;260292;260294;260326;260332;260333;260346;260347;260349
v51	32	17222	268052
v52	33	17285	519193;519194;519196;519197;519212
v53	34	17221	264393;264395;264397;264398;264437;264438;264450;264461;264462;264463;264538;264546;264549;264605;264683;264688
v54	35	17359	749350;749354;749355;749356;749380;749386
v55	37	17171	22638;22639;22641;22643;22644;22651;22652
v56	38	17277	494396;494397;494399;494400;494401;494402
v57	39	17292	543704;543705;543707;543709;543710;543711;543715;543716;543717;543718
v58	40	17386	832952;832953;832955;832956;832957;832968
v59	42	17232	316812;316815;316816;316817;316833
v60	43	17337	681906;681909;681910;681911;681912;681916;681922;681924;681925
v61	44	17196	142659;142661;142683;142716;142718;142719;142727;142746;142750;142758;142832;142837;142839;142871;142872
v62	45	17170	16565;16567;16569;16570;16577;16617
v63	45	17172	25192;25193;25194;25195;25196;25197
v64	45	17194	129514;129519;129524;129529;129536;129541
v65	46	17251	397729;397732;397733;397734
v66	46	17280	502045;502048
v67	46	17288	529122;529123;529124;529125;529127;529130
v68	48	17293	546235;546236;546237;546239
v69	49	17249	384935;384936;384937;384948
v70	51	17332	664169;664171;664172;664187;664196;664452;664604
v71	52	17331	661550;661551;661561;661563;661566
v72	52	17334	670647;670649
v73	53	17239	347722;347723;347724;347735;347743;347747;347748;347771
v74	53	17247	377934;377935;377936;377938;377939;377942
v75	53	17248	381789;381791;381793;381794;381803
v76	54	17208	200391;200392;200393;200394;200398;200402;200419;200423;200428;200435;200447;200490
v77	55	17370	783802;783803;783805;783811;783828;783847;783877;783879;783880;783886;783888
v78	57	17373	792929;792932;792933;792935;792936;792939;793074
v79	58	17224	283618;283619;283622;283629;283631;283634;283635;283649;283650
v80	58	17233	320009;320018;320048;320050;320053;320058;320103;320109;320111;320112;320113;320114
v81	58	17402	891578;891580;891581;891585;891591;891597;891610;891613;891616;891622
v82	59	17257	419996;419999;420003
v83	59	17310	591385;591386
v84	60	17185	94301;94302;94309;94310;94313;94384;94395;94402;94407;94433;94471
v85	60	17188	109144;109159;109160;109189
v86	62	17212	220346;220347
v87	62	17263	442573;442578;442582;442587
v88	64	17321	630080;630082;630083;630086;630088;630093;630120;630129;630132;630133;630139
v89	64	17322	632569;632573;632593;632594
v90	64	17328	653013;653278;653280
v91	65	17172	29059;29060;29061;29062;29063;29064;29071;29072;29076;29132
v92	65	17247	377568
v93	65	17274	485241;485242;485243;485244;485245;485248;485259;485265;485266;485267
v94	66	17292	542501;542502
v95	66	17313	601219;601221;601223;601227;601229;601243
v96	66	17333	666569;666895;666896;666897;666898;666902;666903;666905;666907;666908;666910
v97	66	17353	729499;729500;729501;729502;729506;729515
v98	66	17362	759000;759001;759017;759029;759060;759061;759068;759123;759135;759143
v99	66	17372	789155;789156
v100	66	17376	800836;800837;800838;800839;800840;800842;800846;800857
v101	66	17403	896114;896116;896118;896119;896120;896121;896122;896124;896125
v102	67	17186	97346;97347;97349;97353;97354;97355;97420;97436;97438;97457;97458;97513;97514;97516;97522;97792;97794
v103	67	17188	108299;108304;108305;108319;108324;108327;108328;108330;108384;108385;108394
v104	68	17190	115269;115271;115275;115277;115279;115285;115290;115291;115296
v105	69	17172	24721;24733;24734;24735;24738;24760;24762;24764;24765;24789
v106	71	17235	330074;330097
v107	71	17336	678887;678889;678890;678899;678900;678901
v108	74	17169	11493;11497;11498;11502;11503;11506;11510;11511;11512
v109	74	17251	395149;395150;395152;395153;395159;395184;395191;395192;395193;395195;395213
v110	74	17294	547302;547305;547308
v111	75	17197	146131;146138;146156;146157
v112	75	17198	152500;152502;152503;152597;152601;152605
v113	76	17321	629866;629870;629872;629874;629877;629878;629886;629889;629890;629891
v114	77	17183	84970;84972;84973;84974;84978;84980;84986;84994;84995;85000;85002
v115	77	17184	86438;86444;87212;87223;87287;87334
