visit_id	revisit_interval	revisit_intention
v0	171.48	1
v1	135.24	1
v4		0
v5		0
v7		0
v10	130.12	1
v13	139.67	1
v14		0
v15		0
v16		0
v17		0
v20	126.9	1
v21		0
v22		0
v23		0
v24		0
v25		0
v26		0
v27		0
v28		0
v30		0
v33		0
v34		0
v35		0
v36		0
v40		0
v41		0
v42		0
v44		0
v45		0
v46		0
v48		0
v49		0
v50		0
v52		0
v54		0
v55		0
v56	48.19	1
v57		0
v60		0
v62	167.14	1
v64		0
v66	213.98	1
v67		0
v68		0
v70	111.28	1
v71		0
v72		0
v73		0
v74		0
v75		0
v76		0
v77		0
v80	136.52	1
v82	238.86	1
v83		0
v84		0
v85		0
v86		0
v87	310.05	1
v89		0
v90		0
v91		0
v92		0
v93		0
v94		0
v95		0
v96		0
v98		0
v99		0
v100		0
v101	90.98	1
v102		0
v103		0
v104		0
v105		0
v108		0
v109		0
v110		0
v111		0
v112		0
v113		0
v116	172.97	1
v117		0
v118		0
v119		0
v120		0
v121		0
v122		0
v123		0
v124	283.12	1
v125		0
v126		0
v127	217.56	1
v128		0
v132		0
v133		0
v134		0
v135	182.87	1
v137	144.16	1
v138	167.12	1
v139		0
v140		0
v141		0
v142		0
v143	214.14	1
v144		0
v145		0
v147	56.9	1
v148		0
v152	79.94	1
v153		0
v154		0
v155		0
v156		0
v157		0
v159	163.98	1
v160	273.84	1
v161		0
v162		0
v163		0
v166	85.26	1
v167		0
v168		0
v169		0
v170		0
v172	70.21	1
v173		0
v174		0
v175		0
v180	110.02	1
v182		0
v185	102.06	1
v187		0
v191	118.0	1
v192		0
v195		0
v197		0
v198		0
v200		0
v201		0
v207	65.06	1
v208		0
v209		0
v211		0
v213	127.88	1
v214	195.94	1
v215		0
v217		0
v219		0
v220		0
v221		0
v222		0
v223	24.76	1
v226	13.28	1
v227	318.86	1
v228		0
v229	128.83	1
v235	122.72	1
v238	228.07	1
v239		0
v240		0
v241		0
v242		0
v243	30.89	1
v244		0
v245		0
v246		0
v249		0
v250	244.14	1
v251		0
v252		0
v253		0
v254		0
v255		0
v256		0
v257		0
v258		0
v259		0
v261		0
v263		0
v265		0
v266		0
v267		0
v268		0
v269		0
v270	84.57	1
v272		0
v273		0
v274		0
v275		0
v276		0
v277		0
v280	225.21	1
v281		0
v282	180.07	1
v284		0
v285		0
v286		0
v287	138.94	1
v288		0
v290		0
v291		0
v292		0
v293		0
v294		0
v296	245.18	1
v299		0
v300		0
v301		0
v303		0
v305	176.22	1
v306		0
v307		0
v308		0
v309		0
v310		0
v312	246.24	1
v313		0
v314		0
v315		0
v316		0
v317		0
v318		0
v319		0
v321	76.09	1
v322	100.96	1
v323		0
v324		0
v325		0
v332		0
v333		0
v334		0
v341	33.16	1
v346	44.81	1
v347		0
v348		0
v349		0
v351		0
v357	23.31	1
v358	108.06	1
v361		0
v362		0
v365	107.98	1
v366		0
v367		0
v368		0
v369		0
v373	121.94	1
v375		0
v376		0
v377		0
v378	162.93	1
v380		0
v381		0
v382		0
v385		0
v387		0
v389		0
v393		0
v394		0
v395	232.18	1
v396		0
v397		0
v398		0
v399		0
v400	240.91	1
v401		0
v402		0
v403		0
v405		0
v406		0
v407		0
v409		0
v410		0
v411		0
v414	135.58	1
v415	114.01	1
v416		0
v417		0
v420	39.05	1
v421		0
v422		0
v423		0
v424		0
v426		0
v427		0
v428		0
v429		0
v430		0
v431		0
v432		0
v434		0
v435	333.96	1
v436		0
v437	197.93	1
v438		0
v439		0
v444	74.83	1
v445		0
v447		0
v448		0
v449		0
v450		0
v451		0
v453		0
v459	137.27	1
v463	58.07	1
v464	117.96	1
v465		0
v466		0
v470		0
v471		0
v472	141.82	1
v473		0
v474		0
v476	34.76	1
v477		0
v478		0
v479		0
v480		0
v481		0
v482		0
v483		0
v486	245.89	1
v487		0
v488		0
v489	190.01	1
v492	132.24	1
v493		0
v494		0
v495		0
v496	53.96	1
v497		0
v498		0
v499		0
v500		0
v501		0
v504	278.94	1
v506		0
v507		0
v508		0
v510		0
v512		0
v513	300.12	1
v514		0
v515		0
v516		0
v519	103.99	1
v520		0
v521	279.3	1
v523		0
v524		0
v525		0
v527		0
v528	356.36	1
v529		0
v530		0
v531		0
v535		0
v536		0
v539		0
v540	252.94	1
v541		0
v542		0
v543		0
v547	27.19	1
v548		0
v549		0
v550		0
v553	153.03	1
v554		0
v555		0
v556		0
v557		0
v558		0
v559		0
v564		0
v565		0
v566		0
v568		0
v572	293.29	1
v573	68.19	1
v577	165.06	1
v578		0
v579		0
v580		0
v581		0
v583		0
v584		0
v585		0
v586	271.79	1
v587		0
v588		0
v591		0
v592		0
v593		0
v594		0
v595	314.27	1
v596	180.11	1
v597		0
v598		0
v599		0
v600		0
v601		0
v605	36.04	1
