visit_id	revisit_interval	revisit_intention
v0		0
v1		0
v2	2.12	1
v3	0.99	1
v4		0
v5		0
v6	5.14	1
v7		0
v8	0.99	1
v9	0.61	1
v10		0
v11	22.84	1
v12	34.05	1
v13		0
v14		0
v15		0
v16		0
v17		0
v18	2.03	1
v19	34.1	1
v20		0
v21		0
v22		0
v23		0
v24		0
v25		0
v26		0
v27		0
v28		0
v29	1.07	1
v30		0
v31	5.8	1
v32	28.88	1
v33		0
v34		0
v35		0
v36		0
v37	14.66	1
v38	21.37	1
v39	7.92	1
v40		0
v41		0
v42		0
v43	153.36	1
v44		0
v45		0
v46		0
v47	3.1	1
v48		0
v49		0
v50		0
v51	5.09	1
v52		0
v53	2.0	1
v54		0
v55		0
v56		0
v57		0
v58	19.94	1
v59	28.72	1
v60		0
v61	51.17	1
v62		0
v63	4.02	1
v64		0
v65	95.04	1
v66		0
v67		0
v68		0
v69	42.05	1
v70		0
v71		0
v72		0
v73		0
v74		0
v75		0
v76		0
v77		0
v78	5.4	1
v79	10.04	1
v80		0
v81	18.22	1
v82		0
v83		0
v84		0
v85		0
v86		0
v87		0
v88	35.41	1
v89		0
v90		0
v91		0
v92		0
v93		0
v94		0
v95		0
v96		0
v97	3.11	1
v98		0
v99		0
v100		0
v101		0
v102		0
v103		0
v104		0
v105		0
v106	0.96	1
v107	5.97	1
v108		0
v109		0
v110		0
v111		0
v112		0
v113		0
v114	28.32	1
v115	1.0	1
v116		0
v117		0
v118		0
v119		0
v120		0
v121		0
v122		0
v123		0
v124		0
v125		0
v126		0
v127		0
v128		0
v129	10.02	1
v130	43.56	1
v131	33.93	1
v132		0
v133		0
v134		0
v135		0
v136	134.93	1
v137		0
v138		0
v139		0
v140		0
v141		0
v142		0
v143		0
v144		0
v145		0
v146	122.98	1
v147		0
v148		0
v149	94.79	1
v150	17.35	1
v151	7.93	1
v152		0
v153		0
v154		0
v155		0
v156		0
v157		0
v158	25.96	1
v159		0
v160		0
v161		0
v162		0
v163		0
v164	2.05	1
v165	1.69	1
v166		0
v167		0
v168		0
v169		0
v170		0
v171	132.24	1
v172		0
v173		0
v174		0
v175		0
v176	20.38	1
v177	12.66	1
v178	28.29	1
v179	4.04	1
v180		0
v181	5.73	1
v182		0
v183	68.06	1
v184	6.95	1
v185		0
v186	140.99	1
v187		0
v188	47.3	1
v189	29.91	1
v190	53.96	1
v191		0
v192		0
v193	2.21	1
v194	26.63	1
v195		0
v196	0.98	1
v197		0
v198		0
v199	2.29	1
v200		0
v201		0
v202	31.8	1
v203	5.21	1
v204	6.96	1
v205	25.26	1
v206	32.53	1
v207		0
v208		0
v209		0
v210	48.67	1
v211		0
v212	13.46	1
v213		0
v214		0
v215		0
v216	0.66	1
v217		0
v218	57.76	1
v219		0
v220		0
v221		0
v222		0
v223		0
v224	11.99	1
v225	8.49	1
v226		0
v227		0
v228		0
v229		0
v230	7.83	1
v231	14.96	1
v232	20.31	1
v233	8.7	1
v234	13.23	1
v235		0
v236	39.98	1
v237	1.0	1
v238		0
v239		0
v240		0
v241		0
v242		0
v243		0
v244		0
v245		0
v246		0
v247	45.89	1
v248	4.12	1
v249		0
v250		0
v251		0
v252		0
v253		0
v254		0
v255		0
v256		0
v257		0
v258		0
v259		0
v260	24.04	1
v261		0
v262	1.99	1
v263		0
v264	1.98	1
v265		0
v266		0
v267		0
v268		0
v269		0
v270		0
v271	56.08	1
v272		0
v273		0
v274		0
v275		0
v276		0
v277		0
v278	2.89	1
v279	1.14	1
v280		0
v281		0
v282		0
v283	1.25	1
v284		0
v285		0
v286		0
v287		0
v288		0
v289	22.9	1
v290		0
v291		0
v292		0
v293		0
v294		0
v295	88.88	1
v296		0
v297	0.92	1
v298	3.63	1
v299		0
v300		0
v301		0
