visit_id	wifi_id	date	indices
v0	2	17232	314766;314776
v1	3	17229	301897;301898;301906;301907
v2	6	17195	134064;134067;134069;134070;134072;134077;134080;134081
v3	6	17197	146394;146395;146396;146397;146404;146405;146419;146421;146424;146573;146574;146576;146580;146583;146592
v4	6	17198	151317;151319;151322;151327;151330;151344;151353;151374;151413
v5	8	17285	520106;520185;520246
v6	9	17242	361530;361532;361534
v7	9	17247	381372;381373;381374;381400
v8	10	17250	395564;395566;395583;395629;395633
v9	10	17251	400222;400236;400279;400280;400297
v10	10	17252	401196;401220;401221
v11	11	17168	10826;10827;10828
v12	11	17191	119039;119042;119044
v13	11	17225	286093;286113;286115;286116;286117;286123;286130;286131;286132;286135;286136
v14	12	17218	251395;251401;251402;251403;251416;251424;251425;251430;251440;251473;251474
v15	14	17177	55920;55930;55932;55933
v16	15	17175	43345;43349;43350;43352;43353;43354;43363;43364;43368;43371;43372
v17	16	17215	233509;233511;233513;233520;233522;233525;233527;233528;233543;233544;233613;233614
v18	17	17248	383096;383097;383098;383103;383106;383107;383122;383140;383141;383142;383145
v19	17	17250	391573;391576
v20	17	17284	514891
v21	18	17247	381243;381250;381252;381261;381312;381321
v22	19	17272	480457;480458;480460;480461;480462;480463;480465;480471;480483
v23	20	17337	681944;681945;681947;681952;681956
v24	22	17257	422551;422556;422557;422558;422586;422588;422597;422600;422616
v25	24	17190	115427;115429;115430;115433;115435;115436;115438;115440;115455
v26	25	17169	14487;14490
v27	26	17173	30656;30661;30677;30688;30689;30690;30691;30810;30813;30816;30818
v28	27	17223	275816;275821;275822;275846;275856;275865
v29	30	17329	655256
v30	30	17330	658588
v31	31	17266	457274
v32	31	17272	479123;479127;479143;479144;479146;479147;479157;479169;479171;479193;479195
v33	31	17301	565849;565851;565853;565855;565857;565859
v34	33	17327	648953;648956;648959;648968;648970;648973;648975
v35	34	17266	456351;456354;456356;456357;456361
v36	35	17268	463885;463886;463915;463921
v37	38	17233	322108;322124;322125;322129;322142;322143;322236;322240;322243;322246;322249;322410
v38	38	17248	383238;383243;383245;383246;383248;383255;383256;383264;383270;383271;383273
v39	38	17269	467529;467530;467532
v40	38	17277	495986;495989;495990;495991;495993;495994
v41	39	17202	167648;167649;167668;167679;167682;167689;167690;167719;167720;167721;167722;167734
v42	40	17209	202275;202282;202283;202294;202308;202310;202311
v43	43	17193	123849;123850;123851;123854;123855;123857
v44	43	17346	710769;710770
v45	44	17289	531346;531347;531348;531349;531350;531351;531391;531393;531394;532460;532463;532469;532470;532479;532480
v46	45	17187	99770;99772;99773;99783;99785;99796;99799;99803
v47	46	17211	214979;214981;214987;214989
v48	46	17214	230059;230060;230061;230063;230071;230083
v49	49	17249	387558;387560;387561;387567;387576;387589;387590
v50	51	17203	173184;173188;173189;173192;173195;173269;175608;175610;175611
v51	53	17180	68607;68608;68609;68612;68641;68717;68719;68720;68721;68726;68743
v52	53	17185	93188;93190;93191;93192;93197;93214;93215;93238
v53	55	17229	302057;302059;302085;302110
v54	55	17231	311611;311622
v55	56	17196	137412;137414;137422;137444;137455;137471;137474;137497
v56	57	17339	686147;686150;686153
v57	58	17179	64926;64985;64987
v58	60	17176	51463;51465;51466;51467;51470;51471;51489;51490;51507;51510
v59	60	17196	140964
v60	60	17225	284070;284073;284074;284075;284076;284090;284096;284103;284119;284120;284122
v61	61	17177	52501;52503
v62	61	17228	297592;297597;297611;297622;297631;297688;297689;297750;297781;297792;297817;297823;297846;297874;297875;298014
v63	63	17318	622585;622586
v64	63	17322	635569;635570;635572;635574;635575;635580;635590;635591;635592
v65	66	17206	187065
v66	66	17301	565394;566233
v67	67	17215	231796;231798;231801;231802;231807;231813;231821;234494;234496;234500;234501;234506
v68	68	17311	598094;598096;598105;598106;598131;598154;598236
v69	69	17253	404659;404667;404679;404680;404681;404690;404692;404700;404701;404702;404703
v70	69	17295	549453
v71	72	17208	199465;199473;199476;199500;199501;199503;199539;199555;199573
v72	73	17212	217291;217294;217295;217297;217298;217304;217306;217307;217400;217401;217402;217404;217411;217412
v73	74	17222	268718;268726;268731;268732;268743;268744
v74	75	17268	461677;461679;461680;461684;461692;461693;461720;461721;461728;461747;461780
v75	80	17330	658633;658634;658636;658644;658646;658650;658659
v76	81	17183	82004;82012;82015;82145
v77	82	17207	194172;194175;194176;194184;194185;194236;194238;194239;194271
v78	84	17328	651470;651471;651472;651473;651474;651475;651483;651484;651485;651486;651487
v79	84	17333	668256;668257;668258;668259;668269;668270
v80	84	17343	701983;701984;701986;701988;701991;701995
v81	87	17207	193510;193511;193512;193513
v82	87	17225	286473;286474;286475;286476;286477;286481;286489;286492;286497
v83	88	17285	519227;519228;519232;519233;519238;519240
v84	89	17315	613054;613056;613073;613076;613077;613085;613086;613090;613111
v85	90	17309	590247;590248;590263;590267;590270;590271;590280
v86	94	17236	337581;337582;337583;337587;337590;337591
v87	95	17214	228720;228722;228723;228730;228747;228772;228787;228788;228789
v88	96	17223	273483;273484;273486;273489;273492;273493
v89	96	17258	427909;427910;427914;427915;427918;427922
v90	100	17185	90200;90201
v91	101	17203	174344;174345;174347;174354;174363;174370;174405;174407;174412;174413;174415
v92	102	17306	579834;579846;579847;579848
v93	103	17286	523727;523728;523731;523733;523738;523740;523788;523789;523790
v94	104	17168	8982;8983;8984;9004
v95	105	17189	109978;109984;109987;109993;110022;110027;110032;110053;110055;110058;110132;110134;110143;110144;110153;110175
v96	106	17274	486416;486438;486444;486455;486472;486473
v97	107	17208	199490;199492;199493;199511;199520;199529
v98	107	17211	215071;215075;215090;215091;215100
v99	108	17318	622502;622510;622511;622513;622514;622541;622542;622543;622545
v100	109	17177	53063;53069;53132
v101	111	17295	549635
v102	114	17176	47383;47384;47392;47398;47401;47408;47424;47428;47429;47431;47432;47462;47463
v103	115	17229	304621;304643;304645;304664;304689;304712
v104	118	17303	572037;572039;572040;572043;572045;572052;572068;572070;572071;572073;572074
v105	119	17307	585790;585792;585793;585804;585811;585814;585817;585859;585860;585861;585862
v106	120	17189	110529;110532;110533;110534;110676;110727;110728;110729;110730;110753
v107	120	17190	114713;114715;114817;114862;114952;114957;114958;114960
v108	120	17196	138427;138486;138487;138490;138491;138614;138616;138670
v109	121	17181	74792;74794;74795;74805
v110	122	17214	226430;226436;226437;226438;226448;226449;226456;226491;226492;226494;226508;226528;226529;226530;226531
v111	124	17308	589639;589640;589649;589650
v112	125	17216	238500;238501;238505
v113	127	17267	458206;458207;458208;458231;458244;458245
v114	128	17247	379380;379381;379382;379383
