visit_id	revisit_interval	revisit_intention
v1		0
v2		0
v3		0
v5		0
v6		0
v7		0
v8		0
v9		0
v10		0
v13		0
v16		0
v18	96.94	1
v19		0
v20		0
v22		0
v23		0
v24		0
v25		0
v26		0
v27		0
v28		0
v29		0
v33		0
v34		0
v36		0
v37		0
v38		0
v39		0
v41		0
v43		0
v45		0
v47		0
v48		0
v50		0
v51		0
v52		0
v61	68.2	1
v64		0
v66		0
v67		0
v68		0
v69		0
v70		0
v71		0
v77		0
v80	112.72	1
v81		0
v83		0
v84		0
v85		0
v87		0
v89		0
v91		0
v92		0
v93		0
v94		0
v95		0
v97		0
v98		0
v99	47.91	1
v100		0
v101		0
v102		0
v103		0
v105	29.99	1
v106		0
v115	20.33	1
v117	51.1	1
v120		0
v121		0
v124		0
v126		0
v127		0
v128		0
v129		0
v131		0
v132		0
v133		0
v135		0
v138		0
v142		0
v147	63.92	1
v148		0
v150		0
v151		0
v152		0
v154		0
v155		0
v156		0
v160		0
v161		0
v163		0
v165		0
v168		0
v175		0
v181		0
v183	87.09	1
v188		0
v199		0
v200		0
v201		0
v202		0
v240	62.89	1
v241		0
v242		0
v243		0
v244		0
v245		0
v252		0
v253		0
v255		0
v256		0
v258		0
v259		0
v260		0
v261		0
v263		0
v264		0
v266		0
v267		0
v270	141.07	1
v272		0
v276	123.73	1
v280		0
v285	21.01	1
v289		0
v291		0
v293		0
v294		0
v296		0
v297		0
v303		0
v304		0
v307		0
v308		0
v310		0
v312		0
v313	43.92	1
v319	25.32	1
v322		0
v325		0
v326		0
v328		0
v330		0
v331		0
v332		0
v341	20.87	1
v343		0
v350		0
v362	39.81	1
v364		0
v366		0
v368		0
v369		0
v370	35.13	1
v371		0
v372		0
v373		0
v374		0
v377	58.03	1
v378		0
v379		0
v381		0
v392	47.38	1
v394		0
v395		0
v396		0
v397	133.02	1
v398		0
v402	201.74	1
v403		0
v404		0
v406		0
v407		0
v411		0
v412		0
v413		0
v414		0
v420	1.01	1
v421		0
v424		0
v427		0
v430		0
v434		0
v435		0
v437		0
v443		0
v444		0
v445		0
v447		0
v449		0
v450		0
v452		0
v454		0
v457		0
v461		0
v462		0
v463		0
v464		0
v465		0
v466		0
v469		0
v472		0
v474		0
v475		0
v477		0
v478		0
v479		0
v480		0
v486		0
v489		0
v490		0
v491		0
v493		0
v496	162.99	1
v498		0
v499		0
v502	75.84	1
v503		0
v504		0
v505		0
v506		0
v507		0
v509		0
v510	7.18	1
v511		0
v517		0
v519		0
v521		0
v522		0
v524		0
v525		0
v526		0
v527		0
v531		0
v532	50.03	1
v537		0
v538		0
v539		0
v543		0
v544		0
v546		0
v549		0
v550		0
v551		0
v553		0
v554		0
v555		0
v558		0
v564	16.95	1
v566		0
v567		0
v573		0
v577		0
v578		0
v580	43.56	1
v581		0
v582		0
v583		0
v586	136.83	1
v587		0
v590	13.9	1
v602	58.83	1
v604		0
v605		0
v607		0
v608	224.92	1
v609		0
v610		0
v611		0
v612		0
v614		0
v615		0
v617		0
v618	14.77	1
v620		0
v621		0
v622		0
v625		0
v626		0
v627	2.25	1
v628		0
v630	56.82	1
v631		0
v632		0
v633		0
