visit_id	revisit_interval	revisit_intention
v0	1.99	1
v1		0
v2		0
v3		0
v4	12.13	1
v5		0
v6		0
v7		0
v8		0
v9		0
v10		0
v11	1.13	1
v12	0.89	1
v13		0
v14	187.91	1
v15	6.0	1
v16		0
v17	1.04	1
v18		0
v19		0
v20		0
v21	2.07	1
v22		0
v23		0
v24		0
v25		0
v26		0
v27		0
v28		0
v29		0
v30	104.27	1
v31	64.85	1
v32	39.93	1
v33		0
v34		0
v35	102.94	1
v36		0
v37		0
v38		0
v39		0
v40	3.81	1
v41		0
v42	1.08	1
v43		0
v44	74.0	1
v45		0
v46	14.03	1
v47		0
v48		0
v49	1.14	1
v50		0
v51		0
v52		0
v53	55.95	1
v54	6.82	1
v55	2.18	1
v56	7.01	1
v57	18.76	1
v58	2.87	1
v59	28.27	1
v60	7.54	1
v61		0
v62	141.82	1
v63	68.14	1
v64		0
v65	184.79	1
v66		0
v67		0
v68		0
v69		0
v70		0
v71		0
v72	0.95	1
v73	40.34	1
v74	0.7	1
v75	2.26	1
v76	31.0	1
v77		0
v78	27.0	1
v79	3.88	1
v80		0
v81		0
v82	80.1	1
v83		0
v84		0
v85		0
v86	1.08	1
v87		0
v88	104.12	1
v89		0
v90	3.19	1
v91		0
v92		0
v93		0
v94		0
v95		0
v96	164.03	1
v97		0
v98		0
v99		0
v100		0
v101		0
v102		0
v103		0
v104	73.01	1
v105		0
v106		0
v107	19.74	1
v108	26.34	1
v109	0.75	1
v110	51.96	1
v111	19.12	1
v112	15.21	1
v113	23.92	1
v114	10.69	1
v115		0
v116	11.95	1
v117		0
v118	141.06	1
v119	3.92	1
v120		0
v121		0
v122	16.25	1
v123	5.99	1
v124		0
v125	27.96	1
v126		0
v127		0
v128		0
v129		0
v130	3.0	1
v131		0
v132		0
v133		0
v134	2.06	1
v135		0
v136	3.83	1
v137	35.98	1
v138		0
v139	2.05	1
v140	87.74	1
v141	0.99	1
v142		0
v143	23.73	1
v144	43.18	1
v145	19.81	1
v146	24.27	1
v147		0
v148		0
v149	98.01	1
v150		0
v151		0
v152		0
v153	64.0	1
v154		0
v155		0
v156		0
v157	36.1	1
v158	70.68	1
v159	32.41	1
v160		0
v161		0
v162	92.76	1
v163		0
v164	77.01	1
v165		0
v166	92.68	1
v167	69.22	1
v168		0
v169	19.4	1
v170	0.96	1
v171	135.76	1
v172	32.98	1
v173	7.93	1
v174	11.97	1
v175		0
v176	1.04	1
v177	12.1	1
v178	36.79	1
v179	7.08	1
v180	168.99	1
v181		0
v182	170.91	1
v183		0
v184	0.95	1
v185	179.15	1
v186	1.76	1
v187	19.23	1
v188		0
v189	5.85	1
v190	21.08	1
v191	38.77	1
v192	7.01	1
v193	3.18	1
v194	53.87	1
v195	2.07	1
v196	43.77	1
v197	45.21	1
v198	4.85	1
v199		0
v200		0
v201		0
v202		0
v203	2.75	1
v204	0.9	1
v205	5.73	1
v206	0.7	1
v207	5.99	1
v208	0.67	1
v209	5.75	1
v210	0.95	1
v211	5.77	1
v212	0.95	1
v213	5.7	1
v214	0.74	1
v215	5.83	1
v216	0.74	1
v217	5.83	1
v218	0.82	1
v219	5.78	1
v220	0.8	1
v221	5.73	1
v222	0.88	1
v223	5.71	1
v224	0.7	1
v225	5.75	1
v226	0.69	1
v227	5.77	1
v228	0.82	1
v229	6.01	1
v230	0.88	1
v231	12.75	1
