visit_id	revisit_interval	revisit_intention
v0		0
v10		0
v11		0
v12		0
v13		0
v14		0
v16		0
v18	50.95	1
v19	76.54	1
v23	33.22	1
v25		0
v26		0
v27		0
v28	41.21	1
v29		0
v30		0
v31		0
v33		0
v34		0
v37		0
v38	149.81	1
v39		0
v40		0
v41	206.93	1
v42		0
v53	71.1	1
v54		0
v56		0
v57	91.75	1
v59		0
v61		0
v62		0
v64	57.17	1
v65		0
v66		0
v67		0
v68	43.02	1
v69		0
v71		0
v72		0
v74		0
v75		0
v77		0
v78		0
v79		0
v80		0
v81		0
v84	76.75	1
v87		0
v89	61.48	1
v95	16.03	1
v96		0
v97		0
v98		0
v99		0
v101		0
v102		0
v106	32.77	1
v107		0
v110	60.03	1
v111		0
v115		0
v116		0
v117	161.07	1
v119	116.74	1
v120		0
v122		0
v123		0
v125		0
v127		0
v128	170.1	1
v133		0
v136	63.66	1
v137		0
v140		0
v142		0
v143		0
v145	62.01	1
v148		0
v150		0
v151		0
v155		0
v156		0
v157	95.06	1
v160		0
v162		0
v164		0
v165		0
v166		0
v168	46.0	1
v170		0
v171		0
v178		0
v179	6.72	1
v181		0
v182		0
v183		0
v189	90.89	1
v190		0
v191		0
v192		0
v193		0
v195		0
v199		0
v202	134.11	1
v205		0
v206		0
v212	45.26	1
v213		0
v215		0
v218		0
v221	142.22	1
v224		0
v225		0
v227		0
v228	83.99	1
v230		0
v232		0
v234	189.03	1
v239		0
v242	95.37	1
v245		0
v247		0
v250	36.85	1
v251		0
v252		0
v255		0
v256		0
v257		0
v258		0
v259		0
v261		0
v262		0
v263		0
v265		0
v266	23.92	1
v267		0
v268	127.39	1
v269	118.93	1
v270		0
v271		0
v273		0
v275		0
v276		0
v278		0
v279		0
v281		0
v282	121.94	1
v283		0
v284		0
v287		0
v291		0
v293		0
v295		0
v296		0
v298	62.24	1
v299		0
v300		0
v302		0
v303		0
v307		0
v309	175.24	1
v310		0
v312		0
v314		0
v315		0
v316		0
v317		0
v318		0
v321		0
v322		0
v324		0
v325		0
v328	89.0	1
v330		0
v331		0
v334	51.82	1
v337	99.57	1
v338		0
v340		0
v343	48.82	1
v344		0
v346	121.69	1
v347	64.7	1
v348		0
v349		0
v356		0
v357		0
v358		0
v361		0
v364	180.19	1
v369	39.92	1
v372		0
v373		0
v375		0
v376	100.86	1
v380		0
v381		0
v387	94.94	1
v388	82.55	1
v391	48.62	1
v392		0
v393		0
v394		0
v398		0
v400	115.1	1
v401		0
v402		0
v409	45.18	1
v410		0
v411		0
v413		0
v414		0
v415		0
v416		0
v418		0
v419	205.27	1
v420		0
v421		0
v424	251.87	1
v426		0
v427		0
v432		0
v434	38.32	1
v435		0
v436		0
v437		0
v438	147.02	1
v440		0
v441		0
v449	131.7	1
v456		0
v458		0
v459		0
v462		0
v464		0
v468		0
v469		0
v471		0
v472		0
v475	117.96	1
v477		0
v478		0
v479		0
v481		0
v482	85.09	1
v483		0
v484		0
v496	89.36	1
v497	181.87	1
v498		0
v500		0
v501	132.97	1
v503	97.03	1
v504		0
v505		0
v506		0
v507		0
v510		0
v513		0
v514		0
v515		0
v516		0
v518		0
v522	81.5	1
v523		0
v524		0
v527		0
v528	171.77	1
v539	21.95	1
v540		0
v541		0
v544		0
v546		0
v547		0
v548		0
v550	35.13	1
v552		0
v553		0
v554		0
v555		0
v556		0
v560	28.97	1
v561	31.81	1
v564		0
v565		0
v566		0
v567		0
v569		0
v570		0
v571		0
v573		0
v574		0
v575		0
v578		0
v584	84.02	1
v586		0
v587		0
v589		0
v590		0
v592	33.77	1
v598		0
v599		0
v601		0
v602		0
v609	189.1	1
v610		0
v611		0
v612		0
v613		0
v614	148.18	1
v615		0
v621	47.1	1
v623	91.66	1
v629		0
v630		0
v633		0
v635		0
v637		0
v638		0
v639		0
v640		0
v641	163.07	1
v643		0
v645		0
v646		0
v649	132.37	1
v650		0
v652		0
v654	73.86	1
v655		0
v656		0
v657		0
v662		0
v663		0
v664	113.67	1
v665		0
v670		0
v671	9.96	1
v673	90.79	1
v674		0
v675		0
v677		0
v679		0
v680		0
v684		0
v686		0
v687	146.1	1
v689		0
v691	40.12	1
v692	93.96	1
v693		0
v694		0
v697		0
v698		0
v699		0
v701	119.03	1
v704		0
v706	108.99	1
v710	186.05	1
v711		0
v713		0
v715		0
v716		0
v717		0
v718		0
v725	20.21	1
v726		0
v727		0
v728		0
v729		0
v731		0
v732		0
v735	31.03	1
v739	46.93	1
v742		0
v743		0
v744		0
v746		0
v748		0
v749		0
v753		0
v758		0
v759		0
v762	71.17	1
v763	37.0	1
v764		0
v765		0
v766		0
v770	17.99	1
v771		0
v772	142.95	1
v774		0
v775		0
v776		0
v777		0
v779		0
v783	119.95	1
v784		0
v785		0
v786		0
v789		0
v790		0
v791		0
v795	37.96	1
v796	112.22	1
v803		0
v804		0
v805		0
v807		0
v808		0
v809		0
v811		0
v813		0
v815		0
v816		0
v818		0
v819		0
v820		0
v821		0
v823		0
v825	57.34	1
v826		0
v827		0
v828		0
v832	239.18	1
v834		0
v836		0
v837		0
v840	33.15	1
v841		0
v843		0
v844		0
v845		0
v847		0
v848		0
v850		0
v855	150.67	1
v859	60.96	1
v860	109.96	1
v863		0
v865		0
v871	25.8	1
v872		0
v873		0
v874		0
v875		0
v878		0
v880	22.92	1
v881	153.98	1
v883		0
v884		0
v887	71.0	1
v889		0
v890		0
v892	101.73	1
v894		0
v895		0
v896		0
v897		0
v898		0
v899	28.05	1
v900		0
v901		0
v903		0
v904		0
v905		0
v906		0
v907	38.83	1
v910		0
v912		0
v913		0
v915		0
v916		0
v922	61.2	1
v925		0
v926	133.0	1
v928		0
v929		0
v930		0
v931		0
v932		0
v934		0
v935		0
v936		0
v937	40.01	1
v943		0
v944		0
v945		0
v947		0
v948		0
v950		0
v952		0
v953		0
v955		0
v957	123.88	1
v963	178.05	1
v964		0
v965		0
v966		0
v976	77.03	1
v977	224.09	1
v978		0
v979		0
v980		0
v983	120.12	1
v984		0
v985	127.04	1
v987		0
v988		0
v991		0
v992	231.19	1
v993		0
v994		0
v995		0
v1002	90.01	1
v1003		0
v1004		0
v1005		0
v1007		0
v1010		0
v1011		0
v1016	138.0	1
v1017		0
v1018		0
v1022		0
v1027	128.11	1
v1029		0
v1032		0
v1034		0
v1036		0
v1037		0
v1038		0
v1042		0
v1043		0
v1044		0
v1045		0
v1046	18.95	1
v1047		0
v1049		0
v1050		0
v1051		0
v1052		0
v1062		0
v1064		0
v1065		0
v1066		0
v1069		0
v1070	125.03	1
v1073		0
v1075		0
v1076		0
v1077		0
v1078		0
v1079	103.68	1
v1080	104.11	1
v1082		0
v1087		0
v1088		0
v1089		0
v1090		0
v1095		0
v1098	109.66	1
v1099		0
v1100		0
v1101		0
v1102		0
v1103		0
v1104		0
v1107		0
v1109		0
v1110		0
v1111		0
v1114		0
v1117		0
v1121	68.84	1
v1122	2.85	1
v1124		0
v1125		0
v1126		0
v1130		0
v1131		0
v1132		0
v1134		0
v1135	229.84	1
v1136		0
v1137	135.99	1
v1139	147.06	1
v1141		0
v1142	22.82	1
v1145		0
v1149		0
v1150		0
v1154		0
v1155		0
v1158	104.29	1
v1159		0
v1162		0
v1167	98.01	1
v1168		0
v1171		0
v1172		0
v1175	29.73	1
v1179	89.26	1
v1180		0
v1185		0
v1186		0
v1188		0
v1189	39.14	1
v1190		0
v1193		0
v1194		0
v1196		0
v1197		0
v1198		0
v1199		0
v1201		0
v1202	131.78	1
v1203		0
v1204		0
v1206		0
v1208	143.8	1
v1209		0
v1211		0
v1212		0
v1213		0
v1221	25.95	1
v1222		0
v1224		0
v1225		0
