visit_id	revisit_interval	revisit_intention
v0		0
v1	41.91	1
v2	6.97	1
v3	1.72	1
v4	12.22	1
v5	1.0	1
v6	35.66	1
v7	52.03	1
v8	10.95	1
v9	1.96	1
v10		0
v11		0
v12		0
v13		0
v14		0
v15	3.02	1
v16		0
v17	131.32	1
v18		0
v19		0
v20	35.01	1
v21	38.97	1
v22	2.8	1
v23		0
v24	0.89	1
v25		0
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v32	1.92	1
v33		0
v34		0
v35	2.18	1
v36	115.84	1
v37		0
v38		0
v39		0
v40		0
v41		0
v42		0
v43	3.9	1
v44	3.88	1
v45	22.29	1
v46	1.9	1
v47	1.13	1
v48	13.9	1
v49	1.85	1
v50	47.95	1
v51	25.85	1
v52	15.59	1
v53		0
v54		0
v55	49.8	1
v56		0
v57		0
v58	0.78	1
v59		0
v60	3.03	1
v61		0
v62		0
v63	44.96	1
v64		0
v65		0
v66		0
v67		0
v68		0
v69		0
v70	5.97	1
v71		0
v72		0
v73	12.14	1
v74		0
v75		0
v76	1.13	1
v77		0
v78		0
v79		0
v80		0
v81		0
v82	46.79	1
v83	91.12	1
v84		0
v85	38.03	1
v86	0.85	1
v87		0
v88	70.01	1
v89		0
v90	5.95	1
v91	1.22	1
v92	47.75	1
v93	27.99	1
v94	13.98	1
v95		0
v96		0
v97		0
v98		0
v99		0
v100	1.13	1
v101		0
v102		0
v103	1.97	1
v104	58.08	1
v105	66.12	1
v106		0
v107		0
v108	6.88	1
v109	69.97	1
v110		0
v111		0
v112	0.72	1
v113	0.95	1
v114	0.99	1
v115		0
v116		0
v117		0
v118	12.94	1
v119		0
v120		0
v121	2.07	1
v122		0
v123		0
v124	2.9	1
v125		0
v126	64.87	1
v127		0
v128		0
v129	94.03	1
v130	2.05	1
v131	27.96	1
v132	21.97	1
v133		0
v134	2.02	1
v135	119.3	1
v136		0
v137		0
v138	0.76	1
v139	1.0	1
v140		0
v141	30.0	1
v142		0
v143		0
v144	111.92	1
v145		0
v146	40.64	1
v147	2.43	1
v148		0
v149	1.58	1
v150		0
v151		0
v152	63.31	1
v153	14.78	1
v154	8.13	1
v155		0
v156		0
v157		0
v158	0.5	1
v159	1.46	1
v160		0
