visit_id	revisit_interval	revisit_intention
v1		0
v2		0
v3		0
v4		0
v5		0
v7		0
v8		0
v9		0
v10		0
v14		0
v15		0
v16		0
v18		0
v19		0
v21	72.79	1
v22		0
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v33		0
v34		0
v35		0
v36		0
v37		0
v38		0
v39		0
v40		0
v41		0
v43		0
v45		0
v50	103.0	1
v51		0
v53		0
v54		0
v55		0
v58	110.79	1
v59		0
v60		0
v61		0
v62		0
v63		0
v65		0
v66		0
v67		0
v73	30.97	1
v74		0
v75		0
v76		0
v77		0
v78		0
v79		0
v80		0
v81		0
v82		0
v83		0
v84		0
v85		0
v87		0
v88		0
v89		0
v90	177.09	1
v91		0
v92		0
v93		0
v94		0
v96		0
v97		0
v98		0
v99		0
v100	170.97	1
v101		0
v102		0
v103		0
v104		0
v105		0
v106		0
v110		0
v111		0
v113		0
v114		0
v115		0
v116		0
v117		0
v119		0
v120		0
v121		0
v122		0
v123		0
v125		0
v126		0
v127		0
v128		0
v130		0
v131		0
v132		0
v133		0
v135		0
v136		0
v137		0
v138		0
v139		0
v140		0
v141		0
v142		0
v143		0
v144		0
v147		0
v148		0
v149		0
v150		0
v152	69.88	1
v153		0
v154		0
v156	19.81	1
v157		0
v158	138.22	1
v159		0
v160		0
v161		0
v162		0
v163		0
v164		0
v165		0
v166		0
v167		0
v168		0
v169		0
v170		0
v171		0
v173		0
v174		0
v175	189.4	1
v177		0
v179		0
v180		0
v181		0
v182		0
v183		0
v184	64.95	1
v185		0
v186		0
v187		0
v188		0
v189		0
v190		0
v191		0
v192		0
v193		0
v194		0
v195		0
v196		0
v197		0
v198		0
v199	232.76	1
v200		0
v201		0
v202		0
v203		0
v204		0
v205		0
v206		0
v207		0
v208		0
v209		0
v210		0
v212		0
v213		0
v214	63.17	1
v215		0
v216		0
v217		0
v221		0
v222		0
v223		0
v224		0
v225		0
v226		0
v227		0
v228		0
v229		0
v231		0
v232		0
v233		0
v234		0
v235		0
v236		0
v237		0
v238		0
v240	89.93	1
v241		0
v242		0
v243		0
v244		0
v246		0
v247		0
v248		0
v249		0
v250		0
v251		0
v252		0
v254		0
v255		0
v256	211.98	1
v257		0
v258		0
v259		0
v260		0
v261		0
v262		0
v263		0
v265		0
v266		0
v267		0
v268		0
v269		0
v270		0
v271		0
v272		0
v273		0
v276		0
v277		0
v278		0
v279		0
v280		0
v282		0
v283	181.91	1
v284		0
v285	141.77	1
v286		0
v287		0
v289		0
v290		0
v292		0
v293		0
v294		0
v295		0
v296		0
v298		0
v299		0
v300		0
v301		0
v302		0
v303		0
v304		0
v305		0
v306	194.8	1
v307		0
v308		0
v309		0
v310		0
v311		0
v312		0
v313		0
v314		0
v315		0
v316		0
v317		0
v318	36.85	1
v319		0
v320		0
v321		0
v322		0
v324	145.68	1
v325		0
v326		0
v327		0
v328		0
v330		0
v331		0
v332		0
v333		0
v334		0
v335		0
v336		0
v337		0
v338		0
v339		0
v340		0
v341		0
v342		0
v344		0
v345		0
v346		0
v347		0
v348		0
v349		0
v350		0
v351		0
v352		0
v353		0
v355		0
v356		0
v357		0
v358		0
v359		0
