visit_id	revisit_interval	revisit_intention
v0	28.95	1
v1		0
v2		0
v3		0
v4		0
v5		0
v6	8.94	1
v7		0
v8		0
v9		0
v10		0
v11	98.18	1
v12	2.98	1
v13	66.86	1
v14		0
v15		0
v16		0
v17	4.74	1
v18		0
v19		0
v20	1.26	1
v21		0
v22		0
v23	39.99	1
v24	87.76	1
v25	24.21	1
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v32	101.08	1
v33		0
v34		0
v35		0
v36		0
v37		0
v38		0
v39		0
v40		0
v41		0
v42	43.04	1
v43		0
v44	1.93	1
v45		0
v46	37.95	1
v47	33.96	1
v48	39.95	1
v49	61.15	1
v50		0
v51		0
v52	5.08	1
v53		0
v54		0
v55		0
v56	42.09	1
v57	36.25	1
v58		0
v59		0
v60		0
v61		0
v62		0
v63		0
v64	28.06	1
v65		0
v66		0
v67		0
v68	81.76	1
v69	4.01	1
v70	2.05	1
v71	49.09	1
v72	71.96	1
v73		0
v74		0
v75		0
v76		0
v77		0
v78		0
v79		0
v80		0
v81		0
v82		0
v83		0
v84		0
v85		0
v86	2.67	1
v87		0
v88		0
v89		0
v90		0
v91		0
v92		0
v93		0
v94		0
v95	26.01	1
v96		0
v97		0
v98		0
v99		0
v100		0
v101		0
v102		0
v103		0
v104		0
v105		0
v106		0
v107	76.2	1
v108	18.87	1
v109	85.79	1
v110		0
v111		0
v112	31.11	1
v113		0
v114		0
v115		0
v116		0
v117		0
v118	99.93	1
v119		0
v120		0
v121		0
v122		0
v123		0
v124	181.86	1
v125		0
v126		0
v127		0
v128		0
v129	52.95	1
v130		0
v131		0
v132		0
v133		0
v134	26.75	1
v135		0
v136		0
v137		0
v138		0
v139		0
v140		0
v141		0
v142		0
v143		0
v144		0
v145	1.95	1
v146	40.88	1
v147		0
v148		0
v149		0
v150		0
v151	0.02	1
v152		0
v153		0
v154		0
v155	49.04	1
v156		0
v157		0
v158		0
v159		0
v160		0
v161		0
v162		0
v163		0
v164		0
v165		0
v166		0
v167		0
v168		0
v169		0
v170		0
v171		0
v172	4.24	1
v173		0
v174		0
v175		0
v176	15.63	1
v177		0
v178	2.88	1
v179		0
v180		0
v181		0
v182		0
v183		0
v184		0
v185		0
v186		0
v187		0
v188		0
v189		0
v190		0
v191		0
v192		0
v193		0
v194		0
v195		0
v196		0
v197		0
v198		0
v199		0
v200		0
v201		0
v202		0
v203		0
v204		0
v205		0
v206		0
v207		0
v208		0
v209		0
v210		0
v211	26.76	1
v212		0
v213		0
v214		0
v215		0
v216		0
v217		0
v218	30.04	1
v219	66.1	1
v220	32.84	1
v221		0
v222		0
v223		0
v224		0
v225		0
v226		0
v227		0
v228		0
v229		0
v230	53.16	1
v231		0
v232		0
v233		0
v234		0
v235		0
v236		0
v237		0
v238		0
v239	49.94	1
v240		0
v241		0
v242		0
v243		0
v244		0
v245	68.84	1
v246		0
v247		0
v248		0
v249		0
v250		0
v251		0
v252		0
v253	25.01	1
v254		0
v255		0
v256		0
v257		0
v258		0
v259		0
v260		0
v261		0
v262		0
v263		0
v264	13.94	1
v265		0
v266		0
v267		0
v268		0
v269		0
v270		0
v271		0
v272		0
v273		0
v274	17.3	1
v275	20.0	1
v276		0
v277		0
v278		0
v279		0
v280		0
v281	44.13	1
v282		0
v283		0
v284		0
v285		0
v286		0
v287		0
v288	140.74	1
v289		0
v290		0
v291	9.05	1
v292		0
v293		0
v294		0
v295		0
v296		0
v297	104.03	1
v298		0
v299		0
v300		0
v301		0
v302		0
v303		0
v304		0
v305		0
v306		0
v307		0
v308		0
v309		0
v310		0
v311		0
v312		0
v313		0
v314		0
v315		0
v316		0
v317		0
v318		0
v319		0
v320		0
v321		0
v322		0
v323	35.98	1
v324		0
v325		0
v326		0
v327		0
v328		0
v329	70.66	1
v330		0
v331		0
v332		0
v333		0
v334		0
v335		0
v336		0
v337		0
v338		0
v339		0
v340		0
v341		0
v342		0
v343	34.92	1
v344		0
v345		0
v346		0
v347		0
v348		0
v349		0
v350		0
v351		0
v352		0
v353		0
v354	96.97	1
v355		0
v356		0
v357		0
v358		0
v359		0
v360		0
v361		0
v362	9.03	1
v363	5.92	1
v364	36.01	1
v365	41.0	1
v366	13.97	1
v367	3.99	1
v368		0
