visit_id	wifi_id	date	indices
v0	1	17356	1211956;1211969;1211970;1212122
v1	1	17385	1468000
v2	2	17351	1165062;1165070;1165079;1165087;1165090;1165103;1165104;1165108;1165111;1165118;1165128;1165133;1165143;1165189;1165190;1165191;1165198;1165201;1165208
v3	4	17288	726724;726729;726732;726735;726764;726795;726798;726815;726821;726823;726831;726856;726882;726906
v4	5	17359	1236786;1236872;1236884;1236902;1236906;1236917;1236919;1236920;1236932;1236934;1236938
v5	6	17403	1586120;1586126;1586174;1586183;1586191;1586197;1586199;1586200;1586201;1586203;1586207;1586209;1586211;1586219
v6	7	17358	1234308;1234314;1234331;1234347;1234359;1234437
v7	7	17367	1319632;1319654;1319663
v8	8	17244	436992;436993;436996;436998;437002
v9	9	17295	781831;781870;781894;781903;781909;781911;781937;781957;781974;781992;782005;782028;782050;782087;782089
v10	12	17196	115549;115604;115638;115640;115643;115646;115664;115714;115778;115791;115812;115826;115837;115853;115876;115889;115903;115915;115938;115950;115951;115997;116417;116431;116438;116485;116486;116487;116493;116495;116500;116554;116582;116680;116733;116736;116876;116945;116971;117096;117132;117154;117159;117161;117162;117170;117172;117333;117335;117419;117460;117463
v11	14	17251	484953;484956;484964;484970
v12	14	17349	1152256;1152262
v13	14	17352	1178770;1178802;1178823;1178843;1178851;1178869;1178901;1178916
v14	14	17419	1683052;1683069;1683097;1683103;1683131;1683151;1683158;1683160;1683161
v15	15	17369	1338480
v16	16	17401	1573091;1573122;1573129;1573130;1573132;1573146;1573148;1573149;1573150;1573152;1573153;1573157;1573159;1573160
v17	17	17372	1360686;1360725;1360816;1360859;1360937;1360957;1361039
v18	17	17377	1402413;1402432;1402460;1402474;1402492;1402505;1402545;1402547;1402650;1402753;1402756;1402761;1402809;1402818
v19	22	17361	1260892;1260913;1260923
v20	23	17351	1165074;1165125;1165159;1165210;1165283;1165284
v21	23	17352	1181128;1181135;1181137;1181140;1181143;1181181
v22	24	17255	507452;507473;507478;507482
v23	25	17217	269722;269724;269730;269731;269739;269741;269742;269753;269755;269761;269763;269768;269771;269772;269778;269780;269782;269783;269789
v24	25	17257	527724;527938;528005;528163;528220
v25	25	17345	1111257;1111267;1111284;1111373;1111381;1111422;1111457;1111473;1111512;1111586;1111601;1111630;1111660;1111690;1111733
v26	25	17369	1339951
v27	26	17303	835783;835784;835786;835789;835792;835798;835800;835805;835809;835814;835822;835832;835835;835838;835840;835843;835852;835855;835858;835860;835861
v28	29	17187	50577;50588;50593;50604;50610;50617;50619;50620;50623;50626
v29	31	17308	870059
v30	32	17318	944713;944761;944806;944833;944872;944887;944983;944995
v31	33	17329	1021643;1021655;1021662;1021676
v32	34	17192	91087;91127;91129;91156;91179
v33	34	17293	769084;769099;769113;769116
