visit_id	revisit_interval	revisit_intention
v0		0
v1		0
v2		0
v3		0
v4		0
v5		0
v6	26.68	1
v7	258.83	1
v8		0
v9		0
v11	7.95	1
v12		0
v13		0
v14		0
v15		0
v16		0
v17	190.99	1
v18		0
v19		0
v20		0
v21	105.1	1
v24	14.07	1
v25		0
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v32		0
v33		0
v34		0
v37	8.04	1
v38		0
v42	34.87	1
v43		0
v44		0
v45		0
v46		0
v47		0
v48		0
v49	91.89	1
v50	63.24	1
v51		0
v52	17.14	1
v53		0
v54		0
v56		0
v57		0
v70	56.98	1
v71		0
v72		0
v73		0
v74		0
v75		0
v76		0
v77		0
v78		0
v79		0
v80		0
v81		0
v82		0
v83		0
v84	152.84	1
v85		0
v86		0
v87		0
v88		0
v89		0
v90		0
v91	30.1	1
v92		0
v93	174.83	1
v94		0
v95		0
v96		0
v97		0
v98		0
v99		0
v100		0
v101		0
v102	175.03	1
v103		0
v104		0
v107	71.08	1
v108	80.99	1
v109		0
v110		0
v111		0
v112		0
v114		0
v115		0
v117		0
v118		0
v119		0
v120		0
v121		0
v123		0
v124	81.93	1
v125		0
v128	80.05	1
v129		0
v130		0
v131		0
v132		0
v133		0
v134		0
v143	49.95	1
v144		0
v145		0
v146		0
v148		0
v149		0
v150		0
v151		0
v152		0
v153		0
v154		0
v155		0
v156		0
v157		0
v158		0
v159		0
v160		0
v161		0
v162		0
v163		0
v165		0
v166		0
v167		0
v169		0
v170		0
v171	147.88	1
v172		0
v173		0
v174		0
v175		0
v176		0
v177		0
v178		0
v179		0
v181	110.04	1
v182		0
v183		0
v184		0
v185		0
v186		0
v187		0
v188		0
v193	20.02	1
v194		0
v196	16.96	1
v197	236.06	1
v198		0
v199		0
v200		0
v201		0
v202		0
v203		0
v204		0
v205		0
v206		0
v207		0
v208		0
v209		0
v211	65.02	1
v212		0
v213		0
v214		0
v215		0
v216	59.76	1
v217		0
v218		0
v219		0
v220		0
v221		0
v222		0
v223		0
v224		0
v225		0
v226		0
v227	158.01	1
v228		0
v229	61.17	1
v230		0
v231		0
v232		0
v233		0
v234		0
v235		0
v236		0
v237		0
v238		0
v239		0
v243	79.79	1
v245		0
v248		0
v249		0
v250		0
v251		0
v252		0
v253		0
v254		0
v255		0
v256		0
v257		0
v258	180.0	1
v259	63.73	1
v260		0
v261		0
v262		0
v263		0
v264	83.17	1
v265		0
v267		0
v272	84.11	1
v273		0
v278	41.2	1
v279		0
v280		0
v281		0
v282		0
v283		0
v284		0
v285		0
v289		0
v290		0
v291		0
v292		0
v293		0
v294		0
v295		0
v296		0
v297		0
v300		0
v302		0
v305	148.01	1
v306		0
v307		0
v308		0
v309		0
v310		0
v311		0
v312		0
v313		0
v314		0
v316		0
v318		0
v319		0
v323	6.99	1
v325		0
v326		0
v328	112.94	1
v329		0
v330		0
v331		0
v332		0
v333	111.88	1
v334		0
v335		0
v336		0
v337		0
v338		0
v339	210.12	1
v340		0
v341		0
v342		0
v344		0
v349	144.37	1
v350		0
v351		0
v354		0
v355		0
v356		0
v357		0
v361	42.93	1
v364		0
v365		0
v367		0
v368		0
v369		0
v370		0
v371		0
v372		0
v373		0
v375		0
v376	39.32	1
v378		0
v381		0
v383		0
v384		0
v385		0
v386		0
v387		0
v388	157.14	1
v390		0
v391		0
v392		0
v393		0
v394		0
v395		0
v397		0
v398		0
v400		0
v401		0
v402	27.07	1
v403		0
v404		0
v406		0
v407		0
v408		0
v409	137.02	1
v410		0
v411		0
v412		0
v413		0
v415		0
v416		0
v417		0
v418		0
v419		0
v421	153.12	1
v422		0
v423		0
v424		0
v425		0
v426		0
v427		0
v428		0
v429		0
v430		0
v431		0
v432	92.97	1
v433		0
v434		0
v435		0
v436		0
v437		0
