visit_id	revisit_interval	revisit_intention
v0		0
v1		0
v2		0
v3		0
v4		0
v5		0
v6		0
v7		0
v8		0
v9		0
v10	8.16	1
v11		0
v12		0
v13		0
v14		0
v15		0
v16		0
v17		0
v18		0
v19		0
v20		0
v21		0
v22	105.03	1
v23	27.92	1
v24		0
v25		0
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v32		0
v33		0
v34		0
v35	121.1	1
v36	0.72	1
v37		0
v38		0
v39	7.03	1
v40	54.87	1
v41	91.98	1
v42		0
v43		0
v44		0
v45		0
v46		0
v47		0
v48		0
v49		0
v50		0
v51		0
v52		0
v53		0
v54		0
v55	41.98	1
v56		0
v57		0
v58	9.05	1
v59	13.08	1
v60	40.77	1
v61	1.85	1
v62	6.87	1
v63	0.88	1
v64	11.14	1
v65	20.95	1
v66	9.02	1
v67	2.78	1
v68	1.12	1
v69	1.09	1
v70		0
v71		0
v72		0
v73		0
v74		0
v75		0
v76		0
v77		0
v78		0
v79		0
v80		0
v81		0
v82		0
v83		0
v84		0
v85		0
v86		0
v87		0
v88		0
v89		0
v90		0
v91		0
v92		0
v93		0
v94		0
v95		0
v96		0
v97		0
v98		0
v99		0
v100		0
v101		0
v102		0
v103		0
v104		0
v105	17.98	1
v106	5.08	1
v107		0
v108		0
v109		0
v110		0
v111		0
v112		0
v113	25.1	1
v114		0
v115		0
v116	7.25	1
v117		0
v118		0
v119		0
v120		0
v121		0
v122	6.86	1
v123		0
v124		0
v125		0
v126	72.93	1
v127	27.97	1
v128		0
v129		0
v130		0
v131		0
v132		0
v133		0
v134		0
v135	101.96	1
v136	8.81	1
v137	9.88	1
v138	4.29	1
v139	0.83	1
v140	6.16	1
v141	0.96	1
v142	20.02	1
v143		0
v144		0
v145		0
v146		0
v147	30.17	1
v148		0
v149		0
v150		0
v151		0
v152		0
v153		0
v154		0
v155		0
v156		0
v157		0
v158		0
v159		0
v160		0
v161		0
v162		0
v163		0
v164	48.98	1
v165		0
v166		0
v167		0
v168	14.02	1
v169		0
v170		0
v171		0
v172		0
v173		0
v174		0
v175		0
v176		0
v177		0
v178		0
v179		0
v180	16.98	1
v181		0
v182		0
v183		0
v184		0
v185		0
v186		0
v187		0
v188		0
v189	26.03	1
v190	65.96	1
v191	14.97	1
v192	6.93	1
v193		0
v194		0
v195	50.0	1
v196		0
v197		0
v198		0
v199		0
v200		0
v201		0
v202		0
v203		0
v204		0
v205		0
v206		0
v207		0
v208		0
v209		0
v210	118.98	1
v211		0
v212		0
v213		0
v214		0
v215		0
v216		0
v217		0
v218		0
v219		0
v220		0
v221		0
v222		0
v223		0
v224		0
v225		0
v226		0
v227		0
v228		0
v229		0
v230		0
v231		0
v232		0
v233		0
v234		0
v235		0
v236		0
v237		0
v238		0
v239		0
v240	68.66	1
v241	43.33	1
v242	24.9	1
v243		0
v244	14.2	1
v245		0
v246	11.15	1
v247	58.85	1
v248		0
v249		0
v250		0
v251		0
v252		0
v253		0
v254		0
v255		0
v256		0
v257		0
v258		0
v259		0
v260		0
v261		0
v262		0
v263		0
v264		0
v265		0
v266	14.74	1
v267		0
v268	20.94	1
v269	48.95	1
v270	6.99	1
v271	6.94	1
v272		0
v273		0
v274	5.69	1
v275	22.34	1
v276	69.19	1
v277	0.07	1
v278		0
v279		0
v280		0
v281		0
v282		0
v283		0
v284		0
v285		0
v286	59.05	1
v287	54.08	1
v288	2.88	1
v289		0
v290		0
v291		0
v292		0
v293		0
v294		0
v295		0
v296		0
v297		0
v298	13.25	1
v299	20.99	1
v300		0
v301	5.08	1
v302		0
v303	3.07	1
v304	22.86	1
v305		0
v306		0
v307		0
v308		0
v309		0
v310		0
v311		0
v312		0
v313		0
v314		0
v315	15.94	1
v316		0
v317	20.8	1
v318		0
v319		0
