visit_id	wifi_id	date	indices
v0	2	17328	1011873;1011888;1011893;1011896
v1	5	17213	245011;245017;245018;245021;245022
v2	7	17208	210829;210831;210876;210878;210884
v3	9	17299	808915;808925;808975;808980;808984
v4	14	17290	755244;755251;755257;755265;755268;755274;755275;755289;755292;755303;755304;755305;755320;755334;755336;755348;755365;755395;755396;755424;755469;755473;755501;755509;755515
v5	17	17243	437300;437304;437327;437339;437376;437377;437476;437480;437494;437511;437520;437529;437538;437548;437558;437567;437594;437598;437619
v6	21	17346	1123922;1123958;1124010
v7	26	17179	2518;2557;2559;2564;2576;2619
v8	27	17251	491504;491516;491564;491568;491569;491571;491577;491617;491618
v9	28	17238	406724;406725;406743;406769;406783;406828;406838;406843
v10	29	17344	1098625;1098667;1098701;1098788;1098861
v11	29	17352	1178408
v12	30	17347	1131911;1131915;1131951;1131978;1131984;1132003;1132005;1132012;1132015;1132021;1132038;1132040;1132043;1132047;1132050;1132052;1132053;1132068;1132071;1132115;1132143;1132182;1132185;1132194
v13	32	17192	99553;99555;99557;99558;99563;99570;99571;99575
v14	33	17230	358624;358627;358633;358636;358637;358672
v15	37	17215	265771;265777;265781
v16	40	17207	202886;202889;202890;202895;202915;202919;202922;202924;202925;202926;202930
v17	42	17281	681516;681523;681528;681538;681544;681547;681574;681581
v18	45	17328	1012070;1012072;1012073;1012074;1012080;1012083;1012085;1012091;1012095;1012106;1012110;1012122;1012129;1012141;1012142;1012147;1012148;1012155
v19	46	17191	90084;90097;90108;90117;90120;90125;90127;90133;90135;90141;90159;90177
v20	47	17236	390927;390930;390946;390948;390964;390966;390967;390977;390983;390985;391094;391141
v21	48	17349	1148592;1148598
v22	49	17215	259370;259373;259374;259423;259452;259463;259464;259465;259477;259484;259493;259494;259496;259497;259504
v23	49	17320	956433;956439;956446;956451;956452;956455;956459;956487;956499;956500
v24	49	17348	1137884;1137886;1137902;1137913;1137919;1137932;1137946;1137959;1137970;1138001;1138004;1138005;1138008;1138009;1138060;1138075;1138137;1138143;1138144;1138146;1138150;1138167;1138181;1138183;1138214
v25	52	17241	422518;422522;422523;422526;422544;422545;422551;422560;422574;422576;422622;422625;422640;422645;422653;422654;422656;422659;422694;422735;422738;422747;422748;422749;422763;422764;422765;422767;422768;422770;422772;422773;422782;422798;422800;422807;422813;422815;422827;422834;422835;422864;422868;422884;422885;422890;422891
v26	53	17295	788813;788817;788826;788839;788856;788891;788924
v27	55	17350	1161388;1161392;1161396;1161397;1161399
v28	56	17246	453998;454012;454016
v29	57	17288	729845;729876;730025
v30	58	17232	369881;369900;369913;369915;369918;369928;369937
v31	61	17355	1209625;1209633;1209638;1209660;1209679;1209682;1209683;1209686;1209693
v32	62	17212	240960;240986;240998;241000;241003;241011;241013
v33	64	17318	944089;944142;944226
v34	65	17307	868372;868398;868403;868408;868462;868484;868492;868501;868507;868523;868525;868527;868529;868535;868538;868546;868576;868589;868608;868631;868632;868640;868642;868646;868647;868668;868681;868702;868712;868717;868725;868731;868865;868867;868868;868872;868873;868878;868883;868885;868887;868892;868927;868941;868945;868947
v35	66	17234	379106;379114;379132;379137;379146;379151;379154;379155;379156;379160;379162;379168;379179;379190;379196;379199;379203;379545;379547;379556;379561;379564;379565;379566;379571;379578;379592;379599;379611;379636;379650;379661;379678;379685
v36	66	17355	1212958;1212968;1212978;1212989;1212998;1213006;1213008;1213009;1213014;1213016;1213019;1213042;1213050;1213054;1213056
v37	66	17356	1215768;1215774;1215789;1215877;1215888
v38	67	17359	1238315;1238326;1238332;1238345
v39	68	17202	170459;170507;170533;170593;170653;170703
v40	68	17209	221193;221252;221257;221276;221359;221407
v41	68	17264	575452;575480;575517;575534;575606;575639;575681;575743;575947;575962;575966;575972;575975;576001;576077
v42	68	17356	1217932;1217947;1217957;1217964;1217969;1217976;1217991;1218117;1218134;1218188;1218211;1218231;1218318;1218336;1218340;1218379;1218445;1218465;1218480
v43	70	17325	992087;992110;992122
v44	72	17236	392954;392967;393056;393058;393081
v45	73	17205	186944;186961;186975;186977;187002;187021;187040;187069;187077;187081;187096;187123;187157;187183;187327;187338;187432
v46	74	17351	1166962;1166965;1167110;1167136;1167335;1167345
v47	75	17192	96146;96147
v48	77	17357	1221960
v49	79	17319	953785;953802
v50	80	17302	830609;830611;830614;830628;830645;830664;830669;830674;830680;830682;830693;830709;830722;830730;830733;830737;830739;830742;830745;830747;830752;830753;830756;830760;830770;830791;830830;830831;830832;830837;830839;830845;830864;830866;830868
v51	83	17336	1082674
v52	84	17351	1166620;1166643;1166651;1166669;1166672;1166674;1166676;1166684;1166689
v53	88	17347	1132606
v54	89	17264	572394;572397;572435;572493;572510;572517;572528
v55	90	17288	732706;732707;732709;732717;732724;732727
v56	90	17330	1025690;1025696
v57	91	17223	309849;309925;309938;309939
v58	92	17240	416796
v59	92	17249	476764
v60	92	17262	562213
v61	92	17303	838076;838080;839429;840763
v62	92	17305	851581;851584;854105
v63	92	17312	901896
v64	92	17313	908294
v65	92	17324	985891
v66	92	17345	1111889
v67	92	17354	1198573;1202123;1202131;1202135
v68	92	17357	1223624;1223700
v69	92	17358	1233974
v70	92	17359	1245235;1245238
v71	93	17237	397303;397307;397309;397322;397324;397332;397333;397340;397342;397346;397347;397350;397351;397353;397356;397357;397358;397360;397361;397374;397381;397388;397425;397426;397428;397429;397433;397437;397449;397475;397478;397480;397493;397496;397500;397504;397506;397508;397522;397530;397556;397561;397562;397567;397574;397578;397585;397586;397587;397589;397599;397600
v72	94	17277	652263;652267
v73	96	17223	313044;313057;313059;313061;313162;313175;313186;313198;313201;313215;313219;313373;313399;313402;313464;313560;313573;313579;313581;313583;313591;313592;313593;313598;313599;313614;313620;313624;313625;313653;313750;313763;313768;313770
v74	97	17304	846628
v75	98	17271	617882;617890;617892
v76	103	17350	1158724;1158739;1158740;1158765;1158767
v77	104	17239	411000;411011;411044
v78	108	17272	626289
v79	109	17198	135785
v80	110	17257	528141
v81	111	17196	118225;118238;118243;118268;118353;118356;118439;118442;118453;118456;118475;118479;118482;118491;118497;118503;118506;118524;118534;118535;118541;118549
v82	113	17212	242460;242479;242513
v83	114	17267	591859;591867;591868;591870;591871;591877;591892;591932;591949;591955;591956;591958;591959;591960;591979
v84	116	17209	222195
v85	118	17305	853820;853834;853847;853916
v86	120	17195	113054
v87	123	17312	900731;900772
v88	125	17286	714687;714689
v89	128	17277	649460
v90	129	17358	1228871;1229044;1229203
v91	131	17351	1169569;1169578;1169587;1169626;1169628
v92	134	17266	586219
v93	135	17278	661210
v94	136	17266	586967;586977;586983;586992;586997;586998;586999;587002;587027;587045;587051;587062;587065;587066
v95	140	17180	6545;6557;6564;6604
v96	141	17300	816654;816665;816668;816670
v97	142	17257	532891;532893;532903
v98	143	17347	1126448
v99	144	17235	383595;383604;383607;383612;383616;383619;383620;383623;383631;383635;383638;383663;383667
v100	145	17279	666483;666496;666504;666506
v101	146	17359	1241458;1241461;1241467;1241479;1241481;1241524;1241527;1241530;1241544;1241675;1241689
v102	149	17259	540323;540326;540327;540328;540329;540333;540336;540346;540352;540356;540368;540375;540409;540420;540431;540436;540458
v103	151	17291	758824;758845;758850;758858;758859;758862;758867;758869
v104	153	17297	799032;799035;799042;799051;799052;799061;799075;799076;799078;799079;799080
v105	155	17282	682743;682750;682751;682757;682760;682762;682764;682767
v106	155	17300	815926;815928;815939;815948;815958;815961;815965;815967
v107	155	17305	850035
v108	158	17346	1121998;1122015;1122043;1122051;1122061;1122072;1122081;1122085;1122097;1122098;1122212;1122260;1122266;1122291;1122293;1122296;1122303
v109	161	17295	787263;787287;787360
v110	162	17217	272580;272738;272779;272897
v111	165	17276	645448;645450;645491;645507;645557;645596;645601;645602;645637;645661
v112	166	17203	172991;173006;173008;173015;173017;173022
