visit_id	revisit_interval	revisit_intention
v4		0
v5		0
v8		0
v9		0
v10		0
v11		0
v13		0
v14		0
v15		0
v16		0
v18		0
v19		0
v29		0
v34		0
v39		0
v40		0
v46		0
v47		0
v51		0
v52		0
v53		0
v54		0
v55	236.9	1
v58		0
v60		0
v63		0
v65		0
v66		0
v68	141.9	1
v70		0
v71		0
v73		0
v74		0
v75	153.06	1
v81		0
v83		0
v88		0
v91		0
v92		0
v93		0
v94		0
v96		0
v97		0
v98		0
v99		0
v100		0
v101		0
v103	3.08	1
v104		0
v105		0
v110		0
v112		0
v113		0
v114		0
v115		0
v116		0
v117		0
v118		0
v119		0
v121		0
v122		0
v123		0
v124		0
v125		0
v126		0
v127		0
v128		0
v129		0
v130		0
v133		0
v135		0
v137	78.07	1
v138		0
v139		0
v140		0
v141		0
v142		0
v145		0
v146		0
v147	235.28	1
v148		0
v150		0
v151		0
v152	114.23	1
v165	35.96	1
v167		0
v168		0
v169		0
v171		0
v173		0
v174		0
v175		0
v176		0
v182	39.0	1
v183	169.88	1
v184		0
v185	161.99	1
v186		0
v187		0
v189		0
v190		0
v191		0
v193		0
v194		0
v195	49.14	1
v196		0
v197		0
v200		0
v212	37.96	1
v213		0
v215		0
v216		0
v217	238.09	1
v218		0
v219		0
v220		0
v221		0
v222		0
v223		0
v224		0
v225		0
v226		0
v227		0
v229		0
v230		0
v234		0
v235		0
v236		0
v237	127.98	1
v240		0
v241		0
v245		0
v247		0
v249	148.13	1
v250		0
v251		0
v252		0
v253		0
v254		0
v256		0
v257		0
v258	121.9	1
v259		0
v260		0
v264		0
v265		0
v266		0
v267		0
v268		0
v270		0
v271	46.85	1
v275		0
v276		0
v277		0
v278		0
v279		0
v284		0
v285		0
v286		0
v288		0
v296	65.29	1
v297		0
v298		0
v301		0
v302		0
v303		0
v304		0
v306	91.85	1
v307		0
v308		0
v309		0
v310		0
v311		0
v312		0
v318		0
v319		0
v321		0
v324		0
v326		0
v327		0
v328		0
v329		0
v330		0
v331		0
v333		0
v334		0
v338		0
v342		0
v343		0
v344		0
v345		0
v346		0
v348		0
v349		0
v350		0
v351		0
v358	21.09	1
v359		0
v360		0
v361		0
v363	35.0	1
v364		0
v372	31.9	1
v373		0
v374		0
v375		0
v376		0
v380	6.92	1
v381		0
v382	62.9	1
v384		0
v386		0
v387		0
v397	61.02	1
v398		0
v399		0
v400		0
v402		0
v403		0
v404		0
v405		0
v406		0
v407		0
v408	225.21	1
v412	51.08	1
v413		0
v414		0
v415		0
v416		0
v419		0
v420		0
v422		0
v423		0
v426	128.81	1
v427		0
v428		0
v429		0
v430		0
v431		0
v432		0
v436		0
v437		0
v438		0
v440		0
v442	47.15	1
v443		0
v445		0
v446	60.96	1
v449		0
v450		0
v453		0
v454		0
v456	13.06	1
v457		0
v459	28.01	1
v460		0
v463		0
v465	54.77	1
v466		0
v468		0
v469		0
v470		0
v471		0
v473		0
v474		0
v475	8.41	1
v476		0
v477		0
v480		0
v487	55.19	1
v488		0
v490		0
v495		0
v496		0
v497		0
v498		0
v499		0
v500		0
v501		0
v503		0
v504		0
v505		0
v506		0
v507		0
v508		0
v509		0
v510		0
v511		0
v512		0
v515	83.01	1
v516		0
v522	66.01	1
v523		0
v524		0
v526	197.85	1
v528		0
v529		0
v530		0
v531		0
v532		0
v534		0
v539		0
v542	78.95	1
v544		0
v545		0
v547		0
v549		0
v550		0
v553		0
v555		0
v556		0
v558	57.96	1
v559		0
v569	71.93	1
v570		0
v571		0
v572	13.04	1
v573		0
v574		0
v575		0
v576		0
v577		0
v578		0
v579		0
v580		0
v585	32.13	1
v587		0
v589		0
v590		0
v591		0
v593		0
v594		0
v595		0
v596		0
v597		0
v605		0
v606		0
v607		0
v608		0
v609		0
v610		0
v611		0
v649	1.9	1
v650		0
v651		0
v652		0
v653		0
v654	33.22	1
v655		0
v656		0
v657		0
v658		0
v660		0
v661		0
v662	200.99	1
v663		0
v669		0
v670		0
v671		0
v672		0
v673		0
v675		0
v677		0
v678		0
v680		0
v681		0
v683		0
v685		0
v686		0
v689	130.93	1
v690		0
v691		0
v692		0
v694		0
v695		0
v696		0
v698		0
v700		0
v702		0
v703		0
v704		0
v705		0
v706		0
v707		0
v710		0
v711		0
v712		0
v713		0
v714		0
v722	109.08	1
v723		0
v724		0
v725		0
v726		0
v727		0
v728		0
v730		0
v732		0
v734		0
v735		0
v737		0
v739		0
v741		0
v742		0
v744		0
v748		0
v750		0
v753		0
v754		0
v755		0
v757		0
v758		0
v759		0
v760		0
v761		0
v762		0
v763		0
v764		0
v765		0
v766		0
v767	285.95	1
v770		0
v771		0
v772		0
v773		0
v779	48.03	1
v780		0
v781		0
v784	26.23	1
v785		0
v788	27.66	1
v789		0
v790		0
v791		0
v793		0
v794	91.18	1
v795		0
v796		0
v797		0
v805	67.98	1
v806		0
v807		0
v808		0
v810		0
v811		0
v812		0
v815		0
v816	239.87	1
v819	105.1	1
v820		0
v821		0
v823		0
v826		0
v827		0
v828		0
v832	75.05	1
v833		0
v834		0
v835		0
v836		0
v838		0
v841		0
v843		0
v844		0
v846		0
v847		0
v849		0
v850		0
v851		0
v852		0
v853		0
v854		0
v855		0
v856	146.04	1
v857		0
v858		0
v860		0
v861		0
v862		0
v863		0
v864		0
v865		0
v867		0
v868		0
v869		0
v870		0
v871		0
v873		0
v876		0
v877		0
v878		0
v881		0
v882		0
v883		0
v885	18.83	1
v886		0
v887		0
v888		0
v889		0
v890		0
v891		0
v893	105.11	1
v894		0
v895		0
v896	99.08	1
v898	100.08	1
v900	45.1	1
v901		0
v902		0
v905		0
v906		0
v910		0
v911		0
v913		0
v914		0
v915		0
v917		0
v919		0
v920		0
v922	148.08	1
v923		0
v925	226.99	1
v926		0
v927		0
v928		0
v929		0
v930	35.99	1
v931		0
v932		0
v934		0
v935		0
v936		0
v945		0
v946		0
v947		0
v948		0
v950	107.76	1
v951		0
v952		0
v954		0
v955		0
v956		0
v958		0
v959		0
v961		0
v962	57.95	1
v964		0
v965		0
v967		0
v968		0
v969		0
v972		0
v973		0
v976		0
v978		0
v979		0
v986	31.8	1
v988		0
v989		0
v990		0
v993		0
v994		0
v995		0
v996		0
v998		0
v999		0
v1000		0
v1001		0
v1003		0
v1004		0
v1006	115.85	1
v1007		0
v1008		0
v1012	113.04	1
v1013	174.02	1
v1014		0
v1016		0
v1017		0
v1020		0
v1021		0
v1022		0
v1025	6.99	1
v1026		0
v1027		0
v1030	150.85	1
v1031	280.83	1
v1033		0
v1034		0
v1035		0
v1036		0
v1037		0
v1038		0
v1039		0
v1040		0
v1041		0
v1054	14.75	1
v1055		0
v1056		0
v1057		0
v1059		0
v1061		0
v1062		0
v1063		0
v1064		0
v1065	141.28	1
v1066		0
v1067		0
v1068		0
v1069		0
v1070		0
v1071		0
v1073		0
v1075		0
v1079	37.0	1
v1080		0
v1083		0
v1084		0
v1085		0
v1086		0
v1087		0
v1088		0
v1089	193.83	1
v1092		0
v1095		0
v1096	279.06	1
v1097		0
v1099		0
v1100	165.65	1
v1101		0
v1102		0
v1106		0
v1108		0
v1109	66.02	1
v1110		0
v1111		0
v1112	194.97	1
v1113	42.21	1
v1117		0
v1118		0
v1130		0
v1132	55.02	1
v1133		0
v1134	61.96	1
v1135		0
v1137		0
v1138	41.92	1
v1139		0
v1142		0
v1143		0
v1144		0
v1145		0
v1146		0
v1148		0
v1149		0
v1150		0
v1151		0
v1152		0
v1153		0
v1154		0
