visit_id	revisit_interval	revisit_intention
v0	29.75	1
v1	153.12	1
v2	1.0	1
v3	1.22	1
v4		0
v5		0
v6	98.03	1
v7	82.98	1
v8		0
v9		0
v10		0
v11		0
v12	94.02	1
v13		0
v14		0
v15		0
v16		0
v17	34.0	1
v18		0
v19		0
v20	35.74	1
v21	28.85	1
v22	27.24	1
v23	22.91	1
v24	13.87	1
v25	14.06	1
v26	4.06	1
v27	38.79	1
v28	7.13	1
v29		0
v30	17.93	1
v31	154.74	1
v32	16.21	1
v33	10.06	1
v34		0
v35	49.88	1
v36	35.08	1
v37	41.9	1
v38	48.14	1
v39		0
v40		0
v41	23.9	1
v42	8.86	1
v43	16.22	1
v44	25.03	1
v45	12.77	1
v46		0
v47		0
v48	83.17	1
v49	7.01	1
v50	77.89	1
v51		0
v52		0
v53		0
v54		0
v55		0
v56	70.88	1
v57	7.97	1
v58		0
v59	38.06	1
v60		0
v61	31.09	1
v62	90.69	1
v63		0
v64	35.26	1
v65		0
v66		0
v67	132.36	1
v68		0
v69	180.79	1
v70		0
v71		0
v72	54.25	1
v73		0
v74		0
v75		0
v76	21.85	1
v77	1.16	1
v78	0.87	1
v79	2.92	1
v80	4.14	1
v81		0
v82	51.07	1
v83		0
v84	7.1	1
v85	5.99	1
v86	18.84	1
v87	2.24	1
v88		0
v89	0.71	1
v90	11.18	1
v91		0
v92		0
v93		0
v94		0
v95	70.02	1
v96		0
v97		0
v98		0
v99		0
v100		0
v101		0
v102	58.77	1
v103		0
v104		0
v105		0
v106	6.98	1
v107	7.0	1
v108	14.0	1
v109	7.04	1
v110		0
v111	11.7	1
v112		0
v113		0
v114		0
v115		0
v116		0
v117		0
v118		0
v119		0
v120	9.83	1
v121		0
v122		0
v123		0
v124		0
v125		0
v126		0
v127		0
v128		0
v129		0
v130		0
v131	99.21	1
v132	11.0	1
v133		0
v134	50.21	1
v135		0
v136	141.92	1
v137		0
v138		0
v139		0
v140		0
v141		0
v142		0
v143	3.13	1
v144	8.04	1
v145		0
v146		0
v147		0
v148		0
v149	1.96	1
v150		0
v151		0
v152		0
v153	6.85	1
v154	17.11	1
v155	25.9	1
v156	13.86	1
v157	1.24	1
v158	29.08	1
v159	4.91	1
v160	20.01	1
v161	73.07	1
v162	4.91	1
v163	5.15	1
v164	0.78	1
v165		0
v166	18.08	1
v167		0
v168		0
v169		0
v170	118.86	1
v171		0
v172	98.82	1
v173		0
v174		0
v175		0
v176		0
v177	5.04	1
v178	20.96	1
v179	7.03	1
v180	11.06	1
v181	50.85	1
v182		0
v183		0
v184		0
v185		0
v186		0
v187		0
v188	61.24	1
v189		0
v190		0
v191		0
v192	81.19	1
v193		0
v194		0
v195		0
v196		0
v197		0
v198	30.01	1
v199	7.05	1
v200		0
v201	8.01	1
v202	7.04	1
v203	2.0	1
v204	7.97	1
v205	9.01	1
v206	31.01	1
v207	4.97	1
v208	2.05	1
v209	32.96	1
v210	73.1	1
v211	3.93	1
v212		0
v213		0
v214	106.98	1
v215		0
v216		0
v217		0
v218		0
v219		0
v220		0
v221		0
v222		0
v223		0
v224		0
v225		0
v226		0
v227		0
v228	23.83	1
v229		0
v230		0
v231	5.84	1
v232	164.3	1
v233	54.83	1
v234		0
v235		0
v236		0
v237		0
v238	7.0	1
v239	76.83	1
v240		0
v241		0
v242	4.13	1
v243	25.88	1
v244	119.07	1
v245		0
v246	65.87	1
v247		0
v248	5.82	1
v249		0
v250		0
v251		0
v252		0
v253		0
v254		0
v255	63.1	1
v256		0
v257		0
v258		0
v259		0
v260		0
v261	44.73	1
v262	2.02	1
v263	6.04	1
v264		0
v265		0
v266		0
v267		0
v268		0
v269	85.01	1
v270		0
v271		0
v272	1.8	1
v273	101.92	1
v274	7.28	1
v275		0
v276		0
v277		0
v278		0
v279		0
v280	8.9	1
v281	19.05	1
v282	21.86	1
v283	34.12	1
v284		0
v285		0
v286		0
v287	74.22	1
v288		0
v289	8.95	1
v290	69.02	1
v291	9.01	1
v292	5.02	1
v293	1.98	1
v294	40.88	1
v295	78.04	1
v296		0
v297		0
v298		0
v299	57.97	1
v300	44.26	1
v301		0
v302		0
v303		0
v304		0
v305	118.05	1
v306		0
v307		0
v308		0
v309		0
v310		0
v311		0
v312		0
v313	13.7	1
v314	78.32	1
v315	56.08	1
v316	10.92	1
v317	65.9	1
v318		0
v319		0
v320	23.98	1
v321		0
v322	119.06	1
v323	1.88	1
v324		0
v325	32.86	1
v326		0
v327		0
v328		0
v329		0
v330		0
v331		0
v332	25.34	1
v333		0
v334		0
v335	64.93	1
v336	6.94	1
v337	23.05	1
v338		0
v339	9.28	1
v340	67.61	1
v341	21.04	1
v342		0
v343		0
v344		0
v345		0
v346		0
v347	85.04	1
v348		0
v349		0
v350		0
v351		0
v352	67.22	1
v353	51.84	1
v354	35.2	1
v355	20.88	1
v356	5.95	1
v357	0.98	1
v358		0
v359		0
v360		0
v361		0
v362	147.05	1
v363		0
v364		0
v365	6.99	1
v366	1.96	1
v367	36.02	1
v368	32.95	1
v369	2.06	1
v370	6.8	1
v371	95.13	1
v372		0
v373		0
v374		0
v375		0
v376		0
v377	3.79	1
v378	3.19	1
v379	16.86	1
v380		0
v381		0
v382		0
v383	57.02	1
v384		0
v385	132.97	1
v386		0
v387		0
v388	32.93	1
v389	91.2	1
v390	0.95	1
v391	33.98	1
v392	11.89	1
v393	16.92	1
v394	20.97	1
v395	13.01	1
v396	10.05	1
v397		0
v398		0
v399		0
v400		0
v401	12.92	1
v402		0
v403		0
v404		0
v405		0
v406		0
v407		0
v408		0
v409	90.92	1
v410	39.0	1
v411	14.05	1
v412		0
v413		0
v414		0
v415		0
v416		0
v417	18.92	1
v418	54.87	1
v419		0
v420		0
v421	20.93	1
v422		0
v423		0
v424	128.93	1
v425	18.09	1
v426		0
v427		0
v428		0
v429		0
v430		0
v431		0
v432		0
v433	35.0	1
v434	27.04	1
v435	19.9	1
v436		0
v437		0
v438		0
v439	69.83	1
v440		0
v441	156.96	1
v442		0
v443		0
v444	69.94	1
v445		0
v446		0
v447	98.21	1
v448	13.73	1
v449		0
v450		0
v451	190.6	1
v452	31.4	1
v453		0
v454		0
v455	186.9	1
v456		0
v457		0
v458	185.06	1
v459		0
v460		0
v461	23.99	1
v462	37.92	1
v463		0
v464	124.12	1
v465		0
v466		0
v467	3.18	1
v468		0
v469		0
v470		0
v471		0
v472	98.08	1
v473		0
v474		0
v475		0
v476		0
v477		0
v478	19.82	1
v479	16.98	1
v480		0
v481	46.19	1
v482	14.03	1
v483	37.86	1
v484	40.12	1
v485	12.01	1
v486	37.65	1
v487		0
v488		0
v489	125.24	1
v490		0
v491	56.96	1
v492	5.02	1
v493	49.04	1
v494	33.87	1
v495		0
v496		0
v497		0
v498		0
v499		0
v500		0
v501		0
v502	0.82	1
v503		0
v504		0
v505		0
v506		0
v507		0
v508		0
v509		0
v510		0
v511		0
v512		0
v513	26.93	1
v514	42.1	1
v515		0
v516		0
v517	9.97	1
v518	25.88	1
v519	86.13	1
v520	26.28	1
v521	6.63	1
v522		0
v523		0
v524		0
v525	19.1	1
v526		0
v527	182.07	1
v528		0
v529		0
v530		0
v531		0
v532		0
v533	35.03	1
v534		0
v535	3.91	1
v536	10.2	1
v537	13.7	1
v538	7.09	1
v539		0
v540	66.03	1
v541	23.18	1
v542		0
