visit_id	revisit_interval	revisit_intention
v0		0
v2		0
v3		0
v5	63.13	1
v9	116.68	1
v10		0
v12		0
v13		0
v14		0
v16		0
v18		0
v21		0
v22		0
v23		0
v24		0
v25	43.77	1
v26	115.03	1
v27		0
v28		0
v29	46.88	1
v30		0
v31	93.04	1
v32		0
v33		0
v34	179.34	1
v35		0
v36		0
v37		0
v42		0
v43		0
v44		0
v45		0
v46		0
v48	66.33	1
v49		0
v51		0
v52		0
v53		0
v54		0
v55		0
v56		0
v58		0
v60		0
v61		0
v63		0
v64		0
v65		0
v71	36.06	1
v72		0
v73		0
v75	63.79	1
v76		0
v77		0
v84		0
v86	126.0	1
v87	119.02	1
v89		0
v93		0
v94	85.0	1
v95		0
v97		0
v100	133.93	1
v101		0
v102	37.99	1
v103		0
v104		0
v105	35.17	1
v106		0
v107	167.96	1
v108		0
v109	210.83	1
v110		0
v111		0
v112		0
v113	77.97	1
v114		0
v115		0
v116		0
v117		0
v119		0
v121		0
v122		0
v123	84.86	1
v124		0
v125	237.96	1
v127	35.04	1
v128	222.98	1
v129	122.89	1
v130		0
v131		0
v132		0
v133		0
v134		0
v136		0
v137		0
v138		0
v139		0
v140		0
v141	175.08	1
v142		0
v143		0
v144	81.95	1
v145		0
v146		0
v147		0
v148		0
v149		0
v151		0
v161	95.99	1
v162		0
v163		0
v164		0
v165		0
v166		0
v168	73.9	1
v169		0
v170		0
v171	112.31	1
v172		0
v173	26.27	1
v174	155.93	1
v177		0
v178		0
v185	48.03	1
v186		0
v187		0
v188		0
v189		0
v190	138.97	1
v191		0
v195		0
v196		0
v200	72.91	1
v201		0
v203	159.93	1
v204		0
v208	41.97	1
v210		0
v211		0
v214		0
v216		0
v218	228.15	1
v219	208.29	1
v221		0
v222	117.32	1
v223		0
v224		0
v225		0
v226		0
v227		0
v229		0
v232		0
v233		0
v234		0
v235		0
v237	146.01	1
v238		0
v239		0
v241		0
v242		0
v243		0
v245	51.86	1
v246	196.11	1
v248	54.91	1
v249		0
v252	140.02	1
v253	81.03	1
v255	10.99	1
v257		0
v258		0
v259		0
v260		0
v262		0
v263		0
v264		0
v265		0
v266		0
v267		0
v268		0
v270		0
v271		0
v275	70.11	1
v277		0
v278		0
v280	86.96	1
v282		0
v283		0
v285	158.95	1
v286		0
v288	186.09	1
v290		0
v292	143.97	1
v293		0
v294		0
v295		0
v296	32.88	1
v297		0
v298		0
v299		0
v300		0
v301		0
v302		0
v304		0
v305		0
v306		0
v307		0
v309		0
v311		0
v314		0
v315		0
v317		0
v319		0
v320		0
v321		0
v322	202.06	1
v323	151.33	1
v324		0
v325	35.94	1
v326		0
v328		0
v329		0
v333	107.15	1
v334		0
v337		0
v338	66.08	1
v339		0
v341		0
v348	27.91	1
v349		0
v350		0
v351		0
v353	132.93	1
v356		0
v357	219.97	1
v358		0
v359	146.93	1
v360		0
v361		0
v362	213.58	1
v363		0
v364	147.01	1
v365		0
v367		0
v368		0
v369		0
v371		0
v372		0
v375	231.84	1
v377		0
v378	13.62	1
v379		0
v380		0
v381		0
v382		0
v383		0
v387		0
v388	215.64	1
v389		0
v390		0
v391		0
v392		0
v393		0
v395	119.98	1
v397	202.03	1
v399	36.88	1
v401		0
v402		0
v403	109.98	1
v404		0
v405		0
v406		0
v407		0
v408		0
v409	158.09	1
v410	119.78	1
v411	232.08	1
v413		0
v414		0
v415	156.84	1
v416		0
v417		0
v418		0
v419		0
v420		0
v421		0
v422	43.18	1
v423		0
v425	39.16	1
v426		0
v427		0
v428	79.73	1
v429		0
v430		0
v434	66.95	1
v436		0
v439		0
v440		0
v442	51.1	1
v445	108.03	1
v446	146.92	1
v447		0
v448	187.99	1
v449		0
v450		0
v452		0
v453		0
v454	125.33	1
v455		0
v456		0
v457		0
v458		0
v460	90.88	1
v461	84.06	1
v462		0
v464	110.98	1
v465		0
v466		0
v467		0
v468		0
v472	64.01	1
v473		0
v477		0
v478		0
v479		0
v480		0
v481		0
v482		0
v483		0
v484		0
v486		0
v487		0
v488		0
v489		0
v490		0
v492	133.12	1
v493		0
v494		0
v496		0
v497		0
v498		0
v499		0
v500		0
v501		0
v504	82.03	1
v508		0
v509	253.15	1
v511		0
v512		0
v515		0
v517	76.65	1
v518		0
v520	213.97	1
v525		0
v526		0
v527	189.13	1
v529		0
v530	106.75	1
v532		0
v533		0
v534		0
v536		0
v537		0
v538		0
v539	214.0	1
v541		0
v542	69.85	1
v543	269.08	1
v544		0
v545		0
v546		0
v547		0
v548		0
v550		0
v552	186.17	1
v553	140.11	1
v554		0
v555	45.08	1
v558	167.65	1
v559		0
v560		0
v561		0
v562		0
v563		0
v565	52.02	1
v566		0
v567	47.01	1
v569		0
v570		0
v572	151.66	1
v573		0
v574		0
v575		0
v576		0
v581		0
v583		0
v584		0
v591		0
v592	103.97	1
v593		0
v594		0
v595		0
v596		0
v598		0
