visit_id	revisit_interval	revisit_intention
v0		0
v1	0.75	1
v2		0
v3		0
v4	108.83	1
v5		0
v6	55.97	1
v7	25.0	1
v8	13.05	1
v9		0
v10		0
v11	58.93	1
v12		0
v13		0
v14		0
v15	5.14	1
v16		0
v17	56.92	1
v18		0
v19	32.73	1
v20	71.07	1
v21		0
v22		0
v23		0
v24		0
v25		0
v26		0
v27		0
v28		0
v29		0
v30		0
v31		0
v32		0
v33		0
v34		0
v35		0
v36		0
v37		0
v38	33.97	1
v39	23.05	1
v40	63.0	1
v41	34.97	1
v42		0
v43		0
v44		0
v45		0
v46		0
v47	41.08	1
v48		0
v49		0
v50	1.14	1
v51		0
v52		0
v53		0
v54		0
v55		0
v56		0
v57	9.85	1
v58		0
v59	18.04	1
v60		0
v61		0
v62	48.94	1
v63		0
v64		0
v65		0
v66	37.17	1
v67	18.01	1
v68	3.04	1
v69	34.97	1
v70	29.93	1
v71		0
v72		0
v73		0
v74	6.24	1
v75		0
v76		0
v77		0
v78	23.13	1
v79	31.9	1
v80	28.81	1
v81	7.98	1
v82	5.22	1
v83	2.89	1
v84		0
v85	62.84	1
v86		0
v87		0
v88	57.8	1
v89		0
v90	45.2	1
v91	16.94	1
v92	11.05	1
v93		0
v94		0
v95		0
v96	41.1	1
v97		0
v98	3.11	1
v99	72.16	1
v100		0
v101		0
v102		0
v103		0
v104		0
v105		0
v106		0
v107		0
v108		0
v109		0
v110		0
v111		0
v112		0
v113		0
v114		0
v115		0
v116		0
v117		0
v118	85.27	1
v119		0
v120	0.82	1
v121		0
v122		0
v123		0
v124		0
v125		0
v126	21.02	1
v127		0
v128		0
v129		0
v130		0
v131		0
v132		0
v133		0
v134		0
v135	8.98	1
v136		0
v137		0
v138		0
v139		0
v140		0
v141		0
v142		0
v143		0
v144		0
v145		0
v146		0
v147		0
v148		0
v149		0
v150	91.83	1
v151		0
v152	2.0	1
v153	64.92	1
v154	31.79	1
v155	4.0	1
v156	3.04	1
v157	1.2	1
v158	24.97	1
v159	7.99	1
v160	13.97	1
v161		0
v162		0
v163		0
v164		0
v165		0
v166		0
v167	37.24	1
v168		0
v169		0
v170		0
v171		0
v172		0
v173		0
v174		0
v175	4.95	1
v176	7.07	1
v177		0
v178		0
v179	50.02	1
v180	34.97	1
v181	43.0	1
v182	1.01	1
v183	4.98	1
