visit_id	wifi_id	date	indices
v0	1	17331	1102693;1102703;1102706;1102721;1102741;1102894;1102896
v1	3	17189	156575;156585;156625;156628
v2	3	17190	159176;159180;159190;159476;159477;159646;159649
v3	4	17263	671075;671077;671078;671079;671160;671173;671174
v4	5	17234	461707;461916;461918
v5	5	17343	1192879;1192956
v6	6	17169	18012;18014;18022;18023;18027;18029
v7	6	17225	405692;405695;405698
v8	6	17250	579557;579562;580230
v9	6	17263	669747;669750;669751
v10	7	17290	852666;852687
v11	8	17234	464328
v12	8	17293	871954;871957
v13	9	17325	1073585
v14	10	17320	1044443;1044453;1044454;1044463;1044476;1044480;1044492;1044502
v15	11	17217	348717;348805;348818
v16	11	17222	385978
v17	12	17285	807827
v18	12	17342	1186741;1186761;1186818
v19	14	17238	496639;496643
v20	14	17271	720018;720024
v21	14	17342	1187959;1187968;1187975;1187993;1188020;1188025;1188028;1188030;1188042;1188060
v22	15	17310	975471;975479;975523;975792;975795;975798
v23	16	17185	126812;126815;126822;126849;126886;126889;126898;126907;126909;126910
v24	18	17175	59537
v25	20	17322	1060895;1060922
v26	26	17257	629815;629879;629997;630009;630176;630194;630218
v27	27	17290	844850;844852
v28	30	17250	576190;576195;576199;576201;576202;576204;576206;576212;576214;576216;576218;576219;576220;576221
v29	31	17305	947666
v30	34	17226	409280
v31	35	17302	927446;927598;927604
v32	37	17292	862929;862980;863012;863061
v33	38	17313	995320;995380;995384;995387
v34	40	17232	448602;448606;448608
v35	41	17320	1043367;1043379
v36	42	17335	1132184
v37	43	17323	1067132;1067136;1067141;1067142;1067145;1067150;1067172;1067176;1067177;1067178
v38	45	17168	10698
v39	45	17202	241377;241381;241383;241385
v40	45	17225	405223;405228;405233;405237;405240;405250;405252;405259;405265;405266;405279;405288;405295;405302;405338
v41	45	17288	832534
v42	45	17323	1065215;1065224
v43	48	17328	1092168
v44	49	17267	695851;695856;695887;695890;695893;695900;695926;695934;695935;695945;695986;696225;696232;696237;696264;696275;696283;696308;696314;696315;696339;696371
v45	50	17214	326536;326541;326732
v46	54	17300	911717
v47	55	17303	930451;930454;930456;930457
v48	55	17344	1200483;1200488;1200548;1200550;1200558;1200561;1200562;1200576;1200590;1200605;1200607;1200644;1200645
v49	56	17260	651078;651142;651144;651146;651195;651328;651344;651353;651373;651378;651388
v50	57	17200	224319;224347;224360;224383
v51	57	17201	236565;236571;236575;236582;236589;236591;236594;236596;236599;236601;236602;236604;236606;236607;236612;236615;236616;236618;236619
v52	60	17331	1103784;1103790;1103796;1103797;1103799;1103802;1103803;1103805;1103809;1103813
v53	61	17288	828914;828918;828919;828921;828923;828926
v54	62	17282	783571;783576;783578;783598
v55	63	17189	154372;154391;154392;154462;154464
v56	65	17230	446970;446977;446983;446986;447001;447005;447007;447011;447012;447016;447017;447020;447022;447028;447034;447037;447042;447043;447046;447051
v57	66	17297	895758;895769
v58	66	17307	963617;963634;963643;963645;963649;963652;963655;963658;963661;963663;963664
v59	68	17260	647800;647820;647934;647941;647950;647960;647969;647970;647972;647973;647976;647981;647985
v60	68	17278	761654
v61	69	17298	903269;903277;903281;903287;903290
v62	70	17284	798244;798250;798270
v63	70	17333	1118043;1118046;1118049;1118052;1118056;1118071;1118073;1118077;1118387;1118388;1118391;1118393;1118408;1118419;1118424;1118425;1118430;1118433;1118457;1118458;1118465;1118487;1118494;1118511;1118655;1118696;1118697
v64	72	17257	626767;626779;626788;626790;626796;626804;626809;626833;626839;626849;626855;626862;626915;626918;626920;626931;626958;627068;627112;627118;630029
v65	74	17263	667265;667267;667279
v66	75	17192	171706;171712;171713;171715;171717
v67	75	17229	437728
v68	75	17247	558963;559018;559020;559024;559031
v69	75	17250	582147;582297
v70	75	17285	810608
v71	75	17315	1015777
v72	77	17284	800066;800070;800085;800089;800096;800098;800101
v73	78	17340	1167597;1167780;1167834
v74	80	17334	1123947;1123970;1123971;1123980;1123987;1123993;1124016;1124024;1124034;1124041;1124042;1124095;1124098;1124127;1124129;1124157;1124165
v75	80	17340	1172220;1172251;1172278;1172281;1172311;1172319;1172320
v76	81	17220	364966;364974;364988;365005;365006;365007;365017;365019
v77	82	17238	492101;492107;492110;492113;492114
v78	83	17210	298671;299178;299181;299184
v79	83	17233	460063;460067
v80	83	17265	686569
v81	83	17294	876110;876112;876116;876117;876121;876269;876283;876287
v82	83	17302	925922
v83	83	17307	965670;966179;966234
v84	83	17310	976969
v85	84	17268	704026
v86	84	17331	1103538;1103543;1103554
v87	86	17251	587197;587221;587225;587238;587248;587251
v88	87	17249	573495;573553;573561;573570;573579
v89	87	17307	962557
v90	88	17187	137226;137384;137394;137398;137400;137403;137404;137407;137409;137418;137422;137426
v91	88	17232	452663;452671;452674;452675;452677;452679;452684;452686;452689;452694;452695;452699;452700
v92	88	17249	571213;571218
v93	88	17260	651123
v94	90	17301	920746
v95	92	17322	1056485;1056488;1056498;1056504;1056510
v96	93	17209	291891;291894;291896
v97	93	17250	581524;581532;581534;581536;581539;581691
v98	94	17193	176822;176828
v99	94	17196	192840;192849
v100	94	17268	704587
v101	95	17255	612086;612090;612097;612101
v102	96	17326	1081703
v103	97	17198	212147
v104	98	17220	369815;369833;369944;369947;369951;369954;369955
v105	99	17335	1131792;1131795;1131799;1131801;1131803;1131807;1131812;1131819;1131820;1131831;1131841;1131842;1131885;1131887;1131889;1131893;1131906;1131909;1131921;1131945
v106	100	17307	961942;961944;961947;961950;961953;961964;961967;961968;961972;961977;961980;961983;961985
v107	101	17223	387208
v108	102	17226	415022
v109	103	17247	559288;559289
v110	105	17278	760939;760956;760957
v111	106	17241	516109;516112;516151;516155;516163;516166;516168;516171;516174;516192;516207;516208
v112	107	17286	819869;819873;819992
v113	109	17336	1141819;1141821;1141866;1141930;1141950
v114	110	17272	726813;726824;726825;726828;726835
v115	112	17220	366513;366520;366521;366525;366528;366534;366544
v116	113	17169	16334;16335;16355;16365;16367;16369;16374;16417;16419;16427
v117	115	17281	777562;777578;778012;778019;778020;778023;778031
v118	118	17197	201202;201208;201209;201212;201232
v119	118	17282	786564
v120	120	17334	1128164;1128167;1128171;1128173;1128181;1128182;1128184;1128187;1128188;1128827;1128829
v121	120	17335	1133042
v122	121	17279	770895;770901;770913;770921;770923;770924;770925
v123	122	17270	717063;717067;717068;717071;717072;717076;717082;717084;717085;717086;717088
v124	124	17219	360493;360521
v125	125	17183	113585
v126	127	17302	927473;927484;927496;927506
v127	127	17323	1066216
v128	129	17181	100492
v129	130	17226	414769;414777;414782;414786;414788;414817
v130	132	17324	1071291
v131	133	17283	787595;787604;787612;787614
v132	135	17303	933109;933111;933119
v133	136	17275	743308;743312;743316;743317;743321;743324;743325;743327;743334;743337;743345;743346
v134	137	17318	1034001;1034075;1034080;1034163
v135	139	17170	21594
v136	139	17179	81990
v137	140	17241	515034;515055
v138	141	17167	688;691
v139	144	17222	379593;379622
v140	145	17299	906308;906317
v141	146	17218	355253;355256;355260;355273;355291;355295;355301;355304;355309;355335;355366;355381;355397;355410
v142	147	17197	203443;203454;203489;203570;203674;206641;206649;206653;206658;206677;206688;206694;206701
v143	149	17222	383662;383689;383745;383747
v144	152	17332	1112284
v145	153	17309	971212
v146	154	17181	99090;99091;99095;99102;99107;99114;99123;99124;99135;99136;99138
v147	156	17175	56217;56218;56219;56220;56221;56222
v148	157	17315	1013622;1013625;1013637;1013641;1013642
v149	160	17191	167482;167514;167515;167522;167528;167529;167534;167542;167543;167792;167801
v150	161	17229	434963;434966;434969;434972;434974;434975;434977
v151	161	17321	1050283;1050287;1050289;1050291
v152	162	17187	143262;143265;143268
v153	162	17189	156602;156608;156609;156621
v154	162	17254	609142;609166
v155	162	17286	814983;815003;815016
v156	162	17290	847034;847045
v157	162	17293	870800;870801
v158	162	17294	879397;879402
v159	162	17319	1040484;1040569;1040577;1040600;1040602;1040603
v160	162	17327	1088489
v161	162	17341	1181576;1181583;1181594;1181603;1181605;1181615;1181619;1181650
v162	163	17199	216177;216198;216201;216202;216247;216262;216285;216306;216318;216325
v163	166	17259	641573;641575;641690;641693;641695;641697
v164	168	17195	183148;183159;183167;183190;183199;183200;183203;183213;183227;183268;183272;183273;183276
v165	169	17332	1107064;1107071;1107090;1107112;1107114;1107118;1107119;1107125;1107147;1107150;1107163;1107183;1107195;1107201;1107202;1107205
v166	172	17246	549813;549816;549832;549834;549836;549837
v167	173	17277	752350;752360;752361;752363;752365;752369;752373;752374;752375;752382
v168	173	17314	1007800;1007825;1007835;1007870
v169	175	17251	586830;586859;586874;586878;586889
v170	177	17339	1163349;1163357;1163365;1163370;1163373;1163382
v171	178	17269	706253;706254
v172	179	17258	633540;633551;633569;633590;633603;633605;633608
v173	180	17338	1153153
v174	183	17303	932813;932820;932826
v175	184	17180	94369
v176	184	17185	125674;126097
v177	184	17192	175197
v178	185	17291	859269;859392;859397
v179	187	17190	160359;160370;160375;160379
v180	187	17240	507464
v181	187	17275	744710;744714
v182	187	17318	1032313;1032341
v183	187	17319	1038944
v184	187	17324	1070357
v185	187	17330	1100188
v186	189	17305	947175;947185;947190;947204
v187	190	17187	136887;136893;136916;136919;136924;136928;136932;136933
v188	191	17236	478837;478839
v189	193	17232	451019
v190	194	17222	381832;381847;381848;381855;381878;381894;381912;381922
v191	195	17281	778569
v192	198	17184	121387;121399;121404;121406;121407;121412;121433;121445;121462;121464
v193	198	17195	185276;185301;185336;185337;185402
v194	198	17203	249282;249292;249336;249345;249355;249373
v195	198	17257	623658
v196	199	17196	191593;191602
v197	201	17214	327259
v198	201	17273	732405
v199	201	17298	900805;900846;900895;900902;900908
v200	201	17333	1121907;1121918;1121926;1121932;1121956;1121981;1121985;1122009;1122013;1122037;1122052;1122065;1122101;1122134
v201	202	17203	250033
v202	204	17180	92603;92693;92812;92825;92827;92829;92830;92836;92838;92840;92844;92850;92852;92859;92866;92872
v203	204	17208	280255;280266;280273;280281;280283;280285;280287;285187;285206;285437;286506;286510;286519;286521;286523;286530;286532;286533;286535;286538;286539;286548;286553;286596
v204	205	17225	405114;405136;405168;405180
v205	209	17216	338772;338780;338827;338851;338853;338860;338888;338897;338905
v206	209	17271	722062
v207	209	17292	866211
v208	209	17324	1070984
v209	211	17214	323482;323486;323488;323490;323491;323497;323505;323512;323523;323532;323537
v210	211	17248	561564;561568
v211	213	17346	1216138;1216143;1216168;1216192;1216208;1216230;1216267;1216309;1216330;1216338
v212	214	17175	56586;56589;56591;56592;56595;56772;56775;56781
v213	214	17226	412218
v214	214	17258	634290;634303;634310;634311;634314;634315;634317;634318;634320;634322;634326;634329;634332;634334;634357
v215	215	17244	539129;539131;539166;539170;539196;539207;539215;539218;539220;539242;539245;539251;539258;539265;539278;539395;539396;539397;539399;539405;539431
v216	215	17264	674059;674070;674071;674077;674078;674081;674088;674100;674894;674896;674899;674900;674907;674913;674915;674921;674926;674929;674932;674940;674942;674953;674959;674963;674991;675001;675002;675009;675026;675063;675085;675144;675288;675290;675294;675327;675328
v217	220	17173	44387;44447;44522;44523;46806;46928;46941;46950;46974;46978;46982
v218	220	17179	84827;84849;84858
v219	221	17190	158076
v220	222	17222	380830
v221	222	17326	1081990;1082007
v222	224	17325	1072523
v223	227	17256	620789;620799;620825
v224	229	17195	185892;185915;185916;185923;185924;185927;185937;185941
v225	232	17199	217541;217543;217560;217565
v226	234	17206	267132;267661;267701
v227	235	17251	586853;586860;586908;587472;587476;587482;587485;587490;587493;587495
v228	236	17224	399388;399393;399395
v229	236	17242	517408
v230	237	17173	41347;41352;41355;41361;41378;41380
v231	237	17235	466844;466850;466859;466862;466868;466870;466877;466880;466884;466887;466893;466898;466899;466901;466908
v232	237	17282	782100;782107;782111;783650;783656
v233	239	17173	41525;41557
v234	241	17322	1057822;1057839;1057842;1057849;1057864;1057872;1057873;1057875;1057877;1057881;1057886;1057894;1057903;1057916;1057925;1057926;1057930;1057933;1057936;1057937;1057943;1057944;1057945;1057948;1057949
v235	242	17237	487036;487041;487053;487064
v236	243	17202	240058;240436
v237	243	17303	932881;932930;932951;932955;932957;932959;932968;932970;932977;932978;932982;932988;932989
v238	245	17341	1182195;1182202;1182223;1182228;1182244
v239	246	17284	801265;801270;801275;801278;801283;801285;801286;801287;801290;801291;801292;801293;801294;801295
v240	247	17202	240407;240414;240457
v241	247	17241	513987
v242	248	17302	928383;928393
