visit_id	revisit_interval	revisit_intention
v115		0
v203		0
v208		0
v299		0
v335		0
v435		0
v498		0
v529		0
v567		0
v592		0
v606		0
v607		0
v684		0
v764		0
v766		0
v846		0
v868		0
v938		0
v1006		0
v1008		0
v1018		0
v1089		0
v1100		0
v1140		0
v1156		0
v1251		0
v1254		0
v1286		0
v1305		0
v1418		0
v1422		0
v1521		0
v1577		0
v1673		0
v1710		0
v1715		0
v1766		0
v2101		0
v2215		0
v2241		0
v2248		0
v2330		0
v2339		0
v2488		0
v2516		0
v2557		0
v2598		0
v2612		0
v2668	59.94	1
v2669		0
v2693		0
v2792		0
v2829		0
v2868	30.25	1
v2869		0
v3027		0
v3056		0
v3106		0
v3139		0
v3178		0
v3213		0
v3385		0
v3447	28.03	1
v3448		0
v3496		0
v3504		0
v3553		0
v3573		0
v3667		0
v4024		0
v4067		0
v4092		0
v4135	9.82	1
v4136		0
v4178		0
v4203	26.95	1
v4204		0
v4239		0
v4318	1.16	1
v4319		0
v4333		0
v4337	22.99	1
v4338		0
v4417		0
v4501	28.77	1
v4502		0
v4577		0
v4706		0
v4741		0
v4813		0
v4828	32.0	1
v4829		0
v4921		0
v4940		0
v4969		0
v5006	18.78	1
v5007		0
v5008		0
v5048		0
v5085		0
v5105		0
v5146		0
v5315	41.99	1
v5316		0
v5368		0
v5415		0
v5480		0
v5521	37.83	1
v5522		0
v5734		0
v5855		0
v5866		0
v5878	55.93	1
v5879	4.14	1
v5880		0
v5909		0
v5917		0
v5940		0
v5960		0
v6124		0
v6334		0
v6711	5.86	1
v6712		0
v6847		0
v6904	6.8	1
v6905		0
v6932		0
v6986		0
v7004	13.88	1
v7005		0
v7026	2.91	1
v7027	1.77	1
v7028	1.85	1
v7029		0
v7083		0
v7179		0
v7271		0
v7326		0
v7548	48.07	1
v7549		0
v7619		0
v7693		0
v7707		0
v7719		0
v7792		0
v7841		0
v7856	34.23	1
v7857	59.84	1
v7858		0
v8020		0
v8025		0
v8035		0
v8042		0
v8066		0
v8079		0
v8266		0
v8345		0
v8385	49.13	1
v8386		0
v8421		0
v8430		0
v8447	70.79	1
v8448		0
v8457		0
v8479		0
v8569		0
v8587		0
v8603		0
v8711		0
v8757		0
v8804	4.21	1
v8805	68.8	1
v8806		0
v8868		0
v8869		0
v8881		0
v8892		0
v9028		0
v9062	30.98	1
v9063		0
v9108		0
v9139		0
v9170		0
v9242		0
v9299		0
v9310	21.04	1
v9311		0
v9346		0
v9385		0
v9387		0
v9600	8.13	1
v9601		0
v9671	86.11	1
v9672		0
v9705		0
v9760		0
v9762		0
v9780		0
v9785	0.86	1
v9786		0
v9874		0
v9885		0
v10009		0
v10171	16.23	1
v10172		0
v10371		0
v10501		0
v10590		0
v10635		0
v10735		0
v10860		0
v10972		0
v11010		0
v11023		0
v11104		0
v11189		0
v11267		0
v11316		0
v11358		0
v11511		0
v11618		0
v11772		0
v11884	4.87	1
v11885		0
v11910		0
v11954	33.94	1
v11955		0
v11956		0
v12049		0
v12064		0
v12069		0
v12088		0
v12516	6.1	1
v12517		0
v12553		0
v12561		0
v12562		0
v12656		0
v12789		0
v12800	14.03	1
v12801		0
v12824	57.13	1
v12825	15.1	1
v12826		0
v12828		0
v12885		0
v12956		0
v12972		0
v13084		0
v13115	3.21	1
v13116		0
v13153		0
v13174		0
v13176		0
v13337		0
v13398		0
v13399		0
v13547		0
v13591		0
v13594		0
v13605	30.1	1
v13606		0
v13630	18.28	1
v13631		0
v13645		0
v13688		0
v13823		0
v13887		0
v13989		0
v14007		0
v14082		0
v14216		0
v14217		0
v14286		0
v14315		0
