visit_id	revisit_interval	revisit_intention
v68		0
v125		0
v212		0
v273		0
v335		0
v370		0
v378		0
v383		0
v508		0
v531	231.95	1
v603		0
v665	105.03	1
v727	226.98	1
v815	29.02	1
v826		0
v865		0
v993		0
v1202		0
v1462		0
v1487		0
v1501		0
v1509		0
v1560	76.76	1
v1594		0
v1600		0
v1734		0
v1780		0
v1831		0
v1844		0
v1920		0
v2045	96.81	1
v2068		0
v2094		0
v2203		0
v2379		0
v2394		0
v2412		0
v2657		0
v2708		0
v2815		0
v2893	202.62	1
v2911	124.86	1
v2940		0
v3013		0
v3077		0
v3106		0
v3115		0
v3174		0
v3228		0
v3297		0
v3508		0
v3525		0
v3570		0
v3658		0
v3760		0
v3815	215.18	1
v3847		0
v3868		0
v3914		0
v4287		0
v4298		0
v4320	225.01	1
v4410		0
v4496		0
v4505		0
v4658	178.11	1
v4970		0
v5009	188.86	1
v5039		0
v5051		0
v5082		0
v5176	90.78	1
v5199		0
v5251		0
v5275		0
v5441		0
v5614		0
v5618		0
v5672		0
v5677		0
v5781		0
v5782		0
v5797	76.92	1
v5814		0
v5899		0
v5978		0
v6012	205.19	1
v6071	253.69	1
v6221		0
v6317		0
v6344		0
v6429		0
v6513		0
v6544		0
v6618		0
v6816		0
v6835		0
v6887		0
v6910	272.13	1
v6912		0
v6917		0
v7035		0
v7069		0
v7120		0
v7192	102.13	1
v7275		0
v7295		0
v7372		0
v7419		0
v7448		0
v7464	250.19	1
v7652	25.99	1
v7659		0
v7663		0
v7686		0
v7715		0
v7758	158.01	1
v7772		0
v7777		0
v7796	176.27	1
v7880	304.87	1
v7901		0
v7987		0
v8002	137.14	1
v8013		0
v8072		0
v8106		0
v8130		0
v8225	169.13	1
v8271	201.31	1
v8279		0
v8421		0
v8507		0
v8518	245.81	1
v8521		0
v8622		0
v8642		0
v8678		0
v8681		0
v8691		0
v8867		0
v8957		0
v8962	224.93	1
v8965		0
v9079		0
v9197	298.0	1
v9215		0
v9221		0
v9354		0
v9451		0
v9460	228.0	1
v9461		0
v9512	346.92	1
v9644	245.19	1
v9680	223.28	1
v9745		0
v9846		0
v9913		0
v9927		0
v10016		0
v10097		0
v10244		0
v10274		0
v10352	196.05	1
v10499		0
v10610		0
v10705		0
v10814		0
v10835		0
v10890		0
v10915		0
v10931		0
v10979		0
v11003		0
v11049		0
v11210		0
v11222		0
v11262		0
v11479		0
v11483		0
v11605		0
v11635		0
v11737		0
v11750		0
v11811		0
v11899		0
v11958		0
v11981		0
v12026		0
v12118	194.18	1
v12201		0
v12221		0
v12333		0
v12373		0
v12426		0
v12447		0
v12449		0
v12458		0
