visit_id	wifi_id	date	indices
v30	45	17349	541098;541167
v69	85	17320	487148;487167;487175;487189
v72	90	17231	285023;285024;285036;285037;285038;285039;285188
v159	170	17190	107784;107786;107801;107802;107869;107877;107914;107918;107927;107970;107971;107972;107978;107979;108243;108263;108296;108328;108341
v177	188	17206	182931;182944;182989;183019;183035;183322;183333;183335;183336;183338;183342;183343;183354
v264	263	17306	458856;458871;458887;458910;458911;458922
v330	323	17201	157426;157427;157430;157449;157643;157648;157649;157677;157717;157780
v340	336	17185	83866;83867;83878;83910;83916;83919;83929;83993;84033;84036;84037;84042;84176;84191;84211
v389	384	17328	502634;502636;502638;502646;502649;502651
v390	384	17329	504296;504298
v400	392	17360	561848;561852;561858
v410	400	17194	121709;121710;121713;121715;121734;121737;121739;121742;121773;121774;121775;121838;121839
v411	400	17204	173416;173417;173429;173434;173438;173455;173463;173467;173469;173480;173494;173497;173502;173827;173834;173851
v412	400	17213	207856;207860;207861;207877;207878;207879;207880;207885;207888;207889;207890;207898;208200;208215;208225;208230
v419	406	17335	513761;513767;513768;513795;513803;513804;513839
v458	446	17244	333560;333563;333564;333571;333580;333585;333586;333590;333593
v461	451	17177	50394;50397;50419;51974
v559	559	17207	186574;186578;186579;186580
v621	610	17400	648418;648421;648442;648444;648491;648614;648695;648696
v788	760	17328	501270;501271;501278;501279
v789	760	17343	528834;528837;528859;528860;528862
v892	864	17253	363645;363647;363659;363660;363662;363665;363730;363736;363746
v1009	1005	17184	80998;81008;81012
v1010	1005	17211	202433
v1034	1022	17389	621020;621022;621025
v1035	1022	17398	645781;645782;645821
v1111	1108	17201	158643;158655;158668;158692;158727;158728;158748;158753
v1112	1108	17278	413755;413757;413758;413763;413764;413765
v1148	1142	17237	309689;309690
v1149	1142	17315	476927;476928;476942;476947
v1150	1142	17317	483024;483028;483045;483052;483053;483055;483057;483058
v1151	1142	17370	582934;582936;582944;582949;582967;582968;582971;582975;583018;583022
v1152	1143	17191	112265;112271;112334;112339;112340
v1175	1165	17187	91099;91113;91161;91171;91184;91246;91250;91262;91294;91311;91516;91523;91563;91564;91602;91624
v1263	1246	17184	77933;77936;77938;77945;77946
v1397	1386	17212	205982;205984;205987;205988;205991;206009
v1436	1429	17193	118466;118468;118469;118470;118472;118475
v1507	1512	17216	223032;223033;223036;223038;223060;223061;223065;223071
v1508	1512	17311	467335;467340;467372
v1509	1512	17313	471736;471737;471754;471755;471766;471767;471768
v1510	1512	17333	510721;510722;510731
v1570	1577	17384	611220;611221;611222;611227;611232;611234
v1658	1669	17172	29976;29979;30021
v1867	1865	17240	321266;321326;321327;321330;321423;321431;321432;321433;321459
v1967	1968	17340	522890;522906;522926;522927;522930;522931;522932;522933;522936
v1987	1987	17194	119247;119296;119414;119426;119468
v2058	2053	17332	507567;507569;507582
v2081	2076	17218	230698;230699;230703;230705
v2082	2076	17226	263068;263072;263075;263077;263081;263086;263088;263089;263108;263109;263110;263111;263112
v2083	2076	17254	366385;366397
v2107	2112	17201	155071;155072;155125;155126;155134;155142;155143;155145;155150;155165;155285;155351;155352;155364;155366
v2167	2167	17207	184156;184167;184182;184183;184189;184209
v2259	2253	17172	31767;31808;31811;31812;31822;31833
v2409	2407	17358	558228;558230;558357;558370;558372
v2506	2493	17238	314747;314749;314762;314764;314765;314766;314771
v2513	2502	17183	76737;76738;76740;76741;76742;76743
v2514	2502	17194	119497;119498;119525;119526;119531;119534;119553;119570;119578;119580;119583;119589;119595;119596;119997;120023;120029;120030;120035
v2515	2502	17196	132561;132563;132568;132571;132573;132586;132600;132603;132608;132625
v2542	2529	17206	182385;182386;182390;182392;182393
v2543	2529	17234	295754;295756;295757;295758
v2544	2529	17370	582004;582005
v2635	2623	17315	478372;478373;478382;478456
v2658	2645	17173	33665;33667;33682;33715;33749;33778;33779;33782;33809
v2698	2695	17349	539599;539655;539667;539668;539749;539755;539852;539884;539918;539923;539942;539945
v2775	2771	17172	30749;30757;30778;30782;30801;30806;30831;30847;30848;30850;30851;30871
v2776	2771	17186	86914;86915;86932;86949;86955;86971;86972
v2827	2817	17378	597572;597574;597578;597579;597580
v2854	2849	17245	339369;339375;339381;339384;339400;339401;339402;339404;339421;339423;339429
v2855	2849	17248	349054
v2955	2953	17179	56892;56894;56911;56926;56951;56963;56965;56976;57004;57028;57030;57032;57033;57037;57047;57049;57071
v2997	2996	17379	599866;599867;599870;599872;599876;599941
v3085	3073	17201	160018;160022;160023;160024;160028;160071;160080;160081;160103;160134
v3182	3165	17328	501044;501045;501075;501076
v3229	3203	17286	425186;425191;425192
v3230	3203	17288	430918;430920;430922;430923
v3231	3203	17295	443180;443181;443182;443183
v3243	3214	17365	572933;572941;572945;572948
v3315	3287	17195	122893;122897;122936;123222;123228;123232;123437;123472;123675;123697
v3380	3354	17189	102683;102684;102746;102786;102794;102813;103007;103038;103040
v3416	3388	17240	320917;320920;320921;320923;320925;320926;320930;320931;320932;320933
v3631	3612	17223	254356;254357;254361;254369
v3734	3713	17190	106977;106978;106980;106984;106996;106997
v3759	3740	17212	205325;205333;205334;205344;205354;205409
v4033	3988	17290	434483;434494;434598;434599;434601;434623;434709
v4050	4001	17222	247749;247752;247856;247859;247869
v4116	4067	17351	543750;543752;543835
v4131	4085	17222	247800;247817;247820;247823;247828;247829;247832;247883;247891;247892
v4191	4141	17206	179976;180002;180014;180029
v4317	4261	17207	184848;184875;184878;185156
v4324	4267	17303	454247;454248;454253;454256;454261;454271;454273;454308
v4332	4274	17191	110485;110489;110499;110546;110555;110559;110703;110704
v4363	4310	17385	611869;611870;611879;611881;611949;611951;611954;611959;611985;611986
v4412	4357	17253	362728;362732;362734;362750;362751;362752
v4413	4357	17351	543368;543369;543370;543376;543409;543411
v4662	4610	17195	124284;124338;124452;124609
v4703	4654	17192	115517;115518;115519;115520;115522;115541;115542;115545;115546
v4709	4664	17289	432813;432814;432824
v4718	4672	17406	662575;662577;663307;663310
v4974	4925	17194	119456;119476;119477
v4981	4931	17247	345715;345719;345740;345741;345756
v5041	4992	17381	602887;602895;602923;602930;602953;602982;602990;602993
v5059	5014	17407	663959;663960
v5085	5041	17364	570939;570940;570943;570957;570958;570959;570962;570963
v5155	5113	17388	619055
v5156	5113	17391	624849
v5221	5186	17173	32819;32820;33126;33127;33205
v5289	5267	17231	285427;285436;285437;285443;285454;285456;285457;285471;285474;285475;285476;285477;285478
v5368	5362	17215	216238;216239;216259;216266;216275;216285;216386;216387;216396;216397
v5479	5478	17187	91864;91865;91866;91880;91882;91885;91892;91901;91926;91927;91933;91935;91936;91945;91947
v5480	5478	17318	483556
v5527	5527	17198	143760;143761
v5528	5527	17260	386783;386784;386785;386786;386787
v5566	5567	17226	263333;263356;263399;263505;263508
v5590	5587	17222	248046;248089;248381
v5649	5644	17363	567375;567387;567433;567434;567437;567441
v5653	5649	17214	215278;215297;215316;215350;215357;215365;215389;215392;215410;215421;215426;215430;215433;215444
v5709	5709	17235	297691;297694;297709;297710;297734;297737;297739;297743;297747;297890;297892;297898;297901;297905;297926;297948;297960;297961
v5710	5709	17283	419988;419989;419990;419991;420013;420014;420015;420018;420022;420045;420069
v5853	5857	17300	449921;449923;449931;449974;449975;449976;449978;449980;449981;449984;449985
v5854	5857	17348	539048;539050;539056;539076;539077;539078;539079;539080;539082
v5927	5925	17347	536687;536688;536689;536728;536730;536732;536738;536761
v5995	6010	17210	198255;198256;198257;198268;198272
v6029	6044	17174	41760;41761;41772;41774;41817;41823;41828;41829;41832;41838;41843;41845
v6162	6169	17313	470928;470933;470937;471063;471064;471065
v6191	6202	17388	618471;618484;618624;618625
v6244	6243	17362	564574;564575;564589;564590
v6245	6243	17386	614693;614694;614699;614702;614708;614712;614713;614714;614732;614749;614750
v6322	6327	17386	614917;614918;614923;614944;614945;614960;614981
v6404	6415	17372	585786;585787;585864;585868
v6428	6437	17214	214321;214331;214341;214360
v6585	6574	17259	382969;382971;383005;383019;383023;383039
v6749	6750	17262	388424;388425;388428;388429
v6750	6750	17374	588723;588725
