index	wifi_id	ts	area	dwell_time
131	19587	1483239878	out	628
159	19587	1483240008	in	463
175	19587	1483240130	b1	282
212	19587	1483240372	b1_only	40
213	19587	1483240372	b1-b	40
562	14035	1483241498	out	262
933	19587	1483242932	out	482
1022	19587	1483243170	in	230
1023	19587	1483243170	1f	230
1062	19587	1483243326	1f-d	73
1592	19587	1483245086	out	476
1618	24298	1483245194	out	4354
1641	24298	1483245251	in	4201
1642	24298	1483245251	1f-d	210
1643	24298	1483245251	1f	762
1644	24298	1483245252	1f-c	199
1646	24298	1483245257	1f-e	745
1888	24298	1483246063	2f-a	467
1889	24298	1483246063	2f	626
1893	24298	1483246082	2f-e	607
1905	24298	1483246143	2f-d	39
1924	24298	1483246196	2f-c	184
2029	24298	1483246721	b1	2460
2032	24298	1483246725	b1_only	2452
2036	24298	1483246729	cafe	2444
2038	24298	1483246733	b1-b	499
2039	24298	1483246734	b1-a	614
2074	24298	1483246900	b1-c	82
2220	39206	1483247341	out	1117
2463	39206	1483247986	in	448
2464	39206	1483247986	1f-c	439
2465	39206	1483247986	1f	448
2472	39206	1483248007	1f-e	403
2499	39206	1483248147	2f	144
2500	39206	1483248147	2f-a	15
2507	39206	1483248178	2f-d	2
2511	39206	1483248196	2f-c	15
2531	39206	1483248261	2f-e	2
2571	39206	1483248416	1f-d	16
2780	24298	1483249140	b1-a	23
2807	24298	1483249233	1f	219
2858	24298	1483249414	1f-e	30
2921	47936	1483249740	out	1036
2979	47936	1483250038	1f	712
2980	47936	1483250038	in	716
2981	47936	1483250038	1f-d	697
2983	47936	1483250044	1f-c	693
3019	47936	1483250114	1f-e	615
3024	8664	1483250137	out	166
3077	47936	1483250216	2f	201
3081	47936	1483250224	2f-a	167
3096	47936	1483250249	2f-e	168
3108	47936	1483250269	2f-b	73
3111	47936	1483250272	2f-c	67
3172	47936	1483250449	b1	241
3177	47936	1483250463	b1_only	226
3178	47936	1483250464	cafe	221
3180	47936	1483250472	b1-a	195
3181	47936	1483250474	b1-b	85
3189	47936	1483250501	b1-c	34
3258	20446	1483251016	out	1620
3270	20446	1483251040	1f	125
3271	20446	1483251040	in	1223
3283	20446	1483251053	1f-e	73
3346	20446	1483251265	2f-a	448
3347	20446	1483251265	2f	664
3404	14988	1483251424	out	33
3455	20446	1483251553	2f-b	4
3457	20446	1483251555	2f-c	136
3474	20446	1483251664	2f-e	239
3481	8664	1483251704	out	337
3500	26647	1483251756	out	232
3548	20446	1483251951	1f-e	307
3549	20446	1483251951	1f	312
3780	13518	1483253260	out	3903
3836	13518	1483253428	1f	3478
3837	13518	1483253428	in	3478
3838	13518	1483253429	1f-c	237
3839	13518	1483253430	1f-d	238
3861	13518	1483253495	1f-e	182
3961	13518	1483253744	2f	1543
3969	13518	1483253758	2f-c	655
3978	38814	1483253782	out	3969
3989	13518	1483253791	2f-b	150
3996	13518	1483253808	2f-e	1474
3998	38814	1483253816	in	3849
3999	38814	1483253816	1f-d	669
4000	38814	1483253816	1f	683
4005	38814	1483253829	1f-e	3
4017	13518	1483253839	2f-d	1374
4028	38814	1483253848	b1	3485
4059	38814	1483253906	cafe	3420
4060	38814	1483253907	b1_only	3420
4062	38814	1483253910	b1-a	781
4084	38814	1483253961	b1-b	130
4121	13518	1483254026	2f-a	476
4139	20446	1483254077	out	145
4151	13518	1483254103	b1	2797
4159	13518	1483254114	cafe	204
4160	13518	1483254116	b1_only	185
4165	13518	1483254120	b1-a	175
4168	13518	1483254125	b1-b	146
4170	13518	1483254135	b1-c	80
4179	38814	1483254164	2f	271
4180	38814	1483254165	2f-e	189
4256	38814	1483254409	2f-a	11
4290	13518	1483254555	1f-e	2346
4292	13518	1483254560	1f-c	787
4317	13518	1483254641	1f-d	717
4332	14988	1483254729	out	50
4447	13518	1483255163	2f-c	28
4453	13518	1483255186	b1_only	874
4543	13518	1483255453	cafe	606
4546	13518	1483255458	b1-a	594
4549	13518	1483255466	b1-b	549
4566	13518	1483255529	b1-c	469
4765	13518	1483256175	2f	237
4766	13518	1483256179	2f-c	180
4768	13518	1483256182	2f-b	174
4783	13518	1483256237	2f-e	175
4788	13518	1483256258	2f-d	84
4872	13518	1483256439	1f-c	464
4874	13518	1483256454	1f-d	453
5129	38814	1483257406	1f	259
5156	38814	1483257470	1f-d	195
5158	38814	1483257471	1f-c	6
5926	452	1483260038	out	2355
6152	452	1483260648	in	1644
6153	452	1483260648	1f	1644
6173	452	1483260734	1f-e	206
6181	452	1483260759	2f	1258
6198	452	1483260816	b1	1207
6202	452	1483260842	b1_only	706
6247	452	1483261074	cafe	949
6251	452	1483261080	b1-a	162
6270	452	1483261129	b1-b	403
6417	452	1483261636	2f-a	322
6420	452	1483261652	2f-d	229
6464	452	1483261726	2f-e	104
6542	452	1483261940	2f-c	4
7076	20446	1483264426	out	489
7322	48581	1483265661	out	209
7328	10458	1483265689	out	1253
7506	48581	1483266807	out	35
7735	23778	1483269273	out	808
7753	23778	1483269321	1f-d	50
7754	23778	1483269321	in	634
7755	23778	1483269321	1f	634
7756	23778	1483269323	1f-c	631
7764	23778	1483269344	b1	583
7774	23778	1483269394	1f-e	44
7785	23778	1483269471	b1_only	450
7786	23778	1483269471	cafe	448
7789	23778	1483269478	b1-a	392
7793	23778	1483269487	b1-b	423
8324	19328	1483321648	out	1857
8343	19328	1483321751	in	1662
8344	19328	1483321751	1f-d	166
8345	19328	1483321751	1f	593
8346	19328	1483321763	1f-c	213
8415	19328	1483322203	1f-e	3
8458	19328	1483322514	b1	499
8459	19328	1483322516	cafe	136
8469	19328	1483322524	b1-a	246
8470	19328	1483322524	b1_only	489
8478	19328	1483322560	b1-b	453
8552	19328	1483323349	1f	64
8558	19328	1483323405	1f-e	2
8672	9686	1483324879	out	116
8706	2001	1483325431	out	3
9191	9686	1483328189	out	1119
9268	9686	1483328495	in	728
9270	9686	1483328498	1f-d	721
9271	9686	1483328498	1f	725
9277	9686	1483328527	1f-c	689
9288	9686	1483328552	1f-e	7
9306	9686	1483328629	2f	122
9311	9686	1483328649	2f-e	88
9322	9686	1483328684	2f-d	44
9324	9686	1483328689	2f-c	23
9357	9686	1483328799	b1	385
9358	9686	1483328803	b1_only	374
9359	9686	1483328804	cafe	377
9361	9686	1483328810	b1-a	360
9370	9686	1483328849	b1-b	114
9384	9686	1483328888	b1-c	104
9437	405	1483329202	out	1091
9440	4455	1483329218	out	6
9503	405	1483329486	in	753
9523	405	1483329533	1f	706
9524	405	1483329540	1f-d	698
9527	405	1483329556	1f-c	682
9549	405	1483329650	1f-f	546
9562	405	1483329698	1f-e	513
9570	405	1483329738	b1_only	234
9571	405	1483329738	b1	235
9573	405	1483329740	cafe	231
9579	405	1483329758	b1-a	204
9580	405	1483329766	b1-b	190
9588	405	1483329831	b1-c	21
9614	405	1483329993	2f	180
10417	4455	1483332862	out	1755
10571	4455	1483333427	in	1069
10572	4455	1483333427	1f	1069
10577	4455	1483333439	1f-d	1013
10595	4455	1483333508	1f-c	913
10635	4455	1483333618	1f-e	878
10667	4455	1483333715	b1	623
10671	4455	1483333736	2f	582
10828	4455	1483334275	2f-a	26
10830	4455	1483334289	2f-e	12
10842	4455	1483334364	1f-f	20
11139	49866	1483335798	out	68
11785	34492	1483338315	out	25
11826	1911	1483338543	out	456
11835	1911	1483338579	1f-d	32
11836	1911	1483338579	1f	421
11837	1911	1483338579	in	421
11840	1911	1483338587	1f-c	21
11843	1911	1483338607	1f-e	22
11844	1911	1483338622	1f-f	31
11845	1911	1483338626	2f	346
11893	1911	1483338846	2f-a	63
11904	1911	1483338910	2f-c	3
12427	49866	1483341199	out	3
12847	48581	1483342635	out	25
13052	405	1483343230	out	304
13190	8135	1483343705	out	1198
13191	8135	1483343705	in	1170
13192	8135	1483343705	1f-d	156
13193	8135	1483343705	1f	1168
13210	5509	1483343795	out	2191
13222	8135	1483343848	1f-e	22
13243	5509	1483343923	1f	1683
13244	5509	1483343923	1f-c	221
13245	5509	1483343923	in	1683
13331	5509	1483344132	1f-d	211
13345	5509	1483344193	1f-f	1385
13356	5509	1483344230	2f-e	31
13357	5509	1483344230	2f	60
13362	8135	1483344280	2f-a	203
13363	8135	1483344280	2f	214
13366	8135	1483344293	2f-e	202
13375	12887	1483344348	out	523
13379	8135	1483344363	2f-d	40
13380	8135	1483344368	2f-c	34
13386	5509	1483344404	b1	881
13387	5509	1483344405	cafe	856
13388	5509	1483344407	b1_only	853
13389	5509	1483344407	b1-a	549
13405	5509	1483344456	b1-b	799
13425	8135	1483344547	1f-c	178
13466	8135	1483344678	1f-e	72
13470	8135	1483344694	1f-d	179
13475	12887	1483344706	in	137
13476	12887	1483344706	1f	137
13509	12887	1483344796	1f-f	4
13515	12887	1483344815	1f-e	11
13540	5509	1483344887	1f-e	461
13565	5509	1483344987	b1-c	36
13584	30449	1483345062	out	2357
13585	30449	1483345065	1f-d	10
13586	30449	1483345065	1f	520
13587	30449	1483345065	1f-c	501
13588	30449	1483345065	in	2288
13660	30449	1483345319	2f	95
13688	30449	1483345398	2f-a	16
13767	30449	1483345732	b1	880
13768	30449	1483345732	cafe	628
13773	30449	1483345750	b1_only	862
13774	30449	1483345754	b1-a	561
13986	30449	1483346573	1f	779
14052	30449	1483347029	1f-c	274
14439	48581	1483348821	out	40
15631	48779	1483407989	out	642
15635	48779	1483408020	in	495
15636	48779	1483408022	1f	492
15637	48779	1483408023	1f-c	487
15638	48779	1483408025	1f-d	483
15644	48779	1483408167	1f-e	330
15647	48779	1483408225	1f-f	264
15659	48779	1483408268	2f-e	55
15660	48779	1483408268	2f	214
16076	48779	1483411585	out	872
16339	31559	1483413440	out	96
16570	46949	1483415478	out	225
16572	46949	1483415498	in	169
16573	46949	1483415498	1f-d	164
16574	46949	1483415498	1f	169
16575	46949	1483415499	1f-c	161
16730	25067	1483417202	out	679
16733	25067	1483417225	in	608
16734	25067	1483417225	b1	361
16735	25067	1483417226	1f	606
16740	25067	1483417235	1f-d	596
16746	25067	1483417301	1f-c	531
16761	25067	1483417373	1f-e	129
16774	25067	1483417488	1f-f	313
16782	25067	1483417644	2f	132
16783	25067	1483417644	2f-a	3
16785	25067	1483417656	2f-e	103
16787	25067	1483417681	2f-d	11
16790	25067	1483417697	2f-c	52
16791	25067	1483417710	2f-b	4
17007	27091	1483419605	out	1172
17074	11971	1483420039	out	2120
17143	11971	1483420425	in	1684
17149	11971	1483420447	1f	131
17179	11971	1483420667	2f-a	4
17180	11971	1483420667	2f	974
17188	11971	1483420739	2f-e	898
17209	11971	1483420815	2f-d	801
17219	11971	1483420839	2f-c	25
17421	11971	1483421768	1f	341
