visit_id	revisit_interval	revisit_intention
v215		0
v223		0
v224	132.98	1
v267		0
v355		0
v432		0
v480		0
v500		0
v518		0
v595		0
v618		0
v634		0
v647		0
v756	219.02	1
v798		0
v820		0
v981		0
v986		0
v988		0
v999		0
v1133		0
v1159		0
v1246		0
v1283		0
v1317		0
v1707		0
v1735	205.28	1
v1742		0
v1745		0
v1788		0
v1798		0
v1810		0
v1832		0
v2238		0
v2240		0
v2466		0
v2504		0
v2547	156.02	1
v2626		0
v2798		0
v2806		0
v2927		0
v3035		0
v3071		0
v3312		0
v3376		0
v3456		0
v3471		0
v3490		0
v3509		0
v3529		0
v3618		0
v3650		0
v3652		0
v3654		0
v3769		0
v3829	143.76	1
v3866		0
v3874		0
v3972	122.22	1
v4081		0
v4101		0
v4102		0
v4147		0
v4249		0
v4305		0
v4306		0
v4372		0
v4386		0
v4407	57.27	1
v4457	279.87	1
v4667		0
v4684		0
v4697		0
v4746		0
v4825		0
v4901	128.84	1
v4984	148.08	1
v5012		0
v5105		0
v5134		0
v5146		0
v5193		0
v5194	105.69	1
v5230		0
v5330		0
v5450		0
v5469		0
v5472		0
v5493		0
v5720		0
v5863	305.14	1
v5938		0
v5939		0
v5956		0
v6006	56.18	1
v6255		0
v6278		0
v6311		0
v6387		0
v6405		0
v6429		0
v6456		0
v6494		0
v6525		0
v6608	206.79	1
v6620		0
v6724		0
v6925		0
v6934		0
v7160		0
v7181		0
v7229	167.58	1
v7230		0
v7237	208.29	1
v7345		0
v7431		0
v7452		0
v7457		0
v7506		0
v7550		0
v7591		0
v7625		0
v7631		0
v7738	128.85	1
v7805		0
v7814	224.89	1
v7838	195.81	1
v7884		0
v7886		0
v7901		0
v7920	332.07	1
v7947		0
v7993		0
v8113		0
v8223		0
v8373		0
v8402		0
v8445		0
v8459	47.03	1
v8554		0
v8727	209.99	1
v8762	24.92	1
v8782	124.91	1
v8897		0
v8908		0
v9103		0
v9109		0
v9367		0
v9422		0
v9571		0
v9710	292.14	1
v9797		0
v9944		0
v9977		0
v10021	90.09	1
v10022		0
v10025		0
v10127		0
v10146		0
v10204		0
v10235		0
v10388		0
v10467		0
v10500		0
v10565		0
v10666		0
v10777		0
v10808		0
v10872		0
v10926	92.93	1
v10938	283.05	1
v10952		0
v11058		0
v11059		0
v11101		0
v11191		0
v11220		0
v11243		0
v11441		0
v11589		0
v11734		0
v11801	214.08	1
v11856	228.16	1
v11978	79.85	1
v12134	282.17	1
v12193		0
v12211	165.92	1
v12247		0
v12327	244.98	1
v12398	254.28	1
v12467		0
v12520		0
v12629		0
v12671		0
v12750		0
v12795		0
v12904		0
v12921	214.89	1
v13034		0
v13119	180.06	1
v13308		0
v13317	157.9	1
v13331		0
v13332		0
v13582	129.98	1
v13761		0
v13772	154.19	1
v13821		0
v13829		0
v13840		0
v13910		0
v13967	195.07	1
v14003		0
v14101	177.15	1
v14157		0
v14323		0
v14417	171.98	1
v14471		0
v14488	185.07	1
v14489		0
v14568		0
v14574	184.0	1
v14599		0
v14605		0
v14732		0
v14893		0
v14915		0
v15065		0
v15124		0
v15182		0
v15285	209.0	1
v15356		0
v15435		0
v15527		0
v15585		0
v15676	65.36	1
v15703		0
v15823		0
v15946	32.02	1
v16048		0
v16051		0
v16074	85.95	1
v16101		0
v16105		0
v16292		0
v16441		0
v16464	188.08	1
v16470		0
v16692		0
v16743		0
v16778		0
v16899	158.75	1
v16931	69.99	1
v16949		0
v17030		0
v17111		0
v17151		0
v17186	177.83	1
v17199		0
v17229		0
v17244		0
v17313		0
v17361		0
v17379	239.21	1
v17381		0
v17436		0
v17467	238.26	1
v17492		0
v17508	150.74	1
v17601		0
v17655		0
v17659		0
v17699		0
v17700	323.01	1
v17748		0
v17793		0
v17920		0
v17937		0
v18024		0
v18162		0
v18200		0
v18255		0
v18394	231.83	1
v18458		0
v18502		0
v18572		0
v18612		0
v18621		0
v18698		0
v18852	173.81	1
v19007		0
v19013		0
v19038		0
v19049		0
v19166		0
v19209		0
v19249		0
v19454		0
v19514		0
v19521		0
v19539		0
v19564		0
v19628		0
v19643		0
v19668	67.87	1
v19686		0
v19754		0
v19765		0
v19964		0
v20056		0
v20067		0
v20227		0
v20255		0
v20270	118.96	1
v20279		0
v20535		0
v20577		0
v20612		0
v20708		0
v20814		0
v20894	152.09	1
v20940		0
v21205	162.02	1
v21258		0
v21666		0
v21766		0
v21773		0
v22043	125.7	1
v22137		0
v22233		0
v22234		0
v22536	169.76	1
v22539		0
v22689		0
v22749		0
v22756		0
v22854		0
v22947		0
v22965	304.04	1
v23018		0
v23019		0
v23135		0
v23159		0
v23179		0
v23218		0
v23328		0
v23329		0
v23346		0
v23348	267.94	1
v23366		0
v23383		0
v23422		0
v23446	248.84	1
v23468		0
v23550		0
v23731		0
v23738		0
v23777		0
v23849		0
v23949		0
v24001		0
v24057		0
v24111		0
v24188		0
v24219		0
v24704	148.18	1
v24761		0
v24901		0
v24924		0
v25004	61.09	1
v25020		0
v25052		0
v25126		0
v25277		0
v25304		0
v25379	163.0	1
v25396		0
v25409		0
v25586		0
v25600		0
v25920	247.9	1
v25943		0
v25980		0
v25999		0
v26079		0
v26205		0
v26231		0
v26333		0
v26402		0
v26443		0
v26463		0
v26479		0
v26528		0
v26554		0
v26606		0
v26639		0
v26644		0
v26682		0
v26698	171.85	1
v26704		0
v26716		0
v26738		0
v26742		0
v26798		0
v26814	119.08	1
v26856		0
v26872		0
v26906	101.21	1
v26978		0
v27020		0
v27091	233.67	1
v27188		0
v27192	87.1	1
v27242		0
v27315		0
v27335		0
v27362		0
v27374		0
v27469		0
v27514	299.07	1
v27539		0
v27561	60.32	1
v27586		0
v27669		0
v27734		0
v27779		0
v27815		0
v27970		0
v27979		0
v28009		0
v28048		0
v28069		0
v28101		0
v28146		0
v28155		0
v28341		0
v28344		0
v28368		0
v28370		0
v28511		0
v28700		0
v28751		0
v28835		0
v28898		0
v28913		0
v28933	44.99	1
v28993		0
v29017		0
v29048	287.86	1
v29251		0
v29291	36.96	1
v29346		0
v29370		0
v29377		0
v29488		0
v29501		0
v29591		0
v29688		0
v29767		0
v29813		0
v29900		0
v29928		0
v30074		0
v30410		0
v30460		0
v30469	131.99	1
v30590		0
v30622		0
v30626	105.21	1
v30653		0
v30787		0
v30837		0
v30928		0
v30999	199.05	1
v31259		0
v31278		0
v31371		0
v31438		0
v31459		0
v31490	172.04	1
v31515		0
v31586		0
v31631		0
v31644		0
v31895		0
v31904		0
v31908		0
v31971		0
v32050	40.12	1
v32114		0
v32158		0
v32318		0
v32372		0
v32483	127.82	1
v32512	89.07	1
v32532		0
v32554		0
v32561		0
v32614		0
v32823		0
v32879		0
v32885		0
v32997		0
v33038		0
v33105		0
v33152		0
v33156		0
v33211		0
v33263		0
v33432		0
v33577		0
v33606		0
v33609		0
v33685		0
v33693		0
v33695	175.43	1
v33762	115.1	1
v33799		0
v33804	149.95	1
v33992		0
v34006	54.1	1
v34080		0
v34106	272.98	1
v34135	145.71	1
v34214	203.1	1
v34282		0
v34400		0
v34445		0
v34552	106.97	1
v34599		0
v34686		0
v34706		0
v34717		0
v34721		0
v34752		0
v34774		0
v34810	242.77	1
v34825		0
v34909		0
v34999		0
v35007		0
v35016		0
v35103		0
v35127		0
v35145	13.98	1
v35287		0
v35326		0
v35343		0
v35374		0
v35379	184.21	1
v35383		0
v35475		0
v35489		0
v35520		0
v35654		0
v35677	126.2	1
v36018	133.09	1
v36042		0
v36116		0
v36184		0
v36233		0
v36457		0
v36502	155.35	1
v36518	182.19	1
v36571		0
v36598		0
v36601		0
v36706		0
v36759		0
v37055		0
v37080		0
v37093		0
v37096	186.91	1
v37134		0
v37170		0
v37185	174.88	1
v37288		0
v37296		0
v37322		0
v37369		0
v37487		0
v37527	118.23	1
v37712		0
v37739		0
v37789		0
v37840		0
v37848		0
v37945	142.99	1
v37965		0
v38052		0
