visit_id	revisit_interval	revisit_intention
v215		0
v223		0
v224		0
v267		0
v355		0
v432		0
v480		0
v500		0
v517	2.98	1
v518		0
v595		0
v618		0
v634		0
v647		0
v754	15.21	1
v755	78.95	1
v756		0
v797	13.75	1
v798		0
v820		0
v977	54.73	1
v978	2.09	1
v979	49.05	1
v980	39.03	1
v981		0
v985	102.17	1
v986		0
v988		0
v999		0
v1133		0
v1159		0
v1246		0
v1283		0
v1317		0
v1706	26.06	1
v1707		0
v1733	3.12	1
v1734	0.84	1
v1735		0
v1742		0
v1745		0
v1788		0
v1798		0
v1809	15.95	1
v1810		0
v1832		0
v2238		0
v2240		0
v2466		0
v2504		0
v2546	33.02	1
v2547		0
v2626		0
v2798		0
v2806		0
v2927		0
v3035		0
v3069	69.94	1
v3070	12.92	1
v3071		0
v3312		0
v3376		0
v3456		0
v3471		0
v3490		0
v3509		0
v3529		0
v3618		0
v3650		0
v3652		0
v3654		0
v3769		0
v3829		0
v3866		0
v3874		0
v3970	41.93	1
v3971	14.08	1
v3972		0
v4081		0
v4101		0
v4102		0
v4147		0
v4249		0
v4305		0
v4306		0
v4371	73.88	1
v4372		0
v4386		0
v4407		0
v4457		0
v4667		0
v4684		0
v4697		0
v4746		0
v4824	44.07	1
v4825		0
v4900	13.12	1
v4901		0
v4984		0
v5012		0
v5105		0
v5134		0
v5146		0
v5193		0
v5194		0
v5229	11.98	1
v5230		0
v5330		0
v5450		0
v5468	21.18	1
v5469		0
v5472		0
v5493		0
v5720		0
v5863		0
v5938		0
v5939		0
v5956		0
v6004	55.88	1
v6005	30.0	1
v6006		0
v6255		0
v6278		0
v6311		0
v6387		0
v6405		0
v6429		0
v6456		0
v6494		0
v6525		0
v6608		0
v6620		0
v6724		0
v6925		0
v6934		0
v7160		0
v7181		0
v7228	6.08	1
v7229		0
v7230		0
v7237		0
v7345		0
v7431		0
v7452		0
v7457		0
v7506		0
v7550		0
v7591		0
v7623	6.85	1
v7624	8.01	1
v7625		0
v7630	158.72	1
v7631		0
v7738		0
v7805		0
v7813	2.95	1
v7814		0
v7837	18.15	1
v7838		0
v7883	19.08	1
v7884		0
v7886		0
v7901		0
v7920		0
v7947		0
v7993		0
v8112	14.03	1
v8113		0
v8222	91.2	1
v8223		0
v8373		0
v8402		0
v8445		0
v8458	109.05	1
v8459		0
v8554		0
v8726	0.8	1
v8727		0
v8762		0
v8780	17.14	1
v8781	74.0	1
v8782		0
v8897		0
v8908		0
v9103		0
v9109		0
v9366	3.21	1
v9367		0
v9422		0
v9571		0
v9710		0
v9797		0
v9944		0
v9976	13.07	1
v9977		0
v10021		0
v10022		0
v10025		0
v10127		0
v10146		0
v10204		0
v10235		0
v10388		0
v10467		0
v10500		0
v10565		0
v10666		0
v10776	17.81	1
v10777		0
v10808		0
v10872		0
v10926		0
v10937	42.92	1
v10938		0
v10951	57.8	1
v10952		0
v11058		0
v11059		0
v11101		0
v11191		0
v11220		0
v11243		0
v11441		0
v11589		0
v11734		0
v11801		0
v11856		0
v11977	173.27	1
v11978		0
v12134		0
v12193		0
v12211		0
v12247		0
v12327		0
v12395	0.94	1
v12396	11.03	1
v12397	1.13	1
v12398		0
v12467		0
v12520		0
v12629		0
v12671		0
v12750		0
v12795		0
v12904		0
v12921		0
v13034		0
v13117	37.33	1
v13118	6.91	1
v13119		0
v13308		0
v13317		0
v13331		0
v13332		0
v13582		0
v13761		0
v13772		0
v13821		0
v13829		0
v13840		0
v13909	9.71	1
v13910		0
v13967		0
v14003		0
v14101		0
v14157		0
v14323		0
v14417		0
v14471		0
v14487	111.12	1
v14488		0
v14489		0
v14567	19.18	1
v14568		0
v14573	5.21	1
v14574		0
v14599		0
v14605		0
v14732		0
v14893		0
v14914	40.24	1
v14915		0
v15065		0
v15124		0
v15182		0
v15285		0
v15356		0
v15435		0
v15527		0
v15585		0
v15674	127.13	1
v15675	14.7	1
v15676		0
v15703		0
v15823		0
v15945	18.07	1
v15946		0
v16048		0
v16051		0
v16074		0
v16101		0
v16105		0
v16292		0
v16441		0
v16464		0
v16470		0
v16692		0
v16743		0
v16778		0
v16898	54.03	1
v16899		0
v16931		0
v16949		0
v17030		0
v17111		0
v17150	4.14	1
v17151		0
v17186		0
v17199		0
v17229		0
v17244		0
v17313		0
v17360	114.84	1
v17361		0
v17379		0
v17380	4.58	1
v17381		0
v17436		0
v17467		0
v17492		0
v17508		0
v17601		0
v17655		0
v17659		0
v17699		0
v17700		0
v17748		0
v17793		0
v17920		0
v17937		0
v18024		0
v18162		0
v18200		0
v18255		0
v18394		0
v18458		0
v18501	114.18	1
v18502		0
v18572		0
v18612		0
v18621		0
v18697	20.93	1
v18698		0
v18852		0
v19007		0
v19012	4.16	1
v19013		0
v19037	83.85	1
v19038		0
v19049		0
v19166		0
v19209		0
v19249		0
v19454		0
v19514		0
v19521		0
v19539		0
v19564		0
v19628		0
v19643		0
v19668		0
v19686		0
v19754		0
v19765		0
v19963	82.95	1
v19964		0
v20055	31.88	1
v20056		0
v20067		0
v20227		0
v20255		0
v20270		0
v20279		0
v20535		0
v20577		0
v20612		0
v20708		0
v20814		0
v20894		0
v20940		0
v21205		0
v21258		0
v21666		0
v21766		0
v21773		0
v22043		0
v22137		0
v22233		0
v22234		0
v22536		0
v22538	13.98	1
v22539		0
v22689		0
v22749		0
v22756		0
v22854		0
v22947		0
v22965		0
v23018		0
v23019		0
v23135		0
v23159		0
v23179		0
v23218		0
v23321	21.02	1
v23322	34.99	1
v23323	13.96	1
v23324	6.98	1
v23325	13.98	1
v23326	20.98	1
v23327	6.97	1
v23328		0
v23329		0
v23346		0
v23347	66.86	1
v23348		0
v23366		0
v23383		0
v23422		0
v23446		0
v23468		0
v23550		0
v23731		0
v23738		0
v23777		0
v23849		0
v23949		0
v24001		0
v24057		0
v24111		0
v24188		0
v24219		0
v24704		0
v24761		0
v24901		0
v24922	7.07	1
v24923	0.77	1
v24924		0
v25004		0
v25020		0
v25052		0
v25126		0
v25277		0
v25304		0
v25379		0
v25396		0
v25408	2.86	1
v25409		0
v25586		0
v25600		0
v25920		0
v25943		0
v25980		0
v25999		0
v26079		0
v26205		0
v26230	7.17	1
v26231		0
v26333		0
v26402		0
v26442	137.89	1
v26443		0
v26463		0
v26479		0
v26528		0
v26554		0
v26606		0
v26639		0
v26644		0
v26682		0
v26698		0
v26703	44.97	1
v26704		0
v26716		0
v26738		0
v26741	4.08	1
v26742		0
v26797	0.9	1
v26798		0
v26814		0
v26856		0
v26872		0
v26906		0
v26978		0
v27020		0
v27091		0
v27188		0
v27192		0
v27242		0
v27315		0
v27335		0
v27362		0
v27374		0
v27469		0
v27514		0
v27537	52.22	1
v27538	21.78	1
v27539		0
v27559	5.71	1
v27560	58.06	1
v27561		0
v27586		0
v27669		0
v27734		0
v27779		0
v27815		0
v27969	2.29	1
v27970		0
v27979		0
v28009		0
v28048		0
v28069		0
v28101		0
v28146		0
v28155		0
v28341		0
v28344		0
v28365	2.09	1
v28366	20.82	1
v28367	83.02	1
v28368		0
v28370		0
v28511		0
v28699	63.82	1
v28700		0
v28751		0
v28835		0
v28898		0
v28913		0
v28933		0
v28993		0
v29014	5.79	1
v29015	74.95	1
v29016	82.02	1
v29017		0
v29048		0
v29251		0
v29290	106.33	1
v29291		0
v29345	33.93	1
v29346		0
v29370		0
v29377		0
v29488		0
v29501		0
v29591		0
v29688		0
v29767		0
v29813		0
v29900		0
v29928		0
v30074		0
v30410		0
v30460		0
v30469		0
v30589	149.93	1
v30590		0
v30622		0
v30624	9.98	1
v30625	88.95	1
v30626		0
v30651	1.89	1
v30652	40.2	1
v30653		0
v30787		0
v30837		0
v30928		0
v30999		0
v31259		0
v31278		0
v31371		0
v31438		0
v31459		0
v31490		0
v31515		0
v31586		0
v31630	1.84	1
v31631		0
v31644		0
v31895		0
v31904		0
v31908		0
v31971		0
v32046	22.91	1
