visit_id	wifi_id	date	indices
v215	301	17298	444084;444098;444129;444131;444141;444143
v223	314	17198	138089;138091;138148;138213;138215;138228;138235;138539;138573;138575;138576
v224	316	17244	333973;334002
v267	386	17196	127496;127506;127656;127681;130159;130160;130222;130307;130353;130355;130358;130383
v355	486	17307	457508;457513;457517;457518;457527;457579;457580;457582;457708;457715;457717;457739;457740;457743;457776;458115;458116;458221;458222;458223
v432	595	17202	160376;160379;160383;160525;160585;160586;160599;160684;160722
v480	653	17341	523162;523168;523171;523172;523175
v500	677	17221	241994;241997;242038;242048;242130;242133;242212;242222;242224;242227;242234;242476;242485;242486
v517	701	17274	402431;402432;402440;402514;402520;402521;402658;402659;402689;402692
v518	701	17277	407940;407942;407977;407983
v595	789	17235	297389;297395;297406;297417;297522;297523;297556;297625
v618	824	17347	534545;534559;534561;534569;534573;534574;534616;534617
v634	841	17204	170830;170831;170891;170894;170897;171003;171017;171027;171039;171130
v647	864	17255	366972;366975;366976;366984;367048;367049;367168;367246;367317
v754	1008	17181	66809
v755	1008	17196	131782
v756	1008	17275	405283
v797	1068	17184	80053;80067;80080;80093
v798	1068	17198	138542;138563;138565;138568
v820	1084	17190	109263;109264;109270;109280;109290;109292;109293;109301;109302;109305;109308
v977	1303	17177	52973;52975;52981;52984;52997;52998;52999;53016;53017;53048;53050;53056;53177;53190
v978	1303	17232	285920;285923;285925;285936
v979	1303	17234	293713;293715;293732;293733;293737;293746;293749;293852
v980	1303	17283	417035;417036;417037;417040;417049;417050;417063;417169;417171;417172;417184
v981	1303	17322	488343
v985	1309	17220	237783;237784;237785;237786;237829;237830;237832;237933;237934;237940;237945;237957
v986	1309	17322	488634;488635
v988	1313	17200	149886;149889;149908;149914;149941;149943;149945;149958;150195;150209;150224
v999	1325	17223	249422;249427;249432;249434;249445;249446;249447;249448
v1133	1500	17324	491231;491235;491236
v1159	1537	17291	433453;433485;433493;433495;433558;433561
v1246	1638	17303	451642;451678;451683;451684
v1283	1690	17232	285395;285398;285405;285409;285410;285421;285424;285427;285597;285602
v1317	1729	17246	337811;337817;337821;337934
v1706	2221	17228	270356;270358
v1707	2221	17254	363641;363643;363645;363649;363654;363656;363657;363659;363665;363679;363684;363686;363701
v1733	2246	17319	481267;481268
v1734	2246	17322	487738;487740;487741;487742;487772;487801;487836;487837;487844
v1735	2246	17323	488956;488960;488964
v1742	2254	17210	195505;195507;195508;195509
v1745	2258	17200	148941;148945;148947;149000;149002;149003;149153
v1788	2332	17183	73506;73510;73513;73546;73636;73637
v1798	2352	17324	490960;490964;490966;490968;490972;491511;491512;491513;491517;491522;491525;491527;491528;491535
v1809	2360	17245	334810;334811
v1810	2360	17261	384700;384701;384702;384703;384704
v1832	2389	17214	211195;211198;211199;211200;211242;211321;211331;211332
v2238	2880	17211	202114;202117;202118;202122;202129;202130;202131;202133
v2240	2882	17174	41740;41741;41757;41759;41768;41771;41774;41777;41783;41999;42011;42012;42016
v2466	3167	17255	365803;365805;365831;365832;365836;365839
v2504	3208	17218	231155;231156;231171;231207;231218
v2546	3255	17180	62199;62202;62203;62229;62233;62234
v2547	3255	17213	208021;208023;208024;208033;208051;208733;208737;208738;208741;208744
v2626	3364	17230	278899;278900;278908;278921
v2798	3582	17186	85856;85861
v2806	3592	17193	116542;116575;116576;116581;116582;116586
v2927	3759	17228	271394;271395;271441;271477
v3035	3886	17289	428166;428167;428172;428175;428220
v3069	3928	17188	99499;99537;99559;99589;99619;99648;99675;99679;99690
v3070	3928	17258	377033;377056;377067;377128
v3071	3928	17271	394941;394945;394947;394948;394972;395014;395017;395020;395030;395154;395267;395288;395289;395290
v3312	4242	17193	115348;115351;115352;115354;115355;115363;115367;115371;115398
v3376	4341	17241	320579;320580;320586;320587;320590;320592;320600;320602;320613;320655;320656
v3456	4441	17252	358477;358478;358482;358550;358553;358555;358595;358615;358616
v3471	4469	17224	258301;258304;258314;258316;258321
v3490	4488	17286	421776;421791;421798;421809;421810
v3509	4512	17319	481377;481384;481415;481416;481417;481428;481451;481485;481493;481500;481501
v3529	4541	17233	291730;291731;291758;291789;291791;291794;291802;291817;291930;291933
v3618	4678	17302	450458;450467;450469;450498;450526;450527
v3650	4722	17177	51747;51771;51772;51773;51827;51828
v3652	4726	17180	62512;62515;62518;62527;62535;62551;62559;62561;62562;62563
v3654	4728	17296	440283;440284;440301;440303;440304;440328;440330
v3769	4886	17200	151352;151353;151354;151375;151377;151391;151401
v3829	4975	17280	413888;413889;413891
v3866	5019	17180	64513;64515;64517;64519;64540;64542;64544;64545;64548
v3874	5026	17270	392588;392604;392605;392637;392931
v3970	5152	17178	53642;53643;53645;53647;53655;53656;53657;53658;53665;53678;53681;53683;53684;53685;53703;53704;53713;53714
v3971	5152	17220	235806;235810;235813;235815;235816;235817;235818;235829;235831;235833;235834;235836
v3972	5152	17234	292511;292515;292517
v4081	5282	17275	403677;403681;403699;403715;403719;403721
v4101	5310	17238	312724;312725;312804
v4102	5312	17197	132713;132727;132775;132788;132829;132830
v4147	5361	17187	93354;93384;93385;93444;93474;93507;93539;93542;93550;93579;93606
v4249	5513	17225	260944;260961;260964;261088;261089;261200;261203;261209;261221;261224;261292;261296;261298;261300;261305;261540;261549;261551;261555;261559;261590
v4305	5589	17327	496533;496558;496573;496574;496634;496635;496670;496672
v4306	5590	17273	400810;400813;400841;400842;400843;400846;400858
v4371	5670	17174	41262;41263;41268;41274
v4372	5670	17248	344802;344803;344812;344861;344872;344885;344951;344952;344954;344969;344970;345006;345022;345023;345030
v4386	5685	17169	17135;17137;17181;17183;17184;17187;17198;17409;17412;17421;17425
v4407	5708	17324	490482
v4457	5764	17249	348454;348455
v4667	6002	17252	359973;359974;359995;360089
v4684	6028	17301	448857;448871;448872;449020;449021
v4697	6041	17203	165194;165196;165203;165307;165309;165316;165325
v4746	6085	17339	519709;519710;519711;519719
v4824	6181	17167	1113;1115;1121;1151;1220;1245;1257;1259;1297;1427;1428;1430;1451;1551;1701
v4825	6181	17211	200097;200143;200146
v4900	6279	17216	221734;221762;221772;221790;221818
v4901	6279	17229	276113;276115;276122;276125;276130;276132;276136;276138;276140;276142;276149
v4984	6386	17288	427556
v5012	6416	17288	426458;426539;426546;426548;426624
v5105	6545	17340	519853;519855;519861;519886;519887;519888;519908;519929;519933;519935;519938;520002
v5134	6577	17168	8735;8738
v5146	6598	17174	39297;39372;39403;39523;39559;39800
v5193	6649	17254	364715;364903;364953
v5194	6651	17313	468478;468481;468493;468494;468496;468499;468533;468546;468552
v5229	6694	17187	91776;91777
v5230	6694	17199	144919;144974;144981
v5330	6811	17175	42355;42367;42368;42369;42370;42383;42384;42385;42386;42387;42405;42409
v5450	6936	17327	495806;495807;495811;495828;495829;495830;495833;495958
v5468	6957	17184	77602;77604;77605
v5469	6957	17205	177706;177707
v5472	6963	17236	301085;301099;301111;301116;301123;301179
v5493	6986	17217	226828;226829;226833;226839;226841
v5720	7247	17216	220496;220654;220683;220687;220711
v5863	7437	17221	240335;240336
v5938	7541	17290	430371;430372;430373;430377;430378
v5939	7542	17181	68654;68686;68687;68739;68828;68923
v5956	7564	17271	396964;396969;396971;396974;396991;397152
v6004	7625	17218	231595;231598;231600
v6005	7625	17274	402313;402314;402318;402319;402320;402367
v6006	7625	17304	452699;452700;452706;452711
v6255	7939	17236	304422;304452;304482;304483;304484;304486;304490;304497
v6278	7972	17235	296837;296922;296983;297120
v6311	8007	17207	183748;183751;183773;183781;183792;183793;183810;183813;183817
v6387	8107	17183	75843;75847;75849;75851;76311;76313;76315;76316;76318;76319;76320;76321
v6405	8127	17314	468920;468922;468924;468926;469122;469155
v6429	8158	17315	474682;474684;474686;474728
v6456	8198	17250	352696;352698;352699;352708;352719;352720;352721;352723
