index	wifi_id	ts	area	dwell_time
39	21664	1483236334	out	120
41	6181	1483236423	out	88
60	6181	1483237693	out	70
73	11157	1483238496	out	910
1068	11157	1483243340	out	2834
1078	11157	1483243384	in	2704
1079	11157	1483243384	1f	221
1080	6181	1483243385	out	2271
1082	11157	1483243389	1f-d	155
1100	6181	1483243437	1f	385
1101	6181	1483243437	in	2140
1108	11157	1483243454	1f-e	147
1113	6181	1483243471	1f-d	96
1115	6181	1483243482	1f-c	63
1119	6181	1483243490	b1	232
1121	6181	1483243496	b1_only	5
1145	11157	1483243534	1f-c	2
1151	6181	1483243562	1f-e	46
1153	11157	1483243565	b1	352
1179	11157	1483243638	b1_only	272
1180	11157	1483243638	b1-a	254
1181	11157	1483243640	cafe	274
1184	11157	1483243657	b1-b	218
1196	11157	1483243722	b1-c	83
1216	6181	1483243833	2f	646
1220	6181	1483243840	2f-a	626
1245	6181	1483243938	2f-e	427
1246	11157	1483243939	2f	1931
1250	11157	1483243953	2f-a	1046
1251	11157	1483243970	2f-c	1638
1254	11157	1483243978	2f-d	1647
1257	6181	1483243984	2f-c	353
1259	6181	1483243990	2f-d	364
1270	16097	1483244017	out	2224
1271	16097	1483244018	in	1958
1273	16097	1483244032	1f-c	178
1274	16097	1483244032	1f	180
1280	11157	1483244040	2f-b	310
1297	6181	1483244059	2f-b	247
1305	11157	1483244103	2f-e	1550
1373	16097	1483244401	2f	503
1421	6181	1483244526	b1	641
1425	11157	1483244537	1f	1551
1427	6181	1483244545	b1_only	587
1428	6181	1483244545	b1-a	585
1430	6181	1483244552	b1-b	498
1431	11157	1483244552	1f-e	270
1441	11157	1483244588	1f-c	90
1451	6181	1483244603	b1-c	437
1528	11157	1483244987	b1	968
1529	6181	1483244990	1f	588
1537	11157	1483245050	cafe	429
1542	11157	1483245055	b1_only	418
1545	11157	1483245059	b1-a	373
1547	11157	1483245063	b1-c	364
1549	11157	1483245065	b1-b	398
1551	6181	1483245067	cafe	71
1552	16097	1483245071	b1	595
1556	16097	1483245081	b1_only	585
