visit_id	revisit_interval	revisit_intention
v86		0
v111		0
v114		0
v139		0
v262		0
v278		0
v301	35.85	1
v392		0
v409		0
v429		0
v533		0
v546		0
v588		0
v657		0
v689		0
v906		0
v934		0
v990		0
v1004		0
v1147		0
v1168		0
v1215	7.06	1
v1227	232.66	1
v1277		0
v1325		0
v1344		0
v1386	94.07	1
v1442	109.97	1
v1463		0
v1566		0
v1736		0
v1761		0
v1888		0
v1942		0
v1956		0
v2124		0
v2144		0
v2241		0
v2246		0
v2401		0
v2489		0
v2552		0
v2556		0
v2815		0
v2833		0
v2922		0
v3009		0
v3034	60.98	1
v3128		0
v3149		0
v3242	55.02	1
v3289		0
v3306		0
v3356		0
v3448		0
v3506		0
v3688		0
v3789		0
v3813		0
v3988		0
v4083		0
v4256		0
v4408		0
v4506	164.17	1
v4539		0
v4596		0
v4921		0
v4961		0
v5122	151.01	1
v5171		0
v5295	162.02	1
v5467		0
v5492		0
v5585		0
v5607		0
v5622		0
v5654		0
v5690		0
v5692		0
v5816		0
v5864		0
v6057		0
v6070		0
v6089	270.62	1
v6128		0
v6143	277.8	1
v6206		0
v6340		0
v6375		0
v6965		0
v6993		0
v7143		0
v7159		0
v7184		0
v7235		0
v7278		0
v7406		0
v7656		0
v7666		0
v7779		0
v7813		0
v7851		0
v7879		0
v7906		0
v7933	273.95	1
v8079		0
v8355		0
v8438		0
v8477		0
v8695		0
v8716		0
v8727		0
v9113		0
v9176	141.0	1
v9209		0
v9215		0
v9294		0
v9983		0
v10035		0
v10130	236.02	1
v10182		0
v10383		0
v10403		0
v10406	159.97	1
v10445		0
v10447		0
v10646	258.09	1
v10692		0
v10798		0
v10842		0
v10846		0
v10874		0
v10881		0
v10883		0
v10888		0
v11110		0
v11159	166.98	1
v11236		0
v11238		0
v11316		0
v11339		0
v11344		0
v11362		0
v11419		0
v11539		0
v11601		0
v11612		0
v11629	196.12	1
v11714		0
v11750		0
v11752	124.35	1
v11811		0
v11821	184.17	1
v11873	180.14	1
v11911		0
v11942	108.78	1
v12108	246.02	1
v12290		0
v12482		0
v12698		0
v12706	43.16	1
v12717		0
v12729		0
v12803		0
v12868		0
v12969		0
v13372		0
v13419		0
v13422		0
v13464		0
v13857	51.03	1
v13955		0
v13969		0
v14081	82.85	1
v14103	202.92	1
v14283		0
v14295	42.99	1
v14496		0
v14667		0
v14777		0
v14852		0
v14856		0
v14860	59.09	1
v14862		0
v14898		0
v14920		0
v15127		0
v15203		0
v15207		0
v15223		0
v15247		0
v15249		0
v15259		0
v15305		0
v15625		0
v15656		0
v15815		0
v15885	79.89	1
v15925		0
v16113		0
v16125		0
v16213		0
v16246		0
v16345		0
v16385		0
v16534	113.93	1
v16771		0
v16803		0
v16857		0
v17063		0
v17263		0
v17264		0
v17299		0
v17411		0
v17470		0
v17505	8.13	1
v17513		0
v17669		0
v17686		0
v17800		0
v17940	244.88	1
v18044		0
v18245		0
v18355	75.94	1
v18409		0
v18479		0
v18558		0
v18938		0
v18981		0
v19004		0
v19006		0
v19029	62.92	1
v19065		0
v19093		0
v19150		0
v19187		0
v19191		0
v19430		0
v19463	111.12	1
v19480		0
v19542		0
v19638		0
v19768		0
v19771		0
v19772		0
v19898		0
v20008		0
v20014		0
v20048		0
v20126		0
v20189		0
v20207	22.76	1
v20242	17.92	1
v20249		0
v20312		0
v20426		0
v20427		0
v20482		0
v20483	157.18	1
v20505		0
v20614		0
v20621		0
v20639		0
v20646		0
v20741		0
v20844	54.55	1
v20869		0
v21052		0
v21394		0
v21396	213.8	1
v21480	29.47	1
v21749		0
v21788		0
v21794		0
v21883		0
v21912		0
v22195		0
v22222	113.09	1
v22225		0
v22401		0
v22405		0
v22902		0
v22991		0
v23110		0
v23176	181.91	1
v23264		0
v23312		0
v23315		0
v23324		0
v23606		0
v23665		0
v23692		0
v23774		0
v23780		0
v23912		0
v23928		0
v23929		0
v24030		0
v24033		0
v24042		0
v24116		0
v24148		0
v24184	86.95	1
v24289		0
v24367	186.7	1
v24585	166.98	1
v24817		0
v25003		0
v25009		0
v25089		0
v25095		0
v25103	91.37	1
v25256		0
v25276		0
v25377		0
v25413	224.34	1
v25431		0
v25446		0
v25459		0
v25611		0
v25695		0
v25708		0
v25711		0
v25724	146.93	1
v25817		0
v25844		0
v25852		0
v25854		0
v25949		0
v25957	20.78	1
v25977		0
v26019	116.09	1
v26097		0
v26115		0
v26126	101.84	1
v26139		0
v26375	67.03	1
v26427		0
v26461		0
v26630		0
v26714		0
