index	wifi_id	ts	area	dwell_time
2	28280	1483196719	out	74
9	46038	1483197301	out	85
78	10124	1483238048	out	42
80	45025	1483238080	out	10
135	48995	1483239592	out	496
194	48995	1483240008	in	17
195	48995	1483240008	1f	17
463	45864	1483242667	out	3673
492	45864	1483242946	in	3294
493	45864	1483242946	1f	2123
495	45864	1483242947	1f-left-3	423
496	45864	1483242947	1f-right-3	423
498	45864	1483242986	1f-right-2	397
501	45864	1483243000	2f	3002
508	45864	1483243051	1f-left-2	332
520	45864	1483243141	2f-right-1	2847
525	45864	1483243165	1f-right-1	1544
537	45864	1483243266	1f-left-1	1427
567	45864	1483243556	2f-stair	2447
574	45864	1483243672	2f-left-1	2320
577	45864	1483243724	2f-left-2	177
585	45864	1483243776	2f-right-2	111
630	45864	1483244194	1f-right-2	876
639	45864	1483244226	1f-left-2	447
646	45864	1483244273	1f-left-3	300
647	45864	1483244274	1f-right-3	177
688	45102	1483244631	out	814
692	45102	1483244661	in	740
693	45102	1483244661	1f-left-3	740
694	45102	1483244661	1f	740
696	45102	1483244682	1f-right-3	718
697	45102	1483244683	1f-right-2	718
699	45102	1483244720	1f-left-2	680
701	45864	1483244757	2f-right-2	1021
703	45864	1483244779	2f-left-2	1189
734	45102	1483244945	2f-left-2	4
735	45102	1483244945	2f	60
736	45102	1483244945	2f-left-1	2
737	45102	1483244946	2f-right-2	3
845	48995	1483245563	out	4669
850	14855	1483245613	out	1398
879	48995	1483245772	1f	1643
880	48995	1483245772	in	3078
881	48995	1483245772	1f-right-3	1389
882	45864	1483245807	1f	431
884	45864	1483245811	1f-left-1	367
885	45864	1483245815	1f-right-1	285
887	45864	1483245821	1f-right-2	318
888	45864	1483245827	1f-left-2	400
889	45864	1483245832	1f-left-3	407
891	45864	1483245836	1f-right-3	64
928	48995	1483246095	1f-left-3	1067
967	48995	1483246336	1f-right-2	903
974	48995	1483246457	1f-left-2	767
983	48995	1483246544	1f-right-1	700
988	48995	1483246575	1f-left-1	669
1009	10124	1483246700	out	57
1106	48995	1483247268	2f-stair	1229
1107	48995	1483247268	2f	1229
1111	48995	1483247274	2f-right-1	1209
1113	48995	1483247280	2f-left-1	1202
1117	48995	1483247321	2f-right-2	590
1125	48995	1483247431	2f-left-2	1055
1239	48995	1483248185	1f-right-3	649
1240	48995	1483248185	1f	666
1248	48584	1483248303	out	406
1253	48584	1483248349	in	330
1254	48584	1483248349	1f-left-3	324
1255	48584	1483248349	1f	330
1257	48584	1483248350	1f-right-3	327
1259	48584	1483248356	1f-left-2	308
1260	48584	1483248366	1f-right-2	291
1266	48584	1483248398	1f-left-1	217
1267	48584	1483248403	1f-right-1	222
1274	48584	1483248457	2f	115
1275	48584	1483248457	2f-stair	115
1276	48584	1483248471	2f-right-1	68
1278	48584	1483248475	2f-left-1	87
1280	48584	1483248489	2f-left-2	45
1281	48584	1483248492	2f-right-2	5
1282	48995	1483248493	1f-left-3	350
1285	48995	1483248506	1f-right-1	266
1286	48995	1483248509	1f-left-2	330
1287	48995	1483248509	1f-right-2	321
1288	48995	1483248515	1f-left-1	279
1350	46038	1483248947	out	854
1513	30359	1483250105	out	929
1520	30359	1483250181	1f	742
1521	30359	1483250181	in	742
1522	30359	1483250202	1f-right-2	598
1544	30359	1483250336	2f	404
1553	30359	1483250398	2f-left-1	134
1554	30359	1483250398	2f-right-1	274
1557	48584	1483250429	out	1349
1558	30359	1483250439	2f-right-2	76
1602	30359	1483250790	1f-right-1	11
1603	30359	1483250801	1f-left-1	32
1617	10124	1483250888	out	56
1635	46038	1483250991	out	1285
1656	46038	1483251342	in	230
1657	46038	1483251342	1f	230
1787	43924	1483252346	out	3544
1791	43924	1483252390	in	917
1792	43924	1483252390	1f	917
1794	43924	1483252398	1f-left-3	895
1798	43924	1483252406	1f-right-2	887
1799	43924	1483252407	1f-right-3	895
1800	43924	1483252407	2f	612
1810	43924	1483252453	1f-left-2	841
1847	43924	1483252693	1f-right-1	579
1850	43924	1483252731	1f-left-1	530
1854	48584	1483252774	out	494
1863	43924	1483252822	2f-stair	187
1866	43924	1483252833	2f-right-1	155
1868	43924	1483252838	2f-left-1	163
1875	43924	1483252887	2f-left-2	5
2165	48584	1483254457	out	1731
3045	93	1483259437	out	1534
3059	93	1483259505	in	1428
3060	93	1483259505	1f	1428
3094	48584	1483259796	out	813
3114	93	1483259957	1f-right-3	309
3115	93	1483259959	2f	897
3129	93	1483260063	1f-left-3	871
3144	93	1483260223	1f-left-2	693
3148	93	1483260246	1f-right-2	661
3154	93	1483260289	1f-right-1	594
3163	93	1483260339	1f-left-1	3
3166	93	1483260371	2f-stair	485
3167	93	1483260374	2f-right-1	470
3170	93	1483260386	2f-left-1	459
3176	93	1483260393	2f-right-2	445
3178	93	1483260395	2f-left-2	439
3271	43924	1483260897	out	31
3285	43619	1483260970	out	56
3494	1685	1483262330	out	132
3979	39859	1483265536	out	295
4014	39859	1483265769	in	12
4015	39859	1483265771	1f	10
4178	30101	1483266897	out	9
4307	33382	1483267600	out	48
4414	30101	1483268152	out	665
4426	30101	1483268203	in	235
4427	30101	1483268203	1f	235
4453	30101	1483268367	2f	26
4556	43619	1483269097	out	10
4689	39859	1483269980	out	84
4755	43619	1483270424	out	172
4815	39859	1483270785	out	73
5100	7213	1483271899	out	552
5112	7213	1483271936	1f	446
5113	7213	1483271936	in	449
5114	7213	1483271936	1f-left-3	51
5116	7213	1483271943	1f-left-2	430
5118	7213	1483271957	1f-right-2	415
5125	7213	1483271980	1f-right-3	402
5126	7213	1483271980	1f-right-1	368
5132	7213	1483272018	1f-left-1	330
5185	44433	1483272270	out	851
5200	48802	1483272360	out	73
5233	44433	1483272545	1f	533
5234	44433	1483272545	in	533
5235	44433	1483272545	1f-left-3	324
5240	44433	1483272580	1f-right-3	287
5242	44433	1483272587	1f-left-2	280
5244	44433	1483272607	1f-right-2	211
5248	44433	1483272645	1f-right-1	175
5249	44433	1483272646	1f-left-1	208
5299	1685	1483272997	out	34
5462	43619	1483273718	out	29
5601	34111	1483274371	out	288
5617	34111	1483274458	in	159
5618	34111	1483274467	1f	150
5619	34111	1483274470	1f-left-3	141
5620	34111	1483274471	1f-right-3	140
5797	38303	1483275267	out	164
5953	40791	1483278404	out	61
5955	10124	1483278448	out	20
5967	41577	1483280024	out	28
6519	1685	1483323966	out	69
6762	1685	1483327073	out	927
6770	1685	1483327199	in	740
6772	1685	1483327253	2f-right-2	611
6773	1685	1483327253	2f	616
6774	1685	1483327259	1f	680
6781	1685	1483327370	1f-left-3	569
6790	1685	1483327445	1f-right-3	489
6793	1685	1483327522	1f-right-2	416
6794	1685	1483327524	1f-left-2	412
6801	1685	1483327546	1f-right-1	363
6802	1685	1483327556	1f-left-1	352
6804	1685	1483327652	2f-right-1	212
6806	1685	1483327779	2f-left-1	90
6884	45025	1483329027	out	287
6885	45025	1483329027	in	209
6886	45025	1483329027	1f-right-3	124
6887	45025	1483329027	1f	209
6901	45025	1483329142	1f-left-3	7
6912	45025	1483329178	1f-left-2	57
6913	45025	1483329179	1f-right-2	57
6914	45025	1483329187	1f-right-1	18
7104	20593	1483331042	out	22
7468	45025	1483334231	out	89
7672	1685	1483335643	out	133
7856	26013	1483336911	out	212
7859	26013	1483336954	in	168
7860	26013	1483336954	1f	168
7865	26013	1483336974	1f-right-3	128
7866	26013	1483336974	1f-right-2	131
7867	26013	1483336982	1f-left-3	140
7868	26013	1483336984	1f-left-2	133
7871	26013	1483337005	1f-right-1	75
7872	26013	1483337032	1f-left-1	70
7987	45864	1483338084	out	675
7996	45864	1483338137	in	531
7997	45864	1483338140	1f	528
7998	45864	1483338142	1f-right-3	490
7999	45864	1483338146	1f-right-2	475
8000	45864	1483338146	1f-left-3	491
8001	45864	1483338149	1f-left-2	520
8002	45864	1483338151	1f-right-1	454
8004	45864	1483338184	2f	382
8005	45864	1483338190	2f-left-1	371
8007	45864	1483338197	2f-right-1	370
8010	1685	1483338263	out	75
8026	45864	1483338345	2f-right-2	63
8027	45864	1483338357	2f-left-2	51
8216	33109	1483339755	out	40
8246	27386	1483340389	out	132
8464	39162	1483342329	out	326
8474	39162	1483342391	in	190
8478	39162	1483342470	1f-right-3	109
8479	39162	1483342470	1f	109
8484	39162	1483342495	1f-right-1	17
8485	39162	1483342501	1f-left-3	78
8525	1685	1483343063	out	43
8574	28908	1483343578	out	258
8585	28908	1483343718	in	104
8588	28908	1483343751	1f	72
8768	19111	1483345038	out	54
8811	33109	1483345461	out	7
9150	48802	1483348539	out	239
10133	356	1483356534	out	523
10167	356	1483356844	in	158
10168	356	1483356844	1f	158
10279	1174	1483357823	out	66
10322	1388	1483358301	out	128
10554	1685	1483359593	out	488
10904	15383	1483362294	out	2134
10984	42344	1483362869	out	918
10994	48995	1483362925	out	180
11000	42344	1483362940	in	826
11006	1685	1483363044	out	31
11010	42344	1483363061	1f	705
11014	42344	1483363080	1f-left-3	685
11015	42344	1483363080	1f-right-3	686
11032	42344	1483363205	1f-right-2	512
11069	42344	1483363408	2f	85
11070	42344	1483363409	2f-left-1	85
11077	18821	1483363425	out	896
11078	42344	1483363431	2f-right-1	63
11080	43878	1483363440	out	1376
11082	42344	1483363445	2f-right-2	46
11086	18821	1483363456	1f	755
11087	18821	1483363456	in	755
11092	18821	1483363472	1f-left-3	330
11093	18821	1483363474	1f-right-3	294
11096	18821	1483363483	1f-left-2	33
11102	18821	1483363507	1f-right-2	269
11104	18821	1483363510	1f-left-1	702
11106	42344	1483363547	1f-right-1	196
11107	42344	1483363547	1f-left-1	196
11108	42344	1483363547	1f-left-2	218
11113	18821	1483363579	1f-right-1	258
11124	43878	1483363704	1f	1068
11125	43878	1483363704	in	1068
11127	43878	1483363714	1f-left-2	133
11131	43878	1483363778	1f-right-2	670
11141	18821	1483363881	2f	23
11144	18821	1483363900	2f-right-1	4
11160	43878	1483364025	2f	23
11161	43878	1483364042	2f-left-1	7
11175	43878	1483364440	1f-right-3	298
11184	43878	1483364560	1f-left-3	74
11189	43878	1483364640	1f-left-2	38
11255	20593	1483366467	out	39
11355	1388	1483405766	out	955
11356	1388	1483405832	in	847
11357	1388	1483405832	1f	837
11358	1388	1483405833	1f-left-2	828
11359	1388	1483405854	1f-right-2	806
11360	1388	1483405855	1f-right-3	806
11361	1388	1483405960	2f-left-1	203
11362	1388	1483405960	2f	686
11363	1388	1483405960	2f-left-2	58
11364	1388	1483405960	2f-right-1	98
11366	1388	1483406002	2f-right-2	56
11368	1388	1483406003	1f-left-3	657
11369	1388	1483406019	2f-stair	51
11371	1388	1483406094	1f-right-1	542
11373	1388	1483406152	1f-left-1	493
11382	25064	1483406368	1f-right-3	1224
11383	25064	1483406368	out	1388
11384	25064	1483406368	in	1224
11385	25064	1483406368	1f	1224
11386	25064	1483406368	1f-right-2	1190
11387	25064	1483406368	1f-left-2	1189
11388	25064	1483406374	1f-left-3	1204
11389	25064	1483406406	1f-right-1	810
11390	25064	1483406406	1f-left-1	810
11391	25064	1483406464	2f	1048
11392	25064	1483406464	2f-stair	471
11393	25064	1483406464	2f-left-1	273
