visit_id	revisit_interval	revisit_intention
v1		0
v19	37.17	1
v20	72.07	1
v21	1.55	1
v22	35.38	1
v23		0
v60		0
v66		0
v197		0
v517		0
v748	6.09	1
v749		0
v770	68.14	1
v771		0
v796		0
v832		0
v859	22.19	1
v860	0.97	1
v861	53.87	1
v862	51.95	1
v863	53.01	1
v864		0
v936	51.66	1
v937	27.24	1
v938		0
v1020		0
v1087	41.94	1
v1088	54.93	1
v1089	20.98	1
v1090	61.87	1
v1091	1.22	1
v1092	15.12	1
v1093		0
v1230		0
v1293		0
v1384		0
v1398	32.65	1
v1399	11.05	1
v1400	86.89	1
v1401	21.2	1
v1402		0
v1763	65.79	1
v1764		0
v1782		0
v1825		0
v1904	92.0	1
v1905		0
v1978	22.29	1
v1979	19.77	1
v1980	31.17	1
v1981		0
v2067		0
v2135	1.14	1
v2136	116.87	1
v2137	79.78	1
v2138	8.07	1
v2139		0
v2300	0.96	1
v2301		0
v2342	74.8	1
v2343		0
v2404		0
v2477		0
v2644	13.09	1
v2645	64.62	1
v2646		0
v2764	2.18	1
v2765		0
v2804		0
v2912		0
v2973		0
v3036	1.72	1
v3037		0
v3097		0
v3235		0
v3250	216.84	1
v3251		0
v3405	15.13	1
v3406	0.92	1
v3407	0.47	1
v3408	58.19	1
v3409	11.39	1
v3410		0
v3459		0
v3464		0
v3643		0
v3828		0
v3835		0
v4247		0
v4351		0
v4447		0
v4521	55.81	1
v4522		0
v4785		0
v4893	0.98	1
v4894		0
v4926	2.64	1
v4927		0
v5005		0
v5006		0
v5184	36.32	1
v5185		0
v5235		0
v5347		0
v5400		0
v5559		0
v5592		0
v5623	177.99	1
v5624	2.94	1
v5625	0.76	1
v5626		0
v5711		0
v5748		0
v5954		0
v5970		0
v5973		0
v6053		0
v6215		0
v6244		0
v6301	25.83	1
v6302	21.91	1
v6303	8.95	1
v6304		0
v6308	1.84	1
v6309		0
v6403		0
v6454		0
v6464		0
v6566		0
v6583	77.88	1
v6584	115.26	1
v6585	52.9	1
v6586		0
v6587		0
v6738		0
v6803	1.75	1
v6804	0.76	1
v6805		0
v6844	8.7	1
v6845	69.38	1
v6846		0
v6863		0
v6865	7.96	1
v6866		0
v7028	87.04	1
v7029		0
v7198		0
v7303		0
v7311		0
v7419		0
v7450	0.75	1
v7451	146.06	1
v7452	0.99	1
v7453	73.05	1
v7454	0.71	1
v7455		0
v7584		0
v7605		0
v7727		0
v7748		0
v7806		0
v7846		0
v7877		0
v8212	84.41	1
v8213	1.49	1
v8214	2.0	1
v8215		0
v8398		0
v8403	79.79	1
v8404	1.36	1
v8405	63.77	1
v8406		0
v8541	96.65	1
v8542		0
v8679	57.02	1
v8680		0
v8738		0
v8778	0.86	1
v8779	6.13	1
v8780	3.86	1
v8781		0
v8808		0
v8814		0
v8898		0
v8917		0
v9092		0
v9115		0
v9244	83.38	1
v9245	140.07	1
v9246		0
v9261		0
v9319	22.09	1
v9320	38.06	1
v9321		0
v9471		0
v9479		0
v9565		0
v9579	10.75	1
v9580	55.1	1
v9581	1.07	1
v9582	8.95	1
v9583		0
v9768		0
v9821		0
v9822		0
v9842	1.97	1
v9843	0.98	1
v9844		0
v9866		0
v10084		0
v10175	0.99	1
v10176	3.81	1
v10177		0
v10183		0
v10184	0.83	1
v10185	1.0	1
v10186		0
v10222	2.25	1
v10223		0
v10275		0
v10287		0
v10301		0
v10427		0
v10491		0
v10559		0
v10635		0
v10816	0.49	1
v10817		0
v10908	3.0	1
v10909	42.15	1
v10910	127.96	1
v10911		0
v10927		0
v10948		0
v10967	122.19	1
v10968		0
v11057		0
v11073		0
v11416		0
v11420	1.23	1
v11421	3.91	1
v11422		0
v11540		0
v11970		0
v11977		0
v12173	9.02	1
v12174	94.38	1
v12175	3.76	1
v12176		0
v12191		0
v12235	20.74	1
v12236	2.94	1
v12237	47.26	1
v12238		0
v12411		0
v12476		0
v12545		0
v12725		0
v12758		0
v12818	2.18	1
v12819		0
v12954	53.87	1
v12955	45.95	1
v12956	21.24	1
v12957	147.72	1
v12958		0
v13041		0
v13044	30.96	1
v13045		0
v13360	56.36	1
v13361		0
v13669		0
v13718		0
v13752	30.58	1
v13753	76.96	1
v13754	28.3	1
v13755	24.68	1
v13756		0
v14075		0
v14139	2.02	1
v14140		0
v14177	1.18	1
v14178		0
v14198		0
v14202		0
v14299	47.96	1
v14300	30.29	1
v14301	47.92	1
v14302	28.79	1
v14303	1.96	1
v14304		0
v14335		0
v14409	93.99	1
v14410		0
v14425		0
v14483		0
v14613	34.3	1
v14614	4.91	1
v14615	0.57	1
v14616	60.37	1
v14617	1.98	1
v14618	5.75	1
v14619	16.09	1
v14620	125.03	1
v14621		0
v14867		0
v14921	88.69	1
v14922		0
v15254		0
v15287		0
v15319	1.05	1
v15320		0
v15339	2.6	1
v15340	12.2	1
v15341	35.91	1
v15342	39.87	1
v15343		0
v15467		0
v15594		0
v15602		0
v15694		0
v15808		0
v15903	38.27	1
v15904	12.66	1
v15905	12.2	1
v15906		0
v16101		0
v16106		0
v16301	2.94	1
v16302		0
v16406	0.93	1
v16407		0
v16549		0
v16924		0
v16995	169.95	1
v16996	11.04	1
v16997	0.55	1
v16998		0
v17163		0
v17165		0
v17206	18.53	1
v17207	46.11	1
v17208	107.21	1
v17209	24.06	1
v17210	7.81	1
v17211	4.21	1
v17212		0
v17251		0
v17262	1.09	1
v17263	181.02	1
v17264	3.0	1
v17265		0
v17281	84.23	1
v17282	0.81	1
v17283	92.15	1
v17284	2.7	1
v17285	12.48	1
v17286	49.82	1
v17287		0
v17447		0
v17492		0
v17651		0
v18099		0
v18177		0
v18274		0
v18296		0
v18452		0
v18673		0
v18744	3.04	1
v18745		0
v18776		0
v18794	2.25	1
v18795		0
v18800	60.96	1
v18801		0
v18802		0
v18809		0
v18866		0
v18965	74.17	1
v18966	120.94	1
v18967	0.79	1
v18968		0
v19010		0
v19240		0
v19288		0
v19303		0
v19334		0
v19351		0
v19377		0
v19384	7.06	1
v19385		0
v19461		0
v19523		0
v19608		0
v19642		0
v19849		0
v19971	30.11	1
v19972		0
v20020		0
v20158	238.25	1
v20159		0
v20191		0
v20245	2.22	1
v20246	24.97	1
v20247	45.8	1
v20248		0
v20282		0
v20316		0
v20366	89.75	1
v20367	175.16	1
v20368		0
v20519	1.79	1
v20520		0
v20550		0
v20861		0
v20931		0
v20939		0
v21088		0
v21107		0
v21235	0.67	1
v21236		0
v21391		0
v21429	3.17	1
v21430		0
v21438	1.01	1
v21439		0
v21564		0
v21566	10.05	1
v21567	166.19	1
v21568		0
v21607		0
v21640		0
v21692	39.28	1
v21693	12.94	1
v21694	60.03	1
v21695	2.8	1
v21696		0
v21728	5.91	1
v21729	7.42	1
v21730		0
v21809		0
v21848		0
v21957	51.94	1
v21958		0
v22001		0
v22063		0
v22156		0
v22258		0
v22288		0
v22289		0
v22533	18.04	1
v22534	3.75	1
v22535	129.32	1
v22536	16.7	1
v22537	9.25	1
v22538	6.66	1
v22539		0
v22603		0
v22606		0
v22646	178.05	1
v22647		0
v22655	76.33	1
v22656		0
v22801		0
v22871		0
v22988		0
v23119		0
v23153		0
v23215	1.33	1
v23216		0
v23326		0
v23581		0
v23692	85.14	1
v23693	0.98	1
v23694	41.53	1
v23695		0
v23805		0
v23835	28.64	1
v23836	39.91	1
v23837		0
v23931		0
v23967		0
v24102		0
v24144	50.95	1
v24145		0
v24164	144.29	1
v24165	1.75	1
v24166	0.76	1
v24167	73.11	1
v24168		0
v24170	115.07	1
v24171	82.2	1
v24172		0
v24194		0
v24213	106.19	1
v24214		0
v24306	171.0	1
v24307	94.75	1
v24308	2.34	1
v24309		0
v24422	2.83	1
v24423		0
v24520		0
v24612		0
v24669		0
v24687		0
v24693	0.67	1
v24694	19.97	1
v24695	21.03	1
v24696		0
v24821	19.26	1
v24822		0
v24825		0
v24838		0
v24897		0
v24949		0
v25000		0
v25018		0
v25228		0
v25243	14.83	1
v25244	12.27	1
v25245	1.52	1
v25246		0
