visit_id	wifi_id	date	indices
v1	2	17404	892072;892073;892086;892093;892097;892098;892099;892180;892182
v19	15	17315	604678;604679
v20	15	17352	720434;720438;720442;720469;720477;720480;720484;720611;720616;720618;720624;720631;720637;720643;720644;720690
v21	15	17424	961519;961524;961525;961526;961532;961537
v22	15	17426	966512;966513;966515;966517;966518;966519;966521;966522;966527;966528
v23	15	17461	1082172;1082177;1082185;1082187;1082202;1082204;1082220;1082236
v60	36	17396	860385;860388;860390;860435;860436;860437;860438;860439
v66	41	17206	187709;187710;187713;187714;187727;187728
v197	148	17292	535902;535904;535905
v517	385	17214	226549;226550;226552;226556
v748	550	17458	1068533;1068537;1068549;1068574;1068603;1068628;1068629;1068630;1068634;1068786;1068790;1068795;1068797;1068803;1068834;1068837;1068843
v749	550	17464	1091647;1091725;1091845
v770	566	17279	494716;494769;494771;494772
v771	566	17347	704982;704993;705027
v796	590	17276	483936;483937;483949;483961;483973;483974;483975;483976
v832	618	17368	768191;768196;768200;768211;768229;768230;768231;768232;768242
v859	636	17172	26524;26545;26546;26551;26556;26568;26571;26588;26589;26592;26639
v860	636	17194	129133;129135;129136;129140;129143
v861	636	17195	133882;133888
v862	636	17249	381909
v863	636	17301	558872
v864	636	17354	725361;725363;725370;725374;725394;725401;725417;725418;725420;725423;725439;725538;725547;725553;725554
v936	695	17170	19126;19131;19133;19135;19142;19145;19151;19155;19158;19159;19161
v937	695	17222	263195;263197;263198;263199;263202;263204;263207;263209;263211
v938	695	17249	382187;382188;382189;382190;382191;382194;382199;382203;382205;382206;382207
v1020	752	17246	370908;370910;370911;370912;370914;370915
v1087	794	17219	250559;250560;250562
v1088	794	17261	430713;430716;430718;430719;430721;430722;430734;430743;430744;430745;430746
v1089	794	17316	607847;607848;607849;607854;607855;607856;607885;607888;607889;607890;607891
v1090	794	17337	673580;673583;673586;673588;673593;673594
v1091	794	17399	872217;872223;872224;872227
v1092	794	17400	877574;877575
v1093	794	17415	931999;932002;932009;932011;932014;932015;932422;932430;932431;932432;932433;932435;932437;932447;932449;932452;932453
v1230	894	17350	714572;714583;714588;714590;714594;714595;714601
