visit_id	revisit_interval	revisit_intention
v48		0
v126		0
v137	144.16	1
v213	127.88	1
v242		0
v277		0
v487		0
v608		0
v658	297.97	1
v768		0
v848		0
v874		0
v914		0
v949	157.41	1
v990		0
v1011		0
v1036		0
v1201		0
v1211		0
v1252		0
v1346		0
v1497		0
v1538	89.65	1
v1586		0
v1594		0
v1606		0
v1632		0
v1772		0
v1779	90.07	1
v1908		0
v1921		0
v1948		0
v2057	78.88	1
v2225		0
v2256		0
v2273		0
v2306		0
v2488	259.89	1
v2508		0
v2509		0
v2571		0
v2574		0
v2595		0
v2639		0
v2675	95.31	1
v2724		0
v2792		0
v2805		0
v3153		0
v3194		0
v3201	44.22	1
v3286		0
v3315		0
v3327	32.99	1
v3333		0
v3357		0
v3367	262.24	1
v3441		0
v3447		0
v3457	135.44	1
v3478	77.15	1
v3714		0
v3944		0
v4016		0
v4022		0
v4041	205.98	1
v4050	131.21	1
v4054		0
v4116		0
v4145		0
v4215	3.09	1
v4235		0
v4237		0
v4451	145.55	1
v4480		0
v4636		0
v4675		0
v4681		0
v4694		0
v4707		0
v4863		0
v5224		0
v5485	265.2	1
v5499	151.16	1
v5518		0
v5599	300.25	1
v5651		0
v5676		0
v5743	3.0	1
v5744		0
v5772	123.82	1
v5847		0
v6168	84.01	1
v6188		0
v6224		0
v6513		0
v6517		0
v6776		0
v6859	210.01	1
v6961		0
v7144		0
v7257		0
v7278		0
v7295		0
v7412		0
v7430		0
v7449		0
v7469		0
v7512		0
v7521		0
v7537		0
v7793		0
v7803		0
v7821		0
v7954	65.04	1
v8027		0
v8134		0
v8144	187.9	1
v8232	190.0	1
v8332		0
v8344		0
v8565		0
v8662		0
v8677	99.92	1
v8697		0
v8806		0
v8822		0
v8937		0
v9006		0
v9012	277.83	1
v9101		0
v9184		0
v9212		0
v9385	169.81	1
v9408		0
v9426	32.5	1
v9484		0
v9535		0
v9601		0
v9665		0
v9854		0
v9863		0
v9977		0
v10023	131.09	1
v10025		0
v10095		0
v10174		0
v10278		0
v10461		0
v10635		0
v10688		0
v10712		0
v10788		0
v10819		0
v10835		0
v10930		0
v11032		0
v11146		0
v11245		0
v11463		0
v11543	151.94	1
v11545		0
v11550		0
v11639		0
v11653		0
v11740	95.76	1
v11753		0
v11800		0
v11853		0
v12027		0
v12140	270.06	1
v12205	43.4	1
v12471		0
v12582		0
v12596		0
v12611		0
v12612		0
v12639		0
v12657		0
v12682		0
v12787		0
v12828	184.37	1
v12867		0
v12938		0
v12965		0
v13217		0
