visit_id	revisit_interval	revisit_intention
v47	3.1	1
v48		0
v126		0
v136	134.93	1
v137		0
v212	13.46	1
v213		0
v242		0
v277		0
v487		0
v608		0
v658		0
v768		0
v847	2.05	1
v848		0
v874		0
v913	3.12	1
v914		0
v949		0
v990		0
v1011		0
v1036		0
v1201		0
v1211		0
v1252		0
v1346		0
v1497		0
v1536	10.05	1
v1537	47.92	1
v1538		0
v1586		0
v1594		0
v1606		0
v1632		0
v1772		0
v1779		0
v1908		0
v1921		0
v1948		0
v2055	121.68	1
v2056	3.15	1
v2057		0
v2224	13.94	1
v2225		0
v2255	5.11	1
v2256		0
v2273		0
v2305	4.19	1
v2306		0
v2485	16.91	1
v2486	9.29	1
v2487	5.82	1
v2488		0
v2502	11.92	1
v2503	1.19	1
v2504	42.91	1
v2505	52.02	1
v2506	12.72	1
v2507	21.26	1
v2508		0
v2509		0
v2571		0
v2574		0
v2595		0
v2639		0
v2670	106.99	1
v2671	2.25	1
v2672	8.89	1
v2673	3.94	1
v2674	3.81	1
v2675		0
v2724		0
v2792		0
v2804	36.94	1
v2805		0
v3153		0
v3194		0
v3201		0
v3285	0.99	1
v3286		0
v3315		0
v3325	55.94	1
v3326	2.06	1
v3327		0
v3333		0
v3354	7.16	1
v3355	9.13	1
v3356	25.91	1
v3357		0
v3367		0
v3441		0
v3447		0
v3456	44.84	1
v3457		0
v3473	5.61	1
v3474	114.42	1
v3475	16.8	1
v3476	2.89	1
v3477	0.85	1
v3478		0
v3713	12.18	1
v3714		0
v3944		0
v4016		0
v4020	1.84	1
v4021	13.12	1
v4022		0
v4041		0
v4050		0
v4054		0
v4116		0
v4144	43.92	1
v4145		0
v4211	2.94	1
v4212	11.98	1
v4213	47.24	1
v4214	6.8	1
v4215		0
v4235		0
v4236	4.8	1
v4237		0
v4451		0
v4480		0
v4636		0
v4674	34.68	1
v4675		0
v4681		0
v4694		0
v4707		0
v4862	12.81	1
v4863		0
v5224		0
v5484	24.08	1
v5485		0
v5495	20.92	1
v5496	41.93	1
v5497	1.15	1
v5498	4.97	1
v5499		0
v5517	117.14	1
v5518		0
v5599		0
v5650	0.67	1
v5651		0
v5676		0
v5743		0
v5744		0
v5768	13.04	1
v5769	5.12	1
v5770	31.95	1
v5771	36.91	1
v5772		0
v5847		0
v6168		0
v6188		0
v6223	53.23	1
v6224		0
v6513		0
v6517		0
v6776		0
v6859		0
v6961		0
v7143	1.04	1
v7144		0
v7256	1.23	1
v7257		0
v7277	1.06	1
v7278		0
v7294	16.59	1
v7295		0
v7411	3.07	1
v7412		0
v7430		0
v7449		0
v7469		0
v7512		0
v7521		0
v7537		0
v7793		0
v7803		0
v7820	1.01	1
v7821		0
v7953	42.79	1
v7954		0
v8026	2.02	1
v8027		0
v8134		0
v8142	1.84	1
v8143	136.39	1
v8144		0
v8231	16.75	1
v8232		0
v8332		0
v8343	105.67	1
v8344		0
v8565		0
v8662		0
v8677		0
v8697		0
v8806		0
v8821	83.94	1
v8822		0
v8937		0
v9006		0
v9012		0
v9101		0
v9183	10.55	1
v9184		0
v9212		0
v9384	111.07	1
v9385		0
v9407	1.72	1
v9408		0
v9426		0
v9484		0
v9535		0
v9601		0
v9664	80.65	1
v9665		0
v9853	2.36	1
v9854		0
v9863		0
v9977		0
v10022	14.9	1
v10023		0
v10025		0
v10095		0
v10174		0
v10278		0
v10460	4.08	1
v10461		0
v10635		0
v10685	105.58	1
v10686	25.38	1
v10687	10.01	1
v10688		0
v10711	3.89	1
v10712		0
v10787	3.23	1
v10788		0
v10819		0
v10834	2.01	1
v10835		0
v10930		0
v11032		0
v11146		0
v11245		0
v11463		0
v11543		0
v11545		0
v11550		0
v11639		0
v11653		0
v11733	1.02	1
v11734	16.0	1
v11735	12.95	1
v11736	6.14	1
v11737	90.79	1
v11738	1.07	1
v11739	15.13	1
v11740		0
v11753		0
v11800		0
v11853		0
v12026	96.97	1
v12027		0
v12140		0
v12201	11.84	1
v12202	5.09	1
v12203	6.94	1
v12204	91.64	1
v12205		0
v12471		0
v12582		0
v12589	1.94	1
v12590	0.84	1
v12591	17.91	1
v12592	25.05	1
v12593	54.27	1
v12594	0.99	1
v12595	3.81	1
v12596		0
v12611		0
v12612		0
v12639		0
v12656	5.55	1
v12657		0
v12682		0
v12786	2.18	1
v12787		0
v12825	32.12	1
v12826	1.62	1
v12827	0.95	1
v12828		0
v12866	0.88	1
v12867		0
v12938		0
v12965		0
v13216	2.51	1
v13217		0
v13226		0
