visit_id	wifi_id	date	indices
v47	46	17211	214979;214981;214987;214989
v48	46	17214	230059;230060;230061;230063;230071;230083
v126	144	17268	464468;464470
v136	160	17196	139790;139791;139803;139808;139811;139813;139815;139816;139837;139838
v137	160	17331	661851;661852;661853;661854;661856;661876
v212	234	17239	347652;347654;347655;347656;347657;347658;347686
v213	234	17252	404086;404087;404088
v242	271	17273	482934;482949
v277	319	17196	136759;136761;136762;136763;136764;136765;136767;136768;136774;136789;136805
v487	534	17185	93354;93357;93359;93360;93366;93367
v608	668	17329	657193;657195;657219;657238;657242;657255
v658	727	17203	176709;176712;176719;176720;176728;176730;176733;176752;176753;176754;176755
v768	860	17272	478334;478335;478336;479141
v847	949	17257	422428;422429;422430;422446;422478;422567;422569;422581;422585;422589;422591;422594;422596
v848	949	17259	432320;432322;432326
v874	977	17236	335912;335914;335915;335933;335938;335977
v913	1040	17311	596691;596833;596834;596836;596845;596848;596850;596852;596874;596875;596877
v914	1040	17314	609902;609903;609905;609911;609917;609925
v949	1085	17201	162208;162209;162210;162211;162212;162217;162223;162224;162225;162226;162228
v990	1138	17232	318330;318332;318334;318335;318336;318337;318351;318352;318395;318397;318406
v1011	1166	17187	101240;101241;101242;101245;101280;101282;101283;101284
v1036	1198	17208	199298;199307;199324;199335;199342;199344
v1201	1382	17265	451256;451257;451258;451259;451260;451261
v1211	1398	17217	244621;244629;244636;244637;244638
v1252	1439	17178	58124;58129;58131;58142;58181;58246;58250
v1346	1532	17201	162560;162567;162568;162583;162587;162596;162671;162680;162688;162689;162691;162695
v1497	1696	17288	529868;529873;529874;529876;529877;529878;529884;529889;529890;529891;529892
v1536	1737	17212	218784;218797;218799;218801;218816;218830;218833;218834;218852;218872;218941;218948
v1537	1737	17222	271916;271929;271935;271936
v1538	1737	17270	471537;471538;471539
v1586	1785	17185	93162;93175;93176;93177;93178;93194;93199;93336;93339;93340;93348;93370;93371
v1594	1795	17347	713698;713700;713718;713730;713783
v1606	1810	17230	306345;306348;306349;306350;306352;306365;306367;306385;306386;306389;306391
v1632	1840	17253	405460;405461;405462;405463;405492;405493;405498;405500
v1772	1979	17265	450721;450731
v1779	1986	17314	609738;609763;609804;609806;609807;609818;609827;609854;609889;609890;609891;609990
v1908	2136	17173	33342;33345;33346;33393;33400;33411
v1921	2153	17344	702487;702490;702495;702496;702503;702504;702505;702507;702508;702515;702517
v1948	2196	17168	5917;5919;5920;5927;5945
v2055	2344	17174	39622;39624;39625;39626;39627;39628;39630;39632;39633;39634;39636
v2056	2344	17296	550836;550837;550838;550839;550840;550841
v2057	2344	17299	559879;559880;559881;559882;559885;559887
v2224	2504	17203	175554;175555;175557;175559;175615
v2225	2504	17217	244695;244696;244698;244715;244716;244724;244761;244768;244777;244799;244909
v2255	2533	17183	80783;80785;80786;80790;80791;80793;80798;80800;80801;80804;80805
v2256	2533	17188	105928;105939;105943;105961;105976;105988;105990;105991;105999;106002;106013
v2273	2546	17186	94431;94432;94433;94457;94464;94467;94470;94476
v2305	2580	17260	434160;434161;434171;434176;434177;434184;434190
v2306	2580	17264	449841;449843;449849;449858;449859
v2485	2779	17179	63082;63086;63090;63092;63097;63101
v2486	2779	17196	138144;138145;138146;138147;138148;138151;138156;138159;138161;138162;138255;138256;138258;138262
v2487	2779	17205	186695;186696;186697;186698;186715;186716
v2488	2779	17211	214078;214083;214086;214097;214100;214167;214218;214219;214225;214241;214277
v2502	2804	17202	170941;170942
v2503	2804	17214	227696;227707;227725;227726;227739;227744;227760;227765;227770;227771;227775
v2504	2804	17215	235857;235860;235861;235865;235880;235881;235882;235886;235887
v2505	2804	17258	427059;427064
