index	wifi_id	ts	area	dwell_time
14	41858	1483235430	out	4608
385	47026	1483240880	out	61
833	42489	1483243131	out	18
867	47026	1483243291	out	721
873	47026	1483243340	in	630
874	47026	1483243340	1f	630
876	47026	1483243340	1f-left-3	630
878	47026	1483243350	1f-right-3	574
885	47026	1483243371	1f-left-2	579
886	47026	1483243372	1f-right-2	573
889	47026	1483243426	1f-right-1	485
890	47026	1483243427	1f-left-1	517
906	47026	1483243570	2f	229
907	47026	1483243570	2f-stair	227
908	47026	1483243573	2f-left-1	218
909	47026	1483243577	2f-left-2	124
916	47026	1483243627	2f-right-1	131
923	47026	1483243688	2f-right-2	72
1595	2196	1483247782	out	12
1728	19466	1483248617	out	38
1774	46108	1483248963	out	72
1864	22917	1483249654	out	1256
1872	22917	1483249719	in	1113
1873	22917	1483249719	1f	1113
1874	22917	1483249719	1f-left-3	3
1875	22917	1483249719	1f-right-3	141
1883	22917	1483249788	1f-right-2	782
1884	22917	1483249788	1f-left-2	1043
1898	22917	1483250002	2f-left-1	92
1899	22917	1483250002	2f	186
1905	22917	1483250045	2f-right-1	14
1910	22917	1483250095	2f-right-2	25
1912	22917	1483250170	2f-stair	18
1941	22917	1483250571	1f-left-3	261
1945	22917	1483250695	1f-left-1	125
1946	22917	1483250695	1f-right-1	110
2184	2196	1483252528	out	63
2261	19466	1483252920	out	140
2430	33549	1483254099	out	1843
2446	33549	1483254207	1f-left-3	58
2447	33549	1483254207	in	1527
2448	33549	1483254207	1f	1527
2449	33549	1483254209	1f-right-3	1525
2450	33549	1483254212	1f-left-2	1467
2451	33549	1483254212	1f-right-2	1496
2461	33549	1483254342	1f-right-1	1317
2464	33549	1483254349	1f-left-1	1295
2469	33549	1483254373	2f-stair	512
2470	33549	1483254373	2f	1034
2478	33549	1483254400	2f-right-1	388
2479	33549	1483254402	2f-left-1	976
2487	33549	1483254414	2f-left-2	38
2490	33549	1483254438	2f-right-2	969
2592	36087	1483255050	out	28
2602	33549	1483255092	1f-left-3	639
2899	45210	1483257109	out	42
3226	6185	1483260127	out	3963
3227	6185	1483260212	in	2562
3228	6185	1483260212	1f	1257
3273	6185	1483260581	1f-left-3	722
3275	6185	1483260585	1f-right-3	746
3295	6185	1483260656	1f-left-2	686
3325	6185	1483260790	1f-left-1	613
3326	6185	1483260795	2f	1978
3327	6185	1483260801	1f-right-2	543
3336	6185	1483260920	1f-right-1	424
3372	6185	1483261140	2f-left-2	800
3397	6185	1483261284	2f-right-2	450
3408	6185	1483261361	2f-stair	982
3410	6185	1483261383	2f-left-1	954
3412	6185	1483261404	2f-right-1	724
3458	36087	1483261931	out	745
3466	36087	1483261963	in	419
3467	36087	1483261963	1f	218
3475	36087	1483262012	2f	166
3498	6185	1483262217	1f-left-2	527
3499	6185	1483262217	1f	556
3513	6185	1483262391	1f-left-1	300
3515	6185	1483262393	1f-right-1	328
3516	6185	1483262394	1f-right-2	339
3517	6185	1483262417	1f-right-3	356
3518	6185	1483262426	1f-left-3	346
3645	3807	1483263170	out	110
3849	2344	1483264624	out	98
4145	23345	1483266520	out	462
4148	23345	1483266543	in	402
4149	23345	1483266543	1f-left-3	147
4150	23345	1483266543	1f	402
4171	23345	1483266777	1f-right-1	108
4175	23345	1483266794	1f-left-1	137
4180	23345	1483266862	1f-right-2	60
4207	33549	1483267228	out	465
4268	41940	1483267779	out	144
4414	2196	1483268652	out	151
4725	46620	1483270246	out	1297
4736	46620	1483270288	in	117
4737	46620	1483270288	1f	117
4738	46620	1483270294	1f-left-3	107
4739	46620	1483270298	1f-right-3	101
4740	46620	1483270300	1f-left-2	97
4741	46620	1483270300	1f-right-2	77
4743	46620	1483270315	1f-right-1	50
4745	46620	1483270330	1f-left-1	45
5250	6354	1483273360	out	1774
5292	6354	1483273506	in	1628
5293	6354	1483273506	1f-right-3	147
5294	6354	1483273506	1f	1628
5453	6354	1483274077	2f-stair	238
5454	6354	1483274077	2f	238
5512	6354	1483274447	1f-left-2	687
5516	6354	1483274492	1f-left-3	246
5517	6354	1483274492	1f-right-3	246
5522	2344	1483274574	out	46
5527	6354	1483274614	1f-right-2	98
5540	6354	1483274771	1f-right-1	124
5555	15379	1483274902	out	55
5575	6354	1483274963	1f-left-1	126
5732	46108	1483276759	out	68
5755	144	1483277456	out	631
5757	144	1483277485	in	20
5793	15379	1483278458	out	65
5914	2196	1483319111	out	687
5916	2196	1483319142	in	220
5917	2196	1483319142	1f-left-3	174
5918	2196	1483319142	1f	220
5919	2196	1483319144	1f-right-3	35
5920	2196	1483319149	1f-left-2	167
5927	2196	1483319161	1f-right-2	150
5945	2196	1483319270	1f-left-1	93
6222	41940	1483324019	out	199
6246	49648	1483324551	out	899
6446	7027	1483327484	out	64
6447	7027	1483327494	1f	38
6448	7027	1483327494	in	38
6727	3793	1483331267	out	1538
