visit_id	revisit_interval	revisit_intention
v94		0
v239		0
v449	0.96	1
v450		0
v606		0
v662		0
v754		0
v757	22.89	1
v758	12.04	1
v759	0.89	1
v760		0
v774		0
v827	50.04	1
v828		0
v982	1.01	1
v983		0
v1019	96.17	1
v1020	8.6	1
v1021	0.96	1
v1022	3.07	1
v1023	7.24	1
v1024		0
v1136		0
v1258		0
v1554		0
v1681	2.0	1
v1682		0
v1687		0
v1744		0
v2071	57.99	1
v2072	39.49	1
v2073		0
v2158	5.2	1
v2159		0
v2161		0
v2167		0
v2371	5.19	1
v2372	0.67	1
v2373	105.31	1
v2374	1.85	1
v2375	0.96	1
v2376	2.01	1
v2377	25.93	1
v2378	0.99	1
v2379		0
v2618		0
v2744	19.7	1
v2745		0
v2889		0
v2920	0.84	1
v2921	1.07	1
v2922		0
v2968	27.94	1
v2969	24.05	1
v2970	49.09	1
v2971	48.16	1
v2972	68.89	1
v2973	27.04	1
v2974		0
v3099	12.84	1
v3100	0.91	1
v3101		0
v3105		0
v3168		0
v3271		0
v3609		0
v3673		0
v3799	44.05	1
v3800	34.0	1
v3801	20.96	1
v3802		0
v3830		0
v3886	31.91	1
v3887	0.85	1
v3888	2.2	1
v3889	1.94	1
v3890		0
v3970		0
v4193		0
v4651		0
v4676	22.0	1
v4677		0
v4774	22.89	1
v4775	1.93	1
v4776	2.7	1
v4777	100.27	1
v4778	8.54	1
v4779		0
v4782		0
v4790	2.14	1
v4791		0
v4803	62.75	1
v4804	16.22	1
v4805	20.8	1
v4806	73.07	1
v4807	20.78	1
v4808		0
v5164		0
v5256		0
v5278	3.13	1
v5279		0
v5310		0
v5338	10.7	1
v5339	0.93	1
v5340	14.11	1
v5341	1.05	1
v5342	40.89	1
v5343		0
v5479		0
v5499	0.94	1
v5500		0
v5563		0
v5583	1.98	1
v5584		0
v5605		0
v5764	3.95	1
v5765		0
v5913		0
v5953	104.69	1
v5954	108.52	1
v5955		0
v6139	104.09	1
v6140		0
v6142		0
v6290		0
v6404	20.1	1
v6405	26.96	1
v6406	21.26	1
v6407		0
v6555	51.24	1
v6556		0
v6648		0
v6695	0.79	1
v6696		0
v6743		0
v6866		0
v6889		0
v7441	0.89	1
v7442	55.07	1
v7443	0.76	1
