index	wifi_id	ts	area	dwell_time
125	35125	1483232854	out	27
193	3806	1483233550	out	1755
414	3806	1483236204	out	40
461	8588	1483236599	out	50
462	8588	1483236610	in	28
463	8588	1483236610	1f	20
478	35337	1483236840	out	54
576	31235	1483237718	out	135
602	8588	1483237999	out	237
608	8588	1483238064	1f	172
609	8588	1483238064	in	172
613	8588	1483238103	1f-promo	19
614	8588	1483238110	1f-dermo-cosmetic	18
661	39949	1483238385	out	82
681	38794	1483238512	out	966
692	38794	1483238584	in	875
693	38794	1483238584	1f	875
694	38794	1483238587	1f-promo	867
696	38794	1483238603	1f-facial-inner	840
712	38794	1483238787	1f-facial	487
715	38794	1483238796	1f-beauty-tools	324
717	38794	1483238804	1f-getitbeauty	355
718	38794	1483238813	1f-makeup	233
719	38794	1483238815	1f-nailstudio	66
726	38794	1483238878	1f-counter	557
744	38794	1483239048	2f	391
756	38794	1483239186	New-1f-natural	29
785	38794	1483239455	1f-enter	3
794	31235	1483239703	out	219
816	39949	1483239867	out	14
859	35337	1483240212	out	264
921	2559	1483240838	out	63
1085	18103	1483241867	out	797
1095	18103	1483241885	in	742
1096	18103	1483241885	1f	742
1106	19300	1483241935	out	580
1126	18103	1483242031	2f	431
1141	47944	1483242110	out	13
1169	18103	1483242233	new-2f-food	173
1170	18103	1483242247	2f-counter	158
1224	18103	1483242570	1f-facial	41
1306	2559	1483243022	out	81
1363	10961	1483243478	out	453
1375	15507	1483243603	out	2828
1382	15507	1483243660	in	2600
1383	15507	1483243660	1f-must	1577
1384	15507	1483243660	1f	2600
1385	15507	1483243660	1f-enter	2242
1387	15507	1483243782	1f-promo	652
1722	19300	1483245239	out	31
1792	15507	1483245574	1f-getitbeauty	686
1793	15507	1483245575	1f-counter	656
1927	15507	1483246087	1f-must	52
2063	40074	1483246700	out	3356
2064	40074	1483246703	in	3335
2065	40074	1483246703	1f	2303
2066	40074	1483246703	1f-enter	51
2067	40074	1483246703	1f-must	51
