visit_id	revisit_interval	revisit_intention
v71	47.14	1
v162		0
v191		0
v343	81.0	1
v490	74.99	1
v563	141.97	1
v589	125.99	1
v660		0
v678		0
v679		0
v760	78.84	1
v979		0
v1096		0
v1100		0
v1102		0
v1103		0
v1117	175.03	1
v1272		0
v1274	42.96	1
v1561	47.74	1
v1578		0
v1739		0
v1803	195.76	1
v1887		0
v2002		0
v2162		0
v2170	151.95	1
v2241		0
v2315	62.04	1
v2334		0
v2381		0
v2532		0
v2571		0
v2647		0
v2785	67.88	1
v2809		0
v2837	46.8	1
v2850	61.51	1
v2945		0
v2951	181.29	1
v2985		0
v2999		0
v3014		0
v3080		0
v3148	20.0	1
v3166		0
v3453	21.01	1
v3471	166.25	1
v3740	82.87	1
v3841	42.83	1
v3872		0
v4208		0
v4234		0
v4265		0
v4293	150.05	1
v4369		0
v4817		0
v4884	149.01	1
v4919		0
v4950		0
v4982	1.06	1
v5091		0
v5147		0
v5201		0
v5218		0
v5282	59.96	1
v5470	117.46	1
v5487		0
v5591		0
v5639		0
v5661		0
v5666		0
v5725		0
v5788		0
v5982		0
v6108	11.0	1
v6135	107.15	1
v6276		0
v6324		0
v6330	24.96	1
v6357	75.93	1
v6456		0
v6604		0
v7108		0
v7315		0
v7320	51.87	1
v7603		0
v7629	5.02	1
v7667		0
v7864		0
v7928		0
v7935	66.02	1
v8056		0
v8063	54.82	1
v8074		0
v8189		0
v8468	84.89	1
v8497	119.05	1
v8670		0
v8878		0
v8920		0
v8928	171.04	1
v9031	43.12	1
v9292		0
v9366		0
v9499		0
v9566	129.04	1
v9593		0
v9655		0
v9687	20.85	1
v9743		0
v9763	93.19	1
v9882		0
v9891	26.0	1
v10160	198.08	1
v10170		0
v10274	163.02	1
v10314		0
v10329	14.1	1
v10466		0
v10501		0
v10535	100.14	1
v10547	31.09	1
v10638		0
v10732	259.78	1
v10766	116.01	1
v10831		0
v10907		0
v10964		0
v11025		0
v11038		0
v11039		0
v11054	103.93	1
v11096		0
v11165		0
v11173		0
v11251	64.95	1
v11376	19.99	1
v11391	86.99	1
v11462	49.96	1
v11490		0
v11637		0
v11732		0
v11780	85.8	1
v11892		0
v11911		0
v11995	10.18	1
v12120		0
v12265	37.8	1
v12318		0
v12340		0
v12368		0
v12628	73.0	1
v12687		0
v12730		0
v12819		0
v13061		0
v13097		0
v13194	55.86	1
v13458		0
v13596		0
v13625		0
v13668	179.85	1
v13749	158.95	1
v13884	63.67	1
v13886		0
v13934	125.02	1
v13942	182.14	1
v14151	62.2	1
v14189		0
v14197		0
v14455		0
v14471		0
v14472		0
v14790		0
v15015	0.63	1
v15034		0
v15085	51.51	1
v15086	208.97	1
v15102	23.74	1
v15111		0
v15126		0
v15262	72.03	1
v15269		0
v15539		0
v15637	42.75	1
v15643	136.07	1
v15662	36.16	1
v15726		0
v15930	26.99	1
v15968		0
v15994		0
v16049	202.99	1
v16093	247.28	1
v16248	44.95	1
v16299		0
v16318	73.0	1
v16358		0
v16439	105.98	1
v16442		0
v16476	155.1	1
v16515	29.12	1
v16696		0
v16834	48.92	1
v16845		0
v16877		0
v17007	57.04	1
v17247		0
v17262	27.67	1
v17340		0
v17373		0
v17415	53.16	1
v17477		0
v17488		0
v17543	3.61	1
v17557	82.37	1
v17590		0
v17680	84.02	1
v17742	61.91	1
v17857	180.2	1
v17874		0
v17908		0
v17929	27.24	1
v17938		0
v17990	28.16	1
v18288		0
v18402		0
v18472	97.95	1
v18481	9.08	1
v18573		0
v18760	62.04	1
v18812		0
v18844		0
v18845		0
v18899		0
v18971	151.05	1
v19143		0
v19153	30.33	1
v19154	75.38	1
v19215	218.95	1
v19229		0
v19233		0
v19279		0
v19333		0
v19438		0
v19460	50.09	1
v19476		0
v19559		0
v19619		0
v19622		0
v19657	40.0	1
v19674	90.9	1
v19703		0
v19723		0
v19792		0
v19984		0
v20259	56.98	1
v20286	142.15	1
v20348		0
v20370	62.85	1
v20427		0
v20465		0
v20637		0
v20775		0
v20897		0
v21008		0
v21102		0
v21236		0
v21372		0
v21438	57.35	1
v21481		0
v21671		0
v21697		0
v21711	43.15	1
v21713	120.96	1
v21886	91.18	1
v21891	25.2	1
v21895	107.66	1
v21896		0
v21917		0
v21958	73.95	1
v21998		0
v22314	138.85	1
v22327		0
v22335		0
v22472		0
v22553		0
v22631	40.65	1
v22680		0
v22694	120.7	1
v22732		0
v22871		0
v22874	74.7	1
v22974		0
v22981		0
v23022		0
v23074		0
v23138		0
v23157		0
v23194	105.07	1
v23356	78.99	1
v23394		0
v23780	11.75	1
v23852		0
v23971	79.73	1
v24017	285.25	1
v24104		0
v24125		0
v24718	59.0	1
v24726	41.85	1
v24760		0
v24872	182.29	1
v24898		0
v24919		0
v24939	180.05	1
v24964	120.89	1
v24991	19.87	1
v25000		0
v25031		0
v25059		0
v25221		0
v25263	1.04	1
v25571		0
v25734	78.06	1
v25844		0
v25946		0
v26018		0
v26071		0
v26190	35.16	1
v26276	168.67	1
v26300	93.85	1
v26319	53.97	1
v26358	24.32	1
v26390		0
v26584		0
v26630		0
v26727		0
v26772	137.29	1
v26942		0
v26989	237.14	1
v26995		0
v27040	6.97	1
v27058		0
v27207	191.2	1
v27213		0
v27244	113.09	1
v27367	40.89	1
v27375	47.0	1
v27549	38.03	1
v27571	13.96	1
v27642		0
v27649		0
v27915	15.97	1
v28007		0
