visit_id	wifi_id	date	indices
v71	149	17190	188339
v162	334	17193	200679;200683;200689;200727;200749;200763;200783;200819
v191	402	17170	28142;28143;28161;28265
v340	679	17210	327191;327195;327198;327206;327230;327250;327264;327269;327271;327288;327504;327506;327513;327517;327531;327533;327541;327551;327555;327638;327640
v341	679	17211	332355;332390;332474;332476;334209;334210;334384;334593
v342	679	17213	354085;355075;355077;355081;355085;355166;355168;355179;355180;355189;355195;355196;355295;355399;355400;355422;355526;355530;355587;355638;355647;355654;355740;355743;355754;355769;355787
v343	679	17223	448688;448699
v490	1016	17224	451917;452028
v563	1138	17187	171142;171149;171160;171176;171182;171194;171196;171203;171206;171232;171237;171239;171307
v588	1216	17174	64157
v589	1216	17175	74816;74822;74844;74850;74851;74861;74871;74876;74879;74925;74947
v660	1379	17179	113458;113548;113620;113621;113647;113669;113677
v676	1402	17201	254430;254539;254568
v677	1402	17202	262885;262886;262887;262907;262953;262962;262972;262981
v678	1402	17203	270258
v679	1403	17226	468569;468575;468692;468786;468854;468933
v760	1551	17190	190187
v979	1915	17201	250038
v1096	2129	17176	87221;87223;87245;87249;87251;87261;87332
v1099	2144	17172	45007;45010;45018;45038;48775
v1100	2144	17174	65516;65518;65572;65601;65607;65775;65817;65824
v1101	2145	17170	32532;32533;32534;32536;32538;32539;32571;32595;32596;32597;32607;32738;32780;32787;32790;32791;32798;32800;32909;32922;32923;33000;33003;33007;33011;33013;33047;33056;33113;33114;33186;33221;33247;33248;33250;33256;33257;33265;33269;33295
v1102	2145	17175	75011;75160;75394
v1103	2148	17172	50251;50288;50295;50303;50319
v1117	2165	17212	341079;341082;341083;341085;341086;341857;341859;341869;341889;341890;341891;341896;341908;341918;341921;341925;341931;341969;342006;342051;342066;342067
v1272	2452	17180	124237;124328;124344
v1274	2461	17213	355685
v1559	3008	17214	361417;361418;361420;361425;361454;361719;361720;361725;361733;361845;361849;361850;361851
v1560	3008	17217	392454;392467;392492;392493;392530;392539
v1561	3008	17219	406566;406567;406570;406591;406634;406653;406657;406666;406677;406706;406711;406716;406756;406757
v1576	3047	17184	151249;151252;151255;151300;151306;151315;151321;151330;151334;151387;151448;151452;151458;151460;151464;151492;151495;151518
v1577	3047	17186	161393;161398;161401;161407;161411;161412;161413;161414;161418;161421
v1578	3047	17227	476109;476132;476133;476141
v1739	3356	17219	407027;407116;407144
v1803	3484	17173	61545;61622
v1887	3603	17224	453881;453883;453887;453889;453893;453911;453916;453918;453920;453922;453977;453979;453980;453981;454042;454047;454060;454072;454078
v2002	3828	17209	314592;322080;322121;322222;322328;322357
v2159	4158	17215	370330;370340
v2160	4158	17216	381629
v2161	4158	17217	390493
v2162	4158	17218	393368
v2170	4160	17226	469152;469155;469170;469183;469188;469190;469435;469436;469465;469477;469532;469562;469573;469575;469636;469641;469642;469643;469659;469660;469661;469662;469666;469718;469869
v2241	4314	17224	453144;453146;453154;453156;453333;453438
v2315	4434	17218	397771
v2334	4465	17180	124057;124061;124062;124065;124068
v2381	4541	17187	170871;170970;170973;170974;170995;170996
v2531	4856	17178	107353;107406;107423;107437;107446;107447;107468;107518;107545;107547;107573;107598;107667;107689;107731;107733;107746;107871;107979
v2532	4856	17181	134045;134046;134052;134261;134525
v2571	4930	17190	186326;186340;186347;186348;186354;186356
v2647	5078	17170	32769
v2784	5324	17181	130016;130019
v2785	5324	17214	358125;358128;358147
v2808	5369	17190	189615;189616;189617
v2809	5369	17205	284296
v2837	5425	17219	408298;408303;408329;408347
v2850	5442	17183	148829;148831;148837;148838;148839;148853;148859;148866;148874;148876
v2944	5618	17169	23810;23850
v2945	5618	17172	52052;52101;52243;52244;52255;52281;52282;52283;52285;52293;52341;52363;52517;52529
v2951	5644	17210	325076;325185;325197;325200;325201;325202
v2985	5716	17182	138991;139002;139004;139006;139007;139020
v2998	5731	17204	275305;275309;275327;275386;275431
v2999	5731	17205	284244;284300;284324;284334;284470;284475;284553;284726;284732;284755;284757
v3013	5761	17177	97300;97301;97314;97346;97347;98575;98649;98717;98882;98915;98953
v3014	5761	17182	140626;140627;140629;140656;140672;140685;140686;140705;140958;141017;141019;141025;141060;142054;142055;142056;142057;142198;142217;142236;142260
v3080	5862	17170	30446;31638;31654;31681;31689;31896
v3146	5937	17206	292212;292276;292339;292340;292365;292429
v3147	5937	17213	352833;352834;352835;352850;353017;353022;353041;353043;353081;353181;353187;353399;353635;353741;353853;353858;354180;354236;354398;354402;354601;354646;354683;354723;354860;354865;354954
v3148	5937	17214	361475
v3166	5972	17224	455169;455178;455222;455253;455299;455304
v3453	6552	17222	429204;429205;429206;429218
v3471	6603	17189	181753;181756;181762;181764;181765;181766;181807;181853;181857;181858;181885
v3740	7069	17196	217194;217195;217198
v3839	7238	17175	78968;78971;78979;78995
v3840	7238	17202	260962;260976;261002;261007;261020;261049
v3841	7238	17205	287423
v3872	7289	17173	58535;58552;58553;58558;58566;58567
