visit_id	revisit_interval	revisit_intention
v81		0
v181		0
v411		0
v569		0
v652		0
v785		0
v904		0
v977	224.09	1
v1045		0
v1121	68.84	1
v1125		0
v1154		0
v1162		0
v1257	60.15	1
v1259		0
v1285		0
v1306		0
v1646		0
v1831		0
v1953		0
v2050		0
v2191		0
v2221		0
v2264		0
v2530	170.22	1
v2648	80.94	1
v2831		0
v2936	107.28	1
v3164		0
v3179		0
v3271		0
v3361	63.22	1
v3548	119.07	1
v3609		0
v3685		0
v3794		0
v4058		0
v4126	43.02	1
v4441		0
v4453		0
v4545		0
v4667		0
v4789		0
v4855	78.98	1
v4859		0
v4976		0
v4982		0
v4994		0
v5246	11.63	1
v5271		0
v5472	59.95	1
v5613		0
v5640		0
v5675	49.08	1
v5817		0
v6053		0
v6186		0
v6198		0
v6280	69.06	1
v6357		0
v6409		0
v6422	92.91	1
v6470	58.04	1
v6524		0
v6608		0
v6635		0
v6645		0
v6743		0
v6880		0
v6968		0
v6971		0
v6986		0
v6990		0
v7047		0
v7279	150.28	1
v7487	16.94	1
v7545		0
v7767	39.21	1
v8052		0
v8211		0
v8347	69.01	1
v8584		0
v8603		0
v8667		0
v8696		0
v8721		0
v8724	197.71	1
v8789		0
v8862		0
v8900		0
v8919		0
v9050		0
v9079	230.89	1
v9150		0
v9224		0
v9283	215.98	1
v9288	33.67	1
v9399	38.17	1
v9462		0
v9498		0
v9504	23.67	1
v9785		0
v9838		0
v9885	27.02	1
v10049	63.73	1
v10087	87.75	1
v10103		0
v10135		0
v10146		0
v10212		0
v10291		0
v10621		0
v10649		0
v10742		0
v10829		0
v10866	172.38	1
v10867	46.14	1
v10884		0
v10925		0
v10985		0
v11160	149.34	1
v11232		0
v11245		0
v11302		0
v11345		0
v11551	125.89	1
v11597		0
v11926		0
v11943		0
v11947		0
v12070		0
v12328	107.37	1
v12742		0
v12750	142.97	1
v12914	203.79	1
v13006	76.95	1
v13163	14.01	1
v13236		0
v13283		0
v13323		0
v13363		0
v13445		0
v13459	42.98	1
v13581		0
v13667		0
v13730		0
v13775		0
v13849	72.03	1
v13879		0
v14025		0
v14029		0
v14042		0
v14086		0
v14128		0
v14161		0
v14210		0
v14223		0
v14245	97.01	1
v14390		0
v14514		0
v14558		0
v14635		0
v14648		0
v14725	31.9	1
v14799		0
v14821	232.83	1
v14848		0
v14998		0
v15211		0
v15273		0
v15491		0
v15496	60.97	1
v15854		0
v15874		0
v15988		0
v16212		0
v16239		0
v16365	48.94	1
v16455	89.9	1
v16465		0
v16472		0
v16564	111.0	1
v16684		0
v16768		0
v16874		0
v17062		0
v17135	162.11	1
v17348		0
v17480		0
v17505		0
v17742		0
v17751		0
v17822	16.94	1
v18106		0
v18116	87.9	1
v18206	103.85	1
v18502		0
v18561		0
v18712		0
v18731		0
v18734		0
v18745	125.97	1
v18884		0
v19319	217.96	1
v19327		0
v19681		0
v19785	103.02	1
v19821		0
v20060	189.13	1
v20100	124.91	1
v20128		0
v20252		0
v20336		0
v20573		0
v20725	89.74	1
v20808		0
v20864		0
v21039		0
v21068	132.05	1
v21087		0
v21283		0
v21289		0
v21303	13.09	1
v21385		0
v21414		0
v21467		0
v21533		0
v21612		0
v21639		0
v21851		0
v21861	128.93	1
v22116		0
v22177		0
v22431		0
v22459		0
v22511	29.86	1
v22543		0
v22644		0
v22683		0
v22692		0
v22693		0
v22860		0
v23145		0
v23510		0
v23659		0
v23833	133.08	1
v23988		0
v24014		0
v24200		0
v24249		0
v24254	18.19	1
v24309		0
v24419		0
v24679		0
v24931		0
v25130		0
v25140		0
v25231		0
v25338		0
v25340		0
v25401		0
v25446		0
v25521		0
v25780		0
v25833		0
v25916		0
v25924		0
v25973		0
v26009		0
v26017		0
v26076		0
v26105		0
v26221		0
v26234	69.7	1
v26323		0
v26354		0
v26432	203.3	1
v26517		0
v26560	134.08	1
v26686		0
v26697		0
v26709		0
v26788		0
v26943		0
v27002		0
v27165		0
v27219		0
v27233		0
v27269		0
v27526		0
v27660		0
v27676	54.93	1
v27829	49.0	1
v27978	145.36	1
v28099		0
v28212		0
v28214		0
v28299		0
v28363	181.1	1
v28368	107.3	1
v28478		0
v28590		0
v28711		0
v28852	217.05	1
v28905		0
v29100		0
v29161		0
v29239		0
v29243		0
v29335		0
v29622		0
v29951		0
v30101		0
v30214		0
v30464		0
v30490		0
v30492		0
v30573		0
v30752	118.35	1
v30870		0
v31050		0
v31162		0
v31459		0
v31513		0
v31533		0
v31567	0.85	1
v31600		0
v32042	6.15	1
v32259		0
v32267		0
v32330		0
v32358	55.85	1
v32609		0
v32831		0
v32860	121.99	1
v32953		0
v33137	99.11	1
v33185	5.05	1
v33208		0
v33209		0
v33264		0
v33287	59.16	1
v33293		0
v33413	104.13	1
v33421		0
v33497	101.07	1
v33593	30.57	1
v33600		0
v33655		0
v33671		0
v33681		0
v33971		0
v34025	98.86	1
v34201		0
v34245		0
v34366		0
v34406		0
v34413	50.97	1
v34421		0
v34810		0
v34919		0
v34932		0
v35039		0
v35043	18.97	1
v35097		0
v35209		0
v35308		0
v35444		0
v35504	100.23	1
v35576		0
v35610		0
v35732		0
v35771		0
v35960	227.97	1
v36042		0
v36222		0
v36249		0
v36283		0
v36422		0
v36483	135.86	1
v36497		0
v36595		0
v36862		0
v36991		0
v37052		0
v37067		0
v37077		0
v37079		0
v37093	19.96	1
v37129		0
v37139		0
v37151	139.14	1
v37183		0
v37271	71.86	1
v37310		0
v37315	121.1	1
v37927	51.97	1
v38070		0
v38166		0
v38242		0
v38323		0
v38482		0
v38561	192.24	1
v38564	247.82	1
v38630		0
v38639		0
v38684		0
v38826		0
v39067		0
v39120		0
v39220	103.22	1
v39279		0
v39334	66.36	1
v39352		0
v39430		0
v39450		0
v39834		0
v39953		0
v40054		0
v40061		0
v40121		0
v40138		0
v40196		0
v40348	133.08	1
v40403		0
v40426	34.97	1
v40538		0
v40594		0
v40602		0
v40785		0
v40805		0
v40925		0
v40959		0
v41298		0
v41483		0
