visit_id	revisit_interval	revisit_intention
v81		0
v180	4.77	1
v181		0
v411		0
v568	4.92	1
v569		0
v651	3.2	1
v652		0
v785		0
v904		0
v977		0
v1045		0
v1118	86.27	1
v1119	21.87	1
v1120	36.04	1
v1121		0
v1125		0
v1151	66.23	1
v1152	1.03	1
v1153	52.01	1
v1154		0
v1160	49.01	1
v1161	29.93	1
v1162		0
v1252	38.94	1
v1253	1.31	1
v1254	52.61	1
v1255	2.1	1
v1256	3.99	1
v1257		0
v1258	56.05	1
v1259		0
v1285		0
v1306		0
v1643	75.22	1
v1644	9.92	1
v1645	3.95	1
v1646		0
v1831		0
v1952	3.01	1
v1953		0
v2049	1.03	1
v2050		0
v2190	3.71	1
v2191		0
v2221		0
v2264		0
v2530		0
v2648		0
v2830	0.84	1
v2831		0
v2936		0
v3164		0
v3179		0
v3271		0
v3361		0
v3547	20.96	1
v3548		0
v3608	40.1	1
v3609		0
v3684	3.17	1
v3685		0
v3794		0
v4054	53.87	1
v4055	44.02	1
v4056	46.92	1
v4057	1.11	1
v4058		0
v4126		0
v4440	76.77	1
v4441		0
v4453		0
v4545		0
v4666	1.85	1
v4667		0
v4789		0
v4855		0
v4859		0
v4976		0
v4982		0
v4994		0
v5239	68.97	1
v5240	4.16	1
v5241	11.97	1
v5242	3.73	1
v5243	40.17	1
v5244	21.8	1
v5245	4.21	1
v5246		0
v5271		0
v5472		0
v5613		0
v5639	48.07	1
v5640		0
v5669	4.61	1
v5670	0.87	1
v5671	11.11	1
v5672	55.31	1
v5673	32.86	1
v5674	32.11	1
v5675		0
v5817		0
v6053		0
v6185	121.97	1
v6186		0
v6198		0
v6278	6.93	1
v6279	118.96	1
v6280		0
v6357		0
v6409		0
v6420	0.93	1
v6421	86.97	1
v6422		0
v6468	82.99	1
v6469	1.99	1
v6470		0
v6524		0
v6607	0.68	1
v6608		0
v6634	2.02	1
v6635		0
v6645		0
v6743		0
v6879	47.0	1
v6880		0
v6967	64.89	1
v6968		0
v6971		0
v6986		0
v6989	1.98	1
v6990		0
v7047		0
v7279		0
v7484	113.02	1
v7485	17.95	1
v7486	25.99	1
v7487		0
v7545		0
v7766	62.72	1
v7767		0
v8052		0
v8211		0
v8346	7.05	1
v8347		0
v8583	3.29	1
v8584		0
v8603		0
v8667		0
v8696		0
v8720	157.07	1
v8721		0
v8723	1.05	1
v8724		0
v8789		0
v8859	0.88	1
v8860	15.47	1
v8861	6.04	1
v8862		0
v8899	10.39	1
v8900		0
v8917	4.82	1
v8918	1.08	1
v8919		0
v9050		0
v9078	0.89	1
v9079		0
v9150		0
v9224		0
v9283		0
v9285	8.27	1
v9286	3.1	1
v9287	52.89	1
v9288		0
v9395	14.02	1
v9396	113.77	1
v9397	2.35	1
v9398	0.78	1
v9399		0
v9457	0.98	1
v9458	1.98	1
v9459	0.97	1
v9460	0.73	1
v9461	1.17	1
v9462		0
v9498		0
v9504		0
v9785		0
v9836	14.8	1
v9837	1.05	1
v9838		0
v9884	89.03	1
v9885		0
v10044	33.01	1
v10045	28.43	1
v10046	0.82	1
v10047	6.72	1
v10048	53.1	1
v10049		0
v10085	21.0	1
v10086	129.23	1
v10087		0
v10103		0
v10135		0
v10146		0
v10211	2.94	1
v10212		0
v10291		0
v10621		0
v10649		0
v10742		0
v10829		0
v10864	31.94	1
v10865	20.61	1
v10866		0
v10867		0
v10883	72.0	1
v10884		0
v10925		0
v10985		0
v11155	18.09	1
v11156	29.0	1
v11157	13.95	1
v11158	2.68	1
v11159	34.94	1
v11160		0
v11230	2.06	1
v11231	0.92	1
v11232		0
v11245		0
v11302		0
v11345		0
v11549	0.77	1
v11550	130.32	1
v11551		0
v11592	51.13	1
v11593	73.99	1
v11594	1.91	1
v11595	12.08	1
v11596	2.77	1
v11597		0
v11926		0
v11943		0
v11947		0
v12070		0
v12327	77.64	1
v12328		0
v12741	0.84	1
v12742		0
v12749	75.18	1
v12750		0
v12914		0
v13003	8.04	1
v13004	2.89	1
v13005	17.04	1
v13006		0
v13161	61.96	1
v13162	13.93	1
v13163		0
v13236		0
v13282	1.21	1
v13283		0
v13322	58.85	1
v13323		0
v13362	0.95	1
v13363		0
v13445		0
v13459		0
v13579	36.95	1
v13580	116.09	1
v13581		0
v13666	24.05	1
v13667		0
v13729	1.39	1
v13730		0
v13775		0
v13849		0
v13879		0
v14025		0
v14029		0
v14042		0
v14086		0
v14128		0
v14161		0
v14210		0
v14223		0
v14240	75.05	1
v14241	3.66	1
v14242	53.34	1
v14243	14.66	1
v14244	18.32	1
v14245		0
v14390		0
v14513	2.51	1
v14514		0
v14558		0
v14633	13.92	1
v14634	2.81	1
v14635		0
v14647	20.94	1
v14648		0
v14722	9.06	1
v14723	101.75	1
v14724	1.2	1
v14725		0
v14799		0
v14821		0
v14845	14.98	1
v14846	20.99	1
v14847	48.0	1
v14848		0
v14998		0
v15211		0
v15271	58.99	1
v15272	0.52	1
v15273		0
v15491		0
v15492	1.2	1
v15493	1.09	1
v15494	0.99	1
v15495	167.0	1
v15496		0
v15853	1.09	1
v15854		0
v15873	4.03	1
v15874		0
v15987	9.19	1
v15988		0
v16212		0
v16239		0
v16365		0
v16454	23.5	1
v16455		0
v16465		0
v16472		0
v16559	38.02	1
v16560	0.98	1
v16561	21.0	1
v16562	14.01	1
v16563	79.94	1
v16564		0
v16683	0.47	1
v16684		0
v16768		0
v16874		0
v17061	151.29	1
v17062		0
v17135		0
v17347	2.03	1
v17348		0
v17480		0
v17505		0
v17742		0
v17751		0
v17821	4.09	1
v17822		0
v18106		0
v18115	1.92	1
v18116		0
v18204	5.88	1
v18205	16.19	1
v18206		0
v18502		0
v18560	0.77	1
v18561		0
v18712		0
v18731		0
v18734		0
v18741	56.98	1
v18742	5.09	1
v18743	38.95	1
v18744	3.94	1
v18745		0
v18884		0
v19319		0
v19323	1.95	1
v19324	3.02	1
v19325	1.81	1
v19326	26.82	1
v19327		0
v19681		0
v19784	61.95	1
v19785		0
v19821		0
v20060		0
v20100		0
v20128		0
v20249	1.15	1
v20250	1.92	1
v20251	1.04	1
v20252		0
v20336		0
v20573		0
v20722	0.75	1
v20723	9.17	1
v20724	89.17	1
v20725		0
v20808		0
v20864		0
v21039		0
v21068		0
v21085	0.8	1
v21086	0.74	1
v21087		0
v21283		0
v21289		0
v21290	1.04	1
v21291	3.04	1
v21292	33.06	1
v21293	4.88	1
v21294	3.99	1
v21295	17.02	1
v21296	8.94	1
v21297	13.02	1
v21298	10.11	1
v21299	5.83	1
v21300	22.98	1
v21301	26.12	1
v21302	5.87	1
v21303		0
v21385		0
v21414		0
v21467		0
v21533		0
v21612		0
v21639		0
v21851		0
v21860	81.26	1
v21861		0
v22116		0
v22174	28.9	1
v22175	40.3	1
v22176	84.59	1
v22177		0
v22431		0
v22459		0
v22508	28.0	1
v22509	34.92	1
v22510	87.05	1
v22511		0
v22543		0
v22643	1.88	1
v22644		0
v22683		0
v22692		0
v22693		0
v22859	3.63	1
v22860		0
v23144	42.9	1
v23145		0
v23509	33.99	1
v23510		0
v23659		0
v23833		0
v23985	11.95	1
v23986	7.98	1
v23987	28.07	1
v23988		0
v24013	1.26	1
v24014		0
v24199	96.87	1
v24200		0
v24249		0
v24252	3.82	1
v24253	18.84	1
v24254		0
