visit_id	wifi_id	date	indices
v81	68	17291	882355;882389;882391;882434;882477;882511;882514
v180	135	17337	1138930;1138936;1138961;1138975;1138979;1138994
v181	135	17342	1162563;1162564
v411	299	17319	1029011;1029208
v568	392	17262	723892;723896
v569	392	17267	751303
v651	444	17186	162844;162845
v652	444	17189	185309
v785	539	17242	608545;608550;608632;608648;608663;608685;608899;609002
v904	631	17173	56163;56176;56179;56217;56241
v977	687	17185	154810;154833;154987;154988;155001;155003;155038;155041
v1045	731	17310	973427;973428
v1118	784	17179	107380;107382;107383;107385
v1119	784	17265	740788;740789;740824;740893;740903;740907
v1120	784	17287	858878
v1121	784	17323	1056613
v1125	789	17168	10348;10364;10403;10406;10414
v1151	808	17211	334120;334160;334220;334239
v1152	808	17277	807488;807490
v1153	808	17278	813472
v1154	808	17330	1099744;1099747;1099749;1099773;1099780;1099813;1099814
v1160	813	17170	32338
v1161	813	17219	412465;412467;412488;412516;412522;412535;412555;412636;412702;413053
v1162	813	17249	648027;648028;648037;648144;648148;648152;648156;648157;648165
v1252	895	17225	465586;465645;465687
v1253	895	17264	731766;731801
v1254	895	17265	741822
v1255	895	17318	1020417;1020418
v1256	895	17320	1033829;1033832;1033835;1033877
v1257	895	17324	1060400;1060404;1060405
v1258	896	17201	251739;251761;251774;251839
v1259	896	17257	692688;692699;692712
v1285	917	17287	857538;857644;857833;858506;858655;858817
v1306	931	17328	1086544;1086556;1086587
v1643	1127	17224	457073;457077;457078;457081;457085;457089;457090;457096;457100;457107;457108;457116
v1644	1127	17299	919963;919967;919972;919975;919976;919980;919987;920012
v1645	1127	17309	970185;970187;970191;970192;970193;970217;970223;970303;970304;970305;970306;970313;970318;970322;970325;970327;970332;970340;970345;970349;970372;970381;970402;970413;970519;970520;970521
v1646	1127	17313	992543;992544;992545;992547;992555;992564;992601;992605;992607;992616;992627;992633;992636;992652;992654;992658
v1831	1255	17211	339033;339042;339131;339153;339190;339331;339338;339427;339463;339466;339467;339472;339475;339587;339597;339601;339602;339695;339780;339785;339838;339842;339850;340206;340218;340469;340470;340471;340474
v1952	1344	17278	810739;810777;810801;810806
v1953	1344	17281	828491
v2049	1426	17230	514553
v2050	1426	17231	524904;525246;525294;525421
v2190	1538	17186	166039;166049;166078
v2191	1538	17190	187190;187207;187264;187287;187295;187308;187314;187415
v2221	1556	17341	1156590;1156591;1156593;1156597;1156602;1156638;1156639
v2264	1582	17232	534875;534895;534975;534987;535001;535007;535016
v2530	1758	17211	334571;334589;334606;334607;334627;334671;334705;334706;334751
v2648	1850	17291	882738
v2830	1986	17328	1087617;1087636
v2831	1986	17329	1091672;1091674;1091787
v2936	2070	17328	1085488;1085491;1085493;1085494;1085496;1085499;1085503;1085504;1085510;1085515;1085528;1085529;1085530
v3164	2211	17241	598772;598774;598775;598778;598791;598796;598797;598799;598808;598816;598829;598830;598837;598849
v3179	2220	17237	571752;571774;571794;571986;571987
v3271	2302	17217	391559;391561;391617;391660;391671;391675;391835
v3361	2373	17341	1156497;1156509
v3547	2506	17222	437456;437459;437477;437481;437500;437507;437512;437530;437692;437753;437799;437851
v3548	2506	17243	612443;612454;612513
v3608	2548	17208	308481;308485;308494;308500;308504;308525;308528;308546;308564;308726;308823;308824
v3609	2548	17248	641750
v3684	2591	17219	406375;406400;406428;406433;406449;406482
v3685	2591	17222	439302;439316;439427;439457;439632;439782;439790;439817;439819;439905;439914;439941;439961;439976;439980;440017;440227;440279
v3794	2663	17321	1040573;1040701;1040800;1040803
v4054	2859	17178	104315;104523;104527;104627;105962;105964;105966;105967;105968
v4055	2859	17232	532961;532962;532971
v4056	2859	17276	801561;801598;801621;801625;801639;801643;801666;801704;801782;801793;801815;801947;801948;801993;802054;802059;802133;802144
v4057	2859	17323	1057218;1057223;1057231;1057266;1057316;1057325;1057345;1057435;1057452;1057469;1057502;1057508
v4058	2859	17324	1065393;1065430;1065453
v4126	2914	17310	975128;975140;975200;975201;975205;975220;975230;975244;975245;975248;975252;975253;975267;975271;975342;975354;975357;975367;975378;975380;975383;975387;975419;975420;975444;975473;975517;975538;975540;975556;975563;975612;975630;975670;975672;975685
v4440	3131	17223	451473;451507
v4441	3131	17300	922813;922834;922843;922844;922845
v4453	3141	17280	825514;825515;825520;825521;825543
v4545	3208	17249	644690;644693;644694;644700;644713;644719;644721;644727;644728;644729;644730;644732;644734;644741;644749;644752;644755;644756;644760;644764;644785;644811;644815;644816
v4666	3297	17248	640894;640920
v4667	3297	17250	650672;650768;650777;650792
v4789	3367	17308	965309;965355;965461;965462
v4855	3401	17289	870772;870775;870779;870782;870794;870805;870806;870810;870811;870816;870860;870917;870918;870940;870948;870976;870990
v4859	3404	17176	81046;81080;81082;81083;81086;81093
v4976	3494	17254	676225;676277;676357;676371
v4982	3501	17171	35798;35799;35804;35882;35884
v4994	3512	17180	119085;119101;119152;119157;119159;119166;119170
v5239	3727	17182	134332;134379;134428;134431;134434;134440;134451;134453;134495;134605;134611;134637;136302;136306;136311;136312;136313;136328;136340;136354;136355;136427;136436;136474;136476;136534;136538;136541
v5240	3727	17251	658691;658694;658698;658699;658706;658743;658750;658770;658774;658792;658795;658922;658923;658946;658948;658952;658990;659003;659006;659076;659080;659084;659098;659099;659102;659103;659127
v5241	3727	17255	683593;683595;683645;683647;683649;683656;683704;683709
v5242	3727	17267	752586;752613;752614;752628;752756;752757;752853;752856;752860;752883
v5243	3727	17271	772552;772592;772600;772684;772759;772761;772786;772795
