index	wifi_id	ts	area	dwell_time
30	29135	1483229143	out	43
33	27946	1483229587	out	28
272	20699	1483234951	out	152
278	4944	1483235033	out	3
355	31005	1483236244	out	464
356	31005	1483236244	in	463
357	31005	1483236244	1f	463
377	20699	1483236574	out	84
435	6410	1483237341	out	73
902	6410	1483241152	out	1395
906	6410	1483241175	in	1352
907	6410	1483241175	1f	1352
908	6410	1483241176	1f-display	1340
909	6410	1483241180	1f-must	13
910	6410	1483241181	1f-enter	1342
911	6410	1483241182	1f-dermo-cosmetic	1330
912	6410	1483241186	1f-promo	1336
916	6410	1483241211	1f-facial-inner	1296
926	6410	1483241258	1f-perfume	945
936	6410	1483241279	2f	1226
939	6410	1483241298	2f-femine-care	1120
943	6410	1483241315	2f-healt-care	719
952	6410	1483241370	new-2f-food	413
953	6410	1483241377	2f-counter	391
955	6410	1483241380	2f-texfree	826
956	6410	1483241388	2f-cafe	391
967	6410	1483241482	2f-body-care	235
970	6410	1483241491	2f-hair-care	207
973	6410	1483241499	2f-hairstudio	172
974	6410	1483241503	2f-favorite	172
975	6410	1483241503	2f-xtm	328
1026	6410	1483241838	2f-enter	3
1039	6410	1483241908	New-1f-natural	279
1041	6410	1483241916	1f-must	19
1080	6410	1483242160	1f-counter	318
1085	6410	1483242207	1f-getitbeauty	202
1086	6410	1483242208	1f-nailstudio	10
1088	6410	1483242224	1f-facial	279
1194	22209	1483243026	out	28
1210	24421	1483243129	out	86
1891	37152	1483247000	out	584
1939	37152	1483247200	in	210
1940	37152	1483247200	1f	210
1986	37152	1483247396	1f-enter	14
2515	37660	1483249963	1f	72
2516	37660	1483249963	in	72
2517	37660	1483249963	out	1089
2521	37660	1483249974	1f-perfume	10
2531	37660	1483249986	New-1f-natural	9
2535	37660	1483250000	1f-promo	16
2539	37660	1483250022	1f-enter	9
2774	32732	1483250929	out	2226
2777	32732	1483250930	in	2225
2778	32732	1483250930	2f	368
2779	32732	1483250931	2f-femine-care	367
2809	32732	1483251036	2f-body-care	189
2810	32732	1483251036	2f-enter	189
2877	32732	1483251297	1f	1858
2878	32732	1483251298	1f-promo	385
2892	32732	1483251412	1f-getitbeauty	1648
2893	32732	1483251413	1f-nailstudio	1434
2896	32732	1483251414	1f-counter	1741
2937	32732	1483251593	New-1f-natural	90
3222	32732	1483252910	1f-perfume	151
3441	32732	1483253906	out	180
3491	6410	1483254147	out	9
3527	9285	1483254347	out	40
3596	15830	1483254596	out	376
3606	15830	1483254617	in	333
3607	15830	1483254617	1f	333
3610	15830	1483254619	1f-enter	331
3612	15830	1483254619	1f-must	327
3643	15830	1483254735	1f-promo	199
4158	46189	1483256829	2f-cafe	691
4159	46189	1483256829	in	691
4160	46189	1483256829	2f	691
4660	46189	1483259011	out	1746
4665	46189	1483259022	2f	385
4666	46189	1483259022	in	1160
4667	46189	1483259022	2f-femine-care	344
4674	46189	1483259099	2f-body-care	302
4689	10188	1483259188	out	336
4690	46189	1483259189	2f-hair-care	192
4692	46189	1483259256	2f-hairstudio	17
4713	33306	1483259353	out	3022
4716	33306	1483259355	1f-enter	597
4717	33306	1483259355	in	2871
4718	33306	1483259355	1f	1921
4720	33306	1483259364	1f-must	393
4743	33306	1483259569	1f-promo	556
4842	33306	1483259957	1f-display	22
4848	46189	1483259970	1f	211
4849	33306	1483259985	1f-dermo-cosmetic	91
4863	33306	1483260036	New-1f-natural	4
4887	33306	1483260217	1f-getitbeauty	990
4919	33306	1483260368	1f-counter	737
5040	33306	1483260863	1f-nailstudio	337
5146	33306	1483261303	2f	923
5224	33306	1483261633	2f-texfree	593
5233	33306	1483261676	new-2f-food	176
5271	33306	1483261819	2f-counter	10
5373	41295	1483262325	out	42
5572	10188	1483263105	out	1970
5579	10188	1483263132	1f	1906
5580	10188	1483263132	in	1906
5584	10188	1483263139	1f-enter	67
5586	10188	1483263155	1f-promo	179
5587	10188	1483263155	1f-must	65
5602	10188	1483263215	New-1f-natural	62
5616	10188	1483263323	1f-perfume	270
5619	10188	1483263341	1f-facial-inner	12
5620	10188	1483263350	1f-facial	11
5623	10188	1483263352	2f	1647
5628	10188	1483263371	1f-makeup	123
5629	10188	1483263376	1f-beauty-tools	23
5659	10188	1483263536	1f-getitbeauty	10
5684	10188	1483263622	2f-hairstudio	414
5685	10188	1483263623	2f-enter	449
5690	10188	1483263634	2f-body-care	28
5693	10188	1483263667	2f-femine-care	3
5715	10188	1483263748	2f-healt-care	418
5716	10188	1483263749	2f-xtm	68
5722	10188	1483263778	new-2f-food	3
5735	10188	1483263823	2f-favorite	247
5764	10188	1483264037	2f-hair-care	28
5788	10188	1483264198	1f-facial-inner	10
5795	10188	1483264228	1f-dermo-cosmetic	790
5835	10188	1483264373	1f-enter	656
5908	10188	1483264783	1f-counter	177
5909	10188	1483264784	2f-femine-care	23
5920	10188	1483264833	1f-facial	158
5946	10188	1483264996	1f-facial-inner	16
5954	10188	1483265028	1f-display	3
6145	29135	1483265986	out	2210
6151	29135	1483266012	in	1811
6152	29135	1483266012	1f-enter	190
6153	29135	1483266012	1f	1811
6154	29135	1483266014	1f-must	69
6156	29135	1483266018	1f-display	209
6157	29135	1483266023	1f-promo	249
6169	29135	1483266068	New-1f-natural	210
6181	29135	1483266099	1f-dermo-cosmetic	472
6217	29135	1483266251	1f-facial-inner	317
6230	29135	1483266283	1f-perfume	314
6234	29135	1483266295	1f-getitbeauty	202
6240	29135	1483266301	1f-counter	220
6260	29135	1483266339	1f-nailstudio	190
6264	29135	1483266364	1f-makeup	181
6274	29135	1483266411	2f	1319
6309	29135	1483266536	1f-beauty-tools	14
6312	29135	1483266554	1f-facial	7
6324	29135	1483266626	2f-healt-care	795
6325	29135	1483266627	2f-body-care	716
6326	29135	1483266629	2f-xtm	798
6372	29135	1483266816	new-2f-food	587
6376	29135	1483266834	2f-texfree	547
6431	29135	1483267070	2f-femine-care	368
6460	29135	1483267139	2f-enter	292
6473	29135	1483267207	2f-hair-care	125
6485	29135	1483267260	2f-hairstudio	56
6517	29135	1483267450	1f-facial-inner	5
6518	29135	1483267454	1f-promo	348
6519	29135	1483267456	1f-perfume	330
