visit_id	wifi_id	date	indices
v77	110	17289	741979;742146;742229
v118	143	17197	123996;124005;124019;124028;124032;124039;124042;124052;124054;124060
v160	204	17277	649267
v210	276	17196	111935;111939;111940;111941;111947;111982;112028;112061
v221	292	17227	334189;334308
v222	292	17318	940960
v247	330	17256	522067;522074;522075;522080;522081;522083;522084;522086;522088;522089;522095
v340	443	17208	203576;203579
v341	443	17215	254513;254548;254573;254582
v342	443	17264	571698
v461	605	17195	106494;106498;106502;106511;106512;106524;106527;106535;106536;106538;106543;106554;106555;106566;106568;106573;106574;106582;106589;106591;106608;106614;106616;106619;106630;106641;106643;106644;106646;106656;106659;106677;106679;106684;106685;106691;106692;106704;106709
v470	621	17301	824430;824443
v471	621	17359	1242288;1242301;1242345;1242395;1242438;1242479;1242539;1242584
v481	640	17208	208395;208423;208465;208496;208506;208511;208540;208554
v482	640	17346	1123003;1123026;1123027
v621	828	17264	571871
v622	828	17334	1060008;1060013;1060015;1060026;1060036;1060042;1060047;1060049;1060071;1060076;1060082;1060083;1060084;1060087;1060102
v677	879	17353	1187802;1187806;1187809;1187814;1187821;1187822;1187829;1187833;1187836;1187837;1187843
v680	881	17204	178039;178045;178054;178057;178065;178085;178089;178110;178116;178123;178131;178146;178176
v695	916	17331	1034032;1034040;1034058;1034059;1034063;1034066;1034072;1034073;1034074;1034080;1034083;1034091;1034101;1034102;1034104;1034107
v757	971	17333	1050844;1051141;1051169;1051235;1051273;1051346;1051388;1051389;1051393;1051532;1051642;1051696;1051728
v758	971	17346	1121460;1121536;1121547;1121550;1121551;1121612
v759	971	17348	1139075;1139096;1139138;1139142;1139180;1139229;1139361;1139392;1139479;1139576;1139687;1139691;1139696;1139708;1139734;1139750;1139751;1139855;1139905;1139930
v831	1047	17266	588142;588155;588157;588158;588159;588162;588170;588201
v832	1051	17277	652480
v921	1164	17285	711681;711690;711692
v922	1165	17346	1125761;1125765
v938	1189	17258	536665;536668
v1216	1594	17191	83824;83840;84077;84088;84126;84133;84146;84166;84181;84202;84214;84235;84277;84290;84361;84374;84377;84416;84425
v1272	1679	17289	738119;738178
v1373	1796	17235	381883;382399;382434
v1452	1905	17213	239031;239040;239049
v1556	2084	17193	101568;101579;101580;101581;101582;101583;101585;101587;101588;101638;101691;101705;101706
v1557	2084	17207	201995;201997;202000;202003;202007;202014
v1573	2106	17197	123386;123406;123409;123474;123574;123576
