visit_id	revisit_interval	revisit_intention
v16		0
v42	0.8	1
v43		0
v102		0
v108		0
v169		0
v177		0
v258	42.06	1
v259		0
v318		0
v327		0
v403		0
v481		0
v657		0
v665		0
v677		0
v701		0
v736		0
v749		0
v760		0
v794		0
v834		0
v839		0
v903		0
v1021		0
v1070		0
v1128	13.94	1
v1129	14.06	1
v1130		0
v1242		0
v1413		0
v1643		0
v1708		0
v1821		0
v1822		0
v1870	56.0	1
v1871		0
v2018		0
v2099		0
v2109		0
v2326		0
v2404		0
v2476		0
v2481		0
v2539		0
v2541		0
v2554		0
v2617		0
v2751		0
v2939		0
v2955		0
v2997		0
v3142		0
v3337		0
v3387	55.25	1
v3388	63.03	1
v3389	1.71	1
v3390		0
v3448		0
v3457		0
v3480		0
v3502	0.94	1
v3503		0
v3516		0
v3521		0
v3530		0
v3534		0
v3745		0
v3840	42.01	1
v3841	46.1	1
v3842	33.89	1
v3843	10.98	1
v3844	14.03	1
v3845	22.95	1
v3846		0
v3870		0
v3884	70.06	1
v3885		0
v3900	221.04	1
v3901		0
v3949		0
v3954	42.16	1
v3955		0
v3970	51.99	1
v3971	133.0	1
v3972		0
v4010	34.91	1
v4011	65.22	1
v4012		0
v4096		0
v4120		0
v4127		0
v4358		0
v4367		0
v4389		0
v4501	3.93	1
v4502		0
v4507		0
v4523		0
v4619	148.01	1
v4620		0
v4668		0
v4725		0
v4763		0
v4783	6.75	1
v4784		0
v4814		0
v4955		0
v4975		0
v4982		0
v5043		0
v5145		0
v5249		0
v5298		0
v5366		0
v5393	55.78	1
v5394		0
v5399		0
v5405		0
v5416		0
v5458		0
v5507	2.93	1
v5508		0
v5619	2.11	1
v5620		0
v5660		0
v5753		0
v5817	6.99	1
v5818	198.96	1
v5819		0
v5926		0
v6005	139.14	1
v6006		0
v6009		0
v6157	20.07	1
v6158		0
v6223		0
v6259		0
v6352	0.96	1
v6353		0
v6383	4.16	1
v6384		0
v6422		0
v6828		0
v6963	3.05	1
v6964		0
v7044		0
v7073		0
v7112		0
v7125		0
v7172	33.9	1
v7173	57.77	1
v7174	39.14	1
v7175		0
v7183		0
v7188		0
v7197	18.24	1
v7198	25.75	1
v7199	101.16	1
v7200	47.94	1
v7201		0
v7227		0
v7555		0
v7566		0
v7611		0
v7663		0
v7738	159.76	1
