index	wifi_id	ts	area	dwell_time
146	23007	1484263877	max	120
167	48049	1484264986	max	9
236	18762	1484268434	max	23
302	46324	1484272096	max	682
347	18762	1484273843	max	97
520	20351	1484278143	max	7
758	37511	1484281769	max	439
801	42642	1484282229	max	40
807	27836	1484282405	max	9
808	21769	1484282429	max	59
918	48542	1484284252	max	60
1078	37511	1484287005	max	68
1220	30584	1484288701	max	2787
1244	30584	1484289177	3f	1300
1245	30584	1484289177	3f-sensor1	5
1246	30584	1484289177	in	1663
1247	30584	1484289177	out	1663
1249	30584	1484289177	E	26
1251	30584	1484289183	3f-sensor6	8
1252	30584	1484289191	3f-sensor6	4
1253	30584	1484289195	3f-sensor1	8
1254	30584	1484289204	3f-sensor5	538
1319	30584	1484289742	3f-sensor2	703
1390	30584	1484290446	G	18
1391	30584	1484290446	3f-sensor7	18
1392	30584	1484290464	3f-sensor7	13
1393	30584	1484290477	3f-sensor5	186
1400	30584	1484290664	H	176
1401	30584	1484290664	4f-sensor4	52
1402	30584	1484290664	4f	176
1404	30584	1484290716	4f-sensor5	33
1406	30584	1484290750	4f-counter	4
1407	30584	1484290750	4f-sensor9	4
1408	30584	1484290754	4f-sensor9	86
1548	19088	1484292608	max	48
1660	18749	1484293730	max	14
2035	34283	1484298397	out	167
2036	34283	1484298397	J	167
2037	34283	1484298397	4f-sensor5	5
2038	34283	1484298397	max	167
2039	34283	1484298397	in	167
2040	34283	1484298397	4f	167
2042	34283	1484298403	4f-sensor5	161
2092	8568	1484298779	max	1761
2100	48049	1484298812	max	17
2222	8568	1484299569	3f	112
2223	8568	1484299569	out	878
2224	8568	1484299569	in	878
2225	8568	1484299569	E	11
2226	8568	1484299569	3f-sensor1	11
2227	8568	1484299580	3f-sensor1	100
2232	8568	1484299681	3f-sensor2	761
2233	3986	1484299720	max	19
2277	8568	1484300442	F	4
2278	8568	1484300442	3f-sensor3	4
2279	8568	1484300442	3f	4
2293	19088	1484300694	max	1601
2351	47634	1484301300	max	26
2398	3860	1484301789	max	416
2419	3860	1484301893	out	93
2420	3860	1484301893	in	93
2425	3860	1484301899	3f	54
2426	3860	1484301899	3f-sensor7	20
2427	3860	1484301899	G	34
2429	3860	1484301919	3f-sensor7	8
2432	3860	1484301928	3f-sensor8	4
2433	39263	1484301928	max	660
2437	3860	1484301933	3f-sensor8	6
2440	3860	1484301939	3f-sensor4	3
2441	3860	1484301939	E	13
2442	3860	1484301944	3f-sensor5	9
2445	3860	1484301953	3f-sensor5	29
2453	3860	1484301983	4f	2
2454	3860	1484301983	I	2
2505	39263	1484302330	out	94
2506	39263	1484302330	in	94
2507	39263	1484302331	4f	93
2508	39263	1484302331	I	12
2509	39263	1484302331	4f-sensor8	12
2510	39263	1484302343	4f-sensor8	80
2664	3860	1484303105	max	8
2796	40089	1484304482	max	58
2907	29066	1484305400	max	86
3100	19955	1484306981	max	58
3156	19088	1484307460	max	5
3213	34283	1484307780	max	5
3214	34283	1484307780	out2	5
3215	34283	1484307780	out-back	5
3216	34283	1484307780	out	5
3217	34283	1484307781	out5	5
3218	34283	1484307781	out9	4
3219	34283	1484307781	out-front	4
3784	816	1484311590	max	34
3802	28205	1484311752	max	13
3812	40089	1484311913	max	615
3813	40089	1484311928	3f-sensor1	19
3814	40089	1484311928	E	238
3815	40089	1484311928	3f	238
3816	40089	1484311928	out	341
3817	40089	1484311928	in	341
3818	40089	1484311948	3f-sensor4	6
3820	40089	1484311954	3f-sensor4	6
3821	40089	1484311961	3f-sensor3	93
3825	40089	1484312055	G	35
3826	40089	1484312055	3f-sensor7	6
3828	40089	1484312061	3f-sensor7	28
3830	40089	1484312090	3f-sensor8	18
3831	40089	1484312109	3f-sensor5	6
3832	40089	1484312116	3f-sensor6	22
3835	40089	1484312139	3f-sensor6	21
3840	40089	1484312160	3f-sensor1	6
3842	40089	1484312166	3f-sensor5	19
3845	40089	1484312186	C	84
3846	40089	1484312186	2f-sensor3	12
3847	40089	1484312186	2f	84
3848	40089	1484312199	D	6
3849	40089	1484312199	2f-sensor2	6
3850	40089	1484312205	2f-sensor2	65
4023	18749	1484347326	max	55
4264	27836	1484360988	max	782
4268	27836	1484361137	3f-sensor1	326
4269	27836	1484361137	E	407
4270	27836	1484361137	3f	407
4271	27836	1484361137	out	633
4272	27836	1484361137	in	633
4280	27836	1484361463	3f-sensor6	81
4285	27836	1484361544	3f-sensor4	68
4317	34548	1484362711	max	54
4368	5056	1484364077	max	49
4377	25859	1484364269	max	41
4567	26274	1484366891	max	916
4571	26274	1484366937	out	312
4572	26274	1484366937	in	312
4578	26274	1484367064	2f	185
4579	26274	1484367064	C	185
4580	26274	1484367064	2f-sensor3	23
4581	26274	1484367089	3f-sensor1	13
4582	26274	1484367102	I	100
4583	26274	1484367102	4f-sensor7	9
4584	26274	1484367102	4f	100
4585	26274	1484367112	4f-sensor6	23
4586	26274	1484367137	4f-sensor5	51
4588	26274	1484367190	4f-sensor6	11
4589	26274	1484367202	4f-sensor8	47
5062	25859	1484372872	max	215
5105	34548	1484373442	max	2170
5115	34548	1484373572	out	1864
5116	34548	1484373572	in	1864
5117	34548	1484373572	2f-sensor3	34
5120	34548	1484373606	E	8
5121	34548	1484373606	3f-sensor5	8
5122	34548	1484373606	3f	8
5124	34548	1484373614	3f-sensor5	22
5127	34548	1484373637	I	1798
5128	34548	1484373637	4f-sensor7	10
5129	34548	1484373637	4f	1798
5131	34548	1484373648	4f-sensor8	19
5133	34548	1484373668	J	1683
5134	34548	1484373668	4f-sensor10	3
5135	34548	1484373671	4f-sensor5	12
5138	34548	1484373683	4f-sensor4	359
5165	34548	1484374043	4f-sensor3	443
5201	34548	1484374486	4f-sensor1	79
5204	34548	1484374565	4f-sensor10	446
5211	30506	1484374612	max	530
5260	34548	1484375012	4f-sensor2	31
5265	34548	1484375044	4f-sensor7	306
5289	34548	1484375351	4f-sensor5	84
5392	36951	1484376147	max	22
6506	29101	1484385453	max	66
6814	29101	1484388851	max	85
6849	3414	1484389099	max	21
7064	18749	1484392532	max	399
7401	6178	1484429041	max	11
7409	30506	1484433521	max	60
7412	30506	1484434586	max	65
7599	45218	1484447486	max	131
7617	45218	1484448606	max	176
7643	30506	1484450053	max	1075
7958	1672	1484457110	max	621
8085	19184	1484458591	max	560
8110	19184	1484458794	2f-sensor4	71
8111	19184	1484458794	2f	271
8112	19184	1484458794	C	271
8113	19184	1484458794	in	271
8114	19184	1484458794	out	271
8115	19184	1484458794	D	198
8129	19184	1484458866	E	77
8130	19184	1484458866	3f	77
8131	19184	1484458866	3f-sensor1	22
8133	19184	1484458889	3f-sensor8	29
8135	19184	1484458920	3f-sensor2	24
8139	19184	1484458944	3f-sensor5	23
8141	19184	1484458967	2f-sensor1	24
8150	19184	1484458993	2f-sensor5	72
8284	19184	1484460224	max	377
8467	20988	1484461942	max	115
8870	42240	1484463142	max	76
9201	38311	1484465013	max	984
9207	38311	1484465053	out-front	944
9208	38311	1484465053	out	944
9209	38311	1484465053	out9	944
9210	38311	1484465054	out8	944
9212	38311	1484465095	in	903
9213	38311	1484465095	B	903
9214	38311	1484465095	1f-sensor6	9
9215	38311	1484465095	1f	903
9216	38311	1484465095	out5	903
9217	38311	1484465095	out-back	903
9218	38311	1484465095	out2	902
9219	38311	1484465104	1f-sensor3	14
9220	38311	1484465118	1f-sensor7	95
9228	38311	1484465214	A	778
9229	38311	1484465214	1f-sensor4	14
9233	38311	1484465231	1f-sensor1	49
9243	5561	1484465280	max	12
9244	38311	1484465280	1f-sensor3	34
9245	38311	1484465314	3f-sensor1	12
9246	38311	1484465314	3f	395
9247	38311	1484465314	E	395
9249	38311	1484465326	3f-sensor4	2
9253	38311	1484465328	3f-sensor6	5
