visit_id	revisit_interval	revisit_intention
v41		0
v57		0
v155		0
v167		0
v267		0
v283		0
v327	18.21	1
v357		0
v367		0
v369		0
v391		0
v476		0
v511		0
v782		0
v857		0
v941		0
v984		0
v1026		0
v1194		0
v1211	111.77	1
v1222		0
v1227		0
v1345	14.0	1
v1351		0
v1413		0
v1502		0
v1503		0
v1528		0
v1573		0
v1628		0
v1732		0
v1831		0
v1874		0
v2085	14.79	1
v2096		0
v2098	211.91	1
v2157	27.75	1
v2298		0
v2306	34.92	1
v2311		0
v2322	217.97	1
v2353		0
v2448		0
v2586	44.65	1
v2685	38.97	1
v2746		0
v2756		0
v2758		0
v2788		0
v2897	64.93	1
v2950		0
v3017		0
v3104	120.03	1
v3110	154.04	1
v3123		0
v3239	167.96	1
v3300		0
v3373		0
v3413		0
v3426		0
v3510	56.86	1
v3514		0
v3637		0
v3733		0
v3756		0
v3836		0
v3862		0
v3982		0
v4038	59.03	1
v4099	113.08	1
v4115	13.98	1
v4136		0
v4311		0
v4320	79.99	1
v4346	34.94	1
v4408	105.0	1
v4409		0
v4430		0
v4553		0
v4607		0
v4712		0
v4730		0
v4761		0
v4874		0
v4915		0
v4959	79.13	1
v5046		0
v5054		0
v5095		0
v5126		0
v5154	19.99	1
v5271		0
v5293		0
v5338		0
v5358		0
v5436		0
v5511		0
v5613		0
v5654	207.93	1
v5677	38.06	1
v5687	51.04	1
v5698		0
v5830	50.09	1
v5951		0
v5957		0
v5975		0
v5984		0
v6001	60.04	1
v6017	102.01	1
v6073		0
v6081		0
v6252		0
v6275	73.82	1
v6289	73.04	1
v6295	27.98	1
v6320		0
v6387		0
v6411		0
v6521		0
v6589		0
v6608		0
v6616		0
v6624	56.14	1
v6693	125.86	1
v6807	62.8	1
v6825		0
v6861		0
v6898	89.1	1
v7012		0
v7041		0
v7053		0
v7059		0
v7071		0
v7107		0
v7268		0
v7285		0
v7337	169.1	1
v7411		0
v7452		0
v7460		0
v7495		0
v7579		0
v7634		0
v7712		0
v7849		0
v7857		0
v7861		0
v7880		0
v7972		0
v7998		0
v8002		0
v8042		0
v8079		0
v8242		0
v8299		0
v8404		0
v8425		0
v8427		0
v8459		0
v8476		0
v8513	101.98	1
v8552		0
v8629		0
v8682		0
v8818	147.92	1
v8831		0
v8886		0
v8979		0
v9034		0
v9110		0
v9120		0
v9144		0
v9163	69.93	1
v9223	242.19	1
v9251		0
v9259		0
v9278		0
v9285		0
v9392		0
v9419		0
v9420		0
v9467		0
v9590		0
v9633		0
v9705	270.18	1
v9758		0
v9811		0
v9872		0
v9930		0
v10081		0
v10108	129.86	1
v10205		0
v10230	27.95	1
v10272	273.06	1
v10324	66.06	1
v10463		0
v10490		0
v10510		0
v10517		0
v10592		0
v10623		0
v10642		0
v10646	150.91	1
v10749		0
v10788		0
v10789		0
v10821	110.26	1
v10974		0
v10976		0
v11012		0
v11079		0
v11110		0
v11179		0
v11183		0
v11298		0
v11299		0
v11391		0
v11422		0
v11423		0
v11447		0
v11517		0
v11534		0
v11606	194.77	1
v11607		0
v11687		0
v11717	83.71	1
v11729		0
v11744		0
v11745	23.9	1
v11751	70.15	1
v11778		0
