visit_id	revisit_interval	revisit_intention
v26		0
v119		0
v177		0
v187		0
v216	59.76	1
v413		0
v459		0
v508		0
v572		0
v573		0
v590		0
v618		0
v648		0
v946		0
v973	81.04	1
v979		0
v1064		0
v1227		0
v1273		0
v1286		0
v1289		0
v1324		0
v1444		0
v1480		0
v1491		0
v1509		0
v1519		0
v1569		0
v1600		0
v1786		0
v1806		0
v1928		0
v1951		0
v1964		0
v1986		0
v2087		0
v2102		0
v2105		0
v2195	101.78	1
v2254		0
v2278		0
v2403		0
v2406	115.04	1
v2430	62.75	1
v2440		0
v2448		0
v2464		0
v2468		0
v2546		0
v2596		0
v2598		0
v2766		0
v2770		0
v2833		0
v2864		0
v2869		0
v2871		0
v3006		0
v3053	33.99	1
v3146		0
v3185		0
v3238		0
v3256		0
v3336		0
v3420		0
v3477		0
v3539		0
v3578	163.23	1
v3598		0
v3618		0
v3633		0
v3639		0
v3650		0
v3655		0
v3670		0
v3730		0
v3803		0
v3805		0
v3839		0
v4144		0
v4184		0
v4235		0
v4246		0
v4304		0
v4321		0
v4396	42.82	1
v4421		0
v4452		0
v4518	63.99	1
v4666	55.22	1
v4672		0
v4685		0
v4689		0
v4769		0
v4801		0
v4930		0
v5003		0
v5024		0
v5090		0
v5271		0
v5341		0
v5409		0
v5427	85.04	1
v5454		0
v5474		0
v5584		0
v5599	28.07	1
v5689		0
v5756	96.69	1
v5870		0
v5903		0
v5908	144.14	1
v5970		0
v6008	89.72	1
v6034		0
v6054		0
v6173		0
v6182		0
v6211		0
v6297		0
v6359		0
v6373	254.7	1
v6450		0
v6551		0
v6568	60.01	1
v6644		0
v6857		0
v6977		0
v7029		0
v7119		0
v7177		0
v7220		0
v7235		0
v7374		0
v7471		0
v7473		0
v7529	33.96	1
v7548		0
v7812	181.23	1
v7818		0
v7876		0
v7901		0
v7924		0
v7925	85.89	1
v7939		0
v8163		0
v8172		0
v8330		0
v8416	20.98	1
v8456		0
v8576		0
v8619		0
v8787		0
v8821		0
v8869	151.23	1
v8896		0
v8898		0
v9113		0
v9234	125.77	1
v9326		0
v9335		0
v9346		0
v9369		0
v9387		0
v9454		0
v9490		0
v9524		0
v9549		0
v9653		0
v9669		0
v9785		0
v9903	154.01	1
v9950	88.75	1
v9981	171.97	1
v10025		0
v10037		0
v10083		0
v10267		0
v10394		0
v10409		0
v10473	46.05	1
v10586		0
v10621	111.0	1
v10642	114.09	1
v10742		0
v10841		0
v10843		0
v10916		0
v10980		0
v11032		0
v11114		0
v11163		0
v11169		0
v11202		0
v11213		0
v11222		0
v11247		0
v11355		0
v11402		0
v11498		0
v11510	79.05	1
v11538		0
v11651		0
v11709		0
v11838		0
v11925		0
v11930	82.93	1
v11947		0
v12079		0
v12117		0
v12143		0
v12150		0
v12195		0
v12237		0
v12279		0
v12311	177.46	1
v12343		0
v12467		0
v12533		0
v12552		0
v12595	34.85	1
v12599		0
v12640		0
v12677		0
v12829	64.14	1
v12840		0
v12891		0
v12930	15.98	1
v12937		0
v13110		0
v13203		0
v13251		0
v13269	83.99	1
v13272		0
v13417	34.23	1
v13498		0
v13514		0
v13571		0
v13717		0
v13755		0
v13773		0
v13791		0
v13862		0
v13919		0
v13977		0
v13996		0
v14017		0
v14097		0
v14119	118.84	1
v14153		0
v14202		0
v14213		0
v14322		0
v14346		0
v14373		0
v14520		0
v14635		0
v14640		0
v14807		0
v14844		0
v14856		0
v14877		0
v14973		0
v15028		0
v15085		0
v15129		0
v15135		0
v15150		0
v15162		0
v15366		0
v15382		0
v15538		0
v15561		0
v15584		0
v15597		0
v15690		0
v15727		0
v15735		0
v15743		0
v15807		0
v15851		0
v15879		0
v15895		0
v15916	178.04	1
v15929		0
v15980		0
v16010		0
v16125		0
v16358		0
v16366		0
v16489		0
v16573		0
v16594		0
v16612		0
v16650		0
v16744	215.04	1
v16824		0
v16858		0
v16896	38.87	1
v16933		0
v16989		0
v17084		0
v17105		0
v17110		0
v17136		0
v17153		0
v17250		0
v17257		0
v17309		0
v17348		0
v17391		0
v17404		0
v17428		0
v17429		0
v17459		0
v17503		0
v17596		0
v17674		0
v17785	225.99	1
v17789		0
v17867		0
v17886	47.66	1
v17939	206.1	1
v17972		0
v18076		0
v18161	232.17	1
v18255		0
v18271		0
v18356		0
v18363		0
v18418		0
v18660		0
v18725		0
v18729		0
v18855	78.91	1
v18893		0
v18952		0
v19056	75.03	1
v19079		0
v19102		0
v19226		0
v19275		0
v19378		0
v19453		0
v19533		0
v19550		0
v19555		0
v19600		0
v19610		0
v19612		0
v19634		0
v19660		0
v19708		0
v19729		0
v19980		0
v20059		0
v20135		0
v20165		0
v20281		0
v20356		0
v20441		0
v20454		0
v20490		0
v20547		0
v20597		0
v20605		0
v20663		0
v20694		0
v20717		0
v20866		0
v20876		0
v21019		0
v21059		0
v21197		0
v21254		0
v21277		0
v21328		0
v21375		0
v21501		0
v21521		0
v21639		0
v21652		0
v21739		0
v21758		0
v21764		0
v21845		0
v21900		0
v21961		0
v21980	237.88	1
v22115		0
v22187		0
v22418		0
v22446		0
v22460	128.81	1
v22565		0
v22595		0
v22598		0
v22620		0
v22662		0
v22669	62.11	1
v22749		0
v22813	91.93	1
v22860		0
v22878		0
v23022		0
v23197		0
v23200		0
v23421		0
v23527		0
v23578		0
v23636		0
v23648		0
v23666		0
v23799		0
v23808		0
v23809		0
v23976		0
v24136		0
v24204		0
v24263	109.88	1
v24292		0
v24415		0
v24444		0
v24496		0
v24544		0
v24610		0
v24622		0
v24625		0
v24701		0
v24864	166.04	1
v24875		0
v24883		0
v24909		0
v24919		0
v25086		0
v25097		0
v25101	191.91	1
v25111		0
v25134		0
v25193		0
v25195		0
v25211		0
v25223		0
v25269		0
v25317	204.91	1
v25355		0
v25365		0
v25409		0
v25470		0
v25494	64.06	1
v25496		0
v25503		0
v25542		0
v25726		0
v25749		0
v25754		0
v25777		0
v25804		0
v25814		0
v25838		0
v25856		0
v25859	270.94	1
v25994		0
v26076		0
v26120		0
v26307	122.95	1
v26377		0
v26413		0
v26465		0
v26553		0
v26568		0
v26731		0
v26920	65.69	1
v26928		0
v26959		0
v26965		0
v27036		0
v27061		0
v27113	98.04	1
v27189		0
v27212		0
v27399		0
v27420		0
v27659		0
v27677		0
v27700		0
v27728		0
v27729		0
v27734		0
v27744		0
v27747		0
v27760		0
v28042		0
v28113		0
v28193		0
v28217		0
v28313		0
v28332		0
v28353		0
v28399		0
v28592		0
v28661	2.72	1
v28701		0
v28705		0
v28708		0
v28731		0
v28747	52.95	1
v28895		0
v28993		0
v28997		0
v29049		0
v29102		0
v29109		0
v29161	195.02	1
v29285		0
v29355		0
v29377		0
v29393	39.13	1
v29560		0
v29573		0
v29601		0
v29658		0
v29664		0
v29779		0
v29830		0
v29957		0
v30116		0
v30134		0
v30316		0
v30326		0
v30341		0
v30363		0
v30403	172.98	1
v30423		0
v30473		0
v30641		0
v30744		0
v30748		0
v30821	105.07	1
v30842		0
v30900		0
v31056		0
v31057		0
v31137		0
v31166		0
v31227		0
v31266		0
v31283		0
v31411		0
v31455		0
v31553		0
v31590		0
v31615		0
v31641		0
v31703		0
v31725		0
v31775		0
v31813		0
v31847	25.88	1
v31918		0
v31936		0
v31990		0
v32058		0
v32089		0
v32146		0
v32380		0
v32451		0
v32460		0
v32566		0
v32593		0
v32659		0
v32743		0
v32784		0
v32798		0
v32913		0
v32923		0
v33100		0
v33109		0
v33129		0
v33130		0
v33182		0
v33204		0
v33210	80.93	1
v33293		0
v33309		0
v33344		0
v33504		0
v33515		0
v33517	77.97	1
v33643		0
v33659	25.0	1
v33681		0
v33699		0
v33826	26.99	1
v33850		0
v33962		0
v34053		0
v34062		0
v34086		0
v34104		0
v34124		0
v34126	79.82	1
v34165		0
v34183		0
v34296		0
v34335		0
v34342		0
v34374		0
v34387		0
v34432		0
v34527		0
v34635	164.82	1
v34657		0
v34663		0
v34675		0
v34682		0
v34691		0
v34724		0
v34857		0
v35124		0
v35203		0
