visit_id	revisit_interval	revisit_intention
v26		0
v119		0
v177		0
v187		0
v216		0
v413		0
v459		0
v507	9.0	1
v508		0
v572		0
v573		0
v590		0
v618		0
v648		0
v942	31.91	1
v943	38.97	1
v944	2.07	1
v945	64.79	1
v946		0
v973		0
v979		0
v1063	59.95	1
v1064		0
v1227		0
v1273		0
v1286		0
v1288	69.04	1
v1289		0
v1324		0
v1444		0
v1480		0
v1491		0
v1509		0
v1519		0
v1569		0
v1600		0
v1786		0
v1806		0
v1928		0
v1950	38.02	1
v1951		0
v1964		0
v1986		0
v2086	83.88	1
v2087		0
v2102		0
v2104	90.98	1
v2105		0
v2195		0
v2254		0
v2278		0
v2403		0
v2406		0
v2429	2.06	1
v2430		0
v2439	23.84	1
v2440		0
v2448		0
v2464		0
v2468		0
v2546		0
v2596		0
v2598		0
v2766		0
v2770		0
v2831	32.77	1
v2832	16.23	1
v2833		0
v2864		0
v2869		0
v2871		0
v3006		0
v3044	1.97	1
v3045	25.0	1
v3046	16.04	1
v3047	29.95	1
v3048	23.97	1
v3049	0.98	1
v3050	4.0	1
v3051	23.02	1
v3052	8.05	1
v3053		0
v3131	2.87	1
v3132	10.11	1
v3133	1.97	1
v3134	12.01	1
v3135	1.02	1
v3136	2.88	1
v3137	4.08	1
v3138	14.0	1
v3139	2.86	1
v3140	4.1	1
v3141	13.98	1
v3142	6.01	1
v3143	1.98	1
v3144	8.88	1
v3145	3.16	1
v3146		0
v3185		0
v3238		0
v3256		0
v3336		0
v3420		0
v3477		0
v3539		0
v3578		0
v3598		0
v3618		0
v3633		0
v3639		0
v3650		0
v3655		0
v3670		0
v3730		0
v3803		0
v3804	17.9	1
v3805		0
v3839		0
v4144		0
v4184		0
v4235		0
v4245	12.13	1
v4246		0
v4304		0
v4321		0
v4396		0
v4421		0
v4452		0
v4518		0
v4666		0
v4670	117.13	1
v4671	3.79	1
v4672		0
v4685		0
v4689		0
v4769		0
v4801		0
v4930		0
v5003		0
v5024		0
v5090		0
v5271		0
v5341		0
v5409		0
v5427		0
v5454		0
v5474		0
v5584		0
v5599		0
v5689		0
v5756		0
v5870		0
v5903		0
v5907	2.87	1
v5908		0
v5970		0
v6008		0
v6034		0
v6053	104.04	1
v6054		0
v6173		0
v6182		0
v6210	6.77	1
v6211		0
v6297		0
v6359		0
v6373		0
v6450		0
v6551		0
v6567	26.69	1
v6568		0
v6644		0
v6857		0
v6977		0
v7029		0
v7119		0
v7177		0
v7220		0
v7235		0
v7374		0
v7471		0
v7473		0
v7529		0
v7548		0
v7812		0
v7818		0
v7876		0
v7901		0
v7924		0
v7925		0
v7939		0
v8163		0
v8172		0
v8330		0
v8414	49.9	1
v8415	60.74	1
v8416		0
v8456		0
v8576		0
v8619		0
v8787		0
v8821		0
v8868	1.77	1
v8869		0
v8896		0
v8898		0
v9113		0
v9234		0
v9326		0
v9335		0
v9346		0
v9368	45.01	1
v9369		0
v9387		0
v9454		0
v9490		0
v9524		0
v9549		0
v9653		0
v9669		0
v9785		0
v9902	21.15	1
v9903		0
v9947	79.31	1
v9948	6.6	1
v9949	52.42	1
v9950		0
v9980	13.88	1
v9981		0
v10023	30.91	1
v10024	29.95	1
v10025		0
v10037		0
v10083		0
v10267		0
v10393	122.08	1
v10394		0
v10409		0
v10473		0
v10586		0
v10621		0
v10640	62.95	1
v10641	18.89	1
v10642		0
v10741	56.88	1
v10742		0
v10841		0
v10843		0
v10916		0
v10980		0
v11031	144.9	1
v11032		0
v11114		0
v11163		0
v11168	153.28	1
v11169		0
v11202		0
v11213		0
v11222		0
v11247		0
v11355		0
v11402		0
v11498		0
v11510		0
v11538		0
v11651		0
v11709		0
v11838		0
v11924	56.96	1
v11925		0
v11930		0
v11947		0
v12079		0
v12117		0
v12142	20.0	1
v12143		0
v12150		0
v12195		0
v12236	82.91	1
v12237		0
v12278	21.05	1
v12279		0
v12311		0
v12342	9.98	1
v12343		0
v12467		0
v12533		0
v12552		0
v12595		0
v12597	12.07	1
v12598	6.99	1
v12599		0
v12640		0
v12677		0
v12828	69.89	1
v12829		0
v12840		0
v12891		0
v12929	110.99	1
v12930		0
v12937		0
v13110		0
v13202	43.9	1
v13203		0
v13251		0
v13269		0
v13271	31.13	1
v13272		0
v13404	5.96	1
v13405	6.91	1
v13406	2.91	1
v13407	8.21	1
v13408	16.95	1
v13409	2.01	1
v13410	19.83	1
v13411	26.01	1
v13412	15.0	1
v13413	7.0	1
v13414	21.11	1
v13415	5.06	1
v13416	5.59	1
v13417		0
v13498		0
v13514		0
v13571		0
v13717		0
v13755		0
v13773		0
v13791		0
v13862		0
v13919		0
v13977		0
v13996		0
v14017		0
v14097		0
v14117	33.94	1
v14118	31.93	1
v14119		0
v14153		0
v14202		0
v14213		0
v14322		0
v14346		0
v14372	8.05	1
v14373		0
v14520		0
v14635		0
v14640		0
v14807		0
v14844		0
v14856		0
v14877		0
v14973		0
v15027	7.0	1
v15028		0
v15085		0
v15128	29.01	1
v15129		0
v15135		0
v15150		0
v15162		0
v15366		0
v15382		0
v15538		0
v15561		0
v15584		0
v15597		0
v15690		0
v15726	19.01	1
v15727		0
v15735		0
v15743		0
v15807		0
v15851		0
v15879		0
v15895		0
v15915	2.71	1
v15916		0
v15929		0
v15980		0
v16009	122.11	1
v16010		0
v16125		0
v16357	3.04	1
v16358		0
v16366		0
v16489		0
v16573		0
v16594		0
v16612		0
v16650		0
v16744		0
v16824		0
v16858		0
v16895	70.97	1
v16896		0
v16933		0
v16989		0
v17084		0
v17105		0
v17110		0
v17136		0
v17153		0
v17250		0
v17254	45.07	1
v17255	30.98	1
v17256	25.12	1
v17257		0
v17309		0
v17348		0
v17391		0
v17404		0
v17428		0
v17429		0
v17458	119.88	1
v17459		0
v17503		0
v17595	20.05	1
v17596		0
v17674		0
v17785		0
v17789		0
v17867		0
v17884	2.26	1
v17885	59.06	1
v17886		0
v17939		0
v17972		0
v18076		0
v18161		0
v18252	3.1	1
v18253	1.9	1
v18254	130.05	1
v18255		0
v18270	2.19	1
v18271		0
v18356		0
v18363		0
v18418		0
v18660		0
v18725		0
v18729		0
v18853	6.84	1
v18854	66.99	1
v18855		0
v18893		0
v18952		0
v19055	13.93	1
v19056		0
v19078	5.11	1
v19079		0
v19099	74.83	1
v19100	56.98	1
v19101	9.01	1
v19102		0
v19225	14.79	1
v19226		0
v19275		0
v19378		0
v19453		0
v19533		0
v19550		0
v19554	95.79	1
v19555		0
v19599	4.67	1
v19600		0
v19610		0
v19612		0
v19634		0
v19660		0
v19708		0
v19729		0
v19980		0
v20059		0
v20135		0
v20165		0
v20281		0
v20356		0
v20441		0
v20454		0
v20490		0
v20546	28.78	1
v20547		0
v20597		0
v20605		0
v20663		0
v20694		0
v20717		0
v20866		0
v20876		0
v21019		0
v21059		0
v21197		0
v21254		0
v21277		0
v21328		0
v21373	12.25	1
v21374	2.76	1
v21375		0
v21500	0.88	1
v21501		0
v21521		0
v21639		0
v21652		0
v21739		0
v21758		0
v21762	21.5	1
v21763	59.04	1
v21764		0
v21845		0
v21900		0
v21961		0
v21979	4.03	1
v21980		0
v22114	86.97	1
v22115		0
v22187		0
v22418		0
v22446		0
v22460		0
v22565		0
v22595		0
v22598		0
v22619	42.05	1
v22620		0
v22661	28.97	1
v22662		0
v22663	20.99	1
v22664	7.99	1
v22665	1.12	1
v22666	10.87	1
v22667	5.11	1
v22668	0.9	1
v22669		0
v22749		0
v22813		0
v22860		0
v22877	19.92	1
v22878		0
v23022		0
v23197		0
v23198	54.86	1
v23199	35.12	1
v23200		0
v23421		0
v23527		0
v23578		0
v23636		0
v23646	14.1	1
v23647	14.11	1
v23648		0
v23664	33.93	1
v23665	15.01	1
v23666		0
v23798	12.98	1
v23799		0
v23808		0
v23809		0
v23976		0
v24136		0
v24204		0
v24263		0
v24292		0
v24415		0
v24444		0
v24496		0
v24544		0
v24610		0
v24622		0
v24624	43.74	1
v24625		0
v24700	43.99	1
v24701		0
v24864		0
v24875		0
v24883		0
v24909		0
v24919		0
v25086		0
v25097		0
v25101		0
v25110	88.96	1
v25111		0
v25134		0
v25193		0
v25195		0
v25211		0
v25223		0
v25269		0
v25317		0
v25355		0
v25365		0
v25409		0
v25469	90.03	1
v25470		0
v25494		0
v25496		0
v25503		0
v25542		0
v25726		0
v25749		0
v25754		0
v25777		0
v25804		0
v25814		0
v25838		0
v25856		0
v25859		0
v25994		0
v26076		0
v26120		0
v26307		0
v26377		0
v26413		0
v26465		0
v26553		0
v26561	29.1	1
v26562	14.98	1
v26563	17.89	1
v26564	7.11	1
v26565	22.88	1
v26566	27.92	1
v26567	28.06	1
v26568		0
v26731		0
v26919	92.18	1
v26920		0
v26928		0
v26959		0
v26965		0
v27036		0
v27060	9.21	1
v27061		0
v27113		0
v27189		0
v27212		0
v27399		0
v27419	10.14	1
v27420		0
v27659		0
v27677		0
v27700		0
v27728		0
v27729		0
v27734		0
v27744		0
v27747		0
v27760		0
v28042		0
v28113		0
v28192	41.86	1
v28193		0
v28217		0
v28313		0
v28332		0
v28353		0
v28399		0
v28592		0
v28658	48.88	1
v28659	49.11	1
v28660	57.91	1
v28661		0
v28701		0
v28705		0
v28708		0
v28731		0
v28747		0
v28895		0
v28993		0
v28997		0
v29049		0
v29102		0
v29109		0
v29161		0
v29285		0
v29355		0
v29377		0
v29393		0
v29560		0
v29573		0
v29601		0
v29658		0
v29664		0
v29779		0
v29830		0
v29956	114.02	1
v29957		0
v30116		0
v30134		0
v30316		0
v30326		0
v30341		0
v30363		0
v30403		0
v30423		0
v30473		0
v30641		0
v30744		0
v30748		0
v30821		0
v30842		0
v30900		0
v31056		0
v31057		0
v31137		0
v31166		0
v31227		0
v31266		0
v31283		0
v31411		0
v31455		0
v31553		0
v31590		0
v31615		0
v31641		0
v31703		0
v31725		0
v31775		0
v31812	26.1	1
v31813		0
v31847		0
v31918		0
v31936		0
v31990		0
v32058		0
v32089		0
v32146		0
v32380		0
v32451		0
v32460		0
v32566		0
v32593		0
v32655	14.06	1
v32656	13.95	1
v32657	34.96	1
v32658	42.02	1
v32659		0
v32743		0
v32784		0
v32798		0
v32913		0
v32923		0
v33100		0
v33109		0
v33129		0
v33130		0
v33182		0
v33204		0
v33209	21.94	1
v33210		0
v33293		0
v33309		0
v33343	13.83	1
v33344		0
v33504		0
v33515		0
v33516	59.92	1
v33517		0
v33643		0
v33659		0
v33681		0
v33696	0.14	1
v33697	90.83	1
v33698	0.06	1
v33699		0
v33826		0
v33850		0
v33961	66.98	1
v33962		0
v34053		0
v34062		0
v34085	29.37	1
v34086		0
v34104		0
v34124		0
v34125	106.98	1
v34126		0
v34164	93.83	1
v34165		0
v34183		0
v34296		0
v34335		0
v34342		0
v34373	89.05	1
v34374		0
v34387		0
v34432		0
v34527		0
v34635		0
v34657		0
v34663		0
v34675		0
v34682		0
v34691		0
v34724		0
v34857		0
v35124		0
v35203		0
