visit_id	wifi_id	date	indices
v26	53	17295	788813;788817;788826;788839;788856;788891;788924
v119	174	17353	1185823
v177	254	17349	1153456;1153499
v187	270	17301	823394
v216	310	17325	994145;994169;994179;994207;994217;994233;994237;994241;994246;994260;994284;994316;994346;994380;994390;994428;994432;994469;994483;994503;994507;994511;994520;994537;994540;994553
v413	569	17250	483307;483310;483311;483320;483332;483334;483341;483343;483371;483381;483386;483387;483392;483400;483422;483428;483443;483450;483535
v459	636	17358	1230884;1230905;1230906
v507	692	17254	508150;508232;508235;508270
v508	692	17263	566640
v572	782	17359	1245075;1245149
v573	786	17359	1242235;1242244;1242283;1242307;1242321;1242325;1242327;1242334;1242355;1242356;1242359;1242360;1242361;1242376;1242378;1242554;1242612;1242619;1242627;1242630;1242641;1242645;1242646
v590	809	17234	377078;377080;377081;377082;377083;377085;377087;377090
v618	854	17185	41684;41694;41695;41697;41699;41701;41705;41711;41712;41745
v648	889	17231	361234;361238;361240
v942	1286	17196	121069;121123;121163;121182;121183;121212;121238;121240;121246;121261
v943	1286	17228	341984;342005;342009;342071;342077;342090;342094;342099;342127;342133;342138;342145
v944	1286	17267	593303;593305;593311;593312;593320;593326;593346;593350;593354;593355;593357;593368;593369;593371;593376;593377;593379;593382;593398;593407;593408
v945	1286	17269	606148;606150;606153;606155;606158;606164;606172;606176;606177;606178;606180;606182;606183;606184;606186;606187;606188;606189;606191;606203;606209;606213
v946	1286	17334	1058907;1058910;1058913;1058915;1058918;1058919;1058921;1058928;1058930;1058993;1059000;1059001;1059005;1059007;1059008;1059020;1059030;1059037;1059041
v973	1317	17349	1149488
v979	1326	17322	977162;977215;977256;977268;977283
v1063	1455	17289	739012;739038;739137;739188;739213;739214
v1064	1455	17349	1148685;1148770
v1227	1706	17349	1150956
v1273	1773	17193	101571;101579;101580;101592;101595;101598;101608
v1286	1790	17352	1176410;1176494
v1288	1795	17255	513566;513586;513591;513626;513649;513662;513672;513676;513686;513719;513729
v1289	1795	17324	985683;985685;985689;985717;985718;985721;985736;985738;985748;985749;985758;985767;985775;985776
v1324	1855	17320	961788;961791
v1444	2009	17295	782923;782931;782932;782955;782969;782976;782977;782983
v1480	2062	17185	41910
v1491	2077	17220	293313;293328;293346;293350
v1509	2103	17358	1235339;1235344;1235395
v1519	2124	17272	624333;624343;624352;624361;624376;624388;624424
