index	wifi_id	ts	area	dwell_time
7	23594	1484238007	max	665
49	21173	1484260876	max	20
60	23594	1484261688	max	404
163	4232	1484266906	max	31
212	22646	1484269103	max	18
343	22646	1484275806	max	30
606	2880	1484279611	max	31
677	20356	1484280776	max	2245
867	4232	1484283333	max	223
873	24300	1484283467	max	702
1029	29121	1484285316	max	6275
1215	14949	1484288065	max	42
1380	34422	1484290356	max	14
2648	24621	1484301254	max	113
2829	9338	1484302741	max	4
2868	19100	1484303293	max	21
3034	16008	1484305298	max	1462
3070	16008	1484305419	in	1341
3071	16008	1484305419	E	35
3072	16008	1484305419	3f	35
3073	16008	1484305419	3f-sensor1	35
3074	16008	1484305419	out	1342
3077	16008	1484305454	3f-sensor1	83
3082	16008	1484305538	4f	874
3083	16008	1484305538	I	5
3084	16008	1484305539	4f-sensor6	3
3097	16008	1484305543	4f-sensor3	114
3126	16008	1484305658	J	170
3127	16008	1484305658	4f-sensor10	170
3143	48215	1484305798	max	25
3147	16008	1484305828	4f-sensor10	336
3193	24621	1484306105	max	3
3194	41230	1484306110	max	2
3200	16008	1484306165	4f-sensor4	120
3201	16008	1484306166	out9	593
3202	16008	1484306166	out-front	594
3248	16008	1484306285	4f-sensor9	84
3249	16008	1484306285	4f-counter	84
3256	16008	1484306369	4f-sensor9	35
3258	16008	1484306405	I	6
3259	16008	1484306406	4f-sensor2	5
3331	41721	1484306883	out	1354
3332	41721	1484306883	out8	1353
3333	41721	1484306883	out9	1354
3334	41721	1484306883	max	1418
3335	41721	1484306883	out-front	1354
3358	41721	1484307098	out5	1139
3359	41721	1484307098	out-back	1139
3361	41721	1484307160	in	886
3362	41721	1484307160	out2	1077
3399	41721	1484307349	B	256
3400	41721	1484307349	1f-sensor6	62
3401	41721	1484307349	1f	697
3410	41721	1484307411	1f-sensor7	194
3451	41721	1484307606	1f-sensor6	436
3495	41721	1484308043	1f-sensor2	3
3496	41721	1484308043	1f-counter	3
4159	32667	1484354650	max	5
