index	wifi_id	ts	area	dwell_time
366	28242	1483239253	max	751
367	28242	1483239269	out	723
385	2324	1483239605	max	574
386	2324	1483239612	out	537
387	2324	1483239633	in	173
391	2324	1483239655	center	150
392	2324	1483239655	sensor14	22
393	2324	1483239655	ghi	22
394	2324	1483239677	sensor14	26
397	2324	1483239704	bcd	102
398	2324	1483239704	sensor5	102
493	1362	1483240528	max	2031
494	1362	1483240528	out	2021
500	1362	1483240542	in	42
601	14666	1483241573	max	582
618	1362	1483241808	center	671
619	1362	1483241808	bcd	3
620	1362	1483241808	sensor5	3
621	1362	1483241808	in	671
622	1362	1483241813	out1	666
641	14666	1483242147	out	7
1301	7181	1483246643	max	35
1308	7181	1483246658	out	21
1394	30526	1483247069	max	91
1402	30526	1483247087	out	68
1920	16324	1483249144	max	912
1925	16324	1483249209	out	218
1940	44293	1483249333	out	638
1941	44293	1483249333	max	638
2147	49946	1483250057	max	953
2150	49946	1483250063	out	955
2154	49946	1483250086	in	847
2156	49946	1483250098	out2	10
2158	49946	1483250108	indi-brand	660
2159	49946	1483250108	sensor19	5
2160	49946	1483250108	jk3	660
2161	49946	1483250108	indi-brand2	660
2162	49946	1483250113	ghi	776
2163	49946	1483250113	center	781
2165	49946	1483250114	sensor7	2
2166	49946	1483250114	ef	746
2168	49946	1483250117	sensor15	5
2170	49946	1483250124	bcd	770
2171	49946	1483250124	sensor5	2
2172	49946	1483250126	ent	2
2173	49946	1483250126	sensor13	2
2174	49946	1483250129	sensor5	3
2176	49946	1483250132	out1	2
2178	49946	1483250135	sensor14	602
2262	49946	1483250738	sensor17	12
2263	49946	1483250738	ent2	31
2273	49946	1483250750	sensor18	18
2277	49946	1483250769	sensor17	40
2282	49946	1483250810	sensor2	27
2285	49946	1483250837	sensor2	8
2286	49946	1483250846	sensor16	15
2289	49946	1483250861	sensor7	3
2290	49946	1483250866	sensor6	5
2295	49946	1483250872	sensor15	12
2296	49946	1483250879	ent	12
2299	49946	1483250885	sensor6	4
2300	49946	1483250890	sensor14	4
2301	49946	1483250895	sensor5	2
2302	49946	1483250897	out1	3
2303	49946	1483250901	out1	25
2356	30526	1483251053	max	38
2357	30526	1483251055	out	31
2539	16324	1483251701	max	1133
2673	16324	1483252330	out	503
3045	30526	1483253740	max	562
3046	30526	1483253740	out	549
3385	6472	1483254655	max	604
3389	6472	1483254657	out	550
3394	14666	1483254670	max	507
3606	14666	1483255159	out	19
3905	6487	1483256073	max	330
3906	6487	1483256083	out	320
3909	6487	1483256116	in	130
3911	6487	1483256131	sensor9	14
3912	6487	1483256145	jk2	95
3913	6487	1483256145	jk	95
3914	6487	1483256145	center	95
3915	6487	1483256145	jk3	95
3916	6487	1483256147	sensor19	33
3919	6487	1483256181	bcd	2
3920	6487	1483256183	sensor5	32
3947	6487	1483256216	sensor4	7
3948	6487	1483256223	sensor10	5
3951	6487	1483256229	sensor9	12
4063	42964	1483256962	max	334
4066	42964	1483257011	out	144
4078	30526	1483257026	max	84
4084	30526	1483257052	out	54
4246	42964	1483258019	max	694
4247	42964	1483258019	out	658
4281	30526	1483258075	max	330
4287	30526	1483258094	out	131
4414	42964	1483258222	in	455
4415	42964	1483258222	sensor17	10
4425	42964	1483258233	sensor19	9
4426	42964	1483258233	jk3	443
4427	42964	1483258233	indi-brand2	443
4428	42964	1483258233	indi-brand	443
4433	42964	1483258243	jk	56
4434	42964	1483258243	center	374
4435	42964	1483258243	sensor10	5
4437	42964	1483258243	jk2	56
4446	42964	1483258248	sensor11	11
4452	42964	1483258260	sensor10	17
4466	42964	1483258278	sensor4	20
4474	42964	1483258299	sensor4	21
4486	42964	1483258321	ef	15
4487	42964	1483258322	bcd	295
4488	42964	1483258322	sensor5	13
4493	42964	1483258336	sensor2	17
4510	42964	1483258353	sensor2	123
4580	42964	1483258476	sensor12	120
4697	42964	1483258597	ghi	9
4698	42964	1483258597	sensor16	9
4707	42964	1483258606	sensor16	11
4713	42964	1483258617	sensor5	59
5946	40528	1483263131	max	11
5965	7181	1483263257	max	156
5968	7181	1483263260	out	33
6003	45801	1483263488	max	18
6102	6531	1483263888	max	44
6211	45801	1483264566	max	914
6213	45801	1483264578	out	855
6368	11687	1483265126	max	191
6672	7181	1483266938	max	952
6673	7181	1483266938	out	3
6846	7181	1483267684	out	69
7126	43669	1483268883	max	216
7127	43669	1483268883	out	215
7140	43669	1483268938	sensor19	31
