visit_id	revisit_interval	revisit_intention
v69		0
v134		0
v248		0
v325		0
v334		0
v540		0
v602		0
v645		0
v675	2.95	1
v676		0
v707	92.17	1
v708		0
v803	28.07	1
v804	27.96	1
v805	6.03	1
v806		0
v923	13.35	1
v924		0
v937	86.8	1
v938	2.94	1
v939		0
v976	1.98	1
v977		0
v988	38.03	1
v989	13.96	1
v990	23.04	1
v991		0
v1010		0
v1119		0
v1164		0
v1219		0
v1319	46.01	1
v1320		0
v1321	96.83	1
v1322		0
v1530		0
v1605	16.99	1
v1606		0
v1631		0
v1633	125.87	1
v1634		0
v1635		0
v1672		0
v1807	2.98	1
v1808	1.02	1
v1809	2.33	1
v1810	22.64	1
v1811	8.01	1
v1812	15.01	1
v1813	0.97	1
v1814	7.02	1
v1815	3.01	1
v1816	4.0	1
v1817	3.99	1
v1818	0.98	1
v1819	3.02	1
v1820	4.99	1
v1821	15.12	1
v1822	6.87	1
v1823	7.99	1
v1824	9.8	1
v1825	32.2	1
v1826	15.8	1
v1827	8.99	1
v1828	1.0	1
v1829	21.02	1
v1830	0.97	1
v1831	36.06	1
v1832	2.93	1
v1833		0
v1850		0
v1858		0
v1864		0
v1872	16.26	1
v1873		0
v1911		0
v2111		0
v2180		0
v2476	32.99	1
v2477	49.98	1
v2478		0
v2489		0
v2593		0
v2727		0
v2930		0
v3012	5.27	1
v3013		0
v3110	2.94	1
v3111	55.02	1
v3112		0
v3234	27.22	1
v3235		0
v3411	1.05	1
v3412	2.92	1
v3413		0
v3512	12.21	1
v3513	56.1	1
v3514		0
v3538		0
v3548		0
v3592		0
v3783	32.9	1
v3784		0
v3794	167.05	1
v3795		0
v3881		0
v3906		0
v4000		0
v4170	55.09	1
v4171		0
v4180		0
v4211	46.96	1
v4212	65.89	1
v4213		0
v4220	1.91	1
v4221	114.9	1
v4222		0
v4264	9.68	1
v4265		0
v4341		0
v4380		0
v4391	3.97	1
v4392		0
v4413		0
v4490		0
v4491		0
v4518		0
v4541		0
v4544		0
v4545		0
v4569		0
v4576		0
v4632		0
v4768	5.02	1
v4769	73.09	1
v4770		0
v4888		0
v4924	164.06	1
v4925		0
v4951	18.01	1
v4952	42.95	1
v4953	42.18	1
v4954	7.86	1
v4955		0
v5014		0
v5227		0
v5298		0
v5326	13.98	1
v5327	21.16	1
v5328		0
v5353		0
v5373	5.94	1
v5374		0
v5477		0
v5495		0
v5582	88.95	1
v5583		0
v5658		0
v5702		0
v5766		0
v5971	0.97	1
v5972		0
v5988	71.79	1
v5989		0
v6161	27.95	1
v6162		0
v6275		0
v6281	49.85	1
v6282		0
v6311		0
v6388	42.14	1
v6389		0
v6532		0
v6690	2.01	1
v6691		0
v6776		0
v6784	48.95	1
v6785		0
v7100		0
v7104		0
v7120		0
v7154	64.95	1
v7155		0
v7202	24.06	1
v7203		0
v7267		0
v7337	48.99	1
v7338	125.9	1
v7339		0
v7361	24.02	1
v7362		0
v7444		0
v7647	8.09	1
v7648		0
v7666		0
v7671		0
v7685		0
v7765		0
v7796	207.21	1
v7797		0
v7841	50.97	1
v7842	14.0	1
v7843	35.0	1
v7844		0
v7860	13.78	1
v7861		0
v7997		0
v8066	63.22	1
v8067	46.76	1
v8068	35.05	1
v8069		0
v8223		0
v8309		0
v8467		0
v8600		0
v8606	21.99	1
v8607		0
v8738		0
v8890		0
v8988		0
v9018	3.28	1
v9019	1.7	1
v9020		0
v9021		0
v9082	6.98	1
v9083	30.19	1
v9084	121.71	1
v9085		0
v9130		0
v9148	8.01	1
v9149	5.93	1
v9150	0.9	1
v9151	21.0	1
v9152	21.06	1
v9153	6.95	1
v9154	9.77	1
