visit_id	revisit_interval	revisit_intention
v91		0
v157		0
v161		0
v239		0
v344		0
v543		0
v558		0
v681		0
v970		0
v1279		0
v1344		0
v1366		0
v1536		0
v1602		0
v1654		0
v1700		0
v1720		0
v1773		0
v1892		0
v2020		0
v2028		0
v2087		0
v2157		0
v2158		0
v2185		0
v2207		0
v2239		0
v2327		0
v2501		0
v2816		0
v2883		0
v2975		0
v3030		0
v3136		0
v3291		0
v3386		0
v3514		0
v3528		0
v3603		0
v3633		0
v3746		0
v3802		0
v3837		0
v3878		0
v3901		0
v4022		0
v4106		0
v4125		0
v4138		0
v4145		0
v4185		0
v4366		0
v4388		0
v4408		0
v4414		0
v4444		0
v4577		0
v4720	13.03	1
v4778		0
v4935		0
v4962		0
v4969		0
v5037		0
v5300		0
v5336		0
v5362		0
v5513		0
v5710		0
v5902		0
v5983		0
v6213		0
v6229		0
v6279		0
v6471		0
v6583		0
v6584		0
v6596		0
v6648		0
v6696		0
v6771		0
v6822		0
v6903		0
v7168		0
v7186		0
v7247		0
v7248		0
v7419		0
v7484		0
v7496		0
v7644		0
v7815		0
v7919		0
v8143		0
v8197		0
v8266		0
v8301		0
v8487		0
v8501		0
v8542		0
v8678		0
v8718		0
v8760		0
v8839		0
v8915		0
v8997		0
v9107		0
v9119		0
v9271		0
v9436		0
v9447		0
v9609	160.93	1
v10144		0
v10167		0
v10247		0
v10484		0
v10567		0
v10574		0
v10604		0
v10627		0
v10662		0
v10666		0
v10721		0
v11014		0
v11247		0
v11259		0
v11336		0
v11372		0
v11580		0
v11744		0
v11825		0
v11886		0
v11923		0
v11939		0
v12054		0
v12096		0
v12105		0
v12466		0
v12561		0
v12646		0
v12853		0
v12946		0
v13101		0
v13134		0
v13236		0
v13237		0
v13287		0
v13437		0
v13474		0
v13484		0
v13685		0
v13705		0
v13915		0
v14257		0
v14533		0
v14547		0
v14589		0
v14602		0
v14606		0
v14681		0
v14701		0
v14718		0
v14745		0
v14934		0
v15026		0
v15156		0
v15161		0
v15178		0
v15219		0
v15311		0
v15370		0
v15448	10.13	1
v15522		0
v15605		0
v15607		0
v15860		0
v15880		0
v15898		0
v15999		0
v16067	104.02	1
v16152	0.33	1
v16265		0
v16335		0
v16357		0
v16412		0
v16717		0
v16739		0
v16747		0
v16847		0
v17122		0
v17245		0
v17649		0
v17677		0
v17850		0
v17857		0
v17870		0
v17892		0
v17909		0
v17936		0
v17976		0
v18023		0
v18049		0
v18139		0
v18170		0
v18175		0
v18199		0
v18312		0
v18389		0
v18445		0
v18524		0
v18556		0
v18663		0
v18684		0
v18772		0
v18905		0
v18970		0
v18972		0
v19167		0
v19182		0
v19550		0
v19757		0
v19769		0
v19820		0
v20078		0
v20224		0
v20234		0
v20341		0
v20438		0
v20670		0
v20672		0
v20680		0
v20716		0
v20772		0
v20839		0
v20873	48.11	1
v20878	97.25	1
v20957	166.86	1
v20972		0
v21124		0
v21253		0
v21341		0
v21427		0
v21591		0
v21633		0
v21685		0
v21852		0
v21887		0
v21891		0
v21936		0
v21994		0
v22017		0
v22058		0
v22068		0
v22104		0
v22131		0
v22175		0
v22195		0
v22288		0
v22306		0
v22311		0
v22375		0
v22378		0
v22402		0
v22423		0
v22482		0
v22539		0
v22617		0
v22704		0
v22718		0
v22766		0
v22829	6.24	1
v22844		0
v22872		0
v22971		0
v22997		0
v23002		0
v23045		0
v23062		0
v23101	4.75	1
v23118		0
v23166		0
v23172		0
v23189		0
v23318		0
v23325		0
v23351		0
v23473		0
v23652		0
v23659		0
v23741		0
v23765		0
v23776		0
v23867		0
v24174		0
v24253		0
v24330		0
v24456		0
v24527		0
v24538		0
v24680		0
v24794		0
v25006		0
v25074		0
v25113		0
v25129		0
v25154		0
v25262		0
v25334		0
v25567		0
v25608		0
v25609		0
v25704		0
v25814		0
v25963		0
v25975		0
v26315		0
v26435		0
v26500		0
v26839		0
v26860		0
v26888		0
v27134		0
v27165		0
v27353		0
v27513		0
v27556		0
v27612		0
v27614		0
v27654		0
v27830		0
v27959		0
v27993		0
v28007		0
v28016		0
v28035		0
v28067		0
v28193		0
v28208		0
v28236		0
v28239		0
v28303		0
v28307		0
v28322		0
v28555		0
v28716		0
v28717		0
v28757		0
v28897		0
v28917		0
v28944		0
v29043		0
v29111		0
v29146		0
v29159		0
v29218		0
v29307		0
v29410		0
v29670		0
v29782		0
v29966		0
v30242		0
v30338		0
v30386		0
v30468		0
v30519		0
v30520		0
v30604		0
v30620		0
v30674		0
v30768		0
v30846		0
v30933		0
v30999		0
v31005		0
v31008		0
v31284	8.96	1
v31333		0
v31655		0
v31732		0
v31733		0
v31831		0
v31864		0
v31873		0
v32144		0
v32566		0
v32652		0
v32789		0
v32927		0
v32955		0
v33004		0
v33253		0
v33313		0
v33574		0
v33577		0
v33633		0
v33638		0
v33643		0
v33732		0
v33761		0
v33769		0
v33793		0
v33862		0
v33914	5.76	1
v34099		0
v34107		0
v34153		0
v34172		0
v34191		0
v34197		0
v34222		0
v34273	139.2	1
v34333		0
v34398		0
v34677		0
v34800		0
v34897		0
v35174		0
v35233		0
v35334		0
v35413		0
v35422		0
v35449		0
v35517		0
v35532		0
v35691		0
v35699		0
v35700		0
v35727		0
v35828		0
v35851		0
v35900		0
v35915		0
v36035		0
v36100		0
v36136		0
v36179		0
v36191		0
v36233		0
v36258		0
v36331		0
v36461		0
v36508		0
v36689		0
v36700		0
v36735		0
v36947		0
v37072		0
v37217		0
v37270		0
v37305		0
v37531		0
v37551		0
v37582		0
v37611		0
v37612		0
v37747	17.98	1
v37932		0
v37946	97.94	1
v38043		0
v38047		0
v38140		0
v38340		0
v38381		0
v38424		0
v38575	45.18	1
v38787		0
v38878		0
v38968		0
v39011		0
v39149		0
v39171		0
v39179		0
v39193		0
v39214		0
v39230		0
v39338		0
v39395		0
v39496		0
v39585		0
v39630		0
v39700		0
v39719		0
v39720		0
v39822		0
v39913		0
v39935		0
v40010		0
v40137		0
v40164		0
v40552		0
v40598		0
v40661		0
v40857		0
v40863		0
v40905		0
v40937		0
v40956		0
v41024		0
v41066		0
v41070		0
v41137		0
v41144		0
v41262		0
v41319		0
v41524		0
v41592		0
v41670		0
v41682		0
v41712		0
v41822		0
v41847		0
v41879		0
v41958		0
v41980		0
v42019		0
v42027		0
v42085		0
v42195		0
v42398		0
v42474		0
v42548		0
v42582		0
v42750		0
v42763		0
v42831		0
v42926		0
v42978		0
v43194		0
v43298		0
v43390		0
v43569		0
v43716		0
v43900		0
v43956		0
v44088		0
v44146		0
v44219		0
v44262		0
v44329		0
v44463		0
v44486		0
v44555		0
v44622		0
v44673		0
v44724		0
v44828		0
v44884		0
v44904		0
v44986		0
v45022		0
v45124		0
v45221		0
v45295		0
v45382	255.01	1
v45398		0
v45527		0
v45530		0
v45663		0
v45716		0
v45737		0
v45910		0
v46105		0
v46171		0
v46189		0
v46254		0
v46404		0
v46498	238.79	1
v46514		0
v46528		0
v46646		0
v46771		0
v46862		0
v47150		0
v47237		0
v47378		0
v47381		0
v47506		0
v47535		0
v47567		0
v47580		0
v47729		0
v47770		0
v47812		0
v47832		0
v47853		0
v47963		0
v48001		0
v48032		0
v48102		0
v48399		0
v48604		0
v48691		0
v48992		0
v49019		0
v49020		0
v49029		0
v49075		0
v49294		0
v49496	62.12	1
v49498		0
v49559		0
v49648		0
v49654		0
v49658		0
v49659		0
v49666		0
v49850		0
v50013		0
v50198		0
v50373		0
v50376		0
v50446		0
v50492		0
v50545		0
v50582		0
v50941		0
v51111		0
v51165		0
v51275		0
v51306		0
v51421		0
v51559		0
v51599		0
v51633		0
v51654		0
v51662		0
v51664		0
v51690		0
v51724		0
v51819		0
v52122		0
v52170		0
v52177		0
v52307		0
v52497		0
v52620		0
v52858	37.07	1
v52951		0
v53004		0
v53152		0
v53262		0
v53274		0
v53590		0
v53597		0
v53671		0
v53781		0
v53864		0
v53939		0
v53977		0
v54130		0
v54202		0
v54343		0
v54796		0
v54870	33.89	1
v54989		0
v55023		0
v55036		0
v55095		0
v55165		0
v55321		0
v55345		0
v55380		0
v55562		0
v55570		0
v55576		0
v55637		0
v55688		0
v55753		0
v55980	56.1	1
v56283		0
v56373		0
v56455		0
v56558		0
v56626		0
v56695		0
v56867		0
v57060	202.93	1
v57169		0
v57184		0
v57204		0
v57281		0
v57357	216.0	1
v57382		0
v57443		0
v57570		0
v57621		0
v57672		0
v57756		0
v57792		0
v58034		0
v58090		0
v58121		0
v58406		0
v58548		0
v58646		0
v58759		0
v58888		0
v58911		0
v59040		0
v59183		0
v59249		0
v59335		0
v59384		0
v59548		0
v59603		0
v59622		0
v59665		0
v59810		0
v59982		0
v60023		0
v60094		0
v60103		0
v60277		0
v60294		0
v60355		0
v60679		0
v60712		0
v60831		0
v60892		0
v60939		0
v61698		0
v61735		0
v61749		0
v61888		0
v61944		0
v61971		0
v61985		0
v62317		0
v62319		0
v62539		0
v62549		0
v62679		0
v62688		0
v62880		0
v62888		0
v62929		0
v63018		0
v63167		0
v63192		0
v63254		0
v63355		0
v63356		0
v63375		0
v63414	14.04	1
v63497		0
v63609		0
v63677		0
v63684		0
v63787		0
v63850		0
v63858		0
v63903		0
v63927		0
v64013		0
v64021		0
v64040		0
v64367		0
v64570		0
v64623		0
v64650		0
v64666		0
v64970		0
v64972		0
v64985		0
v65167		0
v65194		0
v65225		0
v65420		0
v65433		0
v65576		0
v65601		0
v65644		0
v65650		0
v65754		0
v65790		0
v65886		0
v66083		0
v66209		0
v66221		0
v66271		0
v66290		0
v66310		0
v66323		0
v66325		0
v66336		0
v66374		0
v66673		0
v66791	32.88	1
v66862		0
v66953		0
v67128		0
v67139		0
v67200		0
v67210		0
v67228		0
v67234		0
v67257		0
v67379		0
v67410		0
v67685		0
v67895		0
v67897		0
v67943		0
v68010		0
v68179		0
v68220		0
v68336	178.81	1
v68365		0
v68435		0
v68507		0
v68545		0
v68626		0
v68673		0
v68689		0
v68701		0
v68785		0
v68861		0
v68894		0
v68927		0
v68930		0
v68936		0
v68959		0
v69006		0
v69014		0
v69085		0
v69110		0
v69269		0
v69323		0
v69414		0
v69417		0
v69496		0
v69515		0
v69626		0
v69660		0
v69677		0
v69678		0
v69752		0
v69916		0
v69961		0
v69988		0
v70311		0
v70388		0
v70431		0
v70493		0
v70548		0
v70605		0
v70811		0
v70848		0
v70861		0
v70874		0
v70885		0
v70935		0
v71215		0
v71294		0
v71407		0
v71468		0
v71570		0
v71606		0
v71640		0
v71656		0
v71700		0
v71769		0
v71837		0
v71847		0
v71862		0
v71879		0
v71972		0
v72166		0
v72647		0
v72661		0
v72687		0
v72765		0
v72797		0
v72983		0
v72987		0
v73295		0
v73360		0
v73393		0
v73553		0
v73579		0
v73693		0
v73791		0
v73851		0
v73939		0
v73946		0
v73970		0
v74014		0
v74282		0
v74318		0
v74398		0
v74553		0
v74590		0
v74611		0
v74623		0
v74682		0
v74778		0
v74835		0
v74893		0
v74928		0
v74941		0
v74994		0
v75052		0
v75161		0
v75190		0
v75235		0
v75253		0
v75265		0
v75266		0
v75449		0
v75483		0
v75658		0
v75688		0
v75705		0
v75834		0
v75949		0
v76005		0
v76011		0
v76079		0
v76082		0
v76113		0
v76155		0
v76156		0
v76164		0
v76278		0
v76345		0
v76377		0
v76529		0
v76578		0
v76597		0
v76639		0
v76683		0
v76778		0
v76815		0
v77194		0
v77407		0
v77461		0
v77528		0
v77541		0
v77563		0
v77583		0
v77828		0
v77877		0
v77904		0
v77940		0
v78002		0
v78235		0
v78280		0
v78362		0
v78376		0
v78416		0
v78445		0
v78482		0
v78515		0
v78618		0
v78639		0
v78872		0
v78904		0
v78927		0
v79035		0
v79203		0
v79211		0
v79418		0
v79466		0
v79470		0
v79495		0
v79498		0
v79511		0
v79575		0
v79748		0
v79896		0
v79949		0
v80158		0
v80251		0
v80335		0
v80389		0
v80501		0
v80726		0
