visit_id	wifi_id	date	indices
v27	75	17178	75697;75733;75773;75788;75885;75969;75976;75980;75981;76157;76514;76531;76534;76537;76546;76566;76577;76583;76591;76608;76624;76679;76730;76771;76819;76828;76848;76851
v66	178	17215	331896;331912;331913;331914
v100	284	17189	153692;153697;153704
v296	821	17177	68925;68930;68944;68947;68956
v297	821	17205	255831;255832;255837;255842;255843;255845;255907
v617	1712	17185	125009;125026;125064;125099;125123;125152;125185;125201;125260
v745	2122	17218	350785;350807
v817	2359	17169	19127;19165;19286;19389;19401;19444;19484;19548
v867	2459	17195	181076;181110;181130;181133;181137;181170;181255;181256;181257;181259
v1005	2800	17167	405;409;410;412;413;418;421;424;426;428;436;449;450
v1006	2800	17174	50837;50857
v1008	2802	17218	345735;345740;345744;345749;345798
v1076	3013	17185	124088;124090;124091;124093;124095;124097;124100;124102;124103;124107;124108;124109;124110;124111;124112
v1077	3013	17211	301581
v1086	3042	17208	278167;278186;278188;278189;278194;278199;278200;278201;278203;278206;278207;278475
v1101	3077	17195	180108;180119;180358;180361
v1152	3219	17179	86400
v1174	3279	17218	349678
v1233	3480	17182	105160
v1316	3711	17185	127375;127396;127496;127504;127550;127594;127647;127661;127672;127704;127731;127785
v1317	3711	17224	395968;395972;395974;395987;395993;395999;396015;396026;396044;396053;396063;396065;396074
v1540	4313	17224	390345;390366
v1593	4424	17202	240799;240801;241130;241144;241153;241156
v1656	4585	17197	200527
v1657	4585	17200	222457;222461;222471;222478;222481;222483;222485;222491;222502;222505;222520;222555;222577;222611;222622;222636;222648
v1658	4585	17202	237877;237884;237887;237891;237927;237951;237963;237982;238017;238022;238033;238047
v1659	4585	17209	291634;291635;291681;291682;291685
v1660	4585	17215	326302
v1688	4666	17178	75180;75191;75193;75197;75201;75207;75210;75228;75252;75272;75276;75289;75303;75305;75310;75311;75312;75317;75333;75337;75338;75341;75342;75343
v1738	4817	17204	249486;249518;249519;249524;249525
v1739	4820	17195	185209
v1740	4820	17202	239123;239144;239145;241783
v1746	4842	17214	320738;320742;320750;320755
v1858	5159	17214	316371;316376;316377;316381;316383;316384;316388
v1876	5232	17218	346284;346289;346291;346307
v1880	5247	17190	157042;157109;158093;158098;158100
v2040	5633	17202	236146;236162;236164;236168;236188;236202;236227;236229;236234
v2046	5660	17173	41130;41141;41151;41179;41209;41211;41229;41234
v2084	5768	17170	26800;27048
v2085	5768	17192	169561;169564;169566;169567;169569;169570
v2095	5786	17196	186007;186021;186026;186031;186033;186037;186043;186049;186051;186052
v2118	5850	17222	380129
v2182	6072	17210	294700;294701;294705;294791;294794;294796;294797;295043
v2183	6072	17220	361757;361805;361911
v2201	6109	17196	193418;193420;193671;193696;193720
v2207	6126	17214	318644;318649;318651;318652
v2280	6318	17217	342609;342642;342654;342656
v2322	6451	17189	151155
v2323	6451	17227	417261
v2338	6476	17208	283325;283327;283348;283359
v2343	6493	17190	157964
v2411	6688	17203	246259;246263;246265
v2412	6688	17218	345478;345505;345507;345508
v2499	6884	17205	259483;259582;259617;259671;259673;259697;259719;259811;259819;259821
v2636	7298	17193	175588;175724;175744
v2647	7323	17182	108041;108067
v2651	7343	17193	175383;177924
v2652	7343	17196	187155
v2742	7587	17169	19138;19141;19151;19155;19157;19172;19188;19201;19222;19225
v2753	7634	17198	208340;208378;208404;208410;208411;208416;208429;208480;208483;208490;208502;208503;208504;208505;208506
v2754	7634	17210	295603;295623;295635;295638;295642
v2755	7634	17212	308178;308186;308250;308252;308253;308258
v2756	7634	17213	314026;314027;314041;314070;314086;314095;314099
v2999	8356	17200	224561;224697;224719;224725
v3011	8393	17220	360746;360749;360788
v3012	8393	17222	372921;372926;372929
v3013	8393	17223	384920;384923;384943;384946;384959;385141;385160;385164;385167;385169;385175;385180;385189
v3021	8408	17227	415559;415603;415606;415608;415623;415627;415885;415930;415936
v3024	8418	17170	23306;23333;23360;23384;23386;23390;23396;23397;23428;23501;23504;23536
v3070	8526	17197	200738;200768;200789;200801
v3102	8637	17186	132274;134775;134781
v3247	9032	17186	130438;130443;130456;130461;130466;130494;130500;130514;130524;130525;130536;130537;130539;130541;130544;130548;130550;130552;130553
v3408	9448	17196	194613;194727;194739;194744;194746;194748;194752;194762;194767;194771
v3437	9545	17205	260453;260465;260486;260505;260534;260563;260581;260588;260598;260617;260648;260651;260663;260677;260689;260702;260707;260756
v3560	9886	17167	4227;4276;4319;4349;4354;4375;4378;4391;4473;4477;4489;4543;4572;4602;4654;4766;4792;4803
v3561	9887	17200	220434;220449;220454;220457;220470;220473;220494;220500;220502
v3604	10042	17210	294588;294598;294629;294631;294647
v3662	10199	17180	95283;95290
v3789	10566	17181	102459;102514
v3797	10581	17186	131205;131266;131269;131286;131296
v3805	10611	17216	339386;339393;339394;339397;339398;339401;339402;339403;339407;339410;339412;339413
v3844	10724	17208	279892;279898;279912;279945
v3845	10724	17222	376885;376901;380475
v3864	10761	17206	267351;267357;267363;267372;267383
v3976	11014	17184	121146
v4056	11293	17212	308596;308600
v4401	12275	17222	379311;379313;379317;379323;379327;379329;379330;379332;379338;379339;379341
v4415	12313	17224	389871;389881;389885;389887;389888;389890;389891;389892;389893;389896;389897;389899;389900;389901
v4457	12425	17208	279194;279231;279234;279236
v4540	12696	17216	336268;336271
v4685	13136	17209	288245;288257;288262;288273;288274;288275;288278;288338;288355;288374;288457;288476;288507;288560;288564;288571;288573;288575;288608;288615;288624;288636;288652;288687
v4706	13214	17182	105570;105580
