visit_id	revisit_interval	revisit_intention
v139		0
v226		0
v377		0
v527	189.13	1
v539	214.0	1
v584		0
v647		0
v857		0
v900		0
v902		0
v946		0
v1004		0
v1159		0
v1240	110.77	1
v1291		0
v1294		0
v1454		0
v1533	140.14	1
v1556		0
v1584	135.13	1
v1645	196.04	1
v1811		0
v1986	104.2	1
v1989		0
v2083	147.05	1
v2152		0
v2255		0
v2394		0
v2461	213.0	1
v2639	98.17	1
v2644	53.97	1
v2791		0
v2814		0
v2993		0
v3021	178.01	1
v3111	54.71	1
v3198		0
v3248		0
v3289		0
v3547		0
v3688	70.92	1
v3696		0
v3716		0
v3854		0
v3911		0
v3957		0
v4023	30.17	1
v4037		0
v4046		0
v4125		0
v4137		0
v4144		0
v4151		0
v4189	22.1	1
v4350		0
v4441		0
v4501		0
v4508		0
v4519	113.96	1
v4537		0
v4575		0
v4586	88.11	1
v4680	78.01	1
v4873	231.94	1
v4993	112.02	1
v5115		0
v5258		0
v5278	154.18	1
v5339		0
v5362		0
v5420		0
v5831	119.04	1
v6005	17.95	1
v6011		0
v6035	0.97	1
v6130		0
v6225	72.69	1
v6303		0
v6439	6.0	1
v6494		0
v6512		0
v6523		0
v6630		0
v6667		0
v6697	154.04	1
v6705		0
v6738		0
v6788		0
v6815		0
v7038		0
v7162		0
v7208		0
v7209		0
v7229		0
v7233		0
v7283		0
v7287		0
v7342		0
v7534	114.25	1
v7615	62.23	1
v7630	134.92	1
v7669	139.88	1
v7731		0
v7802		0
v7937	134.01	1
v8075		0
v8324		0
v8343	204.08	1
v8354	101.96	1
v8396		0
v8434		0
v8557		0
v8664		0
v8678		0
v8877		0
v8898		0
v8916		0
v9046		0
v9140		0
v9153		0
v9194	201.05	1
v9320		0
v9518		0
v9606		0
v9607		0
v10067		0
v10097		0
v10110		0
v10156		0
v10344		0
v10446		0
v10460	62.96	1
v10531		0
v10587		0
v10628		0
v10799		0
v10958		0
v11040		0
v11143		0
v11375	66.93	1
v11410		0
v11469	159.99	1
v11470		0
v11537		0
v11689	35.46	1
v11781		0
v11956		0
v11999	124.89	1
v12048	106.13	1
